study,dataset,version,variable,type,template_id,label,label_de,concept,description,description_de,minedition
soep-core,p_statistics,v38.1,phrf,,,Weighting factor,Hochrechnungsfaktor,,,,
soep-core,p_statistics,v38.1,pid,,,Never Changing Person ID,Unveränderliche Personennummer,,,,
soep-core,p_statistics,v38.1,plb0021,categorical,,Arbeitslos gemeldet,Arbeitslos gemeldet,,,,
soep-core,p_statistics,v38.1,plb0037_h,categorical,,Fixed term/permanent,Befristet/unbefristet [harmonisiert],pbefr1,,,
soep-core,p_statistics,v38.1,plb0050,categorical,,Employees Council At Place Of Work,"Betriebs-, Personalrat in Betrieb",,,,
soep-core,p_statistics,v38.1,plb0111,categorical,,Reason For Employment,"Gründe für Berufstätigkeit, Berufstätigkeit Gründe",,,,
soep-core,p_statistics,v38.1,plb0158,numerical,,"Distance to workplace, in km",Entfernung zum Arbeitsort,,,,
soep-core,p_statistics,v38.1,plb0195_h,categorical,,Compensation for overtime work,Überstunden abgelten [harmonisiert],pustd4,,,
soep-core,p_statistics,v38.1,plb0196_h,categorical,,Worked overtime last month [harmonized],Überstunden letzten Monat [harmonisiert],pustd5,,,
soep-core,p_statistics,v38.1,plb0218_v1,categorical,,Working On Saturday,"Arbeit am Samstag [2005, 2007, 2009-2013, 2015, 2017, 2019, 2021]",paz17,,,
soep-core,p_statistics,v38.1,plb0219_v1,categorical,,Working On Sunday,"Arbeit am Sonntag [2005, 2007, 2009-2013, 2015, 2017, 2019, 2021]",paz18,,,
soep-core,p_statistics,v38.1,plb0240,categorical,,"Gainful Employment, Desire",Erwerbstätigkeit Interesse,,,,
soep-core,p_statistics,v38.1,plb0241_h,numerical,,Desired working hours per week [harmonized],Wochenstunden gewuenscht [harmonisiert],paz14,,,
soep-core,p_statistics,v38.1,plb0417_v2,categorical,,Intend to obtain/resume employment in the future? (unemployed),Zukuenftige Erwerbstaetigkeit beabsichtigt [1994-2021],,,,
soep-core,p_statistics,v38.1,plb0418,categorical,,When would like to start work (again)? (unemployed),Erwerbstaetigkeit Zeitpunkt,,,,
soep-core,p_statistics,v38.1,plb0419_h,categorical,,How easy to find an appropriate position? (unemployed),Geeignete Stelle finden [harmonisiert],,,,
soep-core,p_statistics,v38.1,plb0426,categorical,,Want to keep working in field you were trained in? (unemployed),Erlernter Beruf oder etwas Neues,,,,
soep-core,p_statistics,v38.1,pld0043,categorical,,Frequency lending personal belongings to friends,Hfk. pers. Dinge Freunden verleihen,pbez07,,,
soep-core,p_statistics,v38.1,pld0044,categorical,,Frequency lending money to friends,Hfk. Geld Freunden leihen,pbez08,,,
soep-core,p_statistics,v38.1,pld0045,categorical,,Frequency leaving the door unlocked,Hfk. Tuer unversperrt,pbez09,,,
soep-core,p_statistics,v38.1,pld0047,numerical,,Number of close friends,Anzahl enge Freunde,pbez06,,,
soep-core,p_statistics,v38.1,pld0298_h,categorical,,Sexual orientation,Sexuelle Orientierung [harmonisiert],,,,
soep-core,p_statistics,v38.1,ple0004,categorical,,State Of Health Affects Ascending Stairs,Gesundheitszustand beeintr. Treppen steigen,pges02,,,
soep-core,p_statistics,v38.1,ple0005,categorical,,State Of Health Affects Tiring Tasks,Gesundheitszustand beeintr. Anstreng. Taetigkeiten,pges03,,,
soep-core,p_statistics,v38.1,ple0008,categorical,,Current Health,Gesundheitszustand gegenwärtig,pkilo,,,
soep-core,p_statistics,v38.1,ple0009,categorical,,Limitations In Daily Life Because Of Health Problems,Einschraenkg.im Alltgasleben wg. gesundheitl. Probleme,pges14,,,
soep-core,p_statistics,v38.1,ple0011,categorical,,Sleep Disturbances,Schlafstoerung,pkr23,,,
soep-core,p_statistics,v38.1,ple0012,categorical,,Diabetes,Diabetes,pkr7,,,
soep-core,p_statistics,v38.1,ple0013,categorical,,Asthma,Asthma,pkr8,,,
soep-core,p_statistics,v38.1,ple0014,categorical,,Cardiopathy,Herzkrankheit,pkr9,,,
soep-core,p_statistics,v38.1,ple0015,categorical,,Cancer,Krebserkrankung,pkr10,,,
soep-core,p_statistics,v38.1,ple0016,categorical,,Apoplectic Stroke,Schlaganfall,pkr11,,,
soep-core,p_statistics,v38.1,ple0017,categorical,,Migraine,Migraene,pkr12,,,
soep-core,p_statistics,v38.1,ple0018,categorical,,High Blood Presure,Bluthochdruck,pkr13,,,
soep-core,p_statistics,v38.1,ple0019,categorical,,Depression,Depressive Erkrankung,pkr14,,,
soep-core,p_statistics,v38.1,ple0020,categorical,,Dementia,Demenzerkrankung,pkr15,,,
soep-core,p_statistics,v38.1,ple0021,categorical,,"Joint Disorder (also: Arthrosis, Rheumatism)","Gelenkerkrankungen (auch Arthrose, Rheuma)",pkr24,,,
soep-core,p_statistics,v38.1,ple0022,categorical,,Chronic Back Complaints,Chronische Rueckenbeschwerden,pkr25,,,
soep-core,p_statistics,v38.1,ple0023,categorical,,Other Illness,Sonstige Krankheit,,,,
soep-core,p_statistics,v38.1,ple0040,categorical,,"Legally Handicapped, Reduced Employment",Erwerbsminderung / Schwerbehinderung,pbeh1,,,
soep-core,p_statistics,v38.1,ple0041,numerical,,Degree of disability (in percent),Behinderungsgrad in Prozent,pbeh2,,,
soep-core,p_statistics,v38.1,ple0053,categorical,,Hospital Stay Prev. Year,Krankenhausaufenthalt Vorjahr,pkr1,,,
soep-core,p_statistics,v38.1,ple0055,numerical,,Number Of Hospital Stays Prev. Year,Krankenhausaufenthalt Vorjahr Anzahl,pkr3,,,
soep-core,p_statistics,v38.1,ple0081_h,categorical,,Currently smokes,Rauchen gegenwaertig [harmonisiert],prauch1,,,
soep-core,p_statistics,v38.1,ple0097,categorical,,Type Of Health Insurance,Art der Krankenversicherung,pkv01,,,
soep-core,p_statistics,v38.1,ple0098_v5,categorical,,Supplementary private health insurance,"Private Zusatzversicherung (Ja/Nein) [1999-2008, 2010-2014, 2016, 2018, 2020]",pkv04,,,
soep-core,p_statistics,v38.1,ple0128_h,numerical,,Monthly cost for supplementary private health insurance,Beitrag fuer private Zusatzkrankenversicherung [harmonisiert],pkv05,,,
soep-core,p_statistics,v38.1,ple0162,categorical,,Health Problems for more than 6 Months,Gesundheitliche Probleme laenger als halbes Jahr,pges15,,,
soep-core,p_statistics,v38.1,ple0187,categorical,,Burnout,Ausgebranntsein (Burnout),,,,
soep-core,p_statistics,v38.1,plg0267_h,categorical,,[de] Welche Aus-/Weiterbildung [harmonisiert],Welche Aus-/Weiterbildung [harmonisiert],,,,
soep-core,p_statistics,v38.1,plg0292_h,categorical,,Type of currently received continuing professional development course/retraining,Art der Weiterbildung,,,,
soep-core,p_statistics,v38.1,plh0004,numerical,,"Political attitude (0 = left end, 10 = right end)","Politische Einstellung (0 = ganz links, 10 = ganz rechts)",,,,
soep-core,p_statistics,v38.1,plh0032,categorical,,Worried About Economic Development,Sorgen: Allgemeine wirtschaftliche Entwicklung,psor01,,,
soep-core,p_statistics,v38.1,plh0033,categorical,,Worried About Finances,Sorgen: Eigene wirtschaftliche Situation,psor02,,,
soep-core,p_statistics,v38.1,plh0034,categorical,,worried about stability of financial markets,Sorgen: Stabilität Finanzmärkte,psor13,,,
soep-core,p_statistics,v38.1,plh0035,categorical,,Worried About Own Health,Sorgen: Eigene Gesundheit,psor03,,,
soep-core,p_statistics,v38.1,plh0036,categorical,,Worried About Environment,Sorgen: Umweltschutz,psor04,,,
soep-core,p_statistics,v38.1,plh0037,categorical,,Worried about consequences from climate change,Sorgen: Klimawandelfolgen,psor14,,,
soep-core,p_statistics,v38.1,plh0038,categorical,,Worried About Peace,Sorgen: Friedenserhaltung,psor05,,,
soep-core,p_statistics,v38.1,plh0039,categorical,,Worried About global terrorism,Sorgen: globaler Terrorismus,psor12,,,
soep-core,p_statistics,v38.1,plh0040,categorical,,Worried about crime in Germany,Sorgen: Kriminalitätsentwicklung in Deutschland,psor06,,,
soep-core,p_statistics,v38.1,plh0042,categorical,,Worried About Job Security,Sorgen: Arbeitsplatzsicherheit,psor10,,,
soep-core,p_statistics,v38.1,plh0105,categorical,,Importance: To help Others,Wichtigkeit: Fuer andere da sein,pwich2,,,
soep-core,p_statistics,v38.1,plh0106,categorical,,Importance: to fulfil one's potential,Wichtigkeit: Sich selbst verwirklichen,pwich3,,,
soep-core,p_statistics,v38.1,plh0107,categorical,,Importance: To Have Success In The job,Wichtigkeit: Erfolg im Beruf haben,pwich4,,,
soep-core,p_statistics,v38.1,plh0108,categorical,,Importance: To Have An Own House,Wichtigkeit: Ein eigenes Haus haben,pwich5,,,
soep-core,p_statistics,v38.1,plh0109,categorical,,Importance: To have a happy marriage,"Wichtigkeit: Glueckliche Ehe, Partnerschaft haben",pwich6,,,
soep-core,p_statistics,v38.1,plh0110,categorical,,Importance: To have children,Wichtigkeit: Kinder haben,pwich7,,,
soep-core,p_statistics,v38.1,plh0111,categorical,,Importance: To be socially and politically active,"Wichtigkeit: Sich politisch, gesellschaftlich einsetzen",pwich8,,,
soep-core,p_statistics,v38.1,plh0112,categorical,,Importance: To be able to travel and see the world,"Wichtigkeit: Die Welt sehen, viele Reisen",pwich9,,,
soep-core,p_statistics,v38.1,plh0162,numerical,,Satisfaction With Standard Of Living,Zufriedenheit Lebensstandard,pzuf11,,,
soep-core,p_statistics,v38.1,plh0164,numerical,,Satisfaction With School Education and Vocational Retraining,Zufriedenh. Schul- und Berufsausbildung,pzuf06,,,
soep-core,p_statistics,v38.1,plh0171,numerical,,Satisfaction With Health,Zufriedenheit Gesundheit,pzuf01,,,
soep-core,p_statistics,v38.1,plh0172,numerical,,Satisfaction with sleep,Zufriedenheit Schlaf,pzuf20,,,
soep-core,p_statistics,v38.1,plh0173,numerical,,Satisfaction With Work,Zufriedenheit Arbeit,pzuf02,,,
soep-core,p_statistics,v38.1,plh0174,numerical,,Satisfaction With Housework,Zufriedenheit HH-Taetigk.,pzuf03,,,
soep-core,p_statistics,v38.1,plh0175,numerical,,Satisfaction With Household Income,Zufriedenheit HH-Einkommen,pzuf04,,,
soep-core,p_statistics,v38.1,plh0176,numerical,,Satisfaction With Personal Income,Zufriedenheit mit persoenlichem Einkommen,pzuf05,,,
soep-core,p_statistics,v38.1,plh0177,numerical,,Satisfaction With Dwelling,Zufriedenheit Wohnung,pzuf07,,,
soep-core,p_statistics,v38.1,plh0178,numerical,,Satisfaction With Amount Of Leisure Time,Zufriedenheit Freizeit,pzuf08,,,
soep-core,p_statistics,v38.1,plh0179,numerical,,Satisfaction With Child Care,Zufriedenheit Kinderbetreuung,pzuf09,,,
soep-core,p_statistics,v38.1,plh0180,numerical,,Satisfaction with family life,Zufriedenheit Familienleben,pzuf13,,,
soep-core,p_statistics,v38.1,plh0181,numerical,,Satisfaction With Social Life,"Zufriedenheit Freundes-, Bekanntenkreis",pzuf14,,,
soep-core,p_statistics,v38.1,plh0182,numerical,,Current Life Satisfaction,Lebenszufriedenheit gegenwaertig,pzule1,,,
soep-core,p_statistics,v38.1,plh0183,numerical,,Satisfaction With Life Five Years From Now,Lebenszufriedenheit in 5 Jahren,pzule2,,,
soep-core,p_statistics,v38.1,plh0184,categorical,,Frequency of being angry in the last 4 weeks,Haeufigkeit aergerlich letzte 4 Wochen,pgef1,,,
soep-core,p_statistics,v38.1,plh0185,categorical,,Frequency of being worried in the last 4 weeks,Haeufigkeit aengstlich letzte 4 Wochen,pgef2,,,
soep-core,p_statistics,v38.1,plh0186,categorical,,Frequency of being happy in the last 4 weeks,Haeufigkeit gluecklich letzte 4 Wochen,pgef3,,,
soep-core,p_statistics,v38.1,plh0187,categorical,,Frequency of being sad in the last 4 weeks,Haeufigkeit traurig letzte 4 Wochen,pgef4,,,
soep-core,p_statistics,v38.1,plh0188,categorical,,Confident About Future,Sehe Zukunft zuversichtlich,psti1,,,
soep-core,p_statistics,v38.1,plh0189,categorical,,Lonely,Fuehle micht oft einsam,psti2,,,
soep-core,p_statistics,v38.1,plh0190,categorical,,Do Not Enjoy Work,Keine Freude an der Arbeit,psti3,,,
soep-core,p_statistics,v38.1,plh0191,categorical,,Barely Able To Cope With Things,Verhaeltnisse so kompliziert heute,psti4,,,
soep-core,p_statistics,v38.1,plh0192,categorical,,On The Whole Trust People,Allg. Vertrauen,pbez01,,,
soep-core,p_statistics,v38.1,plh0193,categorical,,Nowadays Can't Trust Anyone,Heute kein Verlass auf niemand,pbez02,,,
soep-core,p_statistics,v38.1,plh0194,categorical,,"When dealing with strangers, it's better to be careful before trusting them.",Vorsicht gegenueber Fremden,pbez03,,,
soep-core,p_statistics,v38.1,plh0195,categorical,,Are most people exploitive or fair?,"Leute nutzen aus, sind fair",pbez04,,,
soep-core,p_statistics,v38.1,plh0196,categorical,,Are most people helpful or self-serving?,"Leute hilfsbereit, Eigeninteresse",pbez05,,,
soep-core,p_statistics,v38.1,plh0204_h,numerical,,Willingness to take risks,Selbsteinschaetzung Risikobereitschaft [harmonisiert],prisk,,,
soep-core,p_statistics,v38.1,plh0206i01,numerical,,I Return Favors,Bereitschaft Gefallen zu erwidern,1991,,,
soep-core,p_statistics,v38.1,plh0206i02,numerical,,I Take Revenge If I Suffer Serious Wrong,Rache bei schwerem Unrecht,1992,,,
soep-core,p_statistics,v38.1,plh0206i03,numerical,,Payback: Put someone in Difficult Position,Heimzahlen / in schwierige Lage bringen,1993,,,
soep-core,p_statistics,v38.1,plh0206i04,numerical,,Go Out Of My Way To Help Somebody,Besondere Anstrengung Hilfe zurueckzugeben,1994,,,
soep-core,p_statistics,v38.1,plh0206i05,numerical,,"when Offended, Offend Back",Beleidigendes Verh. bei Beleidigungen,1995,,,
soep-core,p_statistics,v38.1,plh0206i06,numerical,,Undergo Costs to Help Somebody Who Helped Before,Bereitschaft Kosten aufzunehmen um Hilfe zurueckzugeben,1996,,,
soep-core,p_statistics,v38.1,plh0244,categorical,,Attitude towards future,Einstellung bezueglich Zukunft,,,,
soep-core,p_statistics,v38.1,plh0258_h,categorical,,Affiliation with a church or religious community,"Kirche, Religion [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0007_h,numerical,,"Sundays, hours spent for: Work","Beruf, Lehre, Nebenerw.Std., Sonntag [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0010,numerical,,"Sundays, hours spent for: Leisure, Hobbies","Hobbies, Freizeit Std., So",,,,
soep-core,p_statistics,v38.1,pli0016_h,numerical,,"Sundays, hours spent for: Housework","Hausarbeit Std., Sonntag [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0022_h,numerical,,"Sundays, hours spent for: Childcare","Kinderbetreuung Std., Sonntag [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0028_h,numerical,,"Sundays, hours spent for: Professional training, education","Aus- u. Weiterb., Lernen Std., Sonntag [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0038_h,numerical,,"Weekdays, hours spent for: Work","Beruf, Lehre, Nebenerw. Std., Werktg. [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0043_h,numerical,,"Weekdays, hours spent for: Housework","Hausarbeit Std., Werktg. [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0044_h,numerical,,"Weekdays, hours spent for: Childcare","Kinderbetreuung Std., Werktg. [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0046,numerical,,"Weekdays, hours spent for: Support person requiring care","Versorgung Pflegebeduerftiger, Werktg.",,,,
soep-core,p_statistics,v38.1,pli0047_h,numerical,,"Weekdays, hours spent for: Professional training, education","Stunden pro Werktag für: Aus-/Weiterbildung, Studium",,,,
soep-core,p_statistics,v38.1,pli0051,numerical,,"Weekdays, hours spent for: Leisure, Hobbies","Hobbies, Freizeit Std., Werktg.",,,,
soep-core,p_statistics,v38.1,pli0057,numerical,,"Sundays, hours spent for: Support person requiring care","Versorgung Pflegebeduerftiger, Sonntag",,,,
soep-core,p_statistics,v38.1,pli0059,numerical,,"Hours of sleep, normal workday","Stunden Schlaf, normaLer Werktag",pschl1,,,
soep-core,p_statistics,v38.1,pli0060,numerical,,"Hours of sleep, weekend","Stunden Schlaf, am Wochenende",,,,
soep-core,p_statistics,v38.1,pli0079,categorical,,Frequency going out for dinner or drinks,"Essen,trinken gehen",,,,
soep-core,p_statistics,v38.1,pli0080,categorical,,"Frequency visiting/being visited by neightbors, friends","Besuche Nachbarn,Freunde",pfrei02,,,
soep-core,p_statistics,v38.1,pli0081,categorical,,"Frequency visiting/being visited by family, relatives","Besuche Familie,Verwandte",pfrei03,,,
soep-core,p_statistics,v38.1,pli0082,categorical,,Frequency going on excursions/short trips,"Ausfluege,Kurzreisen",pfrei04,,,
soep-core,p_statistics,v38.1,pli0083,categorical,,Frequency watching television/movies/series,"Fernsehen, Video",pfrei08,,,
soep-core,p_statistics,v38.1,pli0089,categorical,,Frequency going to sporting events,Besuch von Sportveranstaltung,pfrei15,,,
soep-core,p_statistics,v38.1,pli0091_h,categorical,,"Frequency going to the cinema, pop or jazz concerts, dance events, discos","Besuch von Kino,Pop,Jazz Konzerte,Disco [harmonisiert]",pfrei16,,,
soep-core,p_statistics,v38.1,pli0092_h,categorical,,Frequency taking part in sports,Aktiver Sport [harmonisiert],_pequiv_m11104,,,
soep-core,p_statistics,v38.1,pli0093_h,categorical,,Frequency of artistic or musical activities,Kuenstlerische und musische Taetigkeiten [harmonisiert],pfrei11,,,
soep-core,p_statistics,v38.1,pli0094_h,categorical,,"Frequency meeting with friends, relatives or neighbors","Geselligkeit m. Freund., Verwandt. [harmonisiert]",,,,
soep-core,p_statistics,v38.1,pli0095_h,categorical,,"Frequency helping friends, relatives","Mithelfen bei Freund., Verwandt. [harmonisiert]",pfz6,,,
soep-core,p_statistics,v38.1,pli0096_h,categorical,,Frequency of volunteer work,"Ehrenamtliche Taetigkeit in Vereinen, Verbaenden, … [harmonisiert]",pfrei06,,,
soep-core,p_statistics,v38.1,pli0097_h,categorical,,"Frequency participating in polit. parties, local politics, citizens' initiatives","Beteilig. Parteien, Kommunalpolitik, Buergerinitiativen [harmonisiert]",pfrei05,,,
soep-core,p_statistics,v38.1,pli0098_h,categorical,,"Frequency going to church, attending religious events","Kirchgang, Besuch religioeser Veranstaltungen [harmonisiert]",pfrei07,,,
soep-core,p_statistics,v38.1,pli0165,categorical,,Frequency using online social networks,Nutzen sozialer Online-Netzwerke,6044,,,
soep-core,p_statistics,v38.1,plj0021_h,categorical,,Intend To Apply For German Citizenship,Beantragung deutsche Staatsangeh [harmonisiert],,,,
soep-core,p_statistics,v38.1,plj0024_h,categorical,,German nationality since when,Zeitpunkt Erwerb deutscher Staatsangehoerigkeit [harmonisiert],,,,
soep-core,p_statistics,v38.1,plj0045,categorical,,Could imagine moving to other part of Germany (East/West)?,Umzug nach West-/Ostdeutschland moeglich?,,,,
soep-core,p_statistics,v38.1,plj0046,categorical,,Worried About Immigration To Germany,Sorgen Zuwanderung,psor08,,,
soep-core,p_statistics,v38.1,plj0047,categorical,,Worried About Hostility To Foreigners,Sorgen: Auslaenderfeindlichkeit,psor09,,,
soep-core,p_statistics,v38.1,plj0078,categorical,,Feel German,Als Deutscher fuehlen,,,,
soep-core,p_statistics,v38.1,plj0080_h,categorical,,Feel connected to country of origin,Gefühlte Verbundenheit zum Heimatland,,,,
soep-core,p_statistics,v38.1,plj0089,categorical,,"Recently considered moving abroad, for longer or permanently","Kürzlich überlegt, länger oder für immer ins Ausland zu gehen",,,,
soep-core,p_statistics,v38.1,plj0092,categorical,,Migration/move Abroad In Next 12 Months,Auswanderg./Umzug in Ausland naechste 12Mon,,,,
soep-core,p_statistics,v38.1,plj0104,categorical,,"Contact To Friends, Relatives Abroad",Kontakt zu Freunden/Bekannten im Ausland,,,,
soep-core,p_statistics,v38.1,plj0175,categorical,,Both Parents Born In Germany,Beide Eltern in Deutschland geboren,,,,
soep-core,p_statistics,v38.1,plj0587,categorical,,Frequency of missing others' company (UCLA Loneliness Scale),"Gefühl, aussen vor zu sein (UCLA Loneliness Scale)",1767,,,
soep-core,p_statistics,v38.1,plj0588,categorical,,Feel left out,"Gefuehl, aussen vor zu sein",1768,,,
soep-core,p_statistics,v38.1,plj0589,categorical,,Frequency of feeling socially isolated (UCLA Loneliness Scale),"Gefühl, sozial isoliert zu sein (UCLA Loneliness Scale)",1769,,,
soep-core,p_statistics,v38.1,poor,numerical,,,Armutsrisiko (100 = von Armut bedroht),,,,
soep-core,p_statistics,v38.1,profdev,categorical,,Currently receiving continuing professional development course / retraining,Derzeit in Weiterbildung,,,,
soep-core,p_statistics,v38.1,quintil_oecd,group,,Income in quintiles (OECD Net equivalence income),Einkommen in Quintilen (OECD Nettoäquivalenzeinkommen),,,,
soep-core,p_statistics,v38.1,region_origin,categorical,,Region of origin (UN Area Codes M49),Geburtsland (UN Area Codes M49),corigin,Countries are grouped according to the United Nations 'Standard Country or Area Codes for Statistical use M49'. See https://unstats.un.org/unsd/methodology/m49/,,
soep-core,p_statistics,v38.1,region_secnat,categorical,,Region of second citizenship (UN Area Codes M49),Land weiterer Staatsangehörigkeit (UN Area Codes M49),,,,
soep-core,p_statistics,v38.1,regtyp,group,,Urban/rural regions,Siedlungsstruktureller Regionsgrundtyp des BBSR,regtyp,,,
soep-core,p_statistics,v38.1,sampreg,group,,East-/ West Germany,Aktueller Wohnort (BRD/DDR - in Bezug auf Grenzen von 1989),sampreg,,,
soep-core,p_statistics,v38.1,sex,group,,Gender,Geschlecht,pla0008,,,
soep-core,p_statistics,v38.1,sickl,numerical,,Number Of Days Off Work Sick Prev. Year,"Wegen Krankheit nicht gearbeitet Vorjahr, Tage",,,,
soep-core,p_statistics,v38.1,syear,,,Survey Year,Erhebungsjahr,_syear,,,
