"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"2014","AkademikerIn","39.34","40.95","4329","38.95","39.73"
"2014","Hauptschule","35.38","39.9","3872","34.93","35.83"
"2014","Realschule","37.43","39.9","4774","37.06","37.8"
"2015","(Fach-)Abitur","35.41","39.9","2794","34.9","35.92"
"2015","(noch) kein Abschluss","29.26","34.5","289","27.3","31.22"
"2015","AkademikerIn","39.51","40.75","4402","39.13","39.89"
"2015","Hauptschule","35.19","39.9","3599","34.73","35.65"
"2015","Realschule","37.52","39.75","4481","37.15","37.89"
"2016","(Fach-)Abitur","35.54","39.9","2585","35.02","36.06"
"2016","(noch) kein Abschluss","31.02","35.5","267","28.93","33.11"
"2016","AkademikerIn","39.12","39.75","4058","38.73","39.51"
"2016","Hauptschule","35.02","39.9","3298","34.54","35.5"
"2016","Realschule","37.3","39.75","4117","36.92","37.68"
"2017","(Fach-)Abitur","34.8","39.75","2983","34.32","35.28"
"2017","(noch) kein Abschluss","29.39","31.5","406","27.74","31.04"
"2017","AkademikerIn","38.89","39.9","4655","38.52","39.26"
"2017","Hauptschule","34.82","39.85","3542","34.36","35.28"
"2017","Realschule","37.41","39.9","4804","37.06","37.76"
"2018","(Fach-)Abitur","34.9","39.75","2967","34.43","35.37"
"2018","(noch) kein Abschluss","29.65","35.5","461","28.26","31.04"
"2018","AkademikerIn","38.82","39.9","4603","38.46","39.18"
"2018","Hauptschule","34.61","39.85","3400","34.15","35.07"
"2018","Realschule","37","39.75","4607","36.65","37.35"
"2019","(Fach-)Abitur","35.27","39.95","3152","34.78","35.76"
"2019","(noch) kein Abschluss","29.53","29.4","544","28.25","30.81"
"2019","AkademikerIn","39.07","39.8","5273","38.71","39.43"
"2019","Hauptschule","35.22","39.75","3148","34.72","35.72"
"2019","Realschule","37.09","39.75","4684","36.72","37.46"
"2020","(Fach-)Abitur","34.82","39.95","3374","34.39","35.25"
"2020","(noch) kein Abschluss","29.25","30.25","611","28.11","30.39"
"2020","AkademikerIn","38.58","39.85","5465","38.25","38.91"
"2020","Hauptschule","34.63","38.85","3019","34.15","35.11"
"2020","Realschule","36.77","39.9","4222","36.4","37.14"
