year,regtyp,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Urban regions,"No, never",0.31486,6537,10701,0.30606,0.32366
2019,Urban regions,"Yes, every week",0.03225,759,10701,0.02890,0.03559
2019,Urban regions,"Yes, every 2 weeks",0.04663,992,10701,0.04263,0.05062
2019,Urban regions,"Yes, every 3-4 weeks",0.02736,654,10701,0.02427,0.03045
2019,Urban regions,"Yes, less frequently",0.07697,1759,10701,0.07192,0.08202
2019,Rural regions,"No, never",0.30777,3470,5591,0.29567,0.31987
2019,Rural regions,"Yes, every week",0.03151,398,5591,0.02693,0.03609
2019,Rural regions,"Yes, every 2 weeks",0.05010,586,5591,0.04438,0.05582
2019,Rural regions,"Yes, every 3-4 weeks",0.02796,334,5591,0.02364,0.03228
2019,Rural regions,"Yes, less frequently",0.07356,803,5591,0.06672,0.08040
2021,Urban regions,"No, never",0.26446,4481,7232,0.25430,0.27463
2021,Urban regions,"Yes, every week",0.02639,539,7232,0.02270,0.03009
2021,Urban regions,"Yes, every 2 weeks",0.03828,719,7232,0.03385,0.04270
2021,Urban regions,"Yes, every 3-4 weeks",0.02270,378,7232,0.01927,0.02614
2021,Urban regions,"Yes, less frequently",0.06570,1115,7232,0.05999,0.07142
2021,Rural regions,"No, never",0.25772,2062,3314,0.24283,0.27261
2021,Rural regions,"Yes, every week",0.02619,239,3314,0.02076,0.03163
2021,Rural regions,"Yes, every 2 weeks",0.04344,366,3314,0.03650,0.05038
2021,Rural regions,"Yes, every 3-4 weeks",0.02262,201,3314,0.01755,0.02768
2021,Rural regions,"Yes, less frequently",0.05187,446,3314,0.04432,0.05942
