year,hhtyp,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Couple with children,West,Yes,0.17121,534,3208,0.15818,0.18425
2001,Couple with children,West,No,0.82879,2674,3208,0.81575,0.84182
2001,Couple with children,East,Yes,0.25163,256,967,0.22426,0.27899
2001,Couple with children,East,No,0.74837,711,967,0.72101,0.77574
2001,Multi-generational household,West,No,0.78486,107,107,0.70663,0.86308
2001,Other Combinations,West,No,0.82830,80,80,0.74514,0.91146
2006,Single-person household,West,Yes,0.06869,169,2472,0.05872,0.07867
2006,Single-person household,West,No,0.93131,2303,2472,0.92133,0.94128
2006,Single-person household,East,Yes,0.08321,72,816,0.06425,0.10217
2006,Single-person household,East,No,0.91679,744,816,0.89783,0.93575
2006,Couple without children,West,Yes,0.10434,343,3132,0.09363,0.11505
2006,Couple without children,West,No,0.89566,2789,3132,0.88495,0.90637
2006,Couple without children,East,Yes,0.17276,177,1026,0.14962,0.19590
2006,Couple without children,East,No,0.82724,849,1026,0.80410,0.85038
2006,Single parent,West,Yes,0.13686,80,582,0.10891,0.16481
2006,Single parent,West,No,0.86314,502,582,0.83519,0.89109
2006,Single parent,East,Yes,0.19365,35,190,0.13731,0.24999
2006,Single parent,East,No,0.80635,155,190,0.75001,0.86269
2006,Couple with children,West,Yes,0.17753,552,2984,0.16381,0.19124
2006,Couple with children,West,No,0.82247,2432,2984,0.80876,0.83619
2006,Couple with children,East,Yes,0.22455,191,853,0.19653,0.25257
2006,Couple with children,East,No,0.77545,662,853,0.74743,0.80347
2006,Multi-generational household,West,No,0.86700,68,68,0.78568,0.94831
2006,Other Combinations,West,No,0.82283,69,69,0.73208,0.91358
2011,Single-person household,West,Yes,0.07504,187,2622,0.06495,0.08512
2011,Single-person household,West,No,0.92289,2435,2622,0.91267,0.93310
2011,Single-person household,East,Yes,0.09858,86,888,0.07896,0.11820
2011,Single-person household,East,No,0.90067,802,888,0.88099,0.92035
2011,Couple without children,West,Yes,0.10767,370,3281,0.09706,0.11827
2011,Couple without children,West,No,0.89198,2911,3281,0.88135,0.90260
2011,Couple without children,East,Yes,0.16010,164,1090,0.13832,0.18188
2011,Couple without children,East,No,0.83990,926,1090,0.81812,0.86168
2011,Single parent,West,Yes,0.07769,92,585,0.05598,0.09940
2011,Single parent,West,No,0.44388,493,585,0.40358,0.48417
2011,Single parent,East,No,0.46854,174,174,0.39418,0.54290
2011,Couple with children,West,Yes,0.15273,467,2566,0.13881,0.16665
2011,Couple with children,West,No,0.64384,2099,2566,0.62530,0.66237
2011,Couple with children,East,Yes,0.16604,142,674,0.13792,0.19415
2011,Couple with children,East,No,0.61622,532,674,0.57947,0.65296
2011,Multi-generational household,West,No,0.72380,50,50,0.59860,0.84899
2011,Other Combinations,West,No,0.84535,64,64,0.75607,0.93464
2016,Single-person household,West,Yes,0.07369,181,2535,0.06352,0.08386
2016,Single-person household,West,No,0.91995,2354,2535,0.90938,0.93052
2016,Single-person household,East,Yes,0.05925,55,853,0.04340,0.07511
2016,Single-person household,East,No,0.93513,798,853,0.91859,0.95167
2016,Couple without children,West,Yes,0.12464,368,3085,0.11299,0.13630
2016,Couple without children,West,No,0.87460,2717,3085,0.86291,0.88628
2016,Couple without children,East,Yes,0.18960,165,1012,0.16543,0.21376
2016,Couple without children,East,No,0.80957,847,1012,0.78536,0.83377
2016,Single parent,West,Yes,0.16572,192,1188,0.14457,0.18688
2016,Single parent,West,No,0.82873,996,1188,0.80730,0.85016
2016,Single parent,East,Yes,0.17235,56,336,0.13190,0.21279
2016,Single parent,East,No,0.81741,280,336,0.77604,0.85879
2016,Couple with children,West,Yes,0.17699,719,4169,0.16540,0.18858
2016,Couple with children,West,No,0.81573,3450,4169,0.80395,0.82750
2016,Couple with children,East,Yes,0.19180,173,821,0.16485,0.21875
2016,Couple with children,East,No,0.79898,648,821,0.77155,0.82641
2016,Multi-generational household,West,No,0.84507,67,67,0.75778,0.93237
2016,Other Combinations,West,No,0.84877,148,148,0.79086,0.90669
2021,Single-person household,West,Yes,0.06685,173,2478,0.05701,0.07668
2021,Single-person household,West,No,0.92264,2305,2478,0.91212,0.93316
2021,Single-person household,East,Yes,0.05563,49,710,0.03876,0.07251
2021,Single-person household,East,No,0.93438,661,710,0.91615,0.95260
2021,Couple without children,West,Yes,0.12902,352,2595,0.11612,0.14192
2021,Couple without children,West,No,0.86883,2243,2595,0.85584,0.88182
2021,Couple without children,East,Yes,0.15879,122,819,0.13375,0.18384
2021,Couple without children,East,No,0.83962,697,819,0.81447,0.86477
2021,Single parent,West,Yes,0.22269,141,657,0.19085,0.25453
2021,Single parent,West,No,0.76023,516,657,0.72756,0.79290
2021,Single parent,East,Yes,0.19826,51,239,0.14761,0.24891
2021,Single parent,East,No,0.79134,188,239,0.73972,0.84297
2021,Couple with children,West,Yes,0.18544,543,2611,0.17053,0.20035
2021,Couple with children,West,No,0.79131,2068,2611,0.77572,0.80690
2021,Couple with children,East,Yes,0.20053,117,551,0.16707,0.23400
2021,Couple with children,East,No,0.77906,434,551,0.74438,0.81373
2021,Multi-generational household,West,No,0.80655,44,44,0.68848,0.92461
2021,Other Combinations,West,Yes,0.14673,31,220,0.09987,0.19360
2021,Other Combinations,West,No,0.82586,189,220,0.77563,0.87609
2021,Other Combinations,East,No,0.86005,36,36,0.74511,0.97499
