"ple0021","year","migback","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein","2013","direkter Migrationshintergrund","Ostdeutschland","61","0.76667807019758","0.674571654532298","0.858784485862862"
"Nein","2013","indirekter Migrationshintergrund","Westdeutschland","630","0.940751367949846","0.922861315030485","0.958641420869207"
"Nein","2013","indirekter Migrationshintergrund","Ostdeutschland","40","0.924408945335123","0.845399113886034","1.00341877678421"
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2014","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2014","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2014","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2014","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2014","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2014","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2014","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2014","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2014","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2014","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2014","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2014","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2014","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2014","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2015","kein Migrationshintergrund","Westdeutschland","2745","0.219466181679975","0.212670937189062","0.226261426170889"
"Ja","2015","kein Migrationshintergrund","Ostdeutschland","993","0.216329104707939","0.204750834754177","0.227907374661702"
"Ja","2015","direkter Migrationshintergrund","Westdeutschland","539","0.172855844156486","0.161155456113897","0.184556232199074"
"Ja","2015","direkter Migrationshintergrund","Ostdeutschland","48","0.224512152886921","0.17689707398048","0.272127231793363"
"Ja","2015","indirekter Migrationshintergrund","Westdeutschland","77","0.0583427159047244","0.0465749136036659","0.0701105182057828"
"Ja","2015","indirekter Migrationshintergrund","Ostdeutschland","6","","",""
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2015","kein Migrationshintergrund","Westdeutschland","11506","0.780533818320025","0.773738573829111","0.787329062810938"
"Nein","2015","kein Migrationshintergrund","Ostdeutschland","3865","0.783670895292061","0.772092625338298","0.795249165245823"
"Nein","2015","direkter Migrationshintergrund","Westdeutschland","3473","0.827144155843514","0.815443767800926","0.838844543886103"
"Nein","2015","direkter Migrationshintergrund","Ostdeutschland","247","0.775487847113079","0.727872768206637","0.82310292601952"
"Nein","2015","indirekter Migrationshintergrund","Westdeutschland","1447","0.941657284095276","0.929889481794217","0.953425086396334"
"Nein","2015","indirekter Migrationshintergrund","Ostdeutschland","94","0.962137181930083","0.924728443912628","0.999545919947539"
"Nein","2015","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2015","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2016","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2016","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2016","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2016","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2016","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2016","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2016","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2016","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2016","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2016","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2016","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2016","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2016","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2016","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2017","kein Migrationshintergrund","Westdeutschland","2969","0.226881231449032","0.220198490183501","0.233563972714562"
"Ja","2017","kein Migrationshintergrund","Ostdeutschland","1079","0.226086182813728","0.214634100337561","0.237538265289895"
"Ja","2017","direkter Migrationshintergrund","Westdeutschland","581","0.198675694186602","0.18671219643854","0.210639191934663"
"Ja","2017","direkter Migrationshintergrund","Ostdeutschland","57","0.153132665600634","0.115933049964371","0.190332281236897"
"Ja","2017","indirekter Migrationshintergrund","Westdeutschland","110","0.0617090931898156","0.0499112385884909","0.0735069477911403"
"Ja","2017","indirekter Migrationshintergrund","Ostdeutschland","6","","",""
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2017","kein Migrationshintergrund","Westdeutschland","12119","0.773118768550968","0.766436027285437","0.779801509816499"
"Nein","2017","kein Migrationshintergrund","Ostdeutschland","4046","0.773913817186272","0.762461734710105","0.785365899662439"
"Nein","2017","direkter Migrationshintergrund","Westdeutschland","3692","0.801324305813398","0.789360808065337","0.81328780356146"
"Nein","2017","direkter Migrationshintergrund","Ostdeutschland","303","0.846867334399366","0.809667718763103","0.884066950035629"
"Nein","2017","indirekter Migrationshintergrund","Westdeutschland","1488","0.938290906810184","0.92649305220886","0.950088761411509"
"Nein","2017","indirekter Migrationshintergrund","Ostdeutschland","99","0.976490634725203","0.947509997224211","1.0054712722262"
"Nein","2017","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2017","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2018","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2018","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2018","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2018","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2018","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2018","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2018","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2018","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2018","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2018","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2018","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2018","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2018","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2018","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2019","kein Migrationshintergrund","Westdeutschland","3132","0.230040216160716","0.22329552996146","0.236784902359971"
"Ja","2019","kein Migrationshintergrund","Ostdeutschland","1111","0.238846559961537","0.227169758217912","0.250523361705162"
"Ja","2019","direkter Migrationshintergrund","Westdeutschland","573","0.20137519133717","0.188203653439961","0.21454672923438"
"Ja","2019","direkter Migrationshintergrund","Ostdeutschland","38","0.076892316774821","0.0462291681427165","0.107555465406925"
"Ja","2019","indirekter Migrationshintergrund","Westdeutschland","147","0.0663142657095314","0.0543585584052132","0.0782699730138497"
"Ja","2019","indirekter Migrationshintergrund","Ostdeutschland","13","","",""
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2019","kein Migrationshintergrund","Westdeutschland","11825","0.769959783839284","0.763215097640028","0.77670447003854"
"Nein","2019","kein Migrationshintergrund","Ostdeutschland","4011","0.761153440038463","0.749476638294838","0.772830241782088"
"Nein","2019","direkter Migrationshintergrund","Westdeutschland","2988","0.79862480866283","0.78545327076562","0.811796346560039"
"Nein","2019","direkter Migrationshintergrund","Ostdeutschland","252","0.923107683225179","0.892444534593075","0.953770831857284"
"Nein","2019","indirekter Migrationshintergrund","Westdeutschland","1517","0.933685734290469","0.92173002698615","0.945641441594787"
"Nein","2019","indirekter Migrationshintergrund","Ostdeutschland","145","0.967469861103039","0.939808010676085","0.995131711529993"
"Nein","2019","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2019","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
