year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2008,Multi-generational household,,,,,,,,,,,,
2008,Other Combinations,,,,,,,,,,,,
2009,Single-person household,,,,,,,,,,,,
2009,Couple without children,,,,,,,,,,,,
2009,Single parent,,,,,,,,,,,,
2009,Couple with children,,,,,,,,,,,,
2009,Multi-generational household,,,,,,,,,,,,
2009,Other Combinations,,,,,,,,,,,,
2010,Single-person household,,,,,,,,,,,,
2010,Couple without children,,,,,,,,,,,,
2010,Single parent,,,,,,,,,,,,
2010,Couple with children,,,,,,,,,,,,
2010,Multi-generational household,,,,,,,,,,,,
2010,Other Combinations,,,,,,,,,,,,
2011,Single-person household,3480,3.2765424511926957,3.2509608261405054,3.302124076244886,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2011,Couple without children,4344,3.8110178700154083,3.7879439435558324,3.834091796474984,2.0,4.0,5.0,1.0,7.0,4.0,4.0,4.0
2011,Single parent,781,3.2958650157058407,3.2455022035995755,3.346227827812106,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2011,Couple with children,3228,3.889182943403677,3.8643337124784014,3.9140321743289523,3.0,4.0,5.0,1.0,7.0,4.0,4.0,4.0
2011,Multi-generational household,83,3.567917945376242,3.4118146311674074,3.724021259585077,2.0,3.0,5.0,1.0,7.0,3.0,2.0,3.0
2011,Other Combinations,95,3.5929538320856063,3.4239296617437933,3.761978002427419,2.0,3.0,5.0,1.0,7.0,3.0,2.0,3.0
2012,Single-person household,,,,,,,,,,,,
2012,Couple without children,,,,,,,,,,,,
2012,Single parent,,,,,,,,,,,,
2012,Couple with children,,,,,,,,,,,,
2012,Multi-generational household,,,,,,,,,,,,
2012,Other Combinations,,,,,,,,,,,,
2013,Single-person household,,,,,,,,,,,,
2013,Couple without children,,,,,,,,,,,,
2013,Single parent,,,,,,,,,,,,
2013,Couple with children,,,,,,,,,,,,
2013,Multi-generational household,,,,,,,,,,,,
2013,Other Combinations,,,,,,,,,,,,
2014,Single-person household,,,,,,,,,,,,
2014,Couple without children,,,,,,,,,,,,
2014,Single parent,,,,,,,,,,,,
2014,Couple with children,,,,,,,,,,,,
2014,Multi-generational household,,,,,,,,,,,,
2014,Other Combinations,,,,,,,,,,,,
2015,Single-person household,,,,,,,,,,,,
2015,Couple without children,,,,,,,,,,,,
2015,Single parent,,,,,,,,,,,,
2015,Couple with children,,,,,,,,,,,,
2015,Multi-generational household,,,,,,,,,,,,
2015,Other Combinations,,,,,,,,,,,,
2016,Single-person household,3377,3.2251115325466784,3.1984655329424783,3.2517575321508785,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2016,Couple without children,4087,3.6788636710817184,3.655578351812641,3.702148990350796,2.0,4.0,5.0,1.0,7.0,4.0,4.0,4.0
2016,Single parent,1523,3.297401311745981,3.2597195515757584,3.3350830719162032,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2016,Couple with children,4978,3.714825379205505,3.694104190372286,3.735546568038724,2.0,4.0,5.0,1.0,7.0,4.0,4.0,4.0
2016,Multi-generational household,107,3.519136641021152,3.3661553533442716,3.6721179286980328,2.0,3.0,5.0,1.0,7.0,3.0,2.0,4.0
2016,Other Combinations,193,2.9359319795026466,2.8479620183591665,3.0239019406461267,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
2017,Single-person household,,,,,,,,,,,,
2017,Couple without children,,,,,,,,,,,,
2017,Single parent,,,,,,,,,,,,
2017,Couple with children,,,,,,,,,,,,
2017,Multi-generational household,,,,,,,,,,,,
2017,Other Combinations,,,,,,,,,,,,
2018,Single-person household,,,,,,,,,,,,
2018,Couple without children,,,,,,,,,,,,
2018,Single parent,,,,,,,,,,,,
2018,Couple with children,,,,,,,,,,,,
2018,Multi-generational household,,,,,,,,,,,,
2018,Other Combinations,,,,,,,,,,,,
2019,Single-person household,,,,,,,,,,,,
2019,Couple without children,,,,,,,,,,,,
2019,Single parent,,,,,,,,,,,,
2019,Couple with children,,,,,,,,,,,,
2019,Multi-generational household,,,,,,,,,,,,
2019,Other Combinations,,,,,,,,,,,,
2020,Single-person household,,,,,,,,,,,,
2020,Couple without children,,,,,,,,,,,,
2020,Single parent,,,,,,,,,,,,
2020,Couple with children,,,,,,,,,,,,
2020,Multi-generational household,,,,,,,,,,,,
2020,Other Combinations,,,,,,,,,,,,
2021,Single-person household,3514,3.3059231265397564,3.279698168469218,3.332148084610295,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0
2021,Couple without children,3460,3.699191093844509,3.673829975617192,3.724552212071826,2.0,4.0,5.0,1.0,7.0,4.0,4.0,5.0
2021,Single parent,1019,3.273287624844674,3.2285429844471807,3.3180322652421674,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2021,Couple with children,3955,3.7277995841374736,3.7046175045926395,3.7509816636823077,2.0,4.0,5.0,1.0,7.0,4.0,4.0,5.0
2021,Multi-generational household,93,3.1032977832471054,2.978431340453109,3.228164226041102,2.0,3.0,4.0,1.0,7.0,3.0,2.0,4.0
2021,Other Combinations,336,3.1736591612898786,3.09408960686548,3.253228715714277,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0
