"year","quintil","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2011","3","Staedtischer Raum","3.3","2.5","3913","3.26","3.34"
"2011","4","Laendlicher Raum","3.67","3.5","2804","3.62","3.72"
"2011","4","Staedtischer Raum","3.73","3.5","4517","3.69","3.77"
"2011","5","Laendlicher Raum","4.28","3.5","2445","4.22","4.34"
"2011","5","Staedtischer Raum","4.42","4.5","6479","4.38","4.46"
"2012","2","Laendlicher Raum","","","","",""
"2012","2","Staedtischer Raum","","","","",""
"2012","3","Laendlicher Raum","","","","",""
"2012","3","Staedtischer Raum","","","","",""
"2012","4","Laendlicher Raum","","","","",""
"2012","4","Staedtischer Raum","","","","",""
"2012","5","Laendlicher Raum","","","","",""
"2012","5","Staedtischer Raum","","","","",""
"2013","2","Laendlicher Raum","","","","",""
"2013","2","Staedtischer Raum","","","","",""
"2013","3","Laendlicher Raum","","","","",""
"2013","3","Staedtischer Raum","","","","",""
"2013","4","Laendlicher Raum","","","","",""
"2013","4","Staedtischer Raum","","","","",""
"2013","5","Laendlicher Raum","","","","",""
"2013","5","Staedtischer Raum","","","","",""
"2014","2","Laendlicher Raum","","","","",""
"2014","2","Staedtischer Raum","","","","",""
"2014","3","Laendlicher Raum","","","","",""
"2014","3","Staedtischer Raum","","","","",""
"2014","4","Laendlicher Raum","","","","",""
"2014","4","Staedtischer Raum","","","","",""
"2014","5","Laendlicher Raum","","","","",""
"2014","5","Staedtischer Raum","","","","",""
"2015","2","Laendlicher Raum","","","","",""
"2015","2","Staedtischer Raum","","","","",""
"2015","3","Laendlicher Raum","","","","",""
"2015","3","Staedtischer Raum","","","","",""
"2015","4","Laendlicher Raum","","","","",""
"2015","4","Staedtischer Raum","","","","",""
"2015","5","Laendlicher Raum","","","","",""
"2015","5","Staedtischer Raum","","","","",""
"2016","2","Laendlicher Raum","2.64","1.5","1682","2.57","2.71"
"2016","2","Staedtischer Raum","2.64","1.5","2753","2.59","2.69"
"2016","3","Laendlicher Raum","2.98","2.5","3254","2.93","3.03"
"2016","3","Staedtischer Raum","3.02","2.5","5342","2.98","3.06"
"2016","4","Laendlicher Raum","3.4","2.5","3813","3.35","3.45"
"2016","4","Staedtischer Raum","3.52","2.5","6231","3.48","3.56"
"2016","5","Laendlicher Raum","3.91","3.5","4016","3.86","3.96"
"2016","5","Staedtischer Raum","4.2","3.5","9610","4.17","4.23"
