"plh0192","year","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stimme eher zu","2010","Laendlicher Raum","","","",""
"Lehne eher ab","2010","Staedtischer Raum","","","",""
"Lehne eher ab","2010","Laendlicher Raum","","","",""
"Lehne voll ab","2010","Staedtischer Raum","","","",""
"Lehne voll ab","2010","Laendlicher Raum","","","",""
"Stimme voll zu","2011","Staedtischer Raum","","","",""
"Stimme voll zu","2011","Laendlicher Raum","","","",""
"Stimme eher zu","2011","Staedtischer Raum","","","",""
"Stimme eher zu","2011","Laendlicher Raum","","","",""
"Lehne eher ab","2011","Staedtischer Raum","","","",""
"Lehne eher ab","2011","Laendlicher Raum","","","",""
"Lehne voll ab","2011","Staedtischer Raum","","","",""
"Lehne voll ab","2011","Laendlicher Raum","","","",""
"Stimme voll zu","2012","Staedtischer Raum","","","",""
"Stimme voll zu","2012","Laendlicher Raum","","","",""
"Stimme eher zu","2012","Staedtischer Raum","","","",""
"Stimme eher zu","2012","Laendlicher Raum","","","",""
"Lehne eher ab","2012","Staedtischer Raum","","","",""
"Lehne eher ab","2012","Laendlicher Raum","","","",""
"Lehne voll ab","2012","Staedtischer Raum","","","",""
"Lehne voll ab","2012","Laendlicher Raum","","","",""
"Stimme voll zu","2013","Staedtischer Raum","1181","0.0698652668290075","0.0659274797198678","0.0738030539381471"
"Stimme voll zu","2013","Laendlicher Raum","573","0.0575808209845042","0.0528507133038975","0.0623109286651109"
"Stimme eher zu","2013","Staedtischer Raum","9937","0.60258663329074","0.595027367377477","0.610145899204003"
"Stimme eher zu","2013","Laendlicher Raum","5411","0.568425760154954","0.558368615980194","0.578482904329713"
"Lehne eher ab","2013","Staedtischer Raum","4438","0.290928223978879","0.283912271024401","0.297944176933357"
"Lehne eher ab","2013","Laendlicher Raum","2941","0.330635572043036","0.321083091851271","0.340188052234802"
"Lehne voll ab","2013","Staedtischer Raum","543","0.0366198759013736","0.033718487197086","0.0395212646056612"
"Lehne voll ab","2013","Laendlicher Raum","392","0.043357846817506","0.0392224360576048","0.0474932575774071"
"Stimme voll zu","2014","Staedtischer Raum","","","",""
"Stimme voll zu","2014","Laendlicher Raum","","","",""
"Stimme eher zu","2014","Staedtischer Raum","","","",""
"Stimme eher zu","2014","Laendlicher Raum","","","",""
"Lehne eher ab","2014","Staedtischer Raum","","","",""
"Lehne eher ab","2014","Laendlicher Raum","","","",""
"Lehne voll ab","2014","Staedtischer Raum","","","",""
"Lehne voll ab","2014","Laendlicher Raum","","","",""
"Stimme voll zu","2015","Staedtischer Raum","","","",""
"Stimme voll zu","2015","Laendlicher Raum","","","",""
"Stimme eher zu","2015","Staedtischer Raum","","","",""
"Stimme eher zu","2015","Laendlicher Raum","","","",""
"Lehne eher ab","2015","Staedtischer Raum","","","",""
"Lehne eher ab","2015","Laendlicher Raum","","","",""
"Lehne voll ab","2015","Staedtischer Raum","","","",""
"Lehne voll ab","2015","Laendlicher Raum","","","",""
"Stimme voll zu","2016","Staedtischer Raum","","","",""
"Stimme voll zu","2016","Laendlicher Raum","","","",""
"Stimme eher zu","2016","Staedtischer Raum","","","",""
"Stimme eher zu","2016","Laendlicher Raum","","","",""
"Lehne eher ab","2016","Staedtischer Raum","","","",""
"Lehne eher ab","2016","Laendlicher Raum","","","",""
"Lehne voll ab","2016","Staedtischer Raum","","","",""
"Lehne voll ab","2016","Laendlicher Raum","","","",""
"Stimme voll zu","2017","Staedtischer Raum","","","",""
"Stimme voll zu","2017","Laendlicher Raum","","","",""
"Stimme eher zu","2017","Staedtischer Raum","","","",""
"Stimme eher zu","2017","Laendlicher Raum","","","",""
"Lehne eher ab","2017","Staedtischer Raum","","","",""
"Lehne eher ab","2017","Laendlicher Raum","","","",""
"Lehne voll ab","2017","Staedtischer Raum","","","",""
"Lehne voll ab","2017","Laendlicher Raum","","","",""
"Stimme voll zu","2018","Staedtischer Raum","1842","0.0769496462520823","0.0731452531475567","0.0807540393566079"
"Stimme voll zu","2018","Laendlicher Raum","760","0.0603011259261992","0.0555915464731705","0.0650107053792279"
"Stimme eher zu","2018","Staedtischer Raum","11288","0.607291674950755","0.600320546369436","0.614262803532075"
"Stimme eher zu","2018","Laendlicher Raum","5818","0.602826853650011","0.593146052534369","0.612507654765652"
"Lehne eher ab","2018","Staedtischer Raum","4748","0.274774353862851","0.268402085610472","0.281146622115231"
"Lehne eher ab","2018","Laendlicher Raum","2772","0.300394832438366","0.291325030625606","0.309464634251126"
"Lehne voll ab","2018","Staedtischer Raum","974","0.0409843249343113","0.0381542943995502","0.0438143554690724"
"Lehne voll ab","2018","Laendlicher Raum","464","0.0364771879854243","0.0327681033742225","0.0401862725966261"
