year,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,No,0.48383,3175,7587,0.47259,0.49508
2007,Rural regions,Yes,0.68169,2751,3837,0.66695,0.69643
2007,Rural regions,No,0.31831,1086,3837,0.30357,0.33305
2008,Urban regions,Yes,0.52446,4189,7171,0.51290,0.53602
2008,Urban regions,No,0.47554,2982,7171,0.46398,0.48710
2008,Rural regions,Yes,0.68902,2613,3627,0.67395,0.70408
2008,Rural regions,No,0.31098,1014,3627,0.29592,0.32605
2009,Urban regions,Yes,0.53574,3970,6691,0.52379,0.54769
2009,Urban regions,No,0.46426,2721,6691,0.45231,0.47621
2009,Rural regions,Yes,0.69150,2491,3476,0.67614,0.70685
2009,Rural regions,No,0.30850,985,3476,0.29315,0.32386
2010,Urban regions,Yes,0.53768,5322,9069,0.52742,0.54794
2010,Urban regions,No,0.46232,3747,9069,0.45206,0.47258
2010,Rural regions,Yes,0.69739,3428,4710,0.68426,0.71051
2010,Rural regions,No,0.30261,1282,4710,0.28949,0.31574
2011,Urban regions,Yes,0.53777,6354,10749,0.52834,0.54720
2011,Urban regions,No,0.46223,4395,10749,0.45280,0.47166
2011,Rural regions,Yes,0.70588,4250,5842,0.69420,0.71757
2011,Rural regions,No,0.29412,1592,5842,0.28243,0.30580
2012,Urban regions,Yes,0.54372,6196,10444,0.53417,0.55328
2012,Urban regions,No,0.45628,4248,10444,0.44672,0.46583
2012,Rural regions,Yes,0.68957,4215,5854,0.67772,0.70142
2012,Rural regions,No,0.31043,1639,5854,0.29858,0.32228
2013,Urban regions,Yes,0.55301,6674,11848,0.54406,0.56196
2013,Urban regions,No,0.44699,5174,11848,0.43804,0.45594
2013,Rural regions,Yes,0.68571,4213,6018,0.67398,0.69744
2013,Rural regions,No,0.31429,1805,6018,0.30256,0.32602
2014,Urban regions,Yes,0.56133,6020,10394,0.55179,0.57087
2014,Urban regions,No,0.43867,4374,10394,0.42913,0.44821
2014,Rural regions,Yes,0.68642,3841,5426,0.67408,0.69877
2014,Rural regions,No,0.31358,1585,5426,0.30123,0.32592
2015,Urban regions,Yes,0.54486,5657,10376,0.53527,0.55444
2015,Urban regions,No,0.45514,4719,10376,0.44556,0.46473
2015,Rural regions,Yes,0.67147,3701,5378,0.65892,0.68402
2015,Rural regions,No,0.32853,1677,5378,0.31598,0.34108
2016,Urban regions,Yes,0.53787,5480,10820,0.52848,0.54727
2016,Urban regions,No,0.46213,5340,10820,0.45273,0.47152
2016,Rural regions,Yes,0.68415,3589,5575,0.67194,0.69635
2016,Rural regions,No,0.31585,1986,5575,0.30365,0.32806
2017,Urban regions,Yes,0.54447,6199,12023,0.53557,0.55337
2017,Urban regions,No,0.45553,5824,12023,0.44663,0.46443
2017,Rural regions,Yes,0.68934,4091,6244,0.67786,0.70082
2017,Rural regions,No,0.31066,2153,6244,0.29918,0.32214
2018,Urban regions,Yes,0.54558,5926,11793,0.53659,0.55456
2018,Urban regions,No,0.45442,5867,11793,0.44544,0.46341
2018,Rural regions,Yes,0.68466,3802,5899,0.67280,0.69652
2018,Rural regions,No,0.31534,2097,5899,0.30348,0.32720
2019,Urban regions,Yes,0.55598,5056,9903,0.54619,0.56577
2019,Urban regions,No,0.44402,4847,9903,0.43423,0.45381
2019,Rural regions,Yes,0.69998,3302,5005,0.68728,0.71267
2019,Rural regions,No,0.30002,1703,5005,0.28733,0.31272
2020,Urban regions,Yes,0.55453,6444,13372,0.54611,0.56296
2020,Urban regions,No,0.44547,6928,13372,0.43704,0.45389
2020,Rural regions,Yes,0.70209,3893,5928,0.69045,0.71373
2020,Rural regions,No,0.29791,2035,5928,0.28627,0.30955
2021,Urban regions,Yes,0.55722,3948,7606,0.54605,0.56838
2021,Urban regions,No,0.44278,3658,7606,0.43162,0.45395
2021,Rural regions,Yes,0.69665,2476,3567,0.68156,0.71173
2021,Rural regions,No,0.30335,1091,3567,0.28827,0.31844
2022,Urban regions,Yes,0.56134,7220,13821,0.55307,0.56961
2022,Urban regions,No,0.43866,6601,13821,0.43039,0.44693
2022,Rural regions,Yes,0.72134,4491,6237,0.71021,0.73246
2022,Rural regions,No,0.27866,1746,6237,0.26754,0.28979
