"ple0055","year","sampreg","n","percent","lower_confidence","upper_confidence"
"50","1984","Westdeutschland","","","",""
"50","1984","Ostdeutschland","","","",""
"51","1984","Westdeutschland","","","",""
"51","1984","Ostdeutschland","","","",""
"64","1984","Westdeutschland","","","",""
"64","1984","Ostdeutschland","","","",""
"65","1984","Westdeutschland","","","",""
"65","1984","Ostdeutschland","","","",""
"90","1984","Westdeutschland","","","",""
"90","1984","Ostdeutschland","","","",""
"98","1984","Westdeutschland","","","",""
"98","1984","Ostdeutschland","","","",""
"100","1984","Westdeutschland","","","",""
"100","1984","Ostdeutschland","","","",""
"0","1985","Westdeutschland","","","",""
"0","1985","Ostdeutschland","","","",""
"1","1985","Westdeutschland","952","0.800500699578933","0.777582620370665","0.823418778787201"
"1","1985","Ostdeutschland","","","",""
"2","1985","Westdeutschland","140","0.133270237116861","0.113779192755426","0.152761281478295"
"2","1985","Ostdeutschland","","","",""
"3","1985","Westdeutschland","36","0.029410837506873","0.0197214107468522","0.0391002642668938"
"3","1985","Ostdeutschland","","","",""
"4","1985","Westdeutschland","","","",""
"4","1985","Ostdeutschland","","","",""
"5","1985","Westdeutschland","","","",""
"5","1985","Ostdeutschland","","","",""
"6","1985","Westdeutschland","","","",""
"6","1985","Ostdeutschland","","","",""
"7","1985","Westdeutschland","","","",""
"7","1985","Ostdeutschland","","","",""
"8","1985","Westdeutschland","","","",""
"8","1985","Ostdeutschland","","","",""
"9","1985","Westdeutschland","","","",""
"9","1985","Ostdeutschland","","","",""
"10","1985","Westdeutschland","","","",""
"10","1985","Ostdeutschland","","","",""
"11","1985","Westdeutschland","","","",""
"11","1985","Ostdeutschland","","","",""
"12","1985","Westdeutschland","","","",""
"12","1985","Ostdeutschland","","","",""
"13","1985","Westdeutschland","","","",""
"13","1985","Ostdeutschland","","","",""
"14","1985","Westdeutschland","","","",""
"14","1985","Ostdeutschland","","","",""
"15","1985","Westdeutschland","","","",""
"15","1985","Ostdeutschland","","","",""
"16","1985","Westdeutschland","","","",""
"16","1985","Ostdeutschland","","","",""
"17","1985","Westdeutschland","","","",""
"17","1985","Ostdeutschland","","","",""
"18","1985","Westdeutschland","","","",""
"18","1985","Ostdeutschland","","","",""
"19","1985","Westdeutschland","","","",""
"19","1985","Ostdeutschland","","","",""
"20","1985","Westdeutschland","","","",""
"20","1985","Ostdeutschland","","","",""
"21","1985","Westdeutschland","","","",""
"21","1985","Ostdeutschland","","","",""
"22","1985","Westdeutschland","","","",""
"22","1985","Ostdeutschland","","","",""
"23","1985","Westdeutschland","","","",""
"23","1985","Ostdeutschland","","","",""
"24","1985","Westdeutschland","","","",""
"24","1985","Ostdeutschland","","","",""
"25","1985","Westdeutschland","","","",""
"25","1985","Ostdeutschland","","","",""
"26","1985","Westdeutschland","","","",""
"26","1985","Ostdeutschland","","","",""
"27","1985","Westdeutschland","","","",""
"27","1985","Ostdeutschland","","","",""
"28","1985","Westdeutschland","","","",""
"28","1985","Ostdeutschland","","","",""
"30","1985","Westdeutschland","","","",""
"30","1985","Ostdeutschland","","","",""
"31","1985","Westdeutschland","","","",""
"31","1985","Ostdeutschland","","","",""
"32","1985","Westdeutschland","","","",""
"32","1985","Ostdeutschland","","","",""
"35","1985","Westdeutschland","","","",""
"35","1985","Ostdeutschland","","","",""
"36","1985","Westdeutschland","","","",""
"36","1985","Ostdeutschland","","","",""
"40","1985","Westdeutschland","","","",""
"40","1985","Ostdeutschland","","","",""
"42","1985","Westdeutschland","","","",""
"42","1985","Ostdeutschland","","","",""
"45","1985","Westdeutschland","","","",""
"45","1985","Ostdeutschland","","","",""
"48","1985","Westdeutschland","","","",""
"48","1985","Ostdeutschland","","","",""
"50","1985","Westdeutschland","","","",""
"50","1985","Ostdeutschland","","","",""
"51","1985","Westdeutschland","","","",""
"51","1985","Ostdeutschland","","","",""
"64","1985","Westdeutschland","","","",""
"64","1985","Ostdeutschland","","","",""
"65","1985","Westdeutschland","","","",""
"65","1985","Ostdeutschland","","","",""
"90","1985","Westdeutschland","","","",""
"90","1985","Ostdeutschland","","","",""
"98","1985","Westdeutschland","","","",""
"98","1985","Ostdeutschland","","","",""
"100","1985","Westdeutschland","","","",""
"100","1985","Ostdeutschland","","","",""
"0","1986","Westdeutschland","","","",""
"0","1986","Ostdeutschland","","","",""
"1","1986","Westdeutschland","959","0.798153993493794","0.775358676472772","0.820949310514816"
"1","1986","Ostdeutschland","","","",""
"2","1986","Westdeutschland","156","0.13706432747164","0.117532465737397","0.156596189205883"
"2","1986","Ostdeutschland","","","",""
"3","1986","Westdeutschland","32","0.0291972131279926","0.019635660550485","0.0387587657055002"
"3","1986","Ostdeutschland","","","",""
"4","1986","Westdeutschland","","","",""
"4","1986","Ostdeutschland","","","",""
"5","1986","Westdeutschland","","","",""
"5","1986","Ostdeutschland","","","",""
"6","1986","Westdeutschland","","","",""
"6","1986","Ostdeutschland","","","",""
"7","1986","Westdeutschland","","","",""
"7","1986","Ostdeutschland","","","",""
"8","1986","Westdeutschland","","","",""
"8","1986","Ostdeutschland","","","",""
"9","1986","Westdeutschland","","","",""
"9","1986","Ostdeutschland","","","",""
"10","1986","Westdeutschland","","","",""
"10","1986","Ostdeutschland","","","",""
"11","1986","Westdeutschland","","","",""
"11","1986","Ostdeutschland","","","",""
"12","1986","Westdeutschland","","","",""
"12","1986","Ostdeutschland","","","",""
"13","1986","Westdeutschland","","","",""
"13","1986","Ostdeutschland","","","",""
"14","1986","Westdeutschland","","","",""
"14","1986","Ostdeutschland","","","",""
"15","1986","Westdeutschland","","","",""
"15","1986","Ostdeutschland","","","",""
"16","1986","Westdeutschland","","","",""
"16","1986","Ostdeutschland","","","",""
"17","1986","Westdeutschland","","","",""
"17","1986","Ostdeutschland","","","",""
"18","1986","Westdeutschland","","","",""
"18","1986","Ostdeutschland","","","",""
"19","1986","Westdeutschland","","","",""
"19","1986","Ostdeutschland","","","",""
"20","1986","Westdeutschland","","","",""
"20","1986","Ostdeutschland","","","",""
"21","1986","Westdeutschland","","","",""
"21","1986","Ostdeutschland","","","",""
"22","1986","Westdeutschland","","","",""
"22","1986","Ostdeutschland","","","",""
"23","1986","Westdeutschland","","","",""
"23","1986","Ostdeutschland","","","",""
"24","1986","Westdeutschland","","","",""
"24","1986","Ostdeutschland","","","",""
"25","1986","Westdeutschland","","","",""
"25","1986","Ostdeutschland","","","",""
"26","1986","Westdeutschland","","","",""
"26","1986","Ostdeutschland","","","",""
"27","1986","Westdeutschland","","","",""
"27","1986","Ostdeutschland","","","",""
"28","1986","Westdeutschland","","","",""
"28","1986","Ostdeutschland","","","",""
"30","1986","Westdeutschland","","","",""
"30","1986","Ostdeutschland","","","",""
"31","1986","Westdeutschland","","","",""
"31","1986","Ostdeutschland","","","",""
"32","1986","Westdeutschland","","","",""
"32","1986","Ostdeutschland","","","",""
"35","1986","Westdeutschland","","","",""
"35","1986","Ostdeutschland","","","",""
"36","1986","Westdeutschland","","","",""
"36","1986","Ostdeutschland","","","",""
"40","1986","Westdeutschland","","","",""
"40","1986","Ostdeutschland","","","",""
"42","1986","Westdeutschland","","","",""
"42","1986","Ostdeutschland","","","",""
"45","1986","Westdeutschland","","","",""
"45","1986","Ostdeutschland","","","",""
"48","1986","Westdeutschland","","","",""
"48","1986","Ostdeutschland","","","",""
"50","1986","Westdeutschland","","","",""
"50","1986","Ostdeutschland","","","",""
"51","1986","Westdeutschland","","","",""
"51","1986","Ostdeutschland","","","",""
"64","1986","Westdeutschland","","","",""
"64","1986","Ostdeutschland","","","",""
"65","1986","Westdeutschland","","","",""
"65","1986","Ostdeutschland","","","",""
"90","1986","Westdeutschland","","","",""
"90","1986","Ostdeutschland","","","",""
"98","1986","Westdeutschland","","","",""
"98","1986","Ostdeutschland","","","",""
"100","1986","Westdeutschland","","","",""
"100","1986","Ostdeutschland","","","",""
"0","1987","Westdeutschland","","","",""
"0","1987","Ostdeutschland","","","",""
"1","1987","Westdeutschland","939","0.793765490935738","0.770421668979376","0.817109312892101"
"1","1987","Ostdeutschland","","","",""
"2","1987","Westdeutschland","136","0.13162338914166","0.112117498729113","0.151129279554206"
"2","1987","Ostdeutschland","","","",""
"3","1987","Westdeutschland","31","0.0319322269911852","0.021788146844021","0.0420763071383493"
"3","1987","Ostdeutschland","","","",""
"4","1987","Westdeutschland","","","",""
"4","1987","Ostdeutschland","","","",""
"5","1987","Westdeutschland","","","",""
"5","1987","Ostdeutschland","","","",""
"6","1987","Westdeutschland","","","",""
"6","1987","Ostdeutschland","","","",""
"7","1987","Westdeutschland","","","",""
"7","1987","Ostdeutschland","","","",""
"8","1987","Westdeutschland","","","",""
"8","1987","Ostdeutschland","","","",""
"9","1987","Westdeutschland","","","",""
"9","1987","Ostdeutschland","","","",""
"10","1987","Westdeutschland","","","",""
"10","1987","Ostdeutschland","","","",""
"11","1987","Westdeutschland","","","",""
"11","1987","Ostdeutschland","","","",""
"12","1987","Westdeutschland","","","",""
"12","1987","Ostdeutschland","","","",""
"13","1987","Westdeutschland","","","",""
"13","1987","Ostdeutschland","","","",""
"14","1987","Westdeutschland","","","",""
"14","1987","Ostdeutschland","","","",""
"15","1987","Westdeutschland","","","",""
"15","1987","Ostdeutschland","","","",""
"16","1987","Westdeutschland","","","",""
"16","1987","Ostdeutschland","","","",""
"17","1987","Westdeutschland","","","",""
"17","1987","Ostdeutschland","","","",""
"18","1987","Westdeutschland","","","",""
"18","1987","Ostdeutschland","","","",""
"19","1987","Westdeutschland","","","",""
"19","1987","Ostdeutschland","","","",""
"20","1987","Westdeutschland","","","",""
"20","1987","Ostdeutschland","","","",""
"21","1987","Westdeutschland","","","",""
"21","1987","Ostdeutschland","","","",""
"22","1987","Westdeutschland","","","",""
"22","1987","Ostdeutschland","","","",""
"23","1987","Westdeutschland","","","",""
"23","1987","Ostdeutschland","","","",""
"24","1987","Westdeutschland","","","",""
"24","1987","Ostdeutschland","","","",""
"25","1987","Westdeutschland","","","",""
"25","1987","Ostdeutschland","","","",""
"26","1987","Westdeutschland","","","",""
"26","1987","Ostdeutschland","","","",""
"27","1987","Westdeutschland","","","",""
"27","1987","Ostdeutschland","","","",""
"28","1987","Westdeutschland","","","",""
"28","1987","Ostdeutschland","","","",""
"30","1987","Westdeutschland","","","",""
"30","1987","Ostdeutschland","","","",""
"31","1987","Westdeutschland","","","",""
"31","1987","Ostdeutschland","","","",""
"32","1987","Westdeutschland","","","",""
"32","1987","Ostdeutschland","","","",""
"35","1987","Westdeutschland","","","",""
"35","1987","Ostdeutschland","","","",""
"36","1987","Westdeutschland","","","",""
"36","1987","Ostdeutschland","","","",""
"40","1987","Westdeutschland","","","",""
"40","1987","Ostdeutschland","","","",""
"42","1987","Westdeutschland","","","",""
"42","1987","Ostdeutschland","","","",""
"45","1987","Westdeutschland","","","",""
"45","1987","Ostdeutschland","","","",""
"48","1987","Westdeutschland","","","",""
"48","1987","Ostdeutschland","","","",""
"50","1987","Westdeutschland","","","",""
"50","1987","Ostdeutschland","","","",""
"51","1987","Westdeutschland","","","",""
"51","1987","Ostdeutschland","","","",""
"64","1987","Westdeutschland","","","",""
"64","1987","Ostdeutschland","","","",""
"65","1987","Westdeutschland","","","",""
"65","1987","Ostdeutschland","","","",""
"90","1987","Westdeutschland","","","",""
"90","1987","Ostdeutschland","","","",""
"98","1987","Westdeutschland","","","",""
"98","1987","Ostdeutschland","","","",""
"100","1987","Westdeutschland","","","",""
"100","1987","Ostdeutschland","","","",""
"0","1988","Westdeutschland","","","",""
"0","1988","Ostdeutschland","","","",""
"1","1988","Westdeutschland","892","0.791878599281852","0.768060688347743","0.815696510215961"
"1","1988","Ostdeutschland","","","",""
"2","1988","Westdeutschland","138","0.126419722673335","0.106922407118267","0.145917038228402"
"2","1988","Ostdeutschland","","","",""
"3","1988","Westdeutschland","40","0.0428668184745242","0.0309828140211129","0.0547508229279356"
"3","1988","Ostdeutschland","","","",""
"4","1988","Westdeutschland","","","",""
"4","1988","Ostdeutschland","","","",""
"5","1988","Westdeutschland","","","",""
"5","1988","Ostdeutschland","","","",""
"6","1988","Westdeutschland","","","",""
"6","1988","Ostdeutschland","","","",""
"7","1988","Westdeutschland","","","",""
"7","1988","Ostdeutschland","","","",""
"8","1988","Westdeutschland","","","",""
"8","1988","Ostdeutschland","","","",""
"9","1988","Westdeutschland","","","",""
"9","1988","Ostdeutschland","","","",""
"10","1988","Westdeutschland","","","",""
"10","1988","Ostdeutschland","","","",""
"11","1988","Westdeutschland","","","",""
"11","1988","Ostdeutschland","","","",""
"12","1988","Westdeutschland","","","",""
"12","1988","Ostdeutschland","","","",""
"13","1988","Westdeutschland","","","",""
"13","1988","Ostdeutschland","","","",""
"14","1988","Westdeutschland","","","",""
"14","1988","Ostdeutschland","","","",""
"15","1988","Westdeutschland","","","",""
"15","1988","Ostdeutschland","","","",""
"16","1988","Westdeutschland","","","",""
"16","1988","Ostdeutschland","","","",""
"17","1988","Westdeutschland","","","",""
"17","1988","Ostdeutschland","","","",""
"18","1988","Westdeutschland","","","",""
"18","1988","Ostdeutschland","","","",""
"19","1988","Westdeutschland","","","",""
"19","1988","Ostdeutschland","","","",""
"20","1988","Westdeutschland","","","",""
"20","1988","Ostdeutschland","","","",""
"21","1988","Westdeutschland","","","",""
"21","1988","Ostdeutschland","","","",""
"22","1988","Westdeutschland","","","",""
"22","1988","Ostdeutschland","","","",""
"23","1988","Westdeutschland","","","",""
"23","1988","Ostdeutschland","","","",""
"24","1988","Westdeutschland","","","",""
"24","1988","Ostdeutschland","","","",""
"25","1988","Westdeutschland","","","",""
"25","1988","Ostdeutschland","","","",""
"26","1988","Westdeutschland","","","",""
"26","1988","Ostdeutschland","","","",""
"27","1988","Westdeutschland","","","",""
"27","1988","Ostdeutschland","","","",""
"28","1988","Westdeutschland","","","",""
"28","1988","Ostdeutschland","","","",""
"30","1988","Westdeutschland","","","",""
"30","1988","Ostdeutschland","","","",""
"31","1988","Westdeutschland","","","",""
"31","1988","Ostdeutschland","","","",""
"32","1988","Westdeutschland","","","",""
"32","1988","Ostdeutschland","","","",""
"35","1988","Westdeutschland","","","",""
"35","1988","Ostdeutschland","","","",""
"36","1988","Westdeutschland","","","",""
"36","1988","Ostdeutschland","","","",""
"40","1988","Westdeutschland","","","",""
"40","1988","Ostdeutschland","","","",""
"42","1988","Westdeutschland","","","",""
"42","1988","Ostdeutschland","","","",""
"45","1988","Westdeutschland","","","",""
"45","1988","Ostdeutschland","","","",""
"48","1988","Westdeutschland","","","",""
"48","1988","Ostdeutschland","","","",""
"50","1988","Westdeutschland","","","",""
"50","1988","Ostdeutschland","","","",""
"51","1988","Westdeutschland","","","",""
"51","1988","Ostdeutschland","","","",""
"64","1988","Westdeutschland","","","",""
"64","1988","Ostdeutschland","","","",""
"65","1988","Westdeutschland","","","",""
"65","1988","Ostdeutschland","","","",""
"90","1988","Westdeutschland","","","",""
"90","1988","Ostdeutschland","","","",""
"98","1988","Westdeutschland","","","",""
"98","1988","Ostdeutschland","","","",""
"100","1988","Westdeutschland","","","",""
"100","1988","Ostdeutschland","","","",""
"0","1989","Westdeutschland","","","",""
"0","1989","Ostdeutschland","","","",""
"1","1989","Westdeutschland","849","0.792862821385441","0.768292094712293","0.817433548058589"
"1","1989","Ostdeutschland","","","",""
"2","1989","Westdeutschland","128","0.134100054476896","0.113439675714011","0.154760433239782"
"2","1989","Ostdeutschland","","","",""
"3","1989","Westdeutschland","36","0.0372406166878939","0.0257602104000328","0.048721022975755"
"3","1989","Ostdeutschland","","","",""
"4","1989","Westdeutschland","","","",""
"4","1989","Ostdeutschland","","","",""
"5","1989","Westdeutschland","","","",""
"5","1989","Ostdeutschland","","","",""
"6","1989","Westdeutschland","","","",""
"6","1989","Ostdeutschland","","","",""
"7","1989","Westdeutschland","","","",""
"7","1989","Ostdeutschland","","","",""
"8","1989","Westdeutschland","","","",""
"8","1989","Ostdeutschland","","","",""
"9","1989","Westdeutschland","","","",""
"9","1989","Ostdeutschland","","","",""
"10","1989","Westdeutschland","","","",""
"10","1989","Ostdeutschland","","","",""
"11","1989","Westdeutschland","","","",""
"11","1989","Ostdeutschland","","","",""
"12","1989","Westdeutschland","","","",""
"12","1989","Ostdeutschland","","","",""
"13","1989","Westdeutschland","","","",""
"13","1989","Ostdeutschland","","","",""
"14","1989","Westdeutschland","","","",""
"14","1989","Ostdeutschland","","","",""
"15","1989","Westdeutschland","","","",""
"15","1989","Ostdeutschland","","","",""
"16","1989","Westdeutschland","","","",""
"16","1989","Ostdeutschland","","","",""
"17","1989","Westdeutschland","","","",""
"17","1989","Ostdeutschland","","","",""
"18","1989","Westdeutschland","","","",""
"18","1989","Ostdeutschland","","","",""
"19","1989","Westdeutschland","","","",""
"19","1989","Ostdeutschland","","","",""
"20","1989","Westdeutschland","","","",""
"20","1989","Ostdeutschland","","","",""
"21","1989","Westdeutschland","","","",""
"21","1989","Ostdeutschland","","","",""
"22","1989","Westdeutschland","","","",""
"22","1989","Ostdeutschland","","","",""
"23","1989","Westdeutschland","","","",""
"23","1989","Ostdeutschland","","","",""
"24","1989","Westdeutschland","","","",""
"24","1989","Ostdeutschland","","","",""
"25","1989","Westdeutschland","","","",""
"25","1989","Ostdeutschland","","","",""
"26","1989","Westdeutschland","","","",""
"26","1989","Ostdeutschland","","","",""
"27","1989","Westdeutschland","","","",""
"27","1989","Ostdeutschland","","","",""
"28","1989","Westdeutschland","","","",""
"28","1989","Ostdeutschland","","","",""
"30","1989","Westdeutschland","","","",""
"30","1989","Ostdeutschland","","","",""
"31","1989","Westdeutschland","","","",""
"31","1989","Ostdeutschland","","","",""
"32","1989","Westdeutschland","","","",""
"32","1989","Ostdeutschland","","","",""
"35","1989","Westdeutschland","","","",""
"35","1989","Ostdeutschland","","","",""
"36","1989","Westdeutschland","","","",""
"36","1989","Ostdeutschland","","","",""
"40","1989","Westdeutschland","","","",""
"40","1989","Ostdeutschland","","","",""
"42","1989","Westdeutschland","","","",""
"42","1989","Ostdeutschland","","","",""
"45","1989","Westdeutschland","","","",""
"45","1989","Ostdeutschland","","","",""
"48","1989","Westdeutschland","","","",""
"48","1989","Ostdeutschland","","","",""
"50","1989","Westdeutschland","","","",""
"50","1989","Ostdeutschland","","","",""
"51","1989","Westdeutschland","","","",""
"51","1989","Ostdeutschland","","","",""
"64","1989","Westdeutschland","","","",""
"64","1989","Ostdeutschland","","","",""
"65","1989","Westdeutschland","","","",""
"65","1989","Ostdeutschland","","","",""
"90","1989","Westdeutschland","","","",""
"90","1989","Ostdeutschland","","","",""
"98","1989","Westdeutschland","","","",""
"98","1989","Ostdeutschland","","","",""
"100","1989","Westdeutschland","","","",""
"100","1989","Ostdeutschland","","","",""
"0","1990","Westdeutschland","","","",""
"0","1990","Ostdeutschland","","","",""
"1","1990","Westdeutschland","","","",""
"1","1990","Ostdeutschland","","","",""
"2","1990","Westdeutschland","","","",""
"2","1990","Ostdeutschland","","","",""
"3","1990","Westdeutschland","","","",""
"3","1990","Ostdeutschland","","","",""
"4","1990","Westdeutschland","","","",""
"4","1990","Ostdeutschland","","","",""
"5","1990","Westdeutschland","","","",""
"5","1990","Ostdeutschland","","","",""
"6","1990","Westdeutschland","","","",""
"6","1990","Ostdeutschland","","","",""
"7","1990","Westdeutschland","","","",""
"7","1990","Ostdeutschland","","","",""
"8","1990","Westdeutschland","","","",""
"8","1990","Ostdeutschland","","","",""
"9","1990","Westdeutschland","","","",""
"9","1990","Ostdeutschland","","","",""
"10","1990","Westdeutschland","","","",""
"10","1990","Ostdeutschland","","","",""
"11","1990","Westdeutschland","","","",""
"11","1990","Ostdeutschland","","","",""
"12","1990","Westdeutschland","","","",""
"12","1990","Ostdeutschland","","","",""
"13","1990","Westdeutschland","","","",""
"13","1990","Ostdeutschland","","","",""
"14","1990","Westdeutschland","","","",""
"14","1990","Ostdeutschland","","","",""
"15","1990","Westdeutschland","","","",""
"15","1990","Ostdeutschland","","","",""
"16","1990","Westdeutschland","","","",""
"16","1990","Ostdeutschland","","","",""
"17","1990","Westdeutschland","","","",""
"17","1990","Ostdeutschland","","","",""
"18","1990","Westdeutschland","","","",""
"18","1990","Ostdeutschland","","","",""
"19","1990","Westdeutschland","","","",""
"19","1990","Ostdeutschland","","","",""
"20","1990","Westdeutschland","","","",""
"20","1990","Ostdeutschland","","","",""
"21","1990","Westdeutschland","","","",""
"21","1990","Ostdeutschland","","","",""
"22","1990","Westdeutschland","","","",""
"22","1990","Ostdeutschland","","","",""
"23","1990","Westdeutschland","","","",""
"23","1990","Ostdeutschland","","","",""
"24","1990","Westdeutschland","","","",""
"24","1990","Ostdeutschland","","","",""
"25","1990","Westdeutschland","","","",""
"25","1990","Ostdeutschland","","","",""
"26","1990","Westdeutschland","","","",""
"26","1990","Ostdeutschland","","","",""
"27","1990","Westdeutschland","","","",""
"27","1990","Ostdeutschland","","","",""
"28","1990","Westdeutschland","","","",""
"28","1990","Ostdeutschland","","","",""
"30","1990","Westdeutschland","","","",""
"30","1990","Ostdeutschland","","","",""
"31","1990","Westdeutschland","","","",""
"31","1990","Ostdeutschland","","","",""
"32","1990","Westdeutschland","","","",""
"32","1990","Ostdeutschland","","","",""
"35","1990","Westdeutschland","","","",""
"35","1990","Ostdeutschland","","","",""
"36","1990","Westdeutschland","","","",""
"36","1990","Ostdeutschland","","","",""
"40","1990","Westdeutschland","","","",""
"40","1990","Ostdeutschland","","","",""
"42","1990","Westdeutschland","","","",""
"42","1990","Ostdeutschland","","","",""
"45","1990","Westdeutschland","","","",""
"45","1990","Ostdeutschland","","","",""
"48","1990","Westdeutschland","","","",""
"48","1990","Ostdeutschland","","","",""
"50","1990","Westdeutschland","","","",""
"50","1990","Ostdeutschland","","","",""
"51","1990","Westdeutschland","","","",""
"51","1990","Ostdeutschland","","","",""
"64","1990","Westdeutschland","","","",""
"64","1990","Ostdeutschland","","","",""
"65","1990","Westdeutschland","","","",""
"65","1990","Ostdeutschland","","","",""
"90","1990","Westdeutschland","","","",""
"90","1990","Ostdeutschland","","","",""
"98","1990","Westdeutschland","","","",""
"98","1990","Ostdeutschland","","","",""
"100","1990","Westdeutschland","","","",""
"100","1990","Ostdeutschland","","","",""
"0","1991","Westdeutschland","","","",""
"0","1991","Ostdeutschland","","","",""
"1","1991","Westdeutschland","859","0.763845418924345","0.738503570136164","0.789187267712527"
"1","1991","Ostdeutschland","","","",""
"2","1991","Westdeutschland","142","0.146228899855202","0.125146274077269","0.167311525633135"
"2","1991","Ostdeutschland","","","",""
"3","1991","Westdeutschland","39","0.0473333611589042","0.0346629263223361","0.0600037959954723"
"3","1991","Ostdeutschland","","","",""
"4","1991","Westdeutschland","","","",""
"4","1991","Ostdeutschland","","","",""
"5","1991","Westdeutschland","","","",""
"5","1991","Ostdeutschland","","","",""
"6","1991","Westdeutschland","","","",""
"6","1991","Ostdeutschland","","","",""
"7","1991","Westdeutschland","","","",""
"7","1991","Ostdeutschland","","","",""
"8","1991","Westdeutschland","","","",""
"8","1991","Ostdeutschland","","","",""
"9","1991","Westdeutschland","","","",""
"9","1991","Ostdeutschland","","","",""
"10","1991","Westdeutschland","","","",""
"10","1991","Ostdeutschland","","","",""
"11","1991","Westdeutschland","","","",""
"11","1991","Ostdeutschland","","","",""
"12","1991","Westdeutschland","","","",""
"12","1991","Ostdeutschland","","","",""
"13","1991","Westdeutschland","","","",""
"13","1991","Ostdeutschland","","","",""
"14","1991","Westdeutschland","","","",""
"14","1991","Ostdeutschland","","","",""
"15","1991","Westdeutschland","","","",""
"15","1991","Ostdeutschland","","","",""
"16","1991","Westdeutschland","","","",""
"16","1991","Ostdeutschland","","","",""
"17","1991","Westdeutschland","","","",""
"17","1991","Ostdeutschland","","","",""
"18","1991","Westdeutschland","","","",""
"18","1991","Ostdeutschland","","","",""
"19","1991","Westdeutschland","","","",""
"19","1991","Ostdeutschland","","","",""
"20","1991","Westdeutschland","","","",""
"20","1991","Ostdeutschland","","","",""
"21","1991","Westdeutschland","","","",""
"21","1991","Ostdeutschland","","","",""
"22","1991","Westdeutschland","","","",""
"22","1991","Ostdeutschland","","","",""
"23","1991","Westdeutschland","","","",""
"23","1991","Ostdeutschland","","","",""
"24","1991","Westdeutschland","","","",""
"24","1991","Ostdeutschland","","","",""
"25","1991","Westdeutschland","","","",""
"25","1991","Ostdeutschland","","","",""
"26","1991","Westdeutschland","","","",""
"26","1991","Ostdeutschland","","","",""
"27","1991","Westdeutschland","","","",""
"27","1991","Ostdeutschland","","","",""
"28","1991","Westdeutschland","","","",""
"28","1991","Ostdeutschland","","","",""
"30","1991","Westdeutschland","","","",""
