"ple0055","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"7","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"7","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"7","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"7","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"7","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"8","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"8","1985","kein Migrationshintergrund","Laendlicher Raum","1","","",""
"8","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"8","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"8","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"8","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"8","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"8","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"9","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"9","1985","kein Migrationshintergrund","Laendlicher Raum","1","","",""
"9","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"9","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"9","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"9","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"9","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"9","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"10","1985","kein Migrationshintergrund","Staedtischer Raum","2","","",""
"10","1985","kein Migrationshintergrund","Laendlicher Raum","1","","",""
"10","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"10","1985","direkter Migrationshintergrund","Laendlicher Raum","1","","",""
"10","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"10","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"10","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"10","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"11","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"11","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"11","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"11","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"11","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"11","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"11","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"11","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"12","1985","kein Migrationshintergrund","Staedtischer Raum","1","","",""
"12","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"12","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"12","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"12","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"12","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"12","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"12","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"13","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"13","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"13","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"13","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"13","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"13","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"13","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"13","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"14","1985","kein Migrationshintergrund","Staedtischer Raum","3","","",""
"14","1985","kein Migrationshintergrund","Laendlicher Raum","2","","",""
"14","1985","direkter Migrationshintergrund","Staedtischer Raum","1","","",""
"14","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"14","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"14","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"14","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"14","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"15","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"15","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"15","1985","direkter Migrationshintergrund","Staedtischer Raum","1","","",""
"15","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"15","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"15","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"15","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"15","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"16","1985","kein Migrationshintergrund","Staedtischer Raum","1","","",""
"16","1985","kein Migrationshintergrund","Laendlicher Raum","1","","",""
"16","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"16","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"16","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"16","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"16","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"16","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"17","1985","kein Migrationshintergrund","Staedtischer Raum","1","","",""
"17","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"17","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"17","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"17","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"17","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"17","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"17","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"18","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"18","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"18","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"18","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"18","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"18","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"18","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"18","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"19","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"19","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"19","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"19","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"19","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"19","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"19","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"19","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"20","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"20","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"20","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"20","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"20","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"20","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"20","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"20","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"21","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"21","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"21","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"21","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"21","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"21","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"21","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"21","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"22","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"22","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"22","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"22","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"22","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"22","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"22","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"22","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"23","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"23","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"23","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"23","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"23","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"23","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"23","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"23","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"24","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"24","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"24","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"24","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"24","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"24","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"24","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"24","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"25","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"25","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"25","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"25","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"25","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"25","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"25","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"25","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"26","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"26","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"26","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"26","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"26","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"26","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"26","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"26","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"27","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"27","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"27","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"27","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"27","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"27","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"27","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"27","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"28","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"28","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"28","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"28","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"28","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"28","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"28","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"28","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"30","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"30","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"30","1985","direkter Migrationshintergrund","Staedtischer Raum","1","","",""
"30","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"30","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"30","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"30","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"30","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"31","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"31","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"31","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"31","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"31","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"31","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"31","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"31","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"32","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"32","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"32","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"32","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"32","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"32","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"32","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"32","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"35","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"35","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"35","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"35","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"35","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"35","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"35","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"35","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"36","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"36","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"36","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"36","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"36","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"36","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"36","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"36","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"40","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"40","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"40","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"40","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"40","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"40","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"40","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"40","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"42","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"42","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"42","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"42","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"42","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"42","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"42","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"42","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"45","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"45","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"45","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"45","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"45","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"45","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"45","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"45","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"48","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"48","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"48","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"48","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"48","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"48","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"48","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"48","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"50","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"50","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"50","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"50","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"50","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"50","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"50","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"50","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"51","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"51","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"51","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"51","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"51","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"51","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"51","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"51","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"64","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"64","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"64","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"64","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"64","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"64","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"64","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"64","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"65","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"65","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"65","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"65","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"65","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"65","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"65","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"65","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"90","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"90","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"90","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"90","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"90","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"90","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"90","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"90","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"98","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"98","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"98","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"98","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"98","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"98","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"98","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"98","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"100","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"100","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"100","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"100","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"100","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"100","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"100","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"100","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"0","1986","kein Migrationshintergrund","Staedtischer Raum","2","","",""
"0","1986","kein Migrationshintergrund","Laendlicher Raum","","","",""
"0","1986","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"0","1986","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"0","1986","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"0","1986","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"0","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"0","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"1","1986","kein Migrationshintergrund","Staedtischer Raum","484","0.789218850117872","0.756905127738001","0.821532572497743"
"1","1986","kein Migrationshintergrund","Laendlicher Raum","157","","",""
"1","1986","direkter Migrationshintergrund","Staedtischer Raum","272","","",""
"1","1986","direkter Migrationshintergrund","Laendlicher Raum","30","0.670289721493351","0.526392076745281","0.814187366241421"
"1","1986","indirekter Migrationshintergrund","Staedtischer Raum","14","","",""
"1","1986","indirekter Migrationshintergrund","Laendlicher Raum","2","","",""
"1","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"1","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"2","1986","kein Migrationshintergrund","Staedtischer Raum","82","0.137701017685425","0.110400562278746","0.165001473092104"
"2","1986","kein Migrationshintergrund","Laendlicher Raum","29","","",""
