year,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Urban regions,(2) Intermediate General/Vocational Qualification,0.16888,1382,8212,0.16077,0.17698
1986,Urban regions,(2c_gen) General Maturity Certificate,0.03202,347,8212,0.02821,0.03583
1986,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03507,341,8212,0.03109,0.03905
1986,Urban regions,(3a) Lower Tertiary Education,0.02578,206,8212,0.02235,0.02921
1986,Urban regions,(3b) Higher Tertiary Education,0.04433,418,8212,0.03988,0.04879
1986,Rural regions,(1a) Inadequately completed,0.01610,105,2212,0.01086,0.02135
1986,Rural regions,(1b) General Elementary School,0.22272,610,2212,0.20537,0.24006
1986,Rural regions,(1c) Basic Vocational Qualification,0.32919,862,2212,0.30960,0.34878
1986,Rural regions,(2) Intermediate General/Vocational Qualification,0.15562,390,2212,0.14051,0.17073
1986,Rural regions,(2c_gen) General Maturity Certificate,0.01749,52,2212,0.01202,0.02295
1986,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02401,68,2212,0.01763,0.03039
1986,Rural regions,(3a) Lower Tertiary Education,0.01564,41,2212,0.01047,0.02082
1986,Rural regions,(3b) Higher Tertiary Education,0.03121,84,2212,0.02396,0.03846
1987,Urban regions,(0) No qualification (yet),0.01287,166,8099,0.01042,0.01533
1987,Urban regions,(1a) Inadequately completed,0.02162,713,8099,0.01845,0.02479
1987,Urban regions,(1b) General Elementary School,0.17441,1844,8099,0.16614,0.18267
1987,Urban regions,(1c) Basic Vocational Qualification,0.31849,2725,8099,0.30834,0.32863
1987,Urban regions,(2) Intermediate General/Vocational Qualification,0.16601,1361,8099,0.15791,0.17412
1987,Urban regions,(2c_gen) General Maturity Certificate,0.03072,329,8099,0.02696,0.03447
1987,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03686,343,8099,0.03275,0.04096
1987,Urban regions,(3a) Lower Tertiary Education,0.02654,205,8099,0.02304,0.03004
1987,Urban regions,(3b) Higher Tertiary Education,0.04543,413,8099,0.04090,0.04997
1987,Rural regions,(1a) Inadequately completed,0.01278,98,2175,0.00806,0.01751
1987,Rural regions,(1b) General Elementary School,0.21589,591,2175,0.19859,0.23318
1987,Rural regions,(1c) Basic Vocational Qualification,0.33050,856,2175,0.31073,0.35027
1987,Rural regions,(2) Intermediate General/Vocational Qualification,0.15816,398,2175,0.14282,0.17350
1987,Rural regions,(2c_gen) General Maturity Certificate,0.01737,50,2175,0.01188,0.02286
1987,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02086,58,2175,0.01485,0.02687
1987,Rural regions,(3a) Lower Tertiary Education,0.01707,44,2175,0.01163,0.02252
1987,Rural regions,(3b) Higher Tertiary Education,0.03116,80,2175,0.02386,0.03846
1988,Urban regions,(0) No qualification (yet),0.01228,134,7734,0.00982,0.01473
1988,Urban regions,(1a) Inadequately completed,0.01964,651,7734,0.01654,0.02273
1988,Urban regions,(1b) General Elementary School,0.17043,1783,7734,0.16205,0.17881
1988,Urban regions,(1c) Basic Vocational Qualification,0.31820,2609,7734,0.30782,0.32858
1988,Urban regions,(2) Intermediate General/Vocational Qualification,0.16763,1326,7734,0.15931,0.17596
1988,Urban regions,(2c_gen) General Maturity Certificate,0.03038,306,7734,0.02655,0.03420
1988,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03821,335,7734,0.03394,0.04248
1988,Urban regions,(3a) Lower Tertiary Education,0.02556,189,7734,0.02204,0.02908
1988,Urban regions,(3b) Higher Tertiary Education,0.04810,401,7734,0.04333,0.05287
1988,Rural regions,(1a) Inadequately completed,0.01327,94,2029,0.00829,0.01825
1988,Rural regions,(1b) General Elementary School,0.21118,540,2029,0.19341,0.22894
1988,Rural regions,(1c) Basic Vocational Qualification,0.33923,812,2029,0.31863,0.35984
1988,Rural regions,(2) Intermediate General/Vocational Qualification,0.15512,375,2029,0.13937,0.17088
1988,Rural regions,(2c_gen) General Maturity Certificate,0.01712,43,2029,0.01147,0.02276
1988,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02107,53,2029,0.01482,0.02732
1988,Rural regions,(3a) Lower Tertiary Education,0.01781,44,2029,0.01205,0.02357
1988,Rural regions,(3b) Higher Tertiary Education,0.02707,68,2029,0.02001,0.03413
1989,Urban regions,(0) No qualification (yet),0.01459,149,7538,0.01188,0.01729
1989,Urban regions,(1a) Inadequately completed,0.02022,626,7538,0.01705,0.02340
1989,Urban regions,(1b) General Elementary School,0.16843,1705,7538,0.15998,0.17688
1989,Urban regions,(1c) Basic Vocational Qualification,0.31224,2516,7538,0.30178,0.32270
1989,Urban regions,(2) Intermediate General/Vocational Qualification,0.16849,1297,7538,0.16004,0.17694
1989,Urban regions,(2c_gen) General Maturity Certificate,0.03064,310,7538,0.02675,0.03453
1989,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04064,347,7538,0.03618,0.04510
1989,Urban regions,(3a) Lower Tertiary Education,0.02637,190,7538,0.02275,0.02998
1989,Urban regions,(3b) Higher Tertiary Education,0.04969,398,7538,0.04478,0.05459
1989,Rural regions,(1a) Inadequately completed,0.01371,86,1920,0.00851,0.01892
1989,Rural regions,(1b) General Elementary School,0.20348,499,1920,0.18547,0.22149
1989,Rural regions,(1c) Basic Vocational Qualification,0.34173,774,1920,0.32051,0.36295
1989,Rural regions,(2) Intermediate General/Vocational Qualification,0.15042,354,1920,0.13443,0.16642
1989,Rural regions,(2c_gen) General Maturity Certificate,0.01739,42,1920,0.01154,0.02324
1989,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02171,55,1920,0.01519,0.02823
1989,Rural regions,(3a) Lower Tertiary Education,0.01893,42,1920,0.01283,0.02503
1989,Rural regions,(3b) Higher Tertiary Education,0.03115,68,1920,0.02338,0.03892
1990,Urban regions,(0) No qualification (yet),0.01097,134,8782,0.00879,0.01315
1990,Urban regions,(1a) Inadequately completed,0.01984,608,8782,0.01692,0.02276
1990,Urban regions,(1b) General Elementary School,0.15338,1753,8782,0.14584,0.16092
1990,Urban regions,(1c) Basic Vocational Qualification,0.29862,2836,8782,0.28905,0.30819
1990,Urban regions,(2) Intermediate General/Vocational Qualification,0.17657,1768,8782,0.16859,0.18454
1990,Urban regions,(2c_gen) General Maturity Certificate,0.02828,311,8782,0.02481,0.03174
1990,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03906,388,8782,0.03501,0.04311
1990,Urban regions,(3a) Lower Tertiary Education,0.03603,418,8782,0.03213,0.03993
1990,Urban regions,(3b) Higher Tertiary Education,0.05526,566,8782,0.05048,0.06004
1990,Rural regions,(1a) Inadequately completed,0.01198,119,4780,0.00890,0.01507
1990,Rural regions,(1b) General Elementary School,0.14996,712,4780,0.13984,0.16008
1990,Rural regions,(1c) Basic Vocational Qualification,0.31580,1690,4780,0.30262,0.32898
1990,Rural regions,(2) Intermediate General/Vocational Qualification,0.19929,1394,4780,0.18797,0.21062
1990,Rural regions,(2c_gen) General Maturity Certificate,0.01344,72,4780,0.01017,0.01670
1990,Rural regions,(2c_voc) Vocational Maturity Certificate,0.01852,105,4780,0.01470,0.02234
1990,Rural regions,(3a) Lower Tertiary Education,0.05379,460,4780,0.04739,0.06018
1990,Rural regions,(3b) Higher Tertiary Education,0.03408,228,4780,0.02893,0.03922
1991,Urban regions,(0) No qualification (yet),0.01003,122,8577,0.00792,0.01213
1991,Urban regions,(1a) Inadequately completed,0.02082,599,8577,0.01780,0.02385
1991,Urban regions,(1b) General Elementary School,0.14763,1660,8577,0.14012,0.15514
1991,Urban regions,(1c) Basic Vocational Qualification,0.29305,2765,8577,0.28342,0.30269
1991,Urban regions,(2) Intermediate General/Vocational Qualification,0.17908,1746,8577,0.17096,0.18719
1991,Urban regions,(2c_gen) General Maturity Certificate,0.02674,309,8577,0.02332,0.03015
1991,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04107,397,8577,0.03687,0.04527
1991,Urban regions,(3a) Lower Tertiary Education,0.03926,419,8577,0.03515,0.04337
1991,Urban regions,(3b) Higher Tertiary Education,0.05749,560,8577,0.05257,0.06242
1991,Rural regions,(0) No qualification (yet),0.00762,31,4685,0.00513,0.01011
1991,Rural regions,(1a) Inadequately completed,0.01300,126,4685,0.00976,0.01624
1991,Rural regions,(1b) General Elementary School,0.14583,683,4685,0.13572,0.15594
1991,Rural regions,(1c) Basic Vocational Qualification,0.31451,1621,4685,0.30122,0.32781
1991,Rural regions,(2) Intermediate General/Vocational Qualification,0.20169,1363,4685,0.19020,0.21318
1991,Rural regions,(2c_gen) General Maturity Certificate,0.01457,76,4685,0.01114,0.01800
1991,Rural regions,(2c_voc) Vocational Maturity Certificate,0.01880,106,4685,0.01491,0.02269
1991,Rural regions,(3a) Lower Tertiary Education,0.05578,453,4685,0.04921,0.06235
1991,Rural regions,(3b) Higher Tertiary Education,0.03785,226,4685,0.03239,0.04332
1992,Urban regions,(0) No qualification (yet),0.00969,121,8458,0.00760,0.01178
1992,Urban regions,(1a) Inadequately completed,0.02182,581,8458,0.01870,0.02493
1992,Urban regions,(1b) General Elementary School,0.14457,1611,8458,0.13708,0.15207
1992,Urban regions,(1c) Basic Vocational Qualification,0.29054,2713,8458,0.28086,0.30022
1992,Urban regions,(2) Intermediate General/Vocational Qualification,0.17834,1729,8458,0.17018,0.18650
1992,Urban regions,(2c_gen) General Maturity Certificate,0.02751,304,8458,0.02403,0.03100
1992,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04171,406,8458,0.03745,0.04597
1992,Urban regions,(3a) Lower Tertiary Education,0.04026,428,8458,0.03607,0.04445
1992,Urban regions,(3b) Higher Tertiary Education,0.05942,565,8458,0.05438,0.06446
1992,Rural regions,(1a) Inadequately completed,0.01531,143,4465,0.01171,0.01891
1992,Rural regions,(1b) General Elementary School,0.14240,652,4465,0.13214,0.15265
1992,Rural regions,(1c) Basic Vocational Qualification,0.31126,1531,4465,0.29768,0.32484
1992,Rural regions,(2) Intermediate General/Vocational Qualification,0.20562,1323,4465,0.19377,0.21748
1992,Rural regions,(2c_gen) General Maturity Certificate,0.01510,73,4465,0.01152,0.01867
1992,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02132,111,4465,0.01708,0.02555
1992,Rural regions,(3a) Lower Tertiary Education,0.05417,425,4465,0.04753,0.06081
1992,Rural regions,(3b) Higher Tertiary Education,0.03599,207,4465,0.03053,0.04145
1993,Urban regions,(0) No qualification (yet),0.00918,106,8385,0.00714,0.01122
1993,Urban regions,(1a) Inadequately completed,0.02394,573,8385,0.02067,0.02721
1993,Urban regions,(1b) General Elementary School,0.13863,1544,8385,0.13123,0.14603
1993,Urban regions,(1c) Basic Vocational Qualification,0.28970,2683,8385,0.27999,0.29941
1993,Urban regions,(2) Intermediate General/Vocational Qualification,0.17958,1757,8385,0.17136,0.18780
1993,Urban regions,(2c_gen) General Maturity Certificate,0.02774,318,8385,0.02423,0.03126
1993,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03973,390,8385,0.03554,0.04391
1993,Urban regions,(3a) Lower Tertiary Education,0.04106,431,8385,0.03682,0.04531
1993,Urban regions,(3b) Higher Tertiary Education,0.06196,583,8385,0.05680,0.06712
1993,Rural regions,(1a) Inadequately completed,0.01636,150,4433,0.01263,0.02009
1993,Rural regions,(1b) General Elementary School,0.14224,640,4433,0.13196,0.15252
1993,Rural regions,(1c) Basic Vocational Qualification,0.29988,1480,4433,0.28639,0.31337
1993,Rural regions,(2) Intermediate General/Vocational Qualification,0.20985,1339,4433,0.19786,0.22184
1993,Rural regions,(2c_gen) General Maturity Certificate,0.01380,79,4433,0.01036,0.01723
1993,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02617,123,4433,0.02147,0.03087
1993,Rural regions,(3a) Lower Tertiary Education,0.05625,415,4433,0.04947,0.06303
1993,Rural regions,(3b) Higher Tertiary Education,0.03775,207,4433,0.03214,0.04336
1994,Urban regions,(0) No qualification (yet),0.01295,155,8226,0.01051,0.01539
1994,Urban regions,(1a) Inadequately completed,0.02317,523,8226,0.01992,0.02642
1994,Urban regions,(1b) General Elementary School,0.13457,1455,8226,0.12719,0.14195
1994,Urban regions,(1c) Basic Vocational Qualification,0.28900,2622,8226,0.27921,0.29880
1994,Urban regions,(2) Intermediate General/Vocational Qualification,0.17686,1731,8226,0.16862,0.18511
1994,Urban regions,(2c_gen) General Maturity Certificate,0.02804,315,8226,0.02447,0.03160
1994,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03894,388,8226,0.03476,0.04312
1994,Urban regions,(3a) Lower Tertiary Education,0.04292,447,8226,0.03854,0.04730
1994,Urban regions,(3b) Higher Tertiary Education,0.06405,590,8226,0.05876,0.06934
1994,Rural regions,(0) No qualification (yet),0.00777,47,4347,0.00516,0.01038
1994,Rural regions,(1a) Inadequately completed,0.01443,123,4347,0.01088,0.01797
1994,Rural regions,(1b) General Elementary School,0.13430,592,4347,0.12416,0.14443
1994,Rural regions,(1c) Basic Vocational Qualification,0.29586,1434,4347,0.28229,0.30943
1994,Rural regions,(2) Intermediate General/Vocational Qualification,0.20934,1317,4347,0.19724,0.22143
1994,Rural regions,(2c_gen) General Maturity Certificate,0.01497,86,4347,0.01136,0.01858
1994,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02927,132,4347,0.02426,0.03428
1994,Rural regions,(3a) Lower Tertiary Education,0.05626,402,4347,0.04941,0.06311
1994,Rural regions,(3b) Higher Tertiary Education,0.04034,214,4347,0.03449,0.04619
1995,Urban regions,(0) No qualification (yet),0.01507,189,8455,0.01247,0.01766
1995,Urban regions,(1a) Inadequately completed,0.02005,507,8455,0.01706,0.02303
1995,Urban regions,(1b) General Elementary School,0.13032,1447,8455,0.12315,0.13750
1995,Urban regions,(1c) Basic Vocational Qualification,0.28319,2643,8455,0.27359,0.29280
1995,Urban regions,(2) Intermediate General/Vocational Qualification,0.17192,1756,8455,0.16387,0.17996
1995,Urban regions,(2c_gen) General Maturity Certificate,0.03103,361,8455,0.02733,0.03472
1995,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04417,449,8455,0.03979,0.04855
1995,Urban regions,(3a) Lower Tertiary Education,0.04346,453,8455,0.03912,0.04781
1995,Urban regions,(3b) Higher Tertiary Education,0.07066,650,8455,0.06520,0.07612
1995,Rural regions,(0) No qualification (yet),0.01016,76,4481,0.00723,0.01310
1995,Rural regions,(1a) Inadequately completed,0.01192,109,4481,0.00874,0.01510
1995,Rural regions,(1b) General Elementary School,0.13022,594,4481,0.12037,0.14008
1995,Rural regions,(1c) Basic Vocational Qualification,0.29070,1441,4481,0.27741,0.30400
1995,Rural regions,(2) Intermediate General/Vocational Qualification,0.20677,1360,4481,0.19491,0.21862
1995,Rural regions,(2c_gen) General Maturity Certificate,0.01561,105,4481,0.01198,0.01924
1995,Rural regions,(2c_voc) Vocational Maturity Certificate,0.03101,146,4481,0.02593,0.03609
1995,Rural regions,(3a) Lower Tertiary Education,0.05786,411,4481,0.05102,0.06470
1995,Rural regions,(3b) Higher Tertiary Education,0.04313,239,4481,0.03718,0.04908
1996,Urban regions,(0) No qualification (yet),0.01597,197,8260,0.01326,0.01867
1996,Urban regions,(1a) Inadequately completed,0.01938,454,8260,0.01641,0.02235
1996,Urban regions,(1b) General Elementary School,0.12611,1376,8260,0.11895,0.13327
1996,Urban regions,(1c) Basic Vocational Qualification,0.28169,2572,8260,0.27198,0.29139
1996,Urban regions,(2) Intermediate General/Vocational Qualification,0.17373,1755,8260,0.16555,0.18190
1996,Urban regions,(2c_gen) General Maturity Certificate,0.02936,341,8260,0.02572,0.03300
1996,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04733,449,8260,0.04275,0.05191
1996,Urban regions,(3a) Lower Tertiary Education,0.04363,454,8260,0.03922,0.04804
1996,Urban regions,(3b) Higher Tertiary Education,0.07124,662,8260,0.06569,0.07679
1996,Rural regions,(0) No qualification (yet),0.01392,90,4436,0.01048,0.01737
1996,Rural regions,(1a) Inadequately completed,0.01296,100,4436,0.00963,0.01628
1996,Rural regions,(1b) General Elementary School,0.12408,565,4436,0.11438,0.13378
1996,Rural regions,(1c) Basic Vocational Qualification,0.29323,1433,4436,0.27983,0.30663
1996,Rural regions,(2) Intermediate General/Vocational Qualification,0.21090,1361,4436,0.19890,0.22291
1996,Rural regions,(2c_gen) General Maturity Certificate,0.01447,92,4436,0.01096,0.01799
1996,Rural regions,(2c_voc) Vocational Maturity Certificate,0.03112,147,4436,0.02601,0.03623
1996,Rural regions,(3a) Lower Tertiary Education,0.06083,419,4436,0.05380,0.06787
1996,Rural regions,(3b) Higher Tertiary Education,0.04045,229,4436,0.03465,0.04625
1997,Urban regions,(0) No qualification (yet),0.01583,206,8107,0.01312,0.01855
1997,Urban regions,(1a) Inadequately completed,0.01985,428,8107,0.01681,0.02288
1997,Urban regions,(1b) General Elementary School,0.12740,1341,8107,0.12014,0.13466
1997,Urban regions,(1c) Basic Vocational Qualification,0.27850,2498,8107,0.26874,0.28826
1997,Urban regions,(2) Intermediate General/Vocational Qualification,0.17514,1738,8107,0.16687,0.18342
1997,Urban regions,(2c_gen) General Maturity Certificate,0.03151,352,8107,0.02771,0.03532
1997,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04750,439,8107,0.04287,0.05213
1997,Urban regions,(3a) Lower Tertiary Education,0.04528,462,8107,0.04075,0.04980
1997,Urban regions,(3b) Higher Tertiary Education,0.06872,643,8107,0.06321,0.07423
1997,Rural regions,(0) No qualification (yet),0.01480,106,4362,0.01122,0.01839
1997,Rural regions,(1a) Inadequately completed,0.01249,92,4362,0.00919,0.01578
1997,Rural regions,(1b) General Elementary School,0.11982,539,4362,0.11018,0.12946
1997,Rural regions,(1c) Basic Vocational Qualification,0.29230,1394,4362,0.27880,0.30579
1997,Rural regions,(2) Intermediate General/Vocational Qualification,0.20938,1342,4362,0.19730,0.22145
1997,Rural regions,(2c_gen) General Maturity Certificate,0.01201,77,4362,0.00878,0.01524
1997,Rural regions,(2c_voc) Vocational Maturity Certificate,0.03304,150,4362,0.02774,0.03835
1997,Rural regions,(3a) Lower Tertiary Education,0.06190,411,4362,0.05475,0.06905
1997,Rural regions,(3b) Higher Tertiary Education,0.04410,251,4362,0.03800,0.05019
1998,Urban regions,(0) No qualification (yet),0.01628,218,8789,0.01363,0.01892
1998,Urban regions,(1a) Inadequately completed,0.02053,407,8789,0.01756,0.02349
1998,Urban regions,(1b) General Elementary School,0.12702,1447,8789,0.12005,0.13398
1998,Urban regions,(1c) Basic Vocational Qualification,0.25731,2647,8789,0.24817,0.26645
1998,Urban regions,(2) Intermediate General/Vocational Qualification,0.17109,1930,8789,0.16321,0.17896
1998,Urban regions,(2c_gen) General Maturity Certificate,0.03379,392,8789,0.03001,0.03757
1998,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04855,504,8789,0.04406,0.05305
1998,Urban regions,(3a) Lower Tertiary Education,0.04529,515,8789,0.04094,0.04964
1998,Urban regions,(3b) Higher Tertiary Education,0.06806,729,8789,0.06279,0.07333
1998,Rural regions,(0) No qualification (yet),0.01397,112,4742,0.01063,0.01731
1998,Rural regions,(1a) Inadequately completed,0.01183,87,4742,0.00876,0.01491
1998,Rural regions,(1b) General Elementary School,0.11118,588,4742,0.10223,0.12013
1998,Rural regions,(1c) Basic Vocational Qualification,0.27684,1514,4742,0.26411,0.28958
1998,Rural regions,(2) Intermediate General/Vocational Qualification,0.21273,1465,4742,0.20108,0.22438
1998,Rural regions,(2c_gen) General Maturity Certificate,0.01243,89,4742,0.00927,0.01558
1998,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02910,162,4742,0.02431,0.03388
1998,Rural regions,(3a) Lower Tertiary Education,0.06353,448,4742,0.05658,0.07047
1998,Rural regions,(3b) Higher Tertiary Education,0.04427,277,4742,0.03841,0.05012
1999,Urban regions,(0) No qualification (yet),0.01695,209,8603,0.01423,0.01968
1999,Urban regions,(1a) Inadequately completed,0.02262,400,8603,0.01948,0.02577
1999,Urban regions,(1b) General Elementary School,0.12725,1376,8603,0.12021,0.13430
1999,Urban regions,(1c) Basic Vocational Qualification,0.26834,2591,8603,0.25898,0.27771
1999,Urban regions,(2) Intermediate General/Vocational Qualification,0.17408,1907,8603,0.16607,0.18209
1999,Urban regions,(2c_gen) General Maturity Certificate,0.03318,370,8603,0.02940,0.03697
1999,Urban regions,(2c_voc) Vocational Maturity Certificate,0.05125,506,8603,0.04659,0.05591
1999,Urban regions,(3a) Lower Tertiary Education,0.04631,508,8603,0.04187,0.05075
1999,Urban regions,(3b) Higher Tertiary Education,0.07149,736,8603,0.06605,0.07693
1999,Rural regions,(0) No qualification (yet),0.01311,107,4689,0.00985,0.01636
1999,Rural regions,(1a) Inadequately completed,0.01097,75,4689,0.00799,0.01395
1999,Rural regions,(1b) General Elementary School,0.10930,564,4689,0.10037,0.11824
1999,Rural regions,(1c) Basic Vocational Qualification,0.29002,1494,4689,0.27703,0.30301
1999,Rural regions,(2) Intermediate General/Vocational Qualification,0.22655,1474,4689,0.21457,0.23853
1999,Rural regions,(2c_gen) General Maturity Certificate,0.01448,101,4689,0.01106,0.01790
1999,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02841,159,4689,0.02365,0.03316
1999,Rural regions,(3a) Lower Tertiary Education,0.06370,441,4689,0.05671,0.07069
1999,Rural regions,(3b) Higher Tertiary Education,0.04503,274,4689,0.03909,0.05096
2000,Urban regions,(0) No qualification (yet),0.01423,324,15668,0.01237,0.01608
2000,Urban regions,(1a) Inadequately completed,0.01633,342,15668,0.01434,0.01831
2000,Urban regions,(1b) General Elementary School,0.10384,1961,15668,0.09906,0.10861
2000,Urban regions,(1c) Basic Vocational Qualification,0.27406,4986,15668,0.26708,0.28104
2000,Urban regions,(2) Intermediate General/Vocational Qualification,0.18560,3642,15668,0.17951,0.19169
2000,Urban regions,(2c_gen) General Maturity Certificate,0.03046,604,15668,0.02777,0.03315
2000,Urban regions,(2c_voc) Vocational Maturity Certificate,0.06577,1192,15668,0.06189,0.06965
2000,Urban regions,(3a) Lower Tertiary Education,0.05475,1051,15668,0.05119,0.05831
2000,Urban regions,(3b) Higher Tertiary Education,0.08223,1566,15668,0.07792,0.08653
2000,Rural regions,(0) No qualification (yet),0.01425,171,8386,0.01172,0.01679
2000,Rural regions,(1a) Inadequately completed,0.00855,81,8386,0.00658,0.01052
2000,Rural regions,(1b) General Elementary School,0.09867,905,8386,0.09229,0.10505
2000,Rural regions,(1c) Basic Vocational Qualification,0.29916,2824,8386,0.28936,0.30896
2000,Rural regions,(2) Intermediate General/Vocational Qualification,0.23916,2651,8386,0.23003,0.24829
2000,Rural regions,(2c_gen) General Maturity Certificate,0.01561,195,8386,0.01296,0.01827
2000,Rural regions,(2c_voc) Vocational Maturity Certificate,0.03720,360,8386,0.03315,0.04125
2000,Rural regions,(3a) Lower Tertiary Education,0.05665,648,8386,0.05170,0.06159
2000,Rural regions,(3b) Higher Tertiary Education,0.05328,551,8386,0.04847,0.05809
2001,Urban regions,(0) No qualification (yet),0.01649,350,14211,0.01439,0.01858
2001,Urban regions,(1a) Inadequately completed,0.01298,255,14211,0.01111,0.01484
2001,Urban regions,(1b) General Elementary School,0.09758,1680,14211,0.09270,0.10246
2001,Urban regions,(1c) Basic Vocational Qualification,0.26799,4413,14211,0.26071,0.27527
2001,Urban regions,(2) Intermediate General/Vocational Qualification,0.18784,3376,14211,0.18142,0.19427
2001,Urban regions,(2c_gen) General Maturity Certificate,0.03164,575,14211,0.02876,0.03452
2001,Urban regions,(2c_voc) Vocational Maturity Certificate,0.06761,1125,14211,0.06348,0.07173
2001,Urban regions,(3a) Lower Tertiary Education,0.05729,991,14211,0.05347,0.06111
2001,Urban regions,(3b) Higher Tertiary Education,0.08475,1446,14211,0.08017,0.08933
2001,Rural regions,(0) No qualification (yet),0.01555,190,7576,0.01277,0.01834
2001,Rural regions,(1a) Inadequately completed,0.00795,67,7576,0.00595,0.00995
2001,Rural regions,(1b) General Elementary School,0.09964,789,7576,0.09289,0.10638
2001,Rural regions,(1c) Basic Vocational Qualification,0.29800,2506,7576,0.28770,0.30830
2001,Rural regions,(2) Intermediate General/Vocational Qualification,0.23718,2393,7576,0.22760,0.24676
2001,Rural regions,(2c_gen) General Maturity Certificate,0.01699,191,7576,0.01408,0.01990
2001,Rural regions,(2c_voc) Vocational Maturity Certificate,0.03792,327,7576,0.03362,0.04223
2001,Rural regions,(3a) Lower Tertiary Education,0.05698,602,7576,0.05176,0.06220
2001,Rural regions,(3b) Higher Tertiary Education,0.05511,511,7576,0.04997,0.06025
2002,Urban regions,(0) No qualification (yet),0.01755,426,15142,0.01546,0.01965
2002,Urban regions,(1a) Inadequately completed,0.01332,232,15142,0.01149,0.01514
2002,Urban regions,(1b) General Elementary School,0.09651,1538,15142,0.09181,0.10121
2002,Urban regions,(1c) Basic Vocational Qualification,0.26956,4264,15142,0.26249,0.27663
2002,Urban regions,(2) Intermediate General/Vocational Qualification,0.19082,3580,15142,0.18456,0.19708
2002,Urban regions,(2c_gen) General Maturity Certificate,0.03230,651,15142,0.02948,0.03511
2002,Urban regions,(2c_voc) Vocational Maturity Certificate,0.06690,1216,15142,0.06292,0.07088
2002,Urban regions,(3a) Lower Tertiary Education,0.05537,1154,15142,0.05173,0.05901
2002,Urban regions,(3b) Higher Tertiary Education,0.08233,2081,15142,0.07795,0.08671
2002,Rural regions,(0) No qualification (yet),0.01588,187,7676,0.01308,0.01867
2002,Rural regions,(1a) Inadequately completed,0.00793,62,7676,0.00595,0.00992
2002,Rural regions,(1b) General Elementary School,0.10058,740,7676,0.09386,0.10731
2002,Rural regions,(1c) Basic Vocational Qualification,0.29306,2375,7676,0.28287,0.30324
