year,hhtyp,regtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Rural regions,No,0.72321,786,1069,0.69638,0.75005
2016,Couple without children,Urban regions,Yes,0.29198,747,2568,0.27439,0.30957
2016,Couple without children,Urban regions,No,0.70711,1821,2568,0.68951,0.72472
2016,Couple without children,Rural regions,Yes,0.39390,599,1529,0.36940,0.41840
2016,Couple without children,Rural regions,No,0.60558,930,1529,0.58107,0.63008
2016,Single parent,Urban regions,Yes,0.43669,451,992,0.40581,0.46757
2016,Single parent,Urban regions,No,0.55650,541,992,0.52557,0.58743
2016,Single parent,Rural regions,Yes,0.54118,285,532,0.49880,0.58356
2016,Single parent,Rural regions,No,0.45327,247,532,0.41092,0.49561
2016,Couple with children,Urban regions,Yes,0.42826,1416,3297,0.41136,0.44515
2016,Couple with children,Urban regions,No,0.56420,1881,3297,0.54727,0.58113
2016,Couple with children,Rural regions,Yes,0.57371,986,1693,0.55014,0.59727
2016,Couple with children,Rural regions,No,0.41866,707,1693,0.39515,0.44217
2016,Multi-generational household,Urban regions,No,0.50033,34,34,0.32973,0.67093
2016,Other Combinations,Urban regions,Yes,0.27872,37,137,0.20336,0.35407
2016,Other Combinations,Urban regions,No,0.68616,100,137,0.60817,0.76415
2016,Other Combinations,Rural regions,No,0.51868,41,41,0.36383,0.67352
2021,Single-person household,Urban regions,Yes,0.18240,419,2257,0.16646,0.19833
2021,Single-person household,Urban regions,No,0.80640,1838,2257,0.79009,0.82270
2021,Single-person household,Rural regions,Yes,0.25956,252,941,0.23154,0.28759
2021,Single-person household,Rural regions,No,0.73476,689,941,0.70654,0.76299
2021,Couple without children,Urban regions,Yes,0.29391,652,2224,0.27498,0.31285
2021,Couple without children,Urban regions,No,0.70439,1572,2224,0.68542,0.72336
2021,Couple without children,Rural regions,Yes,0.38346,474,1198,0.35591,0.41100
2021,Couple without children,Rural regions,No,0.61466,724,1198,0.58709,0.64223
2021,Single parent,Urban regions,Yes,0.49468,296,572,0.45367,0.53569
2021,Single parent,Urban regions,No,0.48352,276,572,0.44253,0.52451
2021,Single parent,Rural regions,Yes,0.62543,213,324,0.57265,0.67822
2021,Single parent,Rural regions,No,0.36987,111,324,0.31722,0.42252
2021,Couple with children,Urban regions,Yes,0.42437,970,2107,0.40326,0.44548
2021,Couple with children,Urban regions,No,0.55213,1137,2107,0.53089,0.57336
2021,Couple with children,Rural regions,Yes,0.54252,661,1068,0.51263,0.57242
2021,Couple with children,Rural regions,No,0.44348,407,1068,0.41368,0.47329
2021,Other Combinations,Urban regions,Yes,0.33924,63,188,0.27138,0.40710
2021,Other Combinations,Urban regions,No,0.63011,125,188,0.56091,0.69930
2021,Other Combinations,Rural regions,Yes,0.40812,36,77,0.29762,0.51862
2021,Other Combinations,Rural regions,No,0.57689,41,77,0.46582,0.68797
