"year","sampreg","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1995","Ostdeutschland","maennlich","6.44","6.5","1747","4","5","8","8","10","6.36","6.52","0","10","7","7"
"1995","Ostdeutschland","weiblich","6.37","6.5","1932","4","5","8","8","10","6.29","6.45","0","10","7","7"
"1995","Westdeutschland","maennlich","7.01","6.5","4626","5","6","8","9","10","6.96","7.06","0","10","7","7"
"1995","Westdeutschland","weiblich","6.98","6.5","4910","5","6","8","9","10","6.93","7.03","0","10","7","7"
"1996","Ostdeutschland","maennlich","6.42","6.5","1754","4","5","8","8","10","6.34","6.5","0","10","7","7"
"1996","Ostdeutschland","weiblich","6.43","6.5","1927","4","5","8","8","10","6.35","6.51","0","10","7","7"
"1996","Westdeutschland","maennlich","7.02","6.5","4531","5","6","8","9","10","6.97","7.07","0","10","7","7"
"1996","Westdeutschland","weiblich","7.04","6.5","4817","5","6","8","9","10","6.99","7.09","0","10","7","8"
"1997","Ostdeutschland","maennlich","6.34","6.5","1741","4","5","8","8","10","6.26","6.42","0","10","7","7"
"1997","Ostdeutschland","weiblich","6.35","6.5","1886","4","5","8","8","10","6.27","6.43","0","10","7","7"
"1997","Westdeutschland","maennlich","6.91","6.5","4454","4","6","8","9","10","6.86","6.96","0","10","7","7"
"1997","Westdeutschland","weiblich","6.89","6.5","4721","5","6","8","9","10","6.84","6.94","0","10","7","7"
"1998","Ostdeutschland","maennlich","6.51","6.5","1865","4","5","8","8","10","6.43","6.59","0","10","7","7"
"1998","Ostdeutschland","weiblich","6.51","6.5","1991","4","5","8","8","10","6.43","6.59","0","10","7","7"
"1998","Westdeutschland","maennlich","7.05","6.5","5005","5","6","8","9","10","7","7.1","0","10","7","8"
"1998","Westdeutschland","weiblich","7.09","6.5","5340","5","6","8","9","10","7.04","7.14","0","10","7","8"
"1999","Ostdeutschland","maennlich","6.61","6.5","1817","4","5","8","8","10","6.53","6.69","0","10","7","7"
"1999","Ostdeutschland","weiblich","6.52","6.5","1962","4","5","8","8","10","6.44","6.6","0","10","7","7"
"1999","Westdeutschland","maennlich","7.09","7.5","4782","5","6","8","9","10","7.04","7.14","0","10","7","8"
"1999","Westdeutschland","weiblich","7.12","7.5","5083","5","6","8","9","10","7.07","7.17","0","10","7","8"
"2000","Ostdeutschland","maennlich","6.62","6.5","2791","5","5","8","8","10","6.56","6.68","0","10","7","7"
"2000","Ostdeutschland","weiblich","6.59","6.5","3043","5","5","8","9","10","6.53","6.65","0","10","7","7"
"2000","Westdeutschland","maennlich","7.22","7.5","8768","5","6","8","9","10","7.18","7.26","0","10","8","8"
"2000","Westdeutschland","weiblich","7.23","7.5","9444","5","6","8","9","10","7.19","7.27","0","10","8","8"
"2001","Ostdeutschland","maennlich","6.61","6.5","2616","5","5","8","8","10","6.54","6.68","0","10","7","7"
"2001","Ostdeutschland","weiblich","6.63","6.5","2809","5","5","8","9","10","6.57","6.69","0","10","7","7"
"2001","Westdeutschland","maennlich","7.22","7.5","7885","5","6","8","9","10","7.18","7.26","0","10","8","8"
"2001","Westdeutschland","weiblich","7.25","7.5","8560","5","6","8","9","10","7.21","7.29","0","10","8","8"
"2002","Ostdeutschland","maennlich","6.42","6.5","2631","4","5","8","8","10","6.35","6.49","0","10","7","7"
"2002","Ostdeutschland","weiblich","6.45","6.5","2791","4","5","8","8","10","6.39","6.51","0","10","7","7"
"2002","Westdeutschland","maennlich","7.04","6.5","8479","5","6","8","9","10","7","7.08","0","10","8","8"
"2002","Westdeutschland","weiblich","7.04","6.5","9080","5","6","8","9","10","7","7.08","0","10","7","8"
"2003","Ostdeutschland","maennlich","6.32","6.5","2582","4","5","8","8","10","6.25","6.39","0","10","7","7"
"2003","Ostdeutschland","weiblich","6.38","6.5","2756","4","5","8","8","10","6.31","6.45","0","10","7","7"
"2003","Westdeutschland","maennlich","6.98","6.5","8081","5","6","8","9","10","6.94","7.02","0","10","7","8"
"2003","Westdeutschland","weiblich","7.01","6.5","8704","5","6","8","9","10","6.97","7.05","0","10","7","8"
"2004","Ostdeutschland","maennlich","6.16","5.5","2498","3","5","8","8","10","6.09","6.23","0","10","7","7"
"2004","Ostdeutschland","weiblich","6.14","5.5","2711","4","5","8","8","10","6.07","6.21","0","10","6","7"
"2004","Westdeutschland","maennlich","6.79","6.5","7861","4","6","8","9","10","6.75","6.83","0","10","7","7"
"2004","Westdeutschland","weiblich","6.79","6.5","8488","4","5","8","9","10","6.75","6.83","0","10","7","7"
"2005","Ostdeutschland","maennlich","6.33","6.5","2416","4","5","8","8","10","6.26","6.4","0","10","7","7"
"2005","Ostdeutschland","weiblich","6.4","6.5","2606","4","5","8","8","10","6.33","6.47","0","10","7","7"
"2005","Westdeutschland","maennlich","6.94","6.5","7453","5","6","8","9","10","6.9","6.98","0","10","7","8"
"2005","Westdeutschland","weiblich","6.97","6.5","8159","5","6","8","9","10","6.93","7.01","0","10","7","8"
"2006","Ostdeutschland","maennlich","6.28","6.5","2521","4","5","8","8","10","6.21","6.35","0","10","7","7"
"2006","Ostdeutschland","weiblich","6.26","6.5","2738","4","5","8","8","10","6.19","6.33","0","10","7","7"
"2006","Westdeutschland","maennlich","6.9","6.5","7919","5","6","8","9","10","6.86","6.94","0","10","7","8"
"2006","Westdeutschland","weiblich","6.91","6.5","8718","5","6","8","9","10","6.87","6.95","0","10","7","7"
"2007","Ostdeutschland","maennlich","6.28","6.5","2410","4","5","8","8","10","6.21","6.35","0","10","7","7"
"2007","Ostdeutschland","weiblich","6.48","6.5","2590","4","5","8","8","10","6.41","6.55","0","10","7","7"
"2007","Westdeutschland","maennlich","6.95","6.5","7344","5","6","8","9","10","6.91","6.99","0","10","7","8"
"2007","Westdeutschland","weiblich","6.97","6.5","8117","5","6","8","9","10","6.93","7.01","0","10","7","8"
"2008","Ostdeutschland","maennlich","6.53","6.5","2298","4","5","8","8","10","6.46","6.6","0","10","7","7"
"2008","Ostdeutschland","weiblich","6.55","6.5","2462","4","5","8","8","10","6.48","6.62","0","10","7","7"
"2008","Westdeutschland","maennlich","6.96","6.5","6885","5","6","8","9","10","6.92","7","0","10","7","8"
"2008","Westdeutschland","weiblich","6.96","6.5","7630","5","6","8","9","10","6.92","7","0","10","7","8"
"2009","Ostdeutschland","maennlich","6.46","6.5","2183","4","5","8","8","10","6.39","6.53","0","10","7","7"
"2009","Ostdeutschland","weiblich","6.47","6.5","2352","4","5","8","8","10","6.4","6.54","0","10","7","7"
"2009","Westdeutschland","maennlich","6.86","6.5","6387","4","6","8","9","10","6.82","6.9","0","10","7","7"
"2009","Westdeutschland","weiblich","6.92","6.5","7041","5","6","8","9","10","6.88","6.96","0","10","7","7"
"2010","Ostdeutschland","maennlich","6.71","6.5","2505","4","6","8","9","10","6.64","6.78","0","10","7","7"
"2010","Ostdeutschland","weiblich","6.7","6.5","2953","4","5","8","9","10","6.64","6.76","0","10","7","7"
"2010","Westdeutschland","maennlich","7.04","6.5","8389","5","6","8","9","10","7","7.08","0","10","8","8"
"2010","Westdeutschland","weiblich","7.15","7.5","10080","5","6","8","9","10","7.12","7.18","0","10","8","8"
"2011","Ostdeutschland","maennlich","6.63","6.5","2625","4","5","8","9","10","6.56","6.7","0","10","7","7"
"2011","Ostdeutschland","weiblich","6.67","6.5","3163","5","5","8","9","10","6.61","6.73","0","10","7","7"
"2011","Westdeutschland","maennlich","7.03","6.5","8999","5","6","8","9","10","7","7.06","0","10","8","8"
"2011","Westdeutschland","weiblich","7.06","6.5","10990","5","6","8","9","10","7.03","7.09","0","10","8","8"
"2012","Ostdeutschland","maennlich","6.71","6.5","2704","4","6","8","9","10","6.64","6.78","0","10","7","7"
"2012","Ostdeutschland","weiblich","6.73","6.5","3237","5","5","8","9","10","6.67","6.79","0","10","7","7"
"2012","Westdeutschland","maennlich","7.16","7.5","9261","5","6","8","9","10","7.13","7.19","0","10","8","8"
"2012","Westdeutschland","weiblich","7.17","7.5","11185","5","6","8","9","10","7.14","7.2","0","10","8","8"
"2013","Ostdeutschland","maennlich","6.82","6.5","2781","4","6","8","9","10","6.75","6.89","0","10","7","8"
"2013","Ostdeutschland","weiblich","6.85","6.5","3307","5","6","8","9","10","6.79","6.91","0","10","7","7"
"2013","Westdeutschland","maennlich","7.24","7.5","11176","5","7","8","9","10","7.21","7.27","0","10","8","8"
"2013","Westdeutschland","weiblich","7.25","7.5","13292","5","6","8","9","10","7.22","7.28","0","10","8","8"
"2014","Ostdeutschland","maennlich","6.79","6.5","2527","5","6","8","9","10","6.72","6.86","0","10","7","7"
"2014","Ostdeutschland","weiblich","6.88","6.5","3032","5","6","8","9","10","6.82","6.94","0","10","7","7"
"2014","Westdeutschland","maennlich","7.24","7.5","9856","5","7","8","9","10","7.21","7.27","0","10","8","8"
"2014","Westdeutschland","weiblich","7.23","7.5","11573","5","6","8","9","10","7.2","7.26","0","10","8","8"
"2015","Ostdeutschland","maennlich","6.92","6.5","2461","5","6","8","9","10","6.85","6.99","0","10","7","8"
"2015","Ostdeutschland","weiblich","6.99","6.5","2932","5","6","8","9","10","6.93","7.05","0","10","7","8"
"2015","Westdeutschland","maennlich","7.33","7.5","9820","5","7","8","9","10","7.3","7.36","0","10","8","8"
"2015","Westdeutschland","weiblich","7.35","7.5","11515","5","7","8","9","10","7.32","7.38","0","10","8","8"
"2016","Ostdeutschland","maennlich","6.97","6.5","2559","5","6","8","9","10","6.9","7.04","0","10","7","8"
"2016","Ostdeutschland","weiblich","7.01","6.5","2935","5","6","8","9","10","6.95","7.07","0","10","7","8"
"2016","Westdeutschland","maennlich","7.32","7.5","10237","5","7","8","9","10","7.29","7.35","0","10","8","8"
"2016","Westdeutschland","weiblich","7.33","7.5","11386","5","7","8","9","10","7.3","7.36","0","10","8","8"
"2017","Ostdeutschland","maennlich","6.9","6.5","2898","5","6","8","9","10","6.84","6.96","0","10","7","8"
"2017","Ostdeutschland","weiblich","7.02","6.5","3261","5","6","8","9","10","6.96","7.08","0","10","7","8"
"2017","Westdeutschland","maennlich","7.29","7.5","11609","5","7","8","9","10","7.26","7.32","0","10","8","8"
"2017","Westdeutschland","weiblich","7.38","7.5","12706","5","7","8","9","10","7.35","7.41","0","10","8","8"
"2018","Ostdeutschland","maennlich","7.09","6.5","2820","5","6","8","9","10","7.03","7.15","0","10","8","8"
"2018","Ostdeutschland","weiblich","7.15","7.5","3175","5","6","8","9","10","7.09","7.21","0","10","8","8"
"2018","Westdeutschland","maennlich","7.38","7.5","11041","5","7","8","9","10","7.35","7.41","0","10","8","8"
"2018","Westdeutschland","weiblich","7.42","7.5","12129","5","7","8","9","10","7.39","7.45","0","10","8","8"
"2019","Ostdeutschland","maennlich","7.18","7.5","2894","5","6","8","9","10","7.12","7.24","0","10","8","8"
"2019","Ostdeutschland","weiblich","7.16","7.5","3103","5","6","8","9","10","7.1","7.22","0","10","8","8"
"2019","Westdeutschland","maennlich","7.49","7.5","11321","5","7","8","9","10","7.46","7.52","0","10","8","8"
"2019","Westdeutschland","weiblich","7.5","7.5","11711","5","7","9","9","10","7.47","7.53","0","10","8","8"
"2020","Ostdeutschland","maennlich","7.22","7.5","2846","5","6","8","9","10","7.16","7.28","0","10","8","8"
"2020","Ostdeutschland","weiblich","7.33","7.5","2990","5","7","8","9","10","7.27","7.39","0","10","8","8"
"2020","Westdeutschland","maennlich","7.48","7.5","11786","5","7","8","9","10","7.45","7.51","0","10","8","8"
"2020","Westdeutschland","weiblich","7.52","7.5","11829","5","7","9","9","10","7.49","7.55","0","10","8","8"
