"year","migback","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1990","direkter Migrationshintergrund","Ostdeutschland","6.84","6.5","141","5","5","8","10","10","6.51","7.17","2","10","6","7"
"1990","direkter Migrationshintergrund","Westdeutschland","7.09","6.5","2520","5","6","8","9","10","7.02","7.16","0","10","7","8"
"1990","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1990","indirekter Migrationshintergrund","Westdeutschland","7.58","7.5","293","5","7","9","9","10","7.39","7.77","1","10","8","8"
"1990","kein Migrationshintergrund","Ostdeutschland","6.55","6.5","4256","5","5","8","9","10","6.49","6.61","0","10","7","7"
"1990","kein Migrationshintergrund","Westdeutschland","7.27","7.5","6608","5","6","8","9","10","7.23","7.31","0","10","8","8"
"1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1991","direkter Migrationshintergrund","Ostdeutschland","6.01","5.5","141","3","5","8","9","10","5.64","6.38","0","10","5","6"
"1991","direkter Migrationshintergrund","Westdeutschland","7.22","7.5","2472","5","6","8","10","10","7.15","7.29","0","10","7","8"
"1991","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1991","indirekter Migrationshintergrund","Westdeutschland","7.48","7.5","343","5","6","9","10","10","7.31","7.65","1","10","8","8"
"1991","kein Migrationshintergrund","Ostdeutschland","6.04","5.5","3948","3","5","8","8","10","5.98","6.1","0","10","6","6"
"1991","kein Migrationshintergrund","Westdeutschland","7.35","7.5","6546","5","7","8","9","10","7.31","7.39","0","10","8","8"
"1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1992","direkter Migrationshintergrund","Ostdeutschland","6.02","5.5","144","3","5","7","8","10","5.72","6.32","0","10","6","7"
"1992","direkter Migrationshintergrund","Westdeutschland","7.12","6.5","2395","5","6","8","9","10","7.05","7.19","0","10","7","7"
"1992","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1992","indirekter Migrationshintergrund","Westdeutschland","7.42","7.5","393","5","6","9","9","10","7.25","7.59","0","10","8","8"
"1992","kein Migrationshintergrund","Ostdeutschland","6.09","5.5","3789","4","5","7","8","10","6.03","6.15","0","10","6","6"
"1992","kein Migrationshintergrund","Westdeutschland","7.26","7.5","6497","5","6","8","9","10","7.22","7.3","0","10","8","8"
"1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1993","direkter Migrationshintergrund","Ostdeutschland","5.86","5.5","133","3","4","8","8","10","5.48","6.24","0","10","5","7"
"1993","direkter Migrationshintergrund","Westdeutschland","6.98","6.5","2335","5","6","8","9","10","6.9","7.06","0","10","7","7"
"1993","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1993","indirekter Migrationshintergrund","Westdeutschland","7.36","7.5","453","5","6","9","10","10","7.2","7.52","0","10","8","8"
"1993","kein Migrationshintergrund","Ostdeutschland","6.22","5.5","3658","4","5","8","8","10","6.16","6.28","0","10","6","7"
"1993","kein Migrationshintergrund","Westdeutschland","7.19","7.5","6445","5","6","8","9","10","7.15","7.23","0","10","8","8"
"1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1994","direkter Migrationshintergrund","Ostdeutschland","6.29","6.5","142","4","5","8","9","10","5.95","6.63","0","10","6","7"
"1994","direkter Migrationshintergrund","Westdeutschland","6.83","6.5","2209","5","5","8","9","10","6.75","6.91","0","10","7","7"
"1994","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1994","indirekter Migrationshintergrund","Westdeutschland","7.2","7.5","471","5","6","8","9","10","7.04","7.36","0","10","8","8"
"1994","kein Migrationshintergrund","Ostdeutschland","6.28","6.5","3602","4","5","8","8","10","6.22","6.34","0","10","6","7"
"1994","kein Migrationshintergrund","Westdeutschland","7.08","6.5","6363","5","6","8","9","10","7.04","7.12","0","10","7","8"
"1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1995","direkter Migrationshintergrund","Ostdeutschland","6.41","6.5","140","3","5","8","9","10","6.05","6.77","0","10","6","7"
"1995","direkter Migrationshintergrund","Westdeutschland","6.92","6.5","2627","5","6","8","9","10","6.85","6.99","0","10","7","7"
"1995","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1995","indirekter Migrationshintergrund","Westdeutschland","7.26","7.5","489","5","6","8","9","10","7.1","7.42","1","10","8","8"
"1995","kein Migrationshintergrund","Ostdeutschland","6.41","6.5","3524","4","5","8","8","10","6.35","6.47","0","10","7","7"
"1995","kein Migrationshintergrund","Westdeutschland","7","6.5","6420","5","6","8","9","10","6.96","7.04","0","10","7","7"
"1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1996","direkter Migrationshintergrund","Ostdeutschland","6.24","5.5","140","4","5","8","8","10","5.92","6.56","0","10","6","7"
"1996","direkter Migrationshintergrund","Westdeutschland","6.87","6.5","2452","5","6","8","9","10","6.8","6.94","0","10","7","7"
"1996","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1996","indirekter Migrationshintergrund","Westdeutschland","7.08","7.5","524","4","6","8","9","10","6.93","7.23","2","10","7","8"
"1996","kein Migrationshintergrund","Ostdeutschland","6.44","6.5","3522","4","5","8","8","10","6.38","6.5","0","10","7","7"
"1996","kein Migrationshintergrund","Westdeutschland","7.06","6.5","6372","5","6","8","9","10","7.02","7.1","0","10","7","8"
"1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1997","direkter Migrationshintergrund","Ostdeutschland","6.04","5.5","129","3","5","8","8","10","5.68","6.4","0","10","6","7"
"1997","direkter Migrationshintergrund","Westdeutschland","6.84","6.5","2336","4","6","8","9","10","6.77","6.91","0","10","7","7"
"1997","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1997","indirekter Migrationshintergrund","Westdeutschland","7.3","7.5","544","5","6","8","9","10","7.15","7.45","0","10","8","8"
"1997","kein Migrationshintergrund","Ostdeutschland","6.36","6.5","3477","4","5","8","8","10","6.3","6.42","0","10","7","7"
"1997","kein Migrationshintergrund","Westdeutschland","6.9","6.5","6295","5","6","8","9","10","6.86","6.94","0","10","7","7"
"1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1998","direkter Migrationshintergrund","Ostdeutschland","6.01","5.5","118","3","5","8","8","9","5.68","6.34","2","9","5","7"
"1998","direkter Migrationshintergrund","Westdeutschland","6.96","6.5","2274","5","6","8","9","10","6.89","7.03","0","10","7","7"
"1998","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1998","indirekter Migrationshintergrund","Westdeutschland","7.39","7.5","570","5","6","9","10","10","7.26","7.52","1","10","8","8"
"1998","kein Migrationshintergrund","Ostdeutschland","6.53","6.5","3713","4","5","8","8","10","6.47","6.59","0","10","7","7"
"1998","kein Migrationshintergrund","Westdeutschland","7.08","6.5","7501","5","6","8","9","10","7.04","7.12","0","10","7","8"
"1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1999","direkter Migrationshintergrund","Ostdeutschland","6.28","6.5","109","4","5","8","8","10","5.95","6.61","1","10","6","7"
"1999","direkter Migrationshintergrund","Westdeutschland","6.94","6.5","2084","5","6","8","9","10","6.86","7.02","0","10","7","7"
"1999","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1999","indirekter Migrationshintergrund","Westdeutschland","7.3","7.5","582","5","6","8","9","10","7.17","7.43","0","10","8","8"
"1999","kein Migrationshintergrund","Ostdeutschland","6.58","6.5","3649","4","5","8","8","10","6.52","6.64","0","10","7","7"
"1999","kein Migrationshintergrund","Westdeutschland","7.12","7.5","7199","5","6","8","9","10","7.08","7.16","0","10","8","8"
"1999","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1999","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2000","direkter Migrationshintergrund","Ostdeutschland","6.43","6.5","149","4","5","8","9","10","6.15","6.71","2","10","6","7"
"2000","direkter Migrationshintergrund","Westdeutschland","7.05","6.5","3150","5","6","8","9","10","6.99","7.11","0","10","7","7"
"2000","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2000","indirekter Migrationshintergrund","Westdeutschland","7.26","7.5","789","5","6","8","9","10","7.14","7.38","0","10","7","8"
"2000","kein Migrationshintergrund","Ostdeutschland","6.61","6.5","5660","5","5","8","9","10","6.56","6.66","0","10","7","7"
"2000","kein Migrationshintergrund","Westdeutschland","7.25","7.5","14273","5","6","8","9","10","7.22","7.28","0","10","8","8"
"2000","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2000","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2001","direkter Migrationshintergrund","Ostdeutschland","6.2","6.5","122","4","5","8","8","9","5.89","6.51","1","10","6","7"
"2001","direkter Migrationshintergrund","Westdeutschland","7.06","6.5","2787","5","6","8","9","10","7","7.12","0","10","7","7"
"2001","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2001","indirekter Migrationshintergrund","Westdeutschland","7.38","7.5","741","5","7","8","9","10","7.26","7.5","0","10","8","8"
"2001","kein Migrationshintergrund","Ostdeutschland","6.63","6.5","5279","5","5","8","8","10","6.58","6.68","0","10","7","7"
"2001","kein Migrationshintergrund","Westdeutschland","7.26","7.5","12917","5","6","8","9","10","7.23","7.29","0","10","8","8"
"2001","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2001","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2002","direkter Migrationshintergrund","Ostdeutschland","5.89","5.5","115","3","5","7","8","10","5.56","6.22","0","10","6","7"
"2002","direkter Migrationshintergrund","Westdeutschland","6.8","6.5","2678","5","6","8","9","10","6.73","6.87","0","10","7","7"
"2002","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2002","indirekter Migrationshintergrund","Westdeutschland","7.11","6.5","743","5","6","8","9","10","7","7.22","0","10","7","8"
"2002","kein Migrationshintergrund","Ostdeutschland","6.45","6.5","5284","4","5","8","8","10","6.4","6.5","0","10","7","7"
"2002","kein Migrationshintergrund","Westdeutschland","7.08","6.5","14138","5","6","8","9","10","7.05","7.11","0","10","8","8"
"2002","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2002","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","Ostdeutschland","6.1","5.5","104","4","5","8","8","9","5.74","6.46","0","10","6","7"
"2003","direkter Migrationshintergrund","Westdeutschland","6.75","6.5","2509","4","6","8","9","10","6.68","6.82","0","10","7","7"
"2003","indirekter Migrationshintergrund","Ostdeutschland","6.3","5.5","31","4","5","8","9","9","5.64","6.96","2","9","6","8"
"2003","indirekter Migrationshintergrund","Westdeutschland","7.14","7.5","749","5","6","8","9","10","7.02","7.26","0","10","8","8"
"2003","kein Migrationshintergrund","Ostdeutschland","6.36","6.5","5203","4","5","8","8","10","6.31","6.41","0","10","7","7"
"2003","kein Migrationshintergrund","Westdeutschland","7.04","6.5","13527","5","6","8","9","10","7.01","7.07","0","10","7","8"
"2003","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2003","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","Ostdeutschland","5.98","5.5","100","4","5","7","8","10","5.64","6.32","2","10","6","7"
"2004","direkter Migrationshintergrund","Westdeutschland","6.59","6.5","2432","4","5","8","9","10","6.52","6.66","0","10","7","7"
"2004","indirekter Migrationshintergrund","Ostdeutschland","5.92","5.5","34","3","5","8","9","9","5.2","6.64","3","9","5","8"
"2004","indirekter Migrationshintergrund","Westdeutschland","6.86","6.5","767","5","6","8","9","10","6.73","6.99","0","10","7","7"
"2004","kein Migrationshintergrund","Ostdeutschland","6.16","5.5","5075","4","5","8","8","10","6.11","6.21","0","10","7","7"
"2004","kein Migrationshintergrund","Westdeutschland","6.83","6.5","13150","4","6","8","9","10","6.8","6.86","0","10","7","7"
"2004","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2004","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","Ostdeutschland","6.15","5.5","98","3","5","8","9","10","5.77","6.53","1","10","5","7"
"2005","direkter Migrationshintergrund","Westdeutschland","6.67","6.5","2259","4","5","8","9","10","6.59","6.75","0","10","7","7"
"2005","indirekter Migrationshintergrund","Ostdeutschland","6.34","5.5","34","4","5","8","9","10","5.62","7.06","1","10","5","7"
"2005","indirekter Migrationshintergrund","Westdeutschland","6.97","6.5","791","5","6","8","9","10","6.85","7.09","0","10","7","8"
"2005","kein Migrationshintergrund","Ostdeutschland","6.37","6.5","4890","4","5","8","8","10","6.32","6.42","0","10","7","7"
"2005","kein Migrationshintergrund","Westdeutschland","7.01","6.5","12562","5","6","8","9","10","6.98","7.04","0","10","8","8"
"2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","Ostdeutschland","5.97","5.5","109","4","5","7","9","10","5.57","6.37","0","10","6","7"
"2006","direkter Migrationshintergrund","Westdeutschland","6.67","6.5","2262","4","5","8","9","10","6.6","6.74","0","10","7","7"
"2006","indirekter Migrationshintergrund","Ostdeutschland","6.21","6.5","39","3","5","8","9","10","5.53","6.89","1","10","5","8"
"2006","indirekter Migrationshintergrund","Westdeutschland","6.97","6.5","776","4","6","8","9","10","6.85","7.09","0","10","7","8"
"2006","kein Migrationshintergrund","Ostdeutschland","6.28","6.5","5111","4","5","8","8","10","6.23","6.33","0","10","7","7"
"2006","kein Migrationshintergrund","Westdeutschland","6.95","6.5","13599","5","6","8","9","10","6.92","6.98","0","10","7","8"
"2006","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","Ostdeutschland","5.7","5.5","91","3","5","7","8","9","5.35","6.05","1","9","5","7"
"2007","direkter Migrationshintergrund","Westdeutschland","6.67","6.5","2026","4","5","8","9","10","6.59","6.75","0","10","7","7"
"2007","indirekter Migrationshintergrund","Ostdeutschland","6.04","5.5","40","3","5","8","8","10","5.38","6.7","1","10","6","8"
"2007","indirekter Migrationshintergrund","Westdeutschland","7.11","6.5","741","5","6","8","9","10","6.99","7.23","0","10","7","8"
"2007","kein Migrationshintergrund","Ostdeutschland","6.4","6.5","4869","4","5","8","8","10","6.35","6.45","0","10","7","7"
"2007","kein Migrationshintergrund","Westdeutschland","7","6.5","12694","5","6","8","9","10","6.97","7.03","0","10","8","8"
"2007","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","Ostdeutschland","5.99","5.5","79","4","5","8","8","9","5.52","6.46","0","10","6","8"
"2008","direkter Migrationshintergrund","Westdeutschland","6.71","6.5","1822","4","5","8","9","10","6.62","6.8","0","10","7","7"
"2008","indirekter Migrationshintergrund","Ostdeutschland","7.09","6.5","42","6","6","8","9","9","6.63","7.55","3","9","7","8"
"2008","indirekter Migrationshintergrund","Westdeutschland","7.06","6.5","726","5","6","8","9","10","6.94","7.18","0","10","7","8"
"2008","kein Migrationshintergrund","Ostdeutschland","6.55","6.5","4639","4","5","8","8","10","6.5","6.6","0","10","7","7"
"2008","kein Migrationshintergrund","Westdeutschland","7","6.5","11967","5","6","8","9","10","6.97","7.03","0","10","7","8"
"2008","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","Ostdeutschland","5.64","4.5","75","3","4","8","8","9","5.17","6.11","0","9","5","7"
"2009","direkter Migrationshintergrund","Westdeutschland","6.59","6.5","1581","4","5","8","9","10","6.5","6.68","0","10","7","7"
"2009","indirekter Migrationshintergrund","Ostdeutschland","6.56","6.5","40","3","6","8","9","9","5.96","7.16","2","10","7","8"
"2009","indirekter Migrationshintergrund","Westdeutschland","7.02","6.5","665","5","6","8","9","10","6.9","7.14","0","10","7","8"
"2009","kein Migrationshintergrund","Ostdeutschland","6.48","6.5","4420","4","5","8","8","10","6.43","6.53","0","10","7","7"
"2009","kein Migrationshintergrund","Westdeutschland","6.94","6.5","11182","5","6","8","9","10","6.91","6.97","0","10","7","7"
"2009","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","Ostdeutschland","6.17","6.5","126","3","5","8","8","10","5.86","6.48","1","10","7","8"
"2010","direkter Migrationshintergrund","Westdeutschland","6.98","6.5","2772","5","6","8","9","10","6.91","7.05","0","10","7","8"
"2010","indirekter Migrationshintergrund","Ostdeutschland","7.3","6.5","76","5","7","8","9","10","6.86","7.74","2","10","7","8"
"2010","indirekter Migrationshintergrund","Westdeutschland","7.13","7.5","1069","5","6","8","9","10","7.03","7.23","0","10","8","8"
"2010","kein Migrationshintergrund","Ostdeutschland","6.71","6.5","5256","4","6","8","9","10","6.66","6.76","0","10","7","7"
"2010","kein Migrationshintergrund","Westdeutschland","7.12","7.5","14628","5","6","8","9","10","7.09","7.15","0","10","8","8"
"2010","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2010","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","Ostdeutschland","6.4","6.5","137","4","5","8","9","10","6.05","6.75","0","10","7","8"
"2011","direkter Migrationshintergrund","Westdeutschland","6.95","6.5","2765","5","6","8","9","10","6.88","7.02","0","10","8","8"
"2011","indirekter Migrationshintergrund","Ostdeutschland","6.75","6.5","80","4","5","8","9","10","6.37","7.13","3","10","7","8"
"2011","indirekter Migrationshintergrund","Westdeutschland","7.15","6.5","1131","5","6","8","9","10","7.05","7.25","0","10","8","8"
"2011","kein Migrationshintergrund","Ostdeutschland","6.66","6.5","5571","4","5","8","9","10","6.61","6.71","0","10","7","7"
"2011","kein Migrationshintergrund","Westdeutschland","7.06","6.5","16093","5","6","8","9","10","7.03","7.09","0","10","8","8"
"2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","Ostdeutschland","6.42","5.5","144","4","5","8","9","10","6.11","6.73","2","10","7","8"
"2012","direkter Migrationshintergrund","Westdeutschland","7.15","7.5","2757","5","6","8","9","10","7.08","7.22","0","10","8","8"
"2012","indirekter Migrationshintergrund","Ostdeutschland","6.83","6.5","71","5","5","8","8","10","6.35","7.31","2","10","7","8"
"2012","indirekter Migrationshintergrund","Westdeutschland","7.4","7.5","1148","5","7","8","9","10","7.3","7.5","0","10","8","8"
"2012","kein Migrationshintergrund","Ostdeutschland","6.73","6.5","5726","4","5","8","9","10","6.68","6.78","0","10","7","7"
"2012","kein Migrationshintergrund","Westdeutschland","7.15","7.5","16541","5","6","8","9","10","7.12","7.18","0","10","8","8"
"2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","Ostdeutschland","7.09","7.5","433","4","6","8","9","10","6.9","7.28","0","10","8","8"
"2013","direkter Migrationshintergrund","Westdeutschland","7.26","7.5","5948","5","6","8","9","10","7.21","7.31","0","10","8","8"
"2013","indirekter Migrationshintergrund","Ostdeutschland","6.72","6.5","103","4","5","8","9","10","6.33","7.11","1","10","7","8"
"2013","indirekter Migrationshintergrund","Westdeutschland","7.32","7.5","2023","5","6","8","9","10","7.24","7.4","0","10","8","8"
"2013","kein Migrationshintergrund","Ostdeutschland","6.83","6.5","5552","5","6","8","9","10","6.78","6.88","0","10","7","7"
"2013","kein Migrationshintergrund","Westdeutschland","7.23","7.5","16497","5","6","8","9","10","7.2","7.26","0","10","8","8"
"2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","Ostdeutschland","7.16","7.5","344","5","6","8","9","10","6.97","7.35","0","10","7","8"
"2014","direkter Migrationshintergrund","Westdeutschland","7.3","7.5","4762","5","6","8","9","10","7.25","7.35","0","10","8","8"
"2014","indirekter Migrationshintergrund","Ostdeutschland","7.18","7.5","101","5","6","8","9","10","6.81","7.55","0","10","7","8"
"2014","indirekter Migrationshintergrund","Westdeutschland","7.38","7.5","1677","5","7","8","9","10","7.3","7.46","0","10","8","8"
