year,pgisced97,sex,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Upper Secondary Level,female,Seldom,0.03168,207,6070,0.02727,0.03608
2019,Upper Secondary Level,female,Never,0.01234,64,6070,0.00956,0.01511
2019,Post-secondary Non-tertiary Level,male,Daily,0.76286,609,802,0.73341,0.79232
2019,Post-secondary Non-tertiary Level,male,At least once per week,0.18054,160,802,0.15390,0.20718
2019,Post-secondary Non-tertiary Level,male,Seldom,0.02195,33,802,0.01180,0.03210
2019,Post-secondary Non-tertiary Level,female,Daily,0.73615,987,1297,0.71216,0.76015
2019,Post-secondary Non-tertiary Level,female,At least once per week,0.19904,259,1297,0.17730,0.22077
2019,Post-secondary Non-tertiary Level,female,Seldom,0.02940,51,1297,0.02021,0.03860
2019,First Stage of Tertiary Education,male,Daily,0.77687,813,1043,0.75159,0.80215
2019,First Stage of Tertiary Education,male,At least once per week,0.14640,179,1043,0.12494,0.16787
2019,First Stage of Tertiary Education,male,Seldom,0.04500,51,1043,0.03242,0.05759
2019,First Stage of Tertiary Education,female,Daily,0.68777,436,529,0.64824,0.72730
2019,First Stage of Tertiary Education,female,At least once per week,0.21376,93,529,0.17879,0.24873
2019,Second Stage of Tertiary Education,male,Daily,0.68637,2447,3663,0.67134,0.70139
2019,Second Stage of Tertiary Education,male,At least once per week,0.22209,861,3663,0.20863,0.23555
2019,Second Stage of Tertiary Education,male,At least once per month,0.03163,116,3663,0.02596,0.03730
2019,Second Stage of Tertiary Education,male,Seldom,0.03751,159,3663,0.03136,0.04366
2019,Second Stage of Tertiary Education,male,Never,0.02240,80,3663,0.01761,0.02720
2019,Second Stage of Tertiary Education,female,Daily,0.65820,2094,3352,0.64214,0.67426
2019,Second Stage of Tertiary Education,female,At least once per week,0.24196,910,3352,0.22746,0.25646
2019,Second Stage of Tertiary Education,female,At least once per month,0.02890,102,3352,0.02322,0.03457
2019,Second Stage of Tertiary Education,female,Seldom,0.05076,184,3352,0.04333,0.05820
2019,Second Stage of Tertiary Education,female,Never,0.02018,62,3352,0.01542,0.02494
2021,No answer / don't know,male,Daily,0.71087,196,273,0.65699,0.76475
2021,No answer / don't know,male,At least once per week,0.22992,77,273,0.17991,0.27992
2021,No answer / don't know,female,Daily,0.66511,202,266,0.60829,0.72194
2021,No answer / don't know,female,At least once per week,0.23787,64,266,0.18661,0.28914
2021,Pre-primary Level,male,Daily,0.86506,76,76,0.78773,0.94238
2021,Pre-primary Level,female,Daily,0.66035,60,60,0.53950,0.78119
2021,Primary Level,male,Daily,0.81201,80,80,0.72585,0.89817
2021,Primary Level,female,Daily,0.74120,81,81,0.64523,0.83718
2021,Lower Secondary Level,male,Daily,0.78864,418,540,0.75417,0.82311
2021,Lower Secondary Level,male,At least once per week,0.13227,91,540,0.10366,0.16087
2021,Lower Secondary Level,male,Seldom,0.04259,31,540,0.02554,0.05964
2021,Lower Secondary Level,female,Daily,0.84163,635,754,0.81556,0.86771
2021,Lower Secondary Level,female,At least once per week,0.11643,119,754,0.09352,0.13934
2021,Upper Secondary Level,male,Daily,0.75353,2364,3117,0.73839,0.76866
2021,Upper Secondary Level,male,At least once per week,0.16477,513,3117,0.15175,0.17780
2021,Upper Secondary Level,male,At least once per month,0.01997,64,3117,0.01506,0.02488
2021,Upper Secondary Level,male,Seldom,0.04600,132,3117,0.03865,0.05336
2021,Upper Secondary Level,male,Never,0.01573,44,3117,0.01136,0.02010
2021,Upper Secondary Level,female,Daily,0.77468,2938,3842,0.76147,0.78789
2021,Upper Secondary Level,female,At least once per week,0.15807,658,3842,0.14653,0.16961
2021,Upper Secondary Level,female,At least once per month,0.01724,67,3842,0.01313,0.02136
2021,Upper Secondary Level,female,Seldom,0.02808,117,3842,0.02285,0.03330
2021,Upper Secondary Level,female,Never,0.02193,62,3842,0.01730,0.02656
2021,Post-secondary Non-tertiary Level,male,Daily,0.78958,426,542,0.75523,0.82393
2021,Post-secondary Non-tertiary Level,male,At least once per week,0.17511,116,542,0.14309,0.20714
2021,Post-secondary Non-tertiary Level,female,Daily,0.68843,653,939,0.65880,0.71807
2021,Post-secondary Non-tertiary Level,female,At least once per week,0.21364,210,939,0.18741,0.23987
2021,Post-secondary Non-tertiary Level,female,At least once per month,0.03394,31,939,0.02235,0.04553
2021,Post-secondary Non-tertiary Level,female,Seldom,0.04779,45,939,0.03414,0.06144
2021,First Stage of Tertiary Education,male,Daily,0.74343,440,557,0.70712,0.77973
2021,First Stage of Tertiary Education,male,At least once per week,0.17823,117,557,0.14642,0.21004
2021,First Stage of Tertiary Education,female,Daily,0.74121,279,355,0.69558,0.78683
2021,First Stage of Tertiary Education,female,At least once per week,0.19128,76,355,0.15031,0.23225
2021,Second Stage of Tertiary Education,male,Daily,0.61384,1669,2694,0.59545,0.63223
2021,Second Stage of Tertiary Education,male,At least once per week,0.27613,742,2694,0.25924,0.29301
2021,Second Stage of Tertiary Education,male,At least once per month,0.03023,97,2694,0.02376,0.03670
2021,Second Stage of Tertiary Education,male,Seldom,0.04971,119,2694,0.04151,0.05792
2021,Second Stage of Tertiary Education,male,Never,0.03009,67,2694,0.02364,0.03654
2021,Second Stage of Tertiary Education,female,Daily,0.63391,1618,2611,0.61543,0.65239
2021,Second Stage of Tertiary Education,female,At least once per week,0.27858,738,2611,0.26138,0.29578
2021,Second Stage of Tertiary Education,female,At least once per month,0.03151,103,2611,0.02481,0.03822
2021,Second Stage of Tertiary Education,female,Seldom,0.03946,107,2611,0.03199,0.04693
2021,Second Stage of Tertiary Education,female,Never,0.01654,45,2611,0.01164,0.02143
