"m11104","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","indirekter Migrationshintergrund","Westdeutschland","27","","",""
"Mehrmals im Jahr","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","kein Migrationshintergrund","Westdeutschland","420","0.0493579954244162","0.044573179641557","0.0541428112072753"
"Mindestens einmal im Monat","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","direkter Migrationshintergrund","Westdeutschland","110","","",""
"Mindestens einmal im Monat","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","indirekter Migrationshintergrund","Westdeutschland","10","","",""
"Mindestens einmal im Monat","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","kein Migrationshintergrund","Westdeutschland","2027","","",""
"Mindestens einmal die Woche","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","direkter Migrationshintergrund","Westdeutschland","385","0.173462200526598","0.15962856013862","0.187295840914575"
"Mindestens einmal die Woche","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","indirekter Migrationshintergrund","Westdeutschland","48","0.331073499558527","0.252271140677623","0.409875858439431"
"Mindestens einmal die Woche","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1986","kein Migrationshintergrund","Westdeutschland","4054","0.571366146744915","0.560178076305431","0.582554217184399"
"Fast nie oder nie","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1986","direkter Migrationshintergrund","Westdeutschland","1986","","",""
"Fast nie oder nie","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1986","indirekter Migrationshintergrund","Westdeutschland","57","0.429783941999727","0.351342207213021","0.508225676786433"
"Fast nie oder nie","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","kein Migrationshintergrund","Westdeutschland","979","0.12094322781238","0.113571760485629","0.128314695139132"
"Mehrmals im Jahr","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","direkter Migrationshintergrund","Westdeutschland","271","","",""
"Mehrmals im Jahr","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","indirekter Migrationshintergrund","Westdeutschland","24","","",""
"Mehrmals im Jahr","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","kein Migrationshintergrund","Westdeutschland","430","0.0533721909054392","0.0482905748334452","0.0584538069774332"
"Mindestens einmal im Monat","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","direkter Migrationshintergrund","Westdeutschland","122","","",""
"Mindestens einmal im Monat","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","indirekter Migrationshintergrund","Westdeutschland","12","","",""
"Mindestens einmal im Monat","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","kein Migrationshintergrund","Westdeutschland","2053","","",""
"Mindestens einmal die Woche","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","direkter Migrationshintergrund","Westdeutschland","419","0.168361680883606","0.154496896872691","0.182226464894522"
"Mindestens einmal die Woche","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","indirekter Migrationshintergrund","Westdeutschland","60","0.358030604479148","0.282064542456785","0.433996666501511"
"Mindestens einmal die Woche","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1988","kein Migrationshintergrund","Westdeutschland","3609","0.546431727743935","0.534775974835872","0.558087480651999"
"Fast nie oder nie","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1988","direkter Migrationshintergrund","Westdeutschland","1913","","",""
"Fast nie oder nie","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1988","indirekter Migrationshintergrund","Westdeutschland","77","0.496730633888343","0.430511003310997","0.562950264465688"
"Fast nie oder nie","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","kein Migrationshintergrund","Westdeutschland","1040","","",""
"Mehrmals im Jahr","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","direkter Migrationshintergrund","Westdeutschland","252","","",""
"Mehrmals im Jahr","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","indirekter Migrationshintergrund","Westdeutschland","39","0.150452301847055","0.103102372461424","0.197802231232687"
"Mehrmals im Jahr","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","kein Migrationshintergrund","Westdeutschland","417","0.0558826319353307","0.050504858964381","0.0612604049062804"
"Mindestens einmal im Monat","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","direkter Migrationshintergrund","Westdeutschland","85","0.0305851117914511","0.024014276603778","0.0371559469791242"
"Mindestens einmal im Monat","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","indirekter Migrationshintergrund","Westdeutschland","18","","",""
"Mindestens einmal im Monat","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","kein Migrationshintergrund","Westdeutschland","1942","","",""
"Mindestens einmal die Woche","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","direkter Migrationshintergrund","Westdeutschland","388","0.172544640061953","0.158125687314278","0.186963592809628"
"Mindestens einmal die Woche","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","indirekter Migrationshintergrund","Westdeutschland","85","0.285341403964527","0.225533615806806","0.345149192122248"
"Mindestens einmal die Woche","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1989","kein Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1989","direkter Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1989","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","kein Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","kein Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","kein Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1990","kein Migrationshintergrund","Westdeutschland","2536","","",""
"Fast nie oder nie","1990","kein Migrationshintergrund","Ostdeutschland","2832","","",""
"Fast nie oder nie","1990","direkter Migrationshintergrund","Westdeutschland","1594","","",""
"Fast nie oder nie","1990","direkter Migrationshintergrund","Ostdeutschland","104","","",""
"Fast nie oder nie","1990","indirekter Migrationshintergrund","Westdeutschland","88","0.315848655894442","0.262530849405722","0.369166462383162"
"Fast nie oder nie","1990","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Fast nie oder nie","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1990","kein Migrationshintergrund","Westdeutschland","1396","","",""
"Mehrmals im Jahr","1990","kein Migrationshintergrund","Ostdeutschland","617","0.1359051640523","0.125480299794235","0.146330028310365"
"Mehrmals im Jahr","1990","direkter Migrationshintergrund","Westdeutschland","344","0.161629811160009","0.147205898477931","0.176053723842086"
"Mehrmals im Jahr","1990","direkter Migrationshintergrund","Ostdeutschland","10","","",""
"Mehrmals im Jahr","1990","indirekter Migrationshintergrund","Westdeutschland","49","0.213141910429878","0.166169883694125","0.26011393716563"
"Mehrmals im Jahr","1990","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Mehrmals im Jahr","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1990","kein Migrationshintergrund","Westdeutschland","613","0.0902581334020617","0.0833480852934014","0.097168181510722"
"Mindestens einmal im Monat","1990","kein Migrationshintergrund","Ostdeutschland","143","","",""
"Mindestens einmal im Monat","1990","direkter Migrationshintergrund","Westdeutschland","147","","",""
"Mindestens einmal im Monat","1990","direkter Migrationshintergrund","Ostdeutschland","4","0.0227670140547724","-0.00248801012303342","0.0480220382325781"
"Mindestens einmal im Monat","1990","indirekter Migrationshintergrund","Westdeutschland","42","0.12989959535903","0.0913388651182486","0.168460325599811"
"Mindestens einmal im Monat","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1990","kein Migrationshintergrund","Westdeutschland","2061","","",""
"Mindestens einmal die Woche","1990","kein Migrationshintergrund","Ostdeutschland","559","0.127092152714813","0.116959683540649","0.137224621888978"
"Mindestens einmal die Woche","1990","direkter Migrationshintergrund","Westdeutschland","417","0.203287745582659","0.187518504718396","0.219056986446923"
"Mindestens einmal die Woche","1990","direkter Migrationshintergrund","Ostdeutschland","16","","",""
"Mindestens einmal die Woche","1990","indirekter Migrationshintergrund","Westdeutschland","113","","",""
"Mindestens einmal die Woche","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Fast nie oder nie","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1992","kein Migrationshintergrund","Westdeutschland","3050","0.500373668601465","0.488138227135307","0.512609110067623"
"Fast nie oder nie","1992","kein Migrationshintergrund","Ostdeutschland","2469","","",""
"Fast nie oder nie","1992","direkter Migrationshintergrund","Westdeutschland","1612","","",""
"Fast nie oder nie","1992","direkter Migrationshintergrund","Ostdeutschland","105","","",""
"Fast nie oder nie","1992","indirekter Migrationshintergrund","Westdeutschland","103","","",""
"Fast nie oder nie","1992","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Fast nie oder nie","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1992","kein Migrationshintergrund","Westdeutschland","1103","","",""
"Mehrmals im Jahr","1992","kein Migrationshintergrund","Ostdeutschland","688","0.160541090956947","0.14882574615242","0.172256435761474"
"Mehrmals im Jahr","1992","direkter Migrationshintergrund","Westdeutschland","292","","",""
"Mehrmals im Jahr","1992","direkter Migrationshintergrund","Ostdeutschland","17","","",""
"Mehrmals im Jahr","1992","indirekter Migrationshintergrund","Westdeutschland","78","0.199186912453052","0.159292349913633","0.23908147499247"
"Mehrmals im Jahr","1992","indirekter Migrationshintergrund","Ostdeutschland","4","0.443373481624624","0.135469790991702","0.751277172257546"
"Mehrmals im Jahr","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1992","kein Migrationshintergrund","Westdeutschland","472","0.0707128582741733","0.0644398780164072","0.0769858385319395"
"Mindestens einmal im Monat","1992","kein Migrationshintergrund","Ostdeutschland","139","","",""
"Mindestens einmal im Monat","1992","direkter Migrationshintergrund","Westdeutschland","99","0.0431693071312543","0.0349416842842026","0.051396929978306"
"Mindestens einmal im Monat","1992","direkter Migrationshintergrund","Ostdeutschland","5","0.0365830051312124","0.00592007273516709","0.0672459375272577"
"Mindestens einmal im Monat","1992","indirekter Migrationshintergrund","Westdeutschland","46","0.091254555479513","0.0624894396862461","0.12001967127278"
"Mindestens einmal im Monat","1992","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Mindestens einmal im Monat","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1992","kein Migrationshintergrund","Westdeutschland","1790","","",""
"Mindestens einmal die Woche","1992","kein Migrationshintergrund","Ostdeutschland","476","0.120359490149634","0.109975720878596","0.130743259420673"
"Mindestens einmal die Woche","1992","direkter Migrationshintergrund","Westdeutschland","341","0.170658841851295","0.155428828158203","0.185888855544387"
"Mindestens einmal die Woche","1992","direkter Migrationshintergrund","Ostdeutschland","17","","",""
"Mindestens einmal die Woche","1992","indirekter Migrationshintergrund","Westdeutschland","158","","",""
"Mindestens einmal die Woche","1992","indirekter Migrationshintergrund","Ostdeutschland","4","0.371435339551882","0.0719575065900498","0.670913172513715"
"Mindestens einmal die Woche","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
