"m11104","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","1984","(Fach-)Abitur","direkter Migrationshintergrund","65","0.222763463571075","0.173038950864536","0.272487976277614"
"Mehrmals im Jahr","1984","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","kein Migrationshintergrund","188","","",""
"Mehrmals im Jahr","1984","AkademikerIn","direkter Migrationshintergrund","30","0.216021426851007","0.142082163049148","0.289960690652866"
"Mehrmals im Jahr","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","kein Migrationshintergrund","89","0.387983264664356","0.324452802174071","0.45151372715464"
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","direkter Migrationshintergrund","53","0.0480738331643184","0.0350032064392788","0.061144459889358"
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","kein Migrationshintergrund","749","0.132905864974739","0.123798249484134","0.142013480465344"
"Mindestens einmal im Monat","1984","Hauptschule","direkter Migrationshintergrund","189","","",""
"Mindestens einmal im Monat","1984","Hauptschule","indirekter Migrationshintergrund","19","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","Realschule","kein Migrationshintergrund","490","0.281840201954146","0.260472747704845","0.303207656203447"
"Mindestens einmal im Monat","1984","Realschule","direkter Migrationshintergrund","29","","",""
"Mindestens einmal im Monat","1984","Realschule","indirekter Migrationshintergrund","15","","",""
"Mindestens einmal im Monat","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","kein Migrationshintergrund","179","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","direkter Migrationshintergrund","51","0.224492061402925","0.174630535052304","0.274353587753547"
"Mindestens einmal im Monat","1984","(Fach-)Abitur","indirekter Migrationshintergrund","4","0.590448798298218","0.226161276895734","0.954736319700702"
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","kein Migrationshintergrund","208","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","direkter Migrationshintergrund","24","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","Realschule","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","Realschule","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","Realschule","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","(noch) kein Abschluss","kein Migrationshintergrund","77","0.350211438134647","0.287879873837556","0.412543002431738"
"Fast nie oder nie","1985","(noch) kein Abschluss","direkter Migrationshintergrund","719","0.833523591012502","0.808227064729559","0.858820117295444"
"Fast nie oder nie","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","6","0.211810134654427","0.0175818737066498","0.406038395602205"
"Fast nie oder nie","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","Hauptschule","kein Migrationshintergrund","3239","0.699624903710591","0.686630591094988","0.712619216326194"
"Fast nie oder nie","1985","Hauptschule","direkter Migrationshintergrund","1068","","",""
"Fast nie oder nie","1985","Hauptschule","indirekter Migrationshintergrund","38","0.567071196449218","0.457112945147214","0.677029447751223"
"Fast nie oder nie","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","Realschule","kein Migrationshintergrund","608","0.393877235614716","0.37017175569617","0.417582715533262"
"Fast nie oder nie","1985","Realschule","direkter Migrationshintergrund","60","0.494666348970414","0.410638367636754","0.578694330304074"
"Fast nie oder nie","1985","Realschule","indirekter Migrationshintergrund","6","0.308892613500479","0.140731481958285","0.477053745042673"
"Fast nie oder nie","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","(Fach-)Abitur","kein Migrationshintergrund","161","","",""
"Fast nie oder nie","1985","(Fach-)Abitur","direkter Migrationshintergrund","126","","",""
"Fast nie oder nie","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","AkademikerIn","kein Migrationshintergrund","204","","",""
"Fast nie oder nie","1985","AkademikerIn","direkter Migrationshintergrund","50","0.478668036846609","0.384455086610843","0.572880987082375"
"Fast nie oder nie","1985","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Fast nie oder nie","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","(noch) kein Abschluss","kein Migrationshintergrund","29","","",""
"Mehrmals im Jahr","1985","(noch) kein Abschluss","direkter Migrationshintergrund","50","0.0561329465439557","0.0405018327867677","0.0717640603011438"
"Mehrmals im Jahr","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","Hauptschule","kein Migrationshintergrund","530","0.10104914773505","0.0925058995911505","0.109592395878949"
"Mehrmals im Jahr","1985","Hauptschule","direkter Migrationshintergrund","169","","",""
"Mehrmals im Jahr","1985","Hauptschule","indirekter Migrationshintergrund","14","","",""
"Mehrmals im Jahr","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","Realschule","kein Migrationshintergrund","306","0.178717123885476","0.160129773702756","0.197304474068197"
"Mehrmals im Jahr","1985","Realschule","direkter Migrationshintergrund","22","","",""
"Mehrmals im Jahr","1985","Realschule","indirekter Migrationshintergrund","6","0.218888213864761","0.0683950140919538","0.369381413637569"
"Mehrmals im Jahr","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","(Fach-)Abitur","kein Migrationshintergrund","117","","",""
"Mehrmals im Jahr","1985","(Fach-)Abitur","direkter Migrationshintergrund","30","0.111132706902421","0.0703364726389976","0.151928941165844"
"Mehrmals im Jahr","1985","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","AkademikerIn","kein Migrationshintergrund","116","","",""
"Mehrmals im Jahr","1985","AkademikerIn","direkter Migrationshintergrund","22","","",""
"Mehrmals im Jahr","1985","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","kein Migrationshintergrund","13","","",""
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","Hauptschule","kein Migrationshintergrund","205","","",""
"Mindestens einmal im Monat","1985","Hauptschule","direkter Migrationshintergrund","56","0.0287826458959422","0.0203045882222125","0.037260703569672"
"Mindestens einmal im Monat","1985","Hauptschule","indirekter Migrationshintergrund","6","0.0366667062922012","-0.00504183725538304","0.0783752498397854"
"Mindestens einmal im Monat","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","Realschule","kein Migrationshintergrund","110","","",""
"Mindestens einmal im Monat","1985","Realschule","direkter Migrationshintergrund","11","","",""
"Mindestens einmal im Monat","1985","Realschule","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","(Fach-)Abitur","kein Migrationshintergrund","37","0.0658383814333461","0.0449791280855134","0.0866976347811788"
"Mindestens einmal im Monat","1985","(Fach-)Abitur","direkter Migrationshintergrund","20","","",""
"Mindestens einmal im Monat","1985","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","AkademikerIn","kein Migrationshintergrund","51","0.0729531561757001","0.05272603338131","0.0931802789700902"
"Mindestens einmal im Monat","1985","AkademikerIn","direkter Migrationshintergrund","5","0.0451740551425744","0.00600502143222378","0.084343088852925"
"Mindestens einmal im Monat","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","kein Migrationshintergrund","106","","",""
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","direkter Migrationshintergrund","47","0.0909632136994914","0.071435598110314","0.110490829288669"
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","9","0.700736608304847","0.483051945950477","0.918421270659216"
"Mindestens einmal die Woche","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","Hauptschule","kein Migrationshintergrund","807","0.160445737184742","0.150042291689112","0.170849182680372"
"Mindestens einmal die Woche","1985","Hauptschule","direkter Migrationshintergrund","201","","",""
"Mindestens einmal die Woche","1985","Hauptschule","indirekter Migrationshintergrund","20","","",""
"Mindestens einmal die Woche","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","Realschule","kein Migrationshintergrund","608","0.362010610363806","0.338694538152609","0.385326682575003"
"Mindestens einmal die Woche","1985","Realschule","direkter Migrationshintergrund","43","0.314228968734708","0.236211597180587","0.392246340288828"
"Mindestens einmal die Woche","1985","Realschule","indirekter Migrationshintergrund","15","","",""
"Mindestens einmal die Woche","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","(Fach-)Abitur","kein Migrationshintergrund","228","","",""
"Mindestens einmal die Woche","1985","(Fach-)Abitur","direkter Migrationshintergrund","52","0.312276076813713","0.252123104639238","0.372429048988187"
"Mindestens einmal die Woche","1985","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal die Woche","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","AkademikerIn","kein Migrationshintergrund","264","","",""
"Mindestens einmal die Woche","1985","AkademikerIn","direkter Migrationshintergrund","31","0.30832013065479","0.221225832848917","0.395414428460663"
"Mindestens einmal die Woche","1985","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal die Woche","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","(noch) kein Abschluss","kein Migrationshintergrund","67","0.353468532562735","0.289863945674044","0.417073119451426"
"Fast nie oder nie","1986","(noch) kein Abschluss","direkter Migrationshintergrund","645","0.810431753112774","0.782871791851319","0.83799171437423"
"Fast nie oder nie","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","6","0.157411119118226","-0.00219835192787052","0.317020590164322"
"Fast nie oder nie","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","Hauptschule","kein Migrationshintergrund","2950","","",""
"Fast nie oder nie","1986","Hauptschule","direkter Migrationshintergrund","1032","","",""
"Fast nie oder nie","1986","Hauptschule","indirekter Migrationshintergrund","37","0.505662041741258","0.398744096293672","0.612579987188843"
"Fast nie oder nie","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","Realschule","kein Migrationshintergrund","637","0.432347915768225","0.407974441968844","0.456721389567606"
"Fast nie oder nie","1986","Realschule","direkter Migrationshintergrund","65","0.563663666619946","0.482942988899723","0.64438434434017"
"Fast nie oder nie","1986","Realschule","indirekter Migrationshintergrund","11","","",""
"Fast nie oder nie","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","(Fach-)Abitur","kein Migrationshintergrund","154","","",""
"Fast nie oder nie","1986","(Fach-)Abitur","direkter Migrationshintergrund","137","","",""
"Fast nie oder nie","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","AkademikerIn","kein Migrationshintergrund","217","","",""
"Fast nie oder nie","1986","AkademikerIn","direkter Migrationshintergrund","51","0.487626608980973","0.393356676677874","0.581896541284071"
"Fast nie oder nie","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Fast nie oder nie","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","(noch) kein Abschluss","kein Migrationshintergrund","30","0.129783850048346","0.0850699944187649","0.174497705677927"
"Mehrmals im Jahr","1986","(noch) kein Abschluss","direkter Migrationshintergrund","55","0.0596464283035891","0.0429940835996221","0.0762987730075561"
"Mehrmals im Jahr","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Mehrmals im Jahr","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","Hauptschule","kein Migrationshintergrund","468","0.0959712232972363","0.0873218253352371","0.104620621259235"
"Mehrmals im Jahr","1986","Hauptschule","direkter Migrationshintergrund","140","","",""
"Mehrmals im Jahr","1986","Hauptschule","indirekter Migrationshintergrund","15","","",""
"Mehrmals im Jahr","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","Realschule","kein Migrationshintergrund","269","","",""
"Mehrmals im Jahr","1986","Realschule","direkter Migrationshintergrund","21","","",""
"Mehrmals im Jahr","1986","Realschule","indirekter Migrationshintergrund","3","","",""
"Mehrmals im Jahr","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","(Fach-)Abitur","kein Migrationshintergrund","122","","",""
"Mehrmals im Jahr","1986","(Fach-)Abitur","direkter Migrationshintergrund","23","","",""
"Mehrmals im Jahr","1986","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","AkademikerIn","kein Migrationshintergrund","83","0.132425360222141","0.105999535037734","0.158851185406547"
"Mehrmals im Jahr","1986","AkademikerIn","direkter Migrationshintergrund","26","","",""
"Mehrmals im Jahr","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","(noch) kein Abschluss","kein Migrationshintergrund","6","0.0254373245131931","0.00448854014097297","0.0463861088854132"
"Mindestens einmal im Monat","1986","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Mindestens einmal im Monat","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","Hauptschule","kein Migrationshintergrund","199","","",""
"Mindestens einmal im Monat","1986","Hauptschule","direkter Migrationshintergrund","69","0.0484638034308971","0.0374898488428812","0.059437758018913"
"Mindestens einmal im Monat","1986","Hauptschule","indirekter Migrationshintergrund","7","0.0749446185351714","0.018637598744287","0.131251638326056"
"Mindestens einmal im Monat","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","Realschule","kein Migrationshintergrund","120","","",""
"Mindestens einmal im Monat","1986","Realschule","direkter Migrationshintergrund","13","","",""
"Mindestens einmal im Monat","1986","Realschule","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","(Fach-)Abitur","kein Migrationshintergrund","41","0.0800050605383299","0.0576543505323594","0.1023557705443"
"Mindestens einmal im Monat","1986","(Fach-)Abitur","direkter Migrationshintergrund","13","","",""
"Mindestens einmal im Monat","1986","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","AkademikerIn","kein Migrationshintergrund","59","0.0923378412222648","0.0697673232840688","0.114908359160461"
"Mindestens einmal im Monat","1986","AkademikerIn","direkter Migrationshintergrund","8","0.0836927836621751","0.0314650990139105","0.13592046831044"
"Mindestens einmal im Monat","1986","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","(noch) kein Abschluss","kein Migrationshintergrund","114","","",""
"Mindestens einmal die Woche","1986","(noch) kein Abschluss","direkter Migrationshintergrund","60","0.100020495993069","0.0789245797243515","0.121116412261787"
"Mindestens einmal die Woche","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","10","","",""
"Mindestens einmal die Woche","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","Hauptschule","kein Migrationshintergrund","838","0.176822926495291","0.165619776335773","0.188026076654809"
"Mindestens einmal die Woche","1986","Hauptschule","direkter Migrationshintergrund","230","","",""
"Mindestens einmal die Woche","1986","Hauptschule","indirekter Migrationshintergrund","25","","",""
"Mindestens einmal die Woche","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","Realschule","kein Migrationshintergrund","561","0.33932616089761","0.316031207038988","0.362621114756232"
"Mindestens einmal die Woche","1986","Realschule","direkter Migrationshintergrund","46","0.263304903622477","0.191618391075781","0.334991416169174"
"Mindestens einmal die Woche","1986","Realschule","indirekter Migrationshintergrund","15","","",""
"Mindestens einmal die Woche","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","(Fach-)Abitur","kein Migrationshintergrund","249","","",""
"Mindestens einmal die Woche","1986","(Fach-)Abitur","direkter Migrationshintergrund","53","0.357393810931052","0.294913981222505","0.419873640639598"
"Mindestens einmal die Woche","1986","(Fach-)Abitur","indirekter Migrationshintergrund","6","0.682575564667141","0.378471389585525","0.986679739748758"
"Mindestens einmal die Woche","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","AkademikerIn","kein Migrationshintergrund","273","","",""
"Mindestens einmal die Woche","1986","AkademikerIn","direkter Migrationshintergrund","23","","",""
"Mindestens einmal die Woche","1986","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal die Woche","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","Realschule","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","Realschule","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1987","Realschule","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","Realschule","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
