"m11104","year","migback","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Mindestens einmal im Monat","1984","indirekter Migrationshintergrund","weiblich","11","","",""
"Mindestens einmal im Monat","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1984","kein Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1984","kein Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1984","direkter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1984","direkter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1985","kein Migrationshintergrund","maennlich","1863","0.518255190135057","0.502281977227687","0.534228403042427"
"Fast nie oder nie","1985","kein Migrationshintergrund","weiblich","2459","0.625947645465718","0.611161630248257","0.640733660683179"
"Fast nie oder nie","1985","direkter Migrationshintergrund","maennlich","968","0.617227308299553","0.592840000281509","0.641614616317596"
"Fast nie oder nie","1985","direkter Migrationshintergrund","weiblich","1115","0.754322187465958","0.731375439026768","0.777268935905148"
"Fast nie oder nie","1985","indirekter Migrationshintergrund","maennlich","13","","",""
"Fast nie oder nie","1985","indirekter Migrationshintergrund","weiblich","39","0.543860007012657","0.431137640701223","0.65658237332409"
"Fast nie oder nie","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1985","kein Migrationshintergrund","maennlich","551","0.140037004654539","0.128943386419438","0.15113062288964"
"Mehrmals im Jahr","1985","kein Migrationshintergrund","weiblich","553","0.120514682821958","0.110566351857619","0.130463013786297"
"Mehrmals im Jahr","1985","direkter Migrationshintergrund","maennlich","191","0.123841486785321","0.107314440421188","0.140368533149453"
"Mehrmals im Jahr","1985","direkter Migrationshintergrund","weiblich","109","0.0846929230231845","0.0698518016663752","0.0995340443799938"
"Mehrmals im Jahr","1985","indirekter Migrationshintergrund","maennlich","10","","",""
"Mehrmals im Jahr","1985","indirekter Migrationshintergrund","weiblich","17","","",""
"Mehrmals im Jahr","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1985","kein Migrationshintergrund","maennlich","246","0.060806379044919","0.0531668943272831","0.0684458637625549"
"Mindestens einmal im Monat","1985","kein Migrationshintergrund","weiblich","174","0.039349269396786","0.0334081669319934","0.0452903718615785"
"Mindestens einmal im Monat","1985","direkter Migrationshintergrund","maennlich","79","0.0501875338712412","0.0392331568349518","0.0611419109075306"
"Mindestens einmal im Monat","1985","direkter Migrationshintergrund","weiblich","31","0.0242095169757939","0.0160167406809301","0.0324022932706577"
"Mindestens einmal im Monat","1985","indirekter Migrationshintergrund","maennlich","8","","",""
"Mindestens einmal im Monat","1985","indirekter Migrationshintergrund","weiblich","2","","",""
"Mindestens einmal im Monat","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1985","kein Migrationshintergrund","maennlich","1099","0.280901426165485","0.266533863038989","0.295268989291981"
"Mindestens einmal die Woche","1985","kein Migrationshintergrund","weiblich","928","0.214188402315538","0.201651993674047","0.22672481095703"
"Mindestens einmal die Woche","1985","direkter Migrationshintergrund","maennlich","288","0.208743671043886","0.188352785775624","0.229134556312147"
"Mindestens einmal die Woche","1985","direkter Migrationshintergrund","weiblich","97","0.136775372535064","0.118459584476488","0.15509116059364"
"Mindestens einmal die Woche","1985","indirekter Migrationshintergrund","maennlich","31","0.46234305266193","0.33823869094157","0.586447414382289"
"Mindestens einmal die Woche","1985","indirekter Migrationshintergrund","weiblich","17","","",""
"Mindestens einmal die Woche","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1986","kein Migrationshintergrund","maennlich","1732","0.506181258521504","0.489863066300547","0.52249945074246"
"Fast nie oder nie","1986","kein Migrationshintergrund","weiblich","2322","0.628926045773089","0.613783819253754","0.644068272292425"
"Fast nie oder nie","1986","direkter Migrationshintergrund","maennlich","936","0.606270019848422","0.581520346024624","0.63101969367222"
"Fast nie oder nie","1986","direkter Migrationshintergrund","weiblich","1050","0.755542052432108","0.732189151115272","0.778894953748945"
"Fast nie oder nie","1986","indirekter Migrationshintergrund","maennlich","18","","",""
"Fast nie oder nie","1986","indirekter Migrationshintergrund","weiblich","39","0.448213264176647","0.340574390331121","0.555852138022173"
"Fast nie oder nie","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1986","kein Migrationshintergrund","maennlich","505","0.134900164615314","0.12375017188236","0.146050157348267"
"Mehrmals im Jahr","1986","kein Migrationshintergrund","weiblich","474","0.108618900886083","0.0988657683756856","0.11837203339648"
"Mehrmals im Jahr","1986","direkter Migrationshintergrund","maennlich","167","0.121117236307644","0.104589794347301","0.137644678267987"
"Mehrmals im Jahr","1986","direkter Migrationshintergrund","weiblich","104","0.0834282314713945","0.0684020302749222","0.0984544326678668"
"Mehrmals im Jahr","1986","indirekter Migrationshintergrund","maennlich","9","","",""
"Mehrmals im Jahr","1986","indirekter Migrationshintergrund","weiblich","15","","",""
"Mehrmals im Jahr","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1986","kein Migrationshintergrund","maennlich","230","0.0607013969921999","0.0529078275196582","0.0684949664647415"
"Mindestens einmal im Monat","1986","kein Migrationshintergrund","weiblich","200","0.0469003172272219","0.0402733203653425","0.0535273140891013"
"Mindestens einmal im Monat","1986","direkter Migrationshintergrund","maennlich","87","0.0585523006051642","0.0466588664652972","0.0704457347450312"
"Mindestens einmal im Monat","1986","direkter Migrationshintergrund","weiblich","35","0.0407684745285245","0.0300228071026267","0.0515141419544223"
"Mindestens einmal im Monat","1986","indirekter Migrationshintergrund","maennlich","6","","",""
"Mindestens einmal im Monat","1986","indirekter Migrationshintergrund","weiblich","6","","",""
"Mindestens einmal im Monat","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1986","kein Migrationshintergrund","maennlich","1139","0.298217179870983","0.283285697513285","0.31314866222868"
"Mindestens einmal die Woche","1986","kein Migrationshintergrund","weiblich","914","0.215554736113606","0.202665718424748","0.228443753802463"
"Mindestens einmal die Woche","1986","direkter Migrationshintergrund","maennlich","307","0.21406044323877","0.193282623468212","0.234838263009327"
"Mindestens einmal die Woche","1986","direkter Migrationshintergrund","weiblich","112","0.120261241567973","0.102586659743185","0.13793582339276"
"Mindestens einmal die Woche","1986","indirekter Migrationshintergrund","maennlich","38","0.441355689739373","0.325855959090383","0.556855420388363"
"Mindestens einmal die Woche","1986","indirekter Migrationshintergrund","weiblich","22","","",""
"Mindestens einmal die Woche","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1987","kein Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1987","kein Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1987","direkter Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1987","direkter Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1987","kein Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1987","kein Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1987","direkter Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1987","direkter Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1987","kein Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1987","kein Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1987","direkter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1987","direkter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1987","kein Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1987","kein Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1987","direkter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1987","direkter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1988","kein Migrationshintergrund","maennlich","1591","0.497130966740669","0.480294954038035","0.513966979443303"
"Fast nie oder nie","1988","kein Migrationshintergrund","weiblich","2018","0.590769077531092","0.57475186624059","0.606786288821595"
"Fast nie oder nie","1988","direkter Migrationshintergrund","maennlich","898","0.623301871881636","0.597865061604127","0.648738682159145"
"Fast nie oder nie","1988","direkter Migrationshintergrund","weiblich","1015","0.755127076640479","0.731231456525475","0.779022696755483"
"Fast nie oder nie","1988","indirekter Migrationshintergrund","maennlich","26","","",""
"Fast nie oder nie","1988","indirekter Migrationshintergrund","weiblich","51","0.573697884691031","0.482515858756512","0.664879910625551"
"Fast nie oder nie","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1988","kein Migrationshintergrund","maennlich","525","0.150047045951043","0.13802197745469","0.162072114447396"
"Mehrmals im Jahr","1988","kein Migrationshintergrund","weiblich","515","0.128388800175711","0.117491503440958","0.139286096910463"
"Mehrmals im Jahr","1988","direkter Migrationshintergrund","maennlich","161","0.136813959558507","0.118774060035886","0.154853859081128"
"Mehrmals im Jahr","1988","direkter Migrationshintergrund","weiblich","91","0.0801579125550037","0.0650686596117387","0.0952471654982688"
"Mehrmals im Jahr","1988","indirekter Migrationshintergrund","maennlich","17","","",""
"Mehrmals im Jahr","1988","indirekter Migrationshintergrund","weiblich","22","","",""
"Mehrmals im Jahr","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1988","kein Migrationshintergrund","maennlich","223","0.0617201115248384","0.0536169229639964","0.0698233000856804"
"Mindestens einmal im Monat","1988","kein Migrationshintergrund","weiblich","194","0.0506328473646981","0.0434907283669364","0.0577749663624598"
"Mindestens einmal im Monat","1988","direkter Migrationshintergrund","maennlich","59","0.0367822943553926","0.026901352573231","0.0466632361375542"
"Mindestens einmal im Monat","1988","direkter Migrationshintergrund","weiblich","26","","",""
"Mindestens einmal im Monat","1988","indirekter Migrationshintergrund","maennlich","9","","",""
"Mindestens einmal im Monat","1988","indirekter Migrationshintergrund","weiblich","9","","",""
"Mindestens einmal im Monat","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1988","kein Migrationshintergrund","maennlich","1049","0.29110187578345","0.275805420348939","0.30639833121796"
"Mindestens einmal die Woche","1988","kein Migrationshintergrund","weiblich","893","0.230209274928499","0.21649598836957","0.243922561487428"
"Mindestens einmal die Woche","1988","direkter Migrationshintergrund","maennlich","276","0.203101874204464","0.181982790457357","0.224220957951571"
"Mindestens einmal die Woche","1988","direkter Migrationshintergrund","weiblich","112","0.140607029784256","0.121290134907514","0.159923924660998"
"Mindestens einmal die Woche","1988","indirekter Migrationshintergrund","maennlich","54","0.365957666709148","0.274257587435208","0.457657745983088"
"Mindestens einmal die Woche","1988","indirekter Migrationshintergrund","weiblich","31","0.221617894994626","0.145039245424508","0.298196544564743"
"Mindestens einmal die Woche","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1989","kein Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1989","kein Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1989","direkter Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1989","direkter Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1989","kein Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1989","kein Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1989","direkter Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1989","direkter Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1989","kein Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1989","kein Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1989","direkter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1989","direkter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1989","kein Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1989","kein Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1989","direkter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1989","direkter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1990","kein Migrationshintergrund","maennlich","2276","0.406892804917787","0.39349413847266","0.420291471362913"
"Fast nie oder nie","1990","kein Migrationshintergrund","weiblich","3092","0.525878276284937","0.512792086210548","0.538964466359326"
"Fast nie oder nie","1990","direkter Migrationshintergrund","maennlich","764","0.504107212807275","0.477689560162583","0.530524865451968"
"Fast nie oder nie","1990","direkter Migrationshintergrund","weiblich","934","0.673750078479379","0.647862737698915","0.699637419259844"
"Fast nie oder nie","1990","indirekter Migrationshintergrund","maennlich","29","","",""
"Fast nie oder nie","1990","indirekter Migrationshintergrund","weiblich","60","0.43060805882609","0.351367195914751","0.509848921737428"
"Fast nie oder nie","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1990","kein Migrationshintergrund","maennlich","1051","0.210381825953018","0.199265336709504","0.221498315196532"
"Mehrmals im Jahr","1990","kein Migrationshintergrund","weiblich","962","0.168856509900321","0.159038519808826","0.178674499991817"
"Mehrmals im Jahr","1990","direkter Migrationshintergrund","maennlich","219","0.185272654387996","0.164744463260778","0.205800845515214"
"Mehrmals im Jahr","1990","direkter Migrationshintergrund","weiblich","135","0.123353513492438","0.10519623190516","0.141510795079716"
"Mehrmals im Jahr","1990","indirekter Migrationshintergrund","maennlich","21","","",""
"Mehrmals im Jahr","1990","indirekter Migrationshintergrund","weiblich","29","","",""
"Mehrmals im Jahr","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1990","kein Migrationshintergrund","maennlich","429","0.0904357956641083","0.0826133629458561","0.0982582283823605"
"Mindestens einmal im Monat","1990","kein Migrationshintergrund","weiblich","327","0.0666600471440929","0.0601230481523525","0.0731970461358333"
"Mindestens einmal im Monat","1990","direkter Migrationshintergrund","maennlich","102","0.0769727160266828","0.0628890879061904","0.0910563441471753"
"Mindestens einmal im Monat","1990","direkter Migrationshintergrund","weiblich","49","0.0401973338676298","0.029351762938618","0.0510429047966416"
"Mindestens einmal im Monat","1990","indirekter Migrationshintergrund","maennlich","24","","",""
"Mindestens einmal im Monat","1990","indirekter Migrationshintergrund","weiblich","18","","",""
"Mindestens einmal im Monat","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1990","kein Migrationshintergrund","maennlich","1408","0.292289573465087","0.279884782994921","0.304694363935252"
"Mindestens einmal die Woche","1990","kein Migrationshintergrund","weiblich","1212","0.238605166670649","0.227434719323253","0.249775614018046"
"Mindestens einmal die Woche","1990","direkter Migrationshintergrund","maennlich","291","0.233647416778046","0.211289379352082","0.256005454204009"
"Mindestens einmal die Woche","1990","direkter Migrationshintergrund","weiblich","142","0.162699074160553","0.142319451198927","0.183078697122178"
"Mindestens einmal die Woche","1990","indirekter Migrationshintergrund","maennlich","70","0.434977698063249","0.354006020813786","0.515949375312712"
"Mindestens einmal die Woche","1990","indirekter Migrationshintergrund","weiblich","43","0.247413672763504","0.178359095399706","0.316468250127303"
"Mindestens einmal die Woche","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1991","kein Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1991","kein Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1991","direkter Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1991","direkter Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Fast nie oder nie","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Fast nie oder nie","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1991","kein Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1991","kein Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1991","direkter Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1991","direkter Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Mehrmals im Jahr","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Mehrmals im Jahr","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1991","kein Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1991","kein Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1991","direkter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1991","direkter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal im Monat","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal im Monat","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1991","kein Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1991","kein Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1991","direkter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1991","direkter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Mindestens einmal die Woche","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Mindestens einmal die Woche","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal die Woche","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Fast nie oder nie","1992","kein Migrationshintergrund","maennlich","2389","0.486107861063839","0.472056051167814","0.500159670959863"
"Fast nie oder nie","1992","kein Migrationshintergrund","weiblich","3130","0.590757869824694","0.577553986780559","0.603961752868829"
"Fast nie oder nie","1992","direkter Migrationshintergrund","maennlich","801","0.604134476072399","0.577509683028988","0.630759269115811"
"Fast nie oder nie","1992","direkter Migrationshintergrund","weiblich","916","0.712028388643641","0.686322450613247","0.737734326674036"
"Fast nie oder nie","1992","indirekter Migrationshintergrund","maennlich","39","0.229861008385761","0.171839419691547","0.287882597079974"
"Fast nie oder nie","1992","indirekter Migrationshintergrund","weiblich","65","0.40332808588076","0.334118465516232","0.472537706245287"
"Fast nie oder nie","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Fast nie oder nie","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mehrmals im Jahr","1992","kein Migrationshintergrund","maennlich","933","0.182371173802916","0.171514765954734","0.193227581651098"
"Mehrmals im Jahr","1992","kein Migrationshintergrund","weiblich","858","0.142700114511773","0.133307526217684","0.152092702805861"
"Mehrmals im Jahr","1992","direkter Migrationshintergrund","maennlich","181","0.130601458406","0.112255979338721","0.148946937473279"
"Mehrmals im Jahr","1992","direkter Migrationshintergrund","weiblich","128","0.137204924736624","0.117672838097093","0.156737011376155"
"Mehrmals im Jahr","1992","indirekter Migrationshintergrund","maennlich","36","0.19946961943631","0.144363517025038","0.254575721847583"
"Mehrmals im Jahr","1992","indirekter Migrationshintergrund","weiblich","46","0.214779221686113","0.156841493722705","0.272716949649521"
"Mehrmals im Jahr","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mehrmals im Jahr","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal im Monat","1992","kein Migrationshintergrund","maennlich","368","0.0790671843499358","0.0714806737777759","0.0866536949220958"
"Mindestens einmal im Monat","1992","kein Migrationshintergrund","weiblich","243","0.0484036342608971","0.0426403224680934","0.0541669460537007"
"Mindestens einmal im Monat","1992","direkter Migrationshintergrund","maennlich","68","0.0591407993641131","0.0462982423184879","0.0719833564097384"
"Mindestens einmal im Monat","1992","direkter Migrationshintergrund","weiblich","36","0.0253905613417308","0.0164603564962046","0.0343207661872569"
"Mindestens einmal im Monat","1992","indirekter Migrationshintergrund","maennlich","25","","",""
"Mindestens einmal im Monat","1992","indirekter Migrationshintergrund","weiblich","22","","",""
"Mindestens einmal im Monat","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Mindestens einmal im Monat","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Mindestens einmal die Woche","1992","kein Migrationshintergrund","maennlich","1170","0.25245378078331","0.240240286861011","0.264667274705608"
