"m11104","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1986","kein Migrationshintergrund","Staedtischer Raum","3006","0.5633690957779","0.550453873667509","0.576284317888291"
"Fast nie oder nie","1986","kein Migrationshintergrund","Laendlicher Raum","1048","","",""
"Fast nie oder nie","1986","direkter Migrationshintergrund","Staedtischer Raum","1757","","",""
"Fast nie oder nie","1986","direkter Migrationshintergrund","Laendlicher Raum","229","","",""
"Fast nie oder nie","1986","indirekter Migrationshintergrund","Staedtischer Raum","48","0.407057607026179","0.323563377971688","0.49055183608067"
"Fast nie oder nie","1986","indirekter Migrationshintergrund","Laendlicher Raum","9","0.552586183409921","0.334670845100048","0.770501521719793"
"Fast nie oder nie","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1986","kein Migrationshintergrund","Staedtischer Raum","742","0.121956910013611","0.113435543312482","0.130478276714739"
"Mehrmals im Jahr","1986","kein Migrationshintergrund","Laendlicher Raum","237","","",""
"Mehrmals im Jahr","1986","direkter Migrationshintergrund","Staedtischer Raum","221","","",""
"Mehrmals im Jahr","1986","direkter Migrationshintergrund","Laendlicher Raum","50","0.132662981095147","0.0976228551727057","0.167703107017589"
"Mehrmals im Jahr","1986","indirekter Migrationshintergrund","Staedtischer Raum","21","","",""
"Mehrmals im Jahr","1986","indirekter Migrationshintergrund","Laendlicher Raum","3","","",""
"Mehrmals im Jahr","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1986","kein Migrationshintergrund","Staedtischer Raum","331","0.054695524546532","0.0487743224152945","0.0606167266777695"
"Mindestens einmal im Monat","1986","kein Migrationshintergrund","Laendlicher Raum","99","0.049493264063336","0.03961238624066","0.059374141886012"
"Mindestens einmal im Monat","1986","direkter Migrationshintergrund","Staedtischer Raum","102","","",""
"Mindestens einmal im Monat","1986","direkter Migrationshintergrund","Laendlicher Raum","20","","",""
"Mindestens einmal im Monat","1986","indirekter Migrationshintergrund","Staedtischer Raum","10","","",""
"Mindestens einmal im Monat","1986","indirekter Migrationshintergrund","Laendlicher Raum","2","","",""
"Mindestens einmal im Monat","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1986","kein Migrationshintergrund","Staedtischer Raum","1586","","",""
"Mindestens einmal die Woche","1986","kein Migrationshintergrund","Laendlicher Raum","467","0.237727862446708","0.218335087958307","0.257120636935109"
"Mindestens einmal die Woche","1986","direkter Migrationshintergrund","Staedtischer Raum","358","0.16285144259399","0.14819500875122","0.17750787643676"
"Mindestens einmal die Woche","1986","direkter Migrationshintergrund","Laendlicher Raum","61","0.198486747316452","0.157284780133655","0.239688714499249"
"Mindestens einmal die Woche","1986","indirekter Migrationshintergrund","Staedtischer Raum","54","0.381855817204398","0.299286846770646","0.464424787638151"
"Mindestens einmal die Woche","1986","indirekter Migrationshintergrund","Laendlicher Raum","6","0.229290553426449","0.045055817777545","0.413525289075353"
"Mindestens einmal die Woche","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Fast nie oder nie","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Fast nie oder nie","1988","kein Migrationshintergrund","Staedtischer Raum","2716","","",""
"Fast nie oder nie","1988","kein Migrationshintergrund","Laendlicher Raum","893","0.554491265117936","0.53085782907567","0.578124701160202"
"Fast nie oder nie","1988","direkter Migrationshintergrund","Staedtischer Raum","1697","","",""
"Fast nie oder nie","1988","direkter Migrationshintergrund","Laendlicher Raum","216","","",""
"Fast nie oder nie","1988","indirekter Migrationshintergrund","Staedtischer Raum","67","0.492343517543193","0.421068674580578","0.563618360505808"
"Fast nie oder nie","1988","indirekter Migrationshintergrund","Laendlicher Raum","10","","",""
"Fast nie oder nie","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1988","kein Migrationshintergrund","Staedtischer Raum","759","0.133054627015249","0.123918700749516","0.142190553280982"
"Mehrmals im Jahr","1988","kein Migrationshintergrund","Laendlicher Raum","281","","",""
"Mehrmals im Jahr","1988","direkter Migrationshintergrund","Staedtischer Raum","215","","",""
"Mehrmals im Jahr","1988","direkter Migrationshintergrund","Laendlicher Raum","37","0.109163106758081","0.0759180727336255","0.142408140782536"
"Mehrmals im Jahr","1988","indirekter Migrationshintergrund","Staedtischer Raum","33","0.147007947194863","0.0965232113755356","0.19749268301419"
"Mehrmals im Jahr","1988","indirekter Migrationshintergrund","Laendlicher Raum","6","0.168187195539908","0.0343438669131905","0.302030524166625"
"Mehrmals im Jahr","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1988","kein Migrationshintergrund","Staedtischer Raum","322","0.0557829036113406","0.0496094496121283","0.0619563576105529"
"Mindestens einmal im Monat","1988","kein Migrationshintergrund","Laendlicher Raum","95","0.0561836160244554","0.0452339719769483","0.0671332600719625"
"Mindestens einmal im Monat","1988","direkter Migrationshintergrund","Staedtischer Raum","65","0.027552333144722","0.0208627896340599","0.0342418766553842"
"Mindestens einmal im Monat","1988","direkter Migrationshintergrund","Laendlicher Raum","20","","",""
"Mindestens einmal im Monat","1988","indirekter Migrationshintergrund","Staedtischer Raum","14","","",""
"Mindestens einmal im Monat","1988","indirekter Migrationshintergrund","Laendlicher Raum","4","0.0680607727846771","-0.0220609941283759","0.15818253969773"
"Mindestens einmal im Monat","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1988","kein Migrationshintergrund","Staedtischer Raum","1512","","",""
"Mindestens einmal die Woche","1988","kein Migrationshintergrund","Laendlicher Raum","430","0.233812523549266","0.213686739390098","0.253938307708433"
"Mindestens einmal die Woche","1988","direkter Migrationshintergrund","Staedtischer Raum","323","0.156548883029513","0.141698449969048","0.171399316089977"
"Mindestens einmal die Woche","1988","direkter Migrationshintergrund","Laendlicher Raum","65","0.265701191871197","0.218611819305137","0.312790564437257"
"Mindestens einmal die Woche","1988","indirekter Migrationshintergrund","Staedtischer Raum","75","0.293286511668314","0.228380499903259","0.358192523433368"
"Mindestens einmal die Woche","1988","indirekter Migrationshintergrund","Laendlicher Raum","10","","",""
"Mindestens einmal die Woche","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Fast nie oder nie","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Fast nie oder nie","1990","kein Migrationshintergrund","Staedtischer Raum","2802","","",""
"Fast nie oder nie","1990","kein Migrationshintergrund","Laendlicher Raum","2516","","",""
"Fast nie oder nie","1990","direkter Migrationshintergrund","Staedtischer Raum","1438","","",""
"Fast nie oder nie","1990","direkter Migrationshintergrund","Laendlicher Raum","259","","",""
"Fast nie oder nie","1990","indirekter Migrationshintergrund","Staedtischer Raum","75","0.302257450588837","0.245669503110826","0.358845398066849"
"Fast nie oder nie","1990","indirekter Migrationshintergrund","Laendlicher Raum","14","","",""
"Fast nie oder nie","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1990","kein Migrationshintergrund","Staedtischer Raum","1229","","",""
"Mehrmals im Jahr","1990","kein Migrationshintergrund","Laendlicher Raum","763","0.18755483423732","0.175884694771618","0.199224973703021"
"Mehrmals im Jahr","1990","direkter Migrationshintergrund","Staedtischer Raum","306","0.156902448571803","0.141793324567508","0.172011572576099"
"Mehrmals im Jahr","1990","direkter Migrationshintergrund","Laendlicher Raum","48","0.144970767601816","0.110850130029033","0.1790914051746"
"Mehrmals im Jahr","1990","indirekter Migrationshintergrund","Staedtischer Raum","39","0.218889478838681","0.167938032362797","0.269840925314565"
"Mehrmals im Jahr","1990","indirekter Migrationshintergrund","Laendlicher Raum","11","","",""
"Mehrmals im Jahr","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1990","kein Migrationshintergrund","Staedtischer Raum","511","0.083263313595976","0.0764807915765845","0.0900458356153676"
"Mindestens einmal im Monat","1990","kein Migrationshintergrund","Laendlicher Raum","241","","",""
"Mindestens einmal im Monat","1990","direkter Migrationshintergrund","Staedtischer Raum","124","","",""
"Mindestens einmal im Monat","1990","direkter Migrationshintergrund","Laendlicher Raum","27","","",""
"Mindestens einmal im Monat","1990","indirekter Migrationshintergrund","Staedtischer Raum","38","0.138793438200205","0.0961918330665151","0.181395043333894"
"Mindestens einmal im Monat","1990","indirekter Migrationshintergrund","Laendlicher Raum","4","0.0717045957164514","-0.00726733550600464","0.150676526938907"
"Mindestens einmal im Monat","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1990","kein Migrationshintergrund","Staedtischer Raum","1832","","",""
"Mindestens einmal die Woche","1990","kein Migrationshintergrund","Laendlicher Raum","778","0.207208921055057","0.195091826765767","0.219326015344347"
"Mindestens einmal die Woche","1990","direkter Migrationshintergrund","Staedtischer Raum","358","0.197394495854633","0.180859499739698","0.213929491969569"
"Mindestens einmal die Woche","1990","direkter Migrationshintergrund","Laendlicher Raum","75","0.204095239969185","0.165035133204129","0.243155346734242"
"Mindestens einmal die Woche","1990","indirekter Migrationshintergrund","Staedtischer Raum","101","","",""
"Mindestens einmal die Woche","1990","indirekter Migrationshintergrund","Laendlicher Raum","12","","",""
"Mindestens einmal die Woche","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Fast nie oder nie","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Fast nie oder nie","1992","kein Migrationshintergrund","Staedtischer Raum","3051","0.514419445969902","0.501833878901989","0.527005013037816"
"Fast nie oder nie","1992","kein Migrationshintergrund","Laendlicher Raum","2397","","",""
"Fast nie oder nie","1992","direkter Migrationshintergrund","Staedtischer Raum","1461","","",""
"Fast nie oder nie","1992","direkter Migrationshintergrund","Laendlicher Raum","255","","",""
"Fast nie oder nie","1992","indirekter Migrationshintergrund","Staedtischer Raum","87","0.312514871257874","0.263026844338976","0.362002898176772"
"Fast nie oder nie","1992","indirekter Migrationshintergrund","Laendlicher Raum","17","","",""
"Fast nie oder nie","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1992","kein Migrationshintergrund","Staedtischer Raum","1046","","",""
"Mehrmals im Jahr","1992","kein Migrationshintergrund","Laendlicher Raum","725","0.164939164754952","0.153456717360683","0.176421612149221"
"Mehrmals im Jahr","1992","direkter Migrationshintergrund","Staedtischer Raum","246","","",""
"Mehrmals im Jahr","1992","direkter Migrationshintergrund","Laendlicher Raum","63","0.169072207436674","0.132568385816865","0.205576029056484"
"Mehrmals im Jahr","1992","indirekter Migrationshintergrund","Staedtischer Raum","65","0.19894839304917","0.156326414480303","0.241570371618038"
"Mehrmals im Jahr","1992","indirekter Migrationshintergrund","Laendlicher Raum","17","","",""
"Mehrmals im Jahr","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1992","kein Migrationshintergrund","Staedtischer Raum","414","0.0701862430518856","0.0637533336025267","0.0766191525012445"
"Mindestens einmal im Monat","1992","kein Migrationshintergrund","Laendlicher Raum","196","","",""
"Mindestens einmal im Monat","1992","direkter Migrationshintergrund","Staedtischer Raum","85","0.040726114878977","0.0322359616145747","0.0492162681433793"
"Mindestens einmal im Monat","1992","direkter Migrationshintergrund","Laendlicher Raum","19","","",""
"Mindestens einmal im Monat","1992","indirekter Migrationshintergrund","Staedtischer Raum","39","0.0796852088775222","0.0507724057342873","0.108598012020757"
"Mindestens einmal im Monat","1992","indirekter Migrationshintergrund","Laendlicher Raum","8","0.15994883305971","0.0656128234093057","0.254284842710114"
"Mindestens einmal im Monat","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1992","kein Migrationshintergrund","Staedtischer Raum","1547","","",""
"Mindestens einmal die Woche","1992","kein Migrationshintergrund","Laendlicher Raum","695","0.193425148536339","0.181204554447872","0.205645742624806"
"Mindestens einmal die Woche","1992","direkter Migrationshintergrund","Staedtischer Raum","290","","",""
"Mindestens einmal die Woche","1992","direkter Migrationshintergrund","Laendlicher Raum","68","0.19414121025528","0.155619202054482","0.232663218456077"
"Mindestens einmal die Woche","1992","indirekter Migrationshintergrund","Staedtischer Raum","146","","",""
"Mindestens einmal die Woche","1992","indirekter Migrationshintergrund","Laendlicher Raum","16","","",""
"Mindestens einmal die Woche","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Fast nie oder nie","1993","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1993","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1993","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Fast nie oder nie","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1993","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1993","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1993","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
