"m11104","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1987","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1987","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1987","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1987","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1987","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1987","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1987","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1987","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1987","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1987","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1988","17-34","kein Migrationshintergrund","836","0.322202872492794","0.304295008508078","0.340110736477511"
"Fast nie oder nie","1988","17-34","direkter Migrationshintergrund","572","0.509091868552059","0.478367298966379","0.539816438137739"
"Fast nie oder nie","1988","17-34","indirekter Migrationshintergrund","60","0.386558729974329","0.317857632539707","0.455259827408951"
"Fast nie oder nie","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1988","35-65","kein Migrationshintergrund","1959","","",""
"Fast nie oder nie","1988","35-65","direkter Migrationshintergrund","1285","","",""
"Fast nie oder nie","1988","35-65","indirekter Migrationshintergrund","15","","",""
"Fast nie oder nie","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1988","66 +","kein Migrationshintergrund","814","0.855143049151152","0.832797517325582","0.877488580976722"
"Fast nie oder nie","1988","66 +","direkter Migrationshintergrund","56","0.878364773602616","0.797651501229989","0.959078045975243"
"Fast nie oder nie","1988","66 +","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1988","17-34","kein Migrationshintergrund","554","0.20967449465245","0.19407519780664","0.225273791498259"
"Mehrmals im Jahr","1988","17-34","direkter Migrationshintergrund","141","","",""
"Mehrmals im Jahr","1988","17-34","indirekter Migrationshintergrund","36","0.161514795552924","0.109596157146849","0.213433433958998"
"Mehrmals im Jahr","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1988","35-65","kein Migrationshintergrund","455","0.132485349617257","0.121154712256918","0.143815986977595"
"Mehrmals im Jahr","1988","35-65","direkter Migrationshintergrund","110","","",""
"Mehrmals im Jahr","1988","35-65","indirekter Migrationshintergrund","3","","",""
"Mehrmals im Jahr","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1988","66 +","kein Migrationshintergrund","31","0.0322796651565445","0.0210584191212978","0.0435009111917911"
"Mehrmals im Jahr","1988","66 +","direkter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1988","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1988","17-34","kein Migrationshintergrund","204","","",""
"Mindestens einmal im Monat","1988","17-34","direkter Migrationshintergrund","58","0.0580189152339103","0.0436510082439942","0.0723868222238264"
"Mindestens einmal im Monat","1988","17-34","indirekter Migrationshintergrund","17","","",""
"Mindestens einmal im Monat","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1988","35-65","kein Migrationshintergrund","195","","",""
"Mindestens einmal im Monat","1988","35-65","direkter Migrationshintergrund","27","","",""
"Mindestens einmal im Monat","1988","35-65","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1988","66 +","kein Migrationshintergrund","18","","",""
"Mindestens einmal im Monat","1988","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1988","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1988","17-34","kein Migrationshintergrund","1022","","",""
"Mindestens einmal die Woche","1988","17-34","direkter Migrationshintergrund","246","","",""
"Mindestens einmal die Woche","1988","17-34","indirekter Migrationshintergrund","80","0.358308243731993","0.290659292723149","0.425957194740838"
"Mindestens einmal die Woche","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1988","35-65","kein Migrationshintergrund","830","0.235056106107284","0.220884059792403","0.249228152422165"
"Mindestens einmal die Woche","1988","35-65","direkter Migrationshintergrund","136","","",""
"Mindestens einmal die Woche","1988","35-65","indirekter Migrationshintergrund","5","0.135974753414236","-0.00115598874303338","0.273105495571505"
"Mindestens einmal die Woche","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1988","66 +","kein Migrationshintergrund","90","0.0938713159192614","0.0753546396856438","0.112387992152879"
"Mindestens einmal die Woche","1988","66 +","direkter Migrationshintergrund","6","0.0992626711096494","0.0254263795874036","0.173098962631895"
"Mindestens einmal die Woche","1988","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1989","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1989","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1989","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1989","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1989","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1989","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1989","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1989","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1989","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1989","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1989","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1989","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1989","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1989","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1989","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1989","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1989","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1989","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1990","17-34","kein Migrationshintergrund","1437","","",""
"Fast nie oder nie","1990","17-34","direkter Migrationshintergrund","438","0.391304604805578","0.359699455838898","0.422909753772259"
"Fast nie oder nie","1990","17-34","indirekter Migrationshintergrund","76","0.251655013701083","0.199601963826078","0.303708063576089"
"Fast nie oder nie","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1990","35-65","kein Migrationshintergrund","2843","","",""
"Fast nie oder nie","1990","35-65","direkter Migrationshintergrund","1178","","",""
"Fast nie oder nie","1990","35-65","indirekter Migrationshintergrund","10","","",""
"Fast nie oder nie","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1990","66 +","kein Migrationshintergrund","1088","","",""
"Fast nie oder nie","1990","66 +","direkter Migrationshintergrund","82","0.788864299184735","0.710048829720512","0.867679768648958"
"Fast nie oder nie","1990","66 +","indirekter Migrationshintergrund","3","","",""
"Fast nie oder nie","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1990","17-34","kein Migrationshintergrund","975","0.24296423079437","0.229846219840388","0.256082241748351"
"Mehrmals im Jahr","1990","17-34","direkter Migrationshintergrund","154","","",""
"Mehrmals im Jahr","1990","17-34","indirekter Migrationshintergrund","44","0.216964846502603","0.167524924503902","0.266404768501304"
"Mehrmals im Jahr","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1990","35-65","kein Migrationshintergrund","958","0.196915666466333","0.186235741002696","0.207595591929971"
"Mehrmals im Jahr","1990","35-65","direkter Migrationshintergrund","196","","",""
"Mehrmals im Jahr","1990","35-65","indirekter Migrationshintergrund","6","0.292974160304409","0.110888907940725","0.475059412668092"
"Mehrmals im Jahr","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1990","66 +","kein Migrationshintergrund","80","0.0634452052925444","0.0503199986038435","0.0765704119812454"
"Mehrmals im Jahr","1990","66 +","direkter Migrationshintergrund","4","0.0423915014958161","0.00348135425652522","0.081301648735107"
"Mehrmals im Jahr","1990","66 +","indirekter Migrationshintergrund","","","",""
