"pli0093_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1990","AkademikerIn","kein Migrationshintergrund","116","0.183894886488164","0.152948658449855","0.214841114526472"
"Min 1x pro Monat","1990","AkademikerIn","direkter Migrationshintergrund","17","","",""
"Min 1x pro Monat","1990","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","(noch) kein Abschluss","kein Migrationshintergrund","46","0.285336076277965","0.21469984221747","0.355972310338461"
"Seltener","1990","(noch) kein Abschluss","direkter Migrationshintergrund","82","0.12042480373243","0.0949704116334516","0.145879195831408"
"Seltener","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","10","","",""
"Seltener","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","Hauptschule","kein Migrationshintergrund","1099","0.277840273684794","0.263618857433503","0.292061689936084"
"Seltener","1990","Hauptschule","direkter Migrationshintergrund","245","0.227891987813644","0.205614660024723","0.250169315602566"
"Seltener","1990","Hauptschule","indirekter Migrationshintergrund","34","0.262580279203415","0.190204651121916","0.334955907284915"
"Seltener","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","Realschule","kein Migrationshintergrund","491","0.341578486127023","0.316938361383166","0.36621861087088"
"Seltener","1990","Realschule","direkter Migrationshintergrund","44","0.308813721336748","0.233091051020016","0.38453639165348"
"Seltener","1990","Realschule","indirekter Migrationshintergrund","11","","",""
"Seltener","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","(Fach-)Abitur","kein Migrationshintergrund","165","0.307820052491623","0.268107996435881","0.347532108547366"
"Seltener","1990","(Fach-)Abitur","direkter Migrationshintergrund","43","0.190544515160146","0.135702969174771","0.24538606114552"
"Seltener","1990","(Fach-)Abitur","indirekter Migrationshintergrund","7","","",""
"Seltener","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","AkademikerIn","kein Migrationshintergrund","214","0.361748047774234","0.323364154829192","0.400131940719276"
"Seltener","1990","AkademikerIn","direkter Migrationshintergrund","23","","",""
"Seltener","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","(noch) kein Abschluss","kein Migrationshintergrund","56","0.372217830246322","0.296603982275671","0.447831678216973"
"Nie","1990","(noch) kein Abschluss","direkter Migrationshintergrund","507","0.791438707453369","0.759663106900175","0.823214308006563"
"Nie","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","25","","",""
"Nie","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","Hauptschule","kein Migrationshintergrund","2024","0.548818515751752","0.533019914844162","0.564617116659342"
"Nie","1990","Hauptschule","direkter Migrationshintergrund","968","0.640777202323753","0.615297461350638","0.666256943296869"
"Nie","1990","Hauptschule","indirekter Migrationshintergrund","74","0.510231360001333","0.42801031738828","0.592452402614387"
"Nie","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","Realschule","kein Migrationshintergrund","445","0.32267886513056","0.298388825963689","0.346968904297432"
"Nie","1990","Realschule","direkter Migrationshintergrund","60","0.422318880062247","0.341363743838941","0.503274016285554"
"Nie","1990","Realschule","indirekter Migrationshintergrund","16","","",""
"Nie","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","(Fach-)Abitur","kein Migrationshintergrund","134","0.265606292406631","0.227609401195335","0.303603183617927"
"Nie","1990","(Fach-)Abitur","direkter Migrationshintergrund","105","0.36166492542319","0.294569559104615","0.428760291741765"
"Nie","1990","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"Nie","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","AkademikerIn","kein Migrationshintergrund","125","0.211970321256512","0.179322164913198","0.244618477599827"
"Nie","1990","AkademikerIn","direkter Migrationshintergrund","33","0.247423659213066","0.157265995698586","0.337581322727546"
"Nie","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1991","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","Realschule","kein Migrationshintergrund","","","",""
"Nie","1991","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1992","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","Realschule","kein Migrationshintergrund","","","",""
"Nie","1992","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
