"pli0093_h","year","age_gr","n","percent","lower_confidence","upper_confidence","NA"
"Min 1x pro Woche","1995","66 +","97","0.0766533795622563","0.0632124942116827","0.09009426491283",""
"Min 1x pro Monat","1995","17-34","470","0.0984097610729373","0.0900696134029676","0.106749908742907",""
"Min 1x pro Monat","1995","35-65","531","0.0948779538273161","0.0879112767137813","0.101844630940851",""
"Min 1x pro Monat","1995","66 +","88","0.0533469592253261","0.0419934506314619","0.0647004678191904",""
"Seltener","1995","17-34","1528","0.320715938751221","0.307647129020616","0.333784748481825",""
"Seltener","1995","35-65","2039","0.315578736177274","0.304530191675433","0.326627280679115",""
"Seltener","1995","66 +","218","0.149001471085388","0.131011124761602","0.166991817409173",""
"Nie","1995","17-34","2195","0.418547039611722","0.4047343109283","0.432359768295143",""
"Nie","1995","35-65","3634","0.483701307760225","0.471820975157843","0.495581640362608",""
"Nie","1995","66 +","1069","0.697202568368083","0.673989346424022","0.720415790312145",""
"Taeglich","1996","17-34","","","","",""
"Taeglich","1996","35-65","","","","",""
"Taeglich","1996","66 +","","","","",""
"Min 1x pro Woche","1996","17-34","","","","",""
"Min 1x pro Woche","1996","35-65","","","","",""
"Min 1x pro Woche","1996","66 +","","","","",""
"Min 1x pro Monat","1996","17-34","","","","",""
"Min 1x pro Monat","1996","35-65","","","","",""
"Min 1x pro Monat","1996","66 +","","","","",""
"Seltener","1996","17-34","","","","",""
"Seltener","1996","35-65","","","","",""
"Seltener","1996","66 +","","","","",""
"Nie","1996","17-34","","","","",""
"Nie","1996","35-65","","","","",""
"Nie","1996","66 +","","","","",""
"Taeglich","1997","17-34","","","","",""
"Taeglich","1997","35-65","","","","",""
"Taeglich","1997","66 +","","","","",""
"Min 1x pro Woche","1997","17-34","","","","",""
"Min 1x pro Woche","1997","35-65","","","","",""
"Min 1x pro Woche","1997","66 +","","","","",""
"Min 1x pro Monat","1997","17-34","","","","",""
"Min 1x pro Monat","1997","35-65","","","","",""
"Min 1x pro Monat","1997","66 +","","","","",""
"Seltener","1997","17-34","","","","",""
"Seltener","1997","35-65","","","","",""
"Seltener","1997","66 +","","","","",""
"Nie","1997","17-34","","","","",""
"Nie","1997","35-65","","","","",""
"Nie","1997","66 +","","","","",""
"Taeglich","1998","17-34","155","0.0397329748034213","0.0342288698334461","0.0452370797733964",""
"Taeglich","1998","35-65","129","0.0206564810597535","0.0174295694720364","0.0238833926474706",""
"Taeglich","1998","66 +","35","0.0180976383107743","0.0119615119634656","0.024233764658083",""
"Min 1x pro Woche","1998","17-34","486","0.110736115887963","0.101893614645917","0.119578617130009",""
"Min 1x pro Woche","1998","35-65","510","0.0794276425584222","0.07329276115543","0.0855625239614143",""
"Min 1x pro Woche","1998","66 +","102","0.0639545679572817","0.0526921033863926","0.0752170325281709",""
"Min 1x pro Monat","1998","17-34","469","0.0977127483180098","0.08934587518191","0.10607962145411",""
"Min 1x pro Monat","1998","35-65","582","0.087903531233739","0.0814793923964755","0.0943276700710025",""
"Min 1x pro Monat","1998","66 +","99","0.0560038113984555","0.0454199754013318","0.0665876473955792",""
"Seltener","1998","17-34","1340","0.286606286103155","0.273864724630296","0.299347847576013",""
"Seltener","1998","35-65","2163","0.301642289978954","0.291229276012256","0.312055303945651",""
"Seltener","1998","66 +","269","0.143206952916701","0.127083085892659","0.159330819940744",""
"Nie","1998","17-34","2388","0.465211874887451","0.451156856031587","0.479266893743316",""
"Nie","1998","35-65","4079","0.510370055169132","0.49902862173615","0.521711488602113",""
"Nie","1998","66 +","1308","0.718737029416787","0.698040835792799","0.739433223040776",""
"Taeglich","1999","17-34","","","","",""
"Taeglich","1999","35-65","","","","",""
"Taeglich","1999","66 +","","","","",""
"Min 1x pro Woche","1999","17-34","","","","",""
"Min 1x pro Woche","1999","35-65","","","","",""
"Min 1x pro Woche","1999","66 +","","","","",""
"Min 1x pro Monat","1999","17-34","","","","",""
"Min 1x pro Monat","1999","35-65","","","","",""
"Min 1x pro Monat","1999","66 +","","","","",""
"Seltener","1999","17-34","","","","",""
"Seltener","1999","35-65","","","","",""
"Seltener","1999","66 +","","","","",""
"Nie","1999","17-34","","","","",""
"Nie","1999","35-65","","","","",""
"Nie","1999","66 +","","","","",""
"Taeglich","2000","17-34","","","","",""
"Taeglich","2000","35-65","","","","",""
"Taeglich","2000","66 +","","","","",""
"Min 1x pro Woche","2000","17-34","","","","",""
"Min 1x pro Woche","2000","35-65","","","","",""
"Min 1x pro Woche","2000","66 +","","","","",""
"Min 1x pro Monat","2000","17-34","","","","",""
"Min 1x pro Monat","2000","35-65","","","","",""
"Min 1x pro Monat","2000","66 +","","","","",""
"Seltener","2000","17-34","","","","",""
"Seltener","2000","35-65","","","","",""
"Seltener","2000","66 +","","","","",""
"Nie","2000","17-34","","","","",""
"Nie","2000","35-65","","","","",""
"Nie","2000","66 +","","","","",""
"Taeglich","2001","17-34","","","","",""
"Taeglich","2001","35-65","","","","",""
"Taeglich","2001","66 +","","","","",""
"Min 1x pro Woche","2001","17-34","701","0.110641770841511","0.102831694734801","0.118451846948222",""
"Min 1x pro Woche","2001","35-65","943","0.0804187149963092","0.0755799155877353","0.0852575144048832",""
"Min 1x pro Woche","2001","66 +","227","0.0683722225839994","0.0598219236596605","0.0769225215083383",""
"Min 1x pro Monat","2001","17-34","462","0.075096205287013","0.0685345317425993","0.0816578788314267",""
"Min 1x pro Monat","2001","35-65","689","0.0623372907521839","0.0580353811891132","0.0666392003152547",""
"Min 1x pro Monat","2001","66 +","139","0.0443124682889901","0.0373407285566638","0.0512842080213165",""
"Seltener","2001","17-34","1626","0.261238071027322","0.250300325113766","0.272175816940879",""
"Seltener","2001","35-65","2887","0.238883536254576","0.231296316552262","0.246470755956891",""
"Seltener","2001","66 +","446","0.130863455425479","0.119438002319111","0.142288908531847",""
"Nie","2001","17-34","3408","0.553023952844153","0.540645355415295","0.565402550273011",""
"Nie","2001","35-65","7614","0.61836045799693","0.6097165222435","0.627004393750361",""
"Nie","2001","66 +","2535","0.756451853701531","0.741910551680601","0.770993155722462",""
"Taeglich","2002","17-34","","","","",""
"Taeglich","2002","35-65","","","","",""
"Taeglich","2002","66 +","","","","",""
"Min 1x pro Woche","2002","17-34","","","","",""
"Min 1x pro Woche","2002","35-65","","","","",""
"Min 1x pro Woche","2002","66 +","","","","",""
"Min 1x pro Monat","2002","17-34","","","","",""
"Min 1x pro Monat","2002","35-65","","","","",""
"Min 1x pro Monat","2002","66 +","","","","",""
"Seltener","2002","17-34","","","","",""
"Seltener","2002","35-65","","","","",""
"Seltener","2002","66 +","","","","",""
"Nie","2002","17-34","","","","",""
"Nie","2002","35-65","","","","",""
"Nie","2002","66 +","","","","",""
"Taeglich","2003","17-34","253","0.0380148091853082","0.0330984241413087","0.0429311942293076",""
"Taeglich","2003","35-65","261","0.0203684982893463","0.0179012570813642","0.0228357394973284",""
"Taeglich","2003","66 +","75","0.019672189058974","0.015140219059436","0.024204159058512",""
"Min 1x pro Woche","2003","17-34","759","0.118286874575713","0.109984215226685","0.126589533924742",""
"Min 1x pro Woche","2003","35-65","1180","0.0856030144684727","0.0807163484773069","0.0904896804596386",""
"Min 1x pro Woche","2003","66 +","217","0.0578336927013994","0.0502158979685466","0.0654514874342522",""
"Min 1x pro Monat","2003","17-34","602","0.103137995389481","0.0953188832074248","0.110957107571538",""
"Min 1x pro Monat","2003","35-65","1168","0.0888421791642164","0.0838727427451936","0.0938116155832391",""
"Min 1x pro Monat","2003","66 +","195","0.0538407697987114","0.0464750911842825","0.0612064484131404",""
"Seltener","2003","17-34","1509","0.268992616101211","0.257592314277852","0.28039291792457",""
"Seltener","2003","35-65","3540","0.270687122579467","0.262926590968787","0.278447654190146",""
"Seltener","2003","66 +","581","0.159728766888212","0.147773030323778","0.171684503452646",""
"Nie","2003","17-34","2689","0.471567704748286","0.458734001542657","0.484401407953915",""
"Nie","2003","35-65","6443","0.534499185498498","0.52578685222843","0.543211518768566",""
"Nie","2003","66 +","2539","0.708924581552703","0.694100158408846","0.72374900469656",""
"Taeglich","2004","17-34","","","","",""
"Taeglich","2004","35-65","","","","",""
"Taeglich","2004","66 +","","","","",""
"Min 1x pro Woche","2004","17-34","","","","",""
"Min 1x pro Woche","2004","35-65","","","","",""
"Min 1x pro Woche","2004","66 +","","","","",""
"Min 1x pro Monat","2004","17-34","","","","",""
"Min 1x pro Monat","2004","35-65","","","","",""
"Min 1x pro Monat","2004","66 +","","","","",""
"Seltener","2004","17-34","","","","",""
"Seltener","2004","35-65","","","","",""
"Seltener","2004","66 +","","","","",""
"Nie","2004","17-34","","","","",""
"Nie","2004","35-65","","","","",""
"Nie","2004","66 +","","","","",""
"Taeglich","2005","17-34","","","","",""
"Taeglich","2005","35-65","","","","",""
"Taeglich","2005","66 +","","","","",""
"Min 1x pro Woche","2005","17-34","724","0.123359117403449","0.114483150130358","0.13223508467654",""
"Min 1x pro Woche","2005","35-65","986","0.0790749995096129","0.0741497582995933","0.0840002407196325",""
"Min 1x pro Woche","2005","66 +","286","0.0701959304982196","0.0619729375607386","0.0784189234357005",""
"Min 1x pro Monat","2005","17-34","507","0.0877868676575682","0.0801488239015872","0.0954249114135492",""
"Min 1x pro Monat","2005","35-65","847","0.0678146962081896","0.0632257939195367","0.0724035984968425",""
"Min 1x pro Monat","2005","66 +","198","0.0490387878855866","0.042088072695171","0.0559895030760022",""
"Seltener","2005","17-34","1531","0.288450919784207","0.276222858680855","0.300678980887559",""
"Seltener","2005","35-65","3567","0.303849258662421","0.295455112835859","0.312243404488983",""
"Seltener","2005","66 +","702","0.179544356525477","0.167190809834111","0.191897903216842",""
"Nie","2005","17-34","2511","0.500403095154776","0.486907592388452","0.513898597921101",""
"Nie","2005","35-65","6132","0.549261045619777","0.540179751945758","0.558342339293795",""
"Nie","2005","66 +","2522","0.701220925090717","0.686488279176768","0.715953571004667",""
"Taeglich","2006","17-34","","","","",""
"Taeglich","2006","35-65","","","","",""
"Taeglich","2006","66 +","","","","",""
"Min 1x pro Woche","2006","17-34","","","","",""
"Min 1x pro Woche","2006","35-65","","","","",""
"Min 1x pro Woche","2006","66 +","","","","",""
"Min 1x pro Monat","2006","17-34","","","","",""
"Min 1x pro Monat","2006","35-65","","","","",""
"Min 1x pro Monat","2006","66 +","","","","",""
"Seltener","2006","17-34","","","","",""
"Seltener","2006","35-65","","","","",""
"Seltener","2006","66 +","","","","",""
"Nie","2006","17-34","","","","",""
"Nie","2006","35-65","","","","",""
"Nie","2006","66 +","","","","",""
"Taeglich","2007","17-34","","","","",""
"Taeglich","2007","35-65","","","","",""
"Taeglich","2007","66 +","","","","",""
"Min 1x pro Woche","2007","17-34","669","0.125404900422764","0.115910566313502","0.134899234532026",""
"Min 1x pro Woche","2007","35-65","1113","0.0877818590087202","0.082580238109559","0.0929834799078814",""
"Min 1x pro Woche","2007","66 +","365","0.0827100704543575","0.0744522898479699","0.0909678510607452",""
"Min 1x pro Monat","2007","17-34","463","0.0838308014941455","0.0758858108601238","0.0917757921281671",""
"Min 1x pro Monat","2007","35-65","888","0.0738750090804633","0.0690669418337236","0.0786830763272029",""
"Min 1x pro Monat","2007","66 +","261","0.0510291994923915","0.0444318933953396","0.0576265055894434",""
"Seltener","2007","17-34","1302","0.283660645831668","0.270737665415482","0.296583626247854",""
"Seltener","2007","35-65","3263","0.275820568146911","0.267605269135217","0.284035867158604",""
"Seltener","2007","66 +","755","0.162219483411686","0.15116731568184","0.173271651141531",""
"Nie","2007","17-34","2240","0.507103652251423","0.492770889692327","0.521436414810519",""
"Nie","2007","35-65","6105","0.562522563763906","0.553403825282005","0.571641302245806",""
"Nie","2007","66 +","2893","0.704041246641565","0.690356225319723","0.717726267963408",""
"Taeglich","2008","17-34","206","0.0425383061641754","0.036529273749904","0.0485473385784468",""
"Taeglich","2008","35-65","215","0.0201734783074514","0.0175018066320029","0.0228451499829",""
"Taeglich","2008","66 +","113","0.0213111245866868","0.0169743305072919","0.0256479186660818",""
"Min 1x pro Woche","2008","17-34","625","0.134945341688874","0.124772214606331","0.145118468771416",""
"Min 1x pro Woche","2008","35-65","1129","0.0959964824729298","0.0903985092326129","0.101594455713247",""
"Min 1x pro Woche","2008","66 +","328","0.076173394906473","0.0682073971464344","0.0841393926665115",""
"Min 1x pro Monat","2008","17-34","466","0.104507770010534","0.0953990165424856","0.113616523478583",""
"Min 1x pro Monat","2008","35-65","1009","0.087003630471441","0.0816478679613236","0.0923593929815585",""
"Min 1x pro Monat","2008","66 +","268","0.0628835533448063","0.0555938709216466","0.070173235767966",""
"Seltener","2008","17-34","1140","0.257643164668527","0.244621412820388","0.270664916516665",""
"Seltener","2008","35-65","2967","0.275313938374019","0.266825903568855","0.283801973179182",""
"Seltener","2008","66 +","818","0.182947212700909","0.171337238678552","0.194557186723265",""
"Nie","2008","17-34","1896","0.46036541746789","0.445524697192016","0.475206137743764",""
"Nie","2008","35-65","5318","0.521512470374159","0.512019857745174","0.531005083003143",""
"Nie","2008","66 +","2733","0.656684714461125","0.642426395845139","0.670943033077112",""
"Taeglich","2009","17-34","","","","",""
"Taeglich","2009","35-65","","","","",""
"Taeglich","2009","66 +","","","","",""
"Min 1x pro Woche","2009","17-34","565","0.129065073612866","0.118601576516376","0.139528570709357",""
"Min 1x pro Woche","2009","35-65","1025","0.0975999607910338","0.0917245630658353","0.103475358516232",""
"Min 1x pro Woche","2009","66 +","387","0.0920715670400229","0.0832269285588068","0.100916205521239",""
"Min 1x pro Monat","2009","17-34","431","0.115330002402637","0.105361235573109","0.125298769232166",""
"Min 1x pro Monat","2009","35-65","712","0.0699997149965472","0.0649484218492084","0.0750510081438861",""
"Min 1x pro Monat","2009","66 +","237","0.0556853402564944","0.0486704591439784","0.0627002213690103",""
"Seltener","2009","17-34","1176","0.292472706162986","0.278275793564545","0.306669618761426",""
"Seltener","2009","35-65","2923","0.292922422831965","0.283912465427691","0.301932380236239",""
"Seltener","2009","66 +","837","0.19727518577736","0.185101808413587","0.209448563141132",""
"Nie","2009","17-34","1772","0.463132217821511","0.447570203667517","0.478694231975505",""
"Nie","2009","35-65","5141","0.539477901380454","0.529609996292903","0.549345806468005",""
"Nie","2009","66 +","2644","0.654967906926123","0.640425668298535","0.669510145553711",""
"Taeglich","2010","17-34","","","","",""
"Taeglich","2010","35-65","","","","",""
"Taeglich","2010","66 +","","","","",""
"Min 1x pro Woche","2010","17-34","","","","",""
"Min 1x pro Woche","2010","35-65","","","","",""
"Min 1x pro Woche","2010","66 +","","","","",""
"Min 1x pro Monat","2010","17-34","","","","",""
"Min 1x pro Monat","2010","35-65","","","","",""
"Min 1x pro Monat","2010","66 +","","","","",""
"Seltener","2010","17-34","","","","",""
"Seltener","2010","35-65","","","","",""
"Seltener","2010","66 +","","","","",""
"Nie","2010","17-34","","","","",""
"Nie","2010","35-65","","","","",""
"Nie","2010","66 +","","","","",""
"Taeglich","2011","17-34","","","","",""
"Taeglich","2011","35-65","","","","",""
"Taeglich","2011","66 +","","","","",""
"Min 1x pro Woche","2011","17-34","994","0.149535450575593","0.141043770363469","0.158027130787716",""
"Min 1x pro Woche","2011","35-65","1907","0.106766104824986","0.102036441652632","0.11149576799734",""
"Min 1x pro Woche","2011","66 +","532","0.102181858107458","0.093848670602218","0.110515045612697",""
"Min 1x pro Monat","2011","17-34","586","0.0984604210670599","0.0913660045193534","0.105554837614766",""
"Min 1x pro Monat","2011","35-65","1090","0.0675102322186613","0.0636675209411546","0.0713529434961679",""
"Min 1x pro Monat","2011","66 +","301","0.0498029008959287","0.043817899750338","0.0557879020415194",""
"Seltener","2011","17-34","1597","0.260633502000578","0.250180562302719","0.271086441698438",""
"Seltener","2011","35-65","4110","0.259783170727538","0.253067090111735","0.266499251343342",""
"Seltener","2011","66 +","964","0.180084266857151","0.169512378606034","0.190656155108269",""
"Nie","2011","17-34","3598","0.491370626356769","0.479466466354836","0.503274786358702",""
"Nie","2011","35-65","9270","0.565940492228814","0.558349633003321","0.573531351454306",""
"Nie","2011","66 +","3278","0.667930974139462","0.654973807517394","0.680888140761531",""
"Taeglich","2012","17-34","","","","",""
"Taeglich","2012","35-65","","","","",""
"Taeglich","2012","66 +","","","","",""
"Min 1x pro Woche","2012","17-34","","","","",""
"Min 1x pro Woche","2012","35-65","","","","",""
"Min 1x pro Woche","2012","66 +","","","","",""
"Min 1x pro Monat","2012","17-34","","","","",""
"Min 1x pro Monat","2012","35-65","","","","",""
"Min 1x pro Monat","2012","66 +","","","","",""
"Seltener","2012","17-34","","","","",""
"Seltener","2012","35-65","","","","",""
"Seltener","2012","66 +","","","","",""
"Nie","2012","17-34","","","","",""
"Nie","2012","35-65","","","","",""
"Nie","2012","66 +","","","","",""
"Taeglich","2013","17-34","390","0.0647403759462511","0.0583013472312209","0.0711794046612813",""
"Taeglich","2013","35-65","555","0.0323883644487748","0.0295459628845585","0.0352307660129912",""
"Taeglich","2013","66 +","174","0.0357299198871012","0.0305306453102516","0.0409291944639508",""
"Min 1x pro Woche","2013","17-34","915","0.153055020178023","0.143633563642083","0.162476476713964",""
"Min 1x pro Woche","2013","35-65","1957","0.115978458819949","0.110837306464205","0.121119611175693",""
"Min 1x pro Woche","2013","66 +","504","0.0909218216711497","0.0828687406742227","0.0989749026680768",""
"Min 1x pro Monat","2013","17-34","696","0.147149251887999","0.137879199104748","0.15641930467125",""
"Min 1x pro Monat","2013","35-65","1513","0.0937234229471425","0.0890439727205894","0.0984028731736957",""
"Min 1x pro Monat","2013","66 +","366","0.0703080449525338","0.0631466201877323","0.0774694697173354",""
"Seltener","2013","17-34","1439","0.272406422271104","0.260756587655027","0.284056256887181",""
"Seltener","2013","35-65","4177","0.290524307007654","0.283234762682849","0.297813851332459",""
"Seltener","2013","66 +","985","0.202153075446449","0.190903727483051","0.213402423409847",""
"Nie","2013","17-34","2170","0.362648929716623","0.350068391535004","0.375229467898242",""
"Nie","2013","35-65","6699","0.46738544677648","0.459374488111616","0.475396405441343",""
"Nie","2013","66 +","2867","0.600887138042766","0.587169741217553","0.614604534867979",""
"Taeglich","2014","17-34","","","","",""
"Taeglich","2014","35-65","","","","",""
"Taeglich","2014","66 +","","","","",""
"Min 1x pro Woche","2014","17-34","","","","",""
"Min 1x pro Woche","2014","35-65","","","","",""
"Min 1x pro Woche","2014","66 +","","","","",""
"Min 1x pro Monat","2014","17-34","","","","",""
"Min 1x pro Monat","2014","35-65","","","","",""
"Min 1x pro Monat","2014","66 +","","","","",""
"Seltener","2014","17-34","","","","",""
"Seltener","2014","35-65","","","","",""
"Seltener","2014","66 +","","","","",""
"Nie","2014","17-34","","","","",""
"Nie","2014","35-65","","","","",""
"Nie","2014","66 +","","","","",""
"Taeglich","2015","17-34","","","","",""
"Taeglich","2015","35-65","","","","",""
"Taeglich","2015","66 +","","","","",""
"Min 1x pro Woche","2015","17-34","985","0.154411465284655","0.145720192792056","0.163102737777254",""
"Min 1x pro Woche","2015","35-65","1782","0.117016545489419","0.11190379130508","0.122129299673757",""
"Min 1x pro Woche","2015","66 +","539","0.113359619448289","0.104448268309778","0.122270970586799",""
"Min 1x pro Monat","2015","17-34","643","0.0996049904691787","0.0924018623397955","0.106808118598562",""
"Min 1x pro Monat","2015","35-65","1061","0.0680617521327475","0.0640558519452756","0.0720676523202193",""
"Min 1x pro Monat","2015","66 +","291","0.0559876803153754","0.0495255504448801","0.0624498101858706",""
"Seltener","2015","17-34","1514","0.25132835677374","0.240894845509874","0.261761868037606",""
"Seltener","2015","35-65","3728","0.246016495774928","0.23916606266984","0.252866928880016",""
"Seltener","2015","66 +","967","0.184881667156502","0.173969830189265","0.19579350412374",""
"Nie","2015","17-34","3498","0.494655187472426","0.48262951860255","0.506680856342302",""
"Nie","2015","35-65","8613","0.568905206602906","0.561028197696571","0.57678221550924",""
"Nie","2015","66 +","3065","0.645771033079833","0.632327236571163","0.659214829588503",""
"Taeglich","2016","17-34","","","","",""
"Taeglich","2016","35-65","","","","",""
"Taeglich","2016","66 +","","","","",""
"Min 1x pro Woche","2016","17-34","","","","",""
"Min 1x pro Woche","2016","35-65","","","","",""
"Min 1x pro Woche","2016","66 +","","","","",""
"Min 1x pro Monat","2016","17-34","","","","",""
"Min 1x pro Monat","2016","35-65","","","","",""
"Min 1x pro Monat","2016","66 +","","","","",""
"Seltener","2016","17-34","","","","",""
"Seltener","2016","35-65","","","","",""
"Seltener","2016","66 +","","","","",""
"Nie","2016","17-34","","","","",""
"Nie","2016","35-65","","","","",""
"Nie","2016","66 +","","","","",""
"Taeglich","2017","17-34","70","0.000677807915029659","0.000118407160011658","0.00123720867004766",""
"Taeglich","2017","35-65","26","","","",""
"Taeglich","2017","66 +","","","","",""
"Min 1x pro Woche","2017","17-34","1230","0.165411189835218","0.157425072516462","0.173397307153973",""
"Min 1x pro Woche","2017","35-65","2046","0.120527342761479","0.115654781261052","0.125399904261907",""
"Min 1x pro Woche","2017","66 +","624","0.128568991184645","0.11925097941783","0.13788700295146",""
"Min 1x pro Monat","2017","17-34","794","0.106837154865018","0.100197531486027","0.113476778244009",""
"Min 1x pro Monat","2017","35-65","1247","0.0777674712254003","0.0737595186468606","0.08177542380394",""
"Min 1x pro Monat","2017","66 +","325","0.0634050119197341","0.0566211602946769","0.0701888635447914",""
"Seltener","2017","17-34","1874","0.252904247165976","0.243561315781111","0.262247178550841",""
"Seltener","2017","35-65","4238","0.266547675840232","0.259930437732347","0.273164913948117",""
"Seltener","2017","66 +","1042","0.193359649264143","0.1823655025583","0.204353795969986",""
"Nie","2017","17-34","4347","0.474169600218758","0.463436957729103","0.484902242708414",""
"Nie","2017","35-65","9594","0.535065204254978","0.527600669452206","0.54252973905775",""
"Nie","2017","66 +","2966","0.614666347631478","0.601118296740578","0.628214398522378",""
"Taeglich","2018","17-34","37","0.0406234422515881","0.0308830263019114","0.0503638582012648",""
"Taeglich","2018","35-65","17","","","",""
"Taeglich","2018","66 +","","","","",""
"Min 1x pro Woche","2018","17-34","114","0.0884205221593145","0.0744127716185208","0.102428272700108",""
"Min 1x pro Woche","2018","35-65","57","0.0394631346305718","0.0298233706408899","0.0491028986202536",""
"Min 1x pro Woche","2018","66 +","","","","",""
"Min 1x pro Monat","2018","17-34","115","0.0802977069779629","0.066889528014965","0.0937058859409609",""
"Min 1x pro Monat","2018","35-65","94","0.0488967969574681","0.038219345136882","0.0595742487780541",""
"Min 1x pro Monat","2018","66 +","1","","","",""
"Seltener","2018","17-34","287","0.175923699266055","0.157137432795381","0.19470996573673",""
"Seltener","2018","35-65","267","0.163508156629476","0.145197068230941","0.181819245028011",""
"Seltener","2018","66 +","3","","","",""
"Nie","2018","17-34","1025","0.614734629345079","0.590723177623383","0.638746081066776",""
"Nie","2018","35-65","1132","0.732500836047325","0.710583948988673","0.754417723105977",""
"Nie","2018","66 +","19","","","",""
"Taeglich","2019","17-34","433","0.0616953024810502","0.0560038146130624","0.0673867903490381",""
"Taeglich","2019","35-65","634","0.0360843779832912","0.0332594292317031","0.0389093267348792",""
"Taeglich","2019","66 +","276","0.0502434834036957","0.0443248868694275","0.0561620799379639",""
"Min 1x pro Woche","2019","17-34","1002","0.170227508255116","0.161337089697353","0.179117926812879",""
"Min 1x pro Woche","2019","35-65","1952","0.113744194187957","0.108934963406049","0.118553424969865",""
"Min 1x pro Woche","2019","66 +","576","0.110588799742126","0.102091526320772","0.11908607316348",""
