"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2010","17-34","64.76","55","117","30","40","100","100","100","59.83","69.69","7","100","50","60"
"2010","35-65","54.07","47.5","1321","30","40","70","100","100","52.81","55.33","10","100","50","50"
"2010","66 +","64.18","57.5","936","30","50","80","100","100","62.73","65.63","5","100","60","60"
"2011","17-34","57.78","45","134","20","30","80","100","100","53.17","62.39","4","100","50","50"
"2011","35-65","53.79","49","1750","30","30","70","100","100","52.71","54.87","3","100","50","50"
"2011","66 +","64.38","57.5","1166","40","50","80","100","100","63.1","65.66","5","100","60","60"
"2012","17-34","61.69","55","131","30","40","90","100","100","57.18","66.2","3","100","50","60"
"2012","35-65","52.16","47.5","1861","25","30","60","90","100","51.12","53.2","1","100","50","50"
"2012","66 +","63.25","58","1213","30","50","80","100","100","61.99","64.51","10","100","60","60"
"2013","17-34","63.86","55","153","30","40","90","100","100","59.74","67.98","20","100","50","60"
"2013","35-65","53.82","49.5","1946","30","35","70","90","100","52.81","54.83","3","100","50","50"
"2013","66 +","65.1","59.5","1118","40","50","80","100","100","63.78","66.42","10","100","60","60"
"2014","17-34","64.36","56.5","154","30","50","100","100","100","60.16","68.56","10","100","50","60"
"2014","35-65","53.5","49.5","1794","30","40","70","90","100","52.46","54.54","7","100","50","50"
"2014","66 +","64.4","57.5","1183","30","50","80","100","100","63.1","65.7","10","100","60","60"
"2015","17-34","66.25","55","133","30","50","90","100","100","61.76","70.74","14","100","50","70"
"2015","35-65","53.3","49.5","1628","30","30","70","100","100","52.2","54.4","7","100","50","50"
"2015","66 +","62.94","57.5","1116","30","50","80","100","100","61.62","64.26","10","100","60","60"
"2016","17-34","67.51","65","118","30","50","100","100","100","62.66","72.36","10","100","50","70"
"2016","35-65","53.81","49.5","1481","30","40","68","100","100","52.64","54.98","3","100","50","50"
"2016","66 +","63.72","55","1097","30","50","80","100","100","62.39","65.05","10","100","60","60"
"2017","17-34","60.91","55","141","20","40","80","100","100","56.82","65","20","100","50","70"
"2017","35-65","54.17","47.5","1739","30","40","70","100","100","53.1","55.24","7","100","50","50"
"2017","66 +","64.22","57.5","1107","30","50","80","100","100","62.89","65.55","10","100","60","60"
"2018","17-34","61.53","55","141","30","50","80","100","100","57.65","65.41","10","100","50","70"
"2018","35-65","54.01","49","1719","30","40","70","100","100","52.94","55.08","7","100","50","50"
"2018","66 +","62.59","57.5","1189","30","50","80","100","100","61.33","63.85","10","100","50","60"
"2019","17-34","61.31","55","141","20","40","80","100","100","57.37","65.25","20","100","50","70"
"2019","35-65","53.37","49","1668","30","35","70","90","100","52.3","54.44","7","100","50","50"
"2019","66 +","62.8","55","1171","30","50","80","100","100","61.52","64.08","10","100","50","60"
"2020","17-34","62.56","55","165","30","50","80","100","100","58.99","66.13","10","100","50","60"
"2020","35-65","55.74","47.5","1574","30","40","70","100","100","54.59","56.89","3","100","50","50"
"2020","66 +","62.5","55","1146","30","50","80","100","100","61.2","63.8","2","100","50","60"
