"hlc0083_h","year","hhtyp","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1996","1-Pers.- Haushalt","Staedtischer Raum","67","0.0578877358255097","0.0431458112669702","0.0726296603840492"
"Ja","1996","1-Pers.- Haushalt","Laendlicher Raum","47","0.106231519439168","0.0760726457218825","0.136390393156453"
"Ja","1996","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","40","0.012777174197017","0.00826501291625385","0.0172893354777802"
"Ja","1996","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","24","","",""
"Ja","1996","Alleinerziehende","Staedtischer Raum","134","","",""
"Ja","1996","Alleinerziehende","Laendlicher Raum","58","0.16259737946725","0.120273975071355","0.204920783863145"
"Ja","1996","Paar mit Kind(ern)","Staedtischer Raum","373","0.0513676304122122","0.0457628947550302","0.0569723660693943"
"Ja","1996","Paar mit Kind(ern)","Laendlicher Raum","291","","",""
"Ja","1996","Sonstige","Staedtischer Raum","52","0.0991103527447921","0.0753977905757784","0.122822914913806"
"Ja","1996","Sonstige","Laendlicher Raum","26","","",""
"Nein","1996","1-Pers.- Haushalt","Staedtischer Raum","897","0.94211226417449","0.927370339615951","0.95685418873303"
"Nein","1996","1-Pers.- Haushalt","Laendlicher Raum","354","0.893768480560832","0.863609606843547","0.923927354278118"
"Nein","1996","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2340","","",""
"Nein","1996","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1132","","",""
"Nein","1996","Alleinerziehende","Staedtischer Raum","447","0.803458323596138","0.771145937464862","0.835770709727415"
"Nein","1996","Alleinerziehende","Laendlicher Raum","234","","",""
"Nein","1996","Paar mit Kind(ern)","Staedtischer Raum","5586","0.948632369587788","0.943027633930606","0.95423710524497"
"Nein","1996","Paar mit Kind(ern)","Laendlicher Raum","3059","0.922077656410268","0.913000696033223","0.931154616787313"
"Nein","1996","Sonstige","Staedtischer Raum","558","0.900889647255208","0.877177085086194","0.924602209424222"
"Nein","1996","Sonstige","Laendlicher Raum","353","0.940807506012843","0.917049379413285","0.9645656326124"
"Ja","1997","1-Pers.- Haushalt","Staedtischer Raum","68","0.0615126163374466","0.0461611594124993","0.0768640732623939"
"Ja","1997","1-Pers.- Haushalt","Laendlicher Raum","31","0.0803373109915946","0.0533259653888007","0.107348656594388"
"Ja","1997","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","42","0.0104567464414477","0.00638878086495913","0.0145247120179362"
"Ja","1997","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","22","","",""
"Ja","1997","Alleinerziehende","Staedtischer Raum","101","","",""
"Ja","1997","Alleinerziehende","Laendlicher Raum","73","0.202579321218224","0.156946085794353","0.248212556642096"
"Ja","1997","Paar mit Kind(ern)","Staedtischer Raum","407","0.0513358783220126","0.0456363188694275","0.0570354377745976"
"Ja","1997","Paar mit Kind(ern)","Laendlicher Raum","203","","",""
"Ja","1997","Sonstige","Staedtischer Raum","15","","",""
"Ja","1997","Sonstige","Laendlicher Raum","21","","",""
"Nein","1997","1-Pers.- Haushalt","Staedtischer Raum","873","0.938487383662553","0.923135926737606","0.953838840587501"
"Nein","1997","1-Pers.- Haushalt","Laendlicher Raum","358","0.919662689008405","0.892651343405612","0.946674034611199"
"Nein","1997","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2360","","",""
"Nein","1997","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1172","","",""
"Nein","1997","Alleinerziehende","Staedtischer Raum","479","0.832671528964568","0.802293760107166","0.86304929782197"
"Nein","1997","Alleinerziehende","Laendlicher Raum","225","","",""
"Nein","1997","Paar mit Kind(ern)","Staedtischer Raum","5352","0.948664121677987","0.942964562225402","0.954363681130572"
"Nein","1997","Paar mit Kind(ern)","Laendlicher Raum","3029","0.924208118107328","0.915083627052336","0.933332609162319"
"Nein","1997","Sonstige","Staedtischer Raum","598","0.992390558623959","0.985511396362393","0.999269720885526"
"Nein","1997","Sonstige","Laendlicher Raum","311","0.948431577303627","0.924642698392559","0.972220456214695"
"Ja","1998","1-Pers.- Haushalt","Staedtischer Raum","83","0.0640157775314342","0.0500611859838404","0.0779703690790279"
"Ja","1998","1-Pers.- Haushalt","Laendlicher Raum","48","0.086535137066338","0.0612778453138134","0.111792428818863"
"Ja","1998","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","40","0.0100848585661151","0.00638795478675058","0.0137817623454796"
"Ja","1998","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","24","","",""
"Ja","1998","Alleinerziehende","Staedtischer Raum","153","","",""
"Ja","1998","Alleinerziehende","Laendlicher Raum","101","","",""
"Ja","1998","Paar mit Kind(ern)","Staedtischer Raum","371","0.0525579357938796","0.0470314078992915","0.0580844636884678"
"Ja","1998","Paar mit Kind(ern)","Laendlicher Raum","261","","",""
"Ja","1998","Sonstige","Staedtischer Raum","24","","",""
"Ja","1998","Sonstige","Laendlicher Raum","28","","",""
"Nein","1998","1-Pers.- Haushalt","Staedtischer Raum","1099","","",""
"Nein","1998","1-Pers.- Haushalt","Laendlicher Raum","428","0.913464862933662","0.888207571181137","0.938722154686187"
"Nein","1998","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2766","","",""
"Nein","1998","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1422","","",""
"Nein","1998","Alleinerziehende","Staedtischer Raum","552","0.787414772873877","0.757213736077825","0.817615809669929"
"Nein","1998","Alleinerziehende","Laendlicher Raum","247","","",""
"Nein","1998","Paar mit Kind(ern)","Staedtischer Raum","5892","0.94744206420612","0.941915536311532","0.952968592100709"
"Nein","1998","Paar mit Kind(ern)","Laendlicher Raum","3402","0.923909872596328","0.915323522519654","0.932496222673001"
"Nein","1998","Sonstige","Staedtischer Raum","586","0.962312856480207","0.947200300301968","0.977425412658446"
"Nein","1998","Sonstige","Laendlicher Raum","308","0.912849483775698","0.882690755704132","0.943008211847264"
"Ja","1999","1-Pers.- Haushalt","Staedtischer Raum","66","0.0517195441973881","0.0389532479479984","0.0644858404467778"
"Ja","1999","1-Pers.- Haushalt","Laendlicher Raum","43","0.0839946906411274","0.0592319057633808","0.108757475518874"
"Ja","1999","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","28","","",""
"Ja","1999","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","26","","",""
"Ja","1999","Alleinerziehende","Staedtischer Raum","120","","",""
"Ja","1999","Alleinerziehende","Laendlicher Raum","141","","",""
"Ja","1999","Paar mit Kind(ern)","Staedtischer Raum","315","0.0351018769732022","0.0306302703749271","0.0395734835714773"
"Ja","1999","Paar mit Kind(ern)","Laendlicher Raum","280","","",""
"Ja","1999","Sonstige","Staedtischer Raum","14","","",""
"Ja","1999","Sonstige","Laendlicher Raum","16","","",""
"Nein","1999","1-Pers.- Haushalt","Staedtischer Raum","1090","","",""
"Nein","1999","1-Pers.- Haushalt","Laendlicher Raum","439","0.916005309358872","0.891242524481126","0.940768094236619"
"Nein","1999","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2802","","",""
"Nein","1999","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1456","","",""
"Nein","1999","Alleinerziehende","Staedtischer Raum","584","0.824278034946899","0.796164746367462","0.852391323526336"
"Nein","1999","Alleinerziehende","Laendlicher Raum","270","","",""
"Nein","1999","Paar mit Kind(ern)","Staedtischer Raum","6192","0.964898123026798","0.960426516428523","0.969369729625073"
"Nein","1999","Paar mit Kind(ern)","Laendlicher Raum","3470","0.928487984792912","0.920240716754016","0.936735252831807"
"Nein","1999","Sonstige","Staedtischer Raum","406","0.971263669703666","0.955286212192106","0.987241127215225"
"Nein","1999","Sonstige","Laendlicher Raum","230","","",""
"Ja","2000","1-Pers.- Haushalt","Staedtischer Raum","108","","",""
"Ja","2000","1-Pers.- Haushalt","Laendlicher Raum","66","0.057858413724988","0.0432927304208836","0.0724240970290923"
"Ja","2000","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","68","0.0117802401764988","0.00886830389532069","0.0146921764576769"
"Ja","2000","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","26","","",""
"Ja","2000","Alleinerziehende","Staedtischer Raum","219","","",""
"Ja","2000","Alleinerziehende","Laendlicher Raum","203","","",""
"Ja","2000","Paar mit Kind(ern)","Staedtischer Raum","522","0.0424033380695888","0.0386566864734626","0.0461499896657151"
"Ja","2000","Paar mit Kind(ern)","Laendlicher Raum","326","0.0498178759016148","0.0444833762262852","0.0551523755769443"
"Ja","2000","Sonstige","Staedtischer Raum","12","","",""
"Ja","2000","Sonstige","Laendlicher Raum","11","","",""
"Nein","2000","1-Pers.- Haushalt","Staedtischer Raum","2165","","",""
"Nein","2000","1-Pers.- Haushalt","Laendlicher Raum","921","0.942141586275012","0.927575902970908","0.956707269579116"
"Nein","2000","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5206","0.988219759823501","0.985307823542323","0.991131696104679"
"Nein","2000","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2636","","",""
"Nein","2000","Alleinerziehende","Staedtischer Raum","1043","","",""
"Nein","2000","Alleinerziehende","Laendlicher Raum","446","0.717117308897499","0.682465649845434","0.751768967949564"
"Nein","2000","Paar mit Kind(ern)","Staedtischer Raum","10590","","",""
"Nein","2000","Paar mit Kind(ern)","Laendlicher Raum","6064","0.950182124098385","0.944847624423056","0.955516623773715"
"Nein","2000","Sonstige","Staedtischer Raum","725","0.980846053429897","0.97095041297494","0.990741693884854"
"Nein","2000","Sonstige","Laendlicher Raum","450","0.969656190570448","0.953998000279969","0.985314380860928"
"Ja","2001","1-Pers.- Haushalt","Staedtischer Raum","77","0.0356776705538544","0.0276600427229656","0.0436952983847432"
"Ja","2001","1-Pers.- Haushalt","Laendlicher Raum","57","0.0558451436702536","0.0405869618185447","0.0711033255219625"
"Ja","2001","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","42","0.00835284759149054","0.00576246937447255","0.0109432258085085"
"Ja","2001","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","30","0.00762358831111809","0.00416954814810654","0.0110776284741296"
"Ja","2001","Alleinerziehende","Staedtischer Raum","188","","",""
"Ja","2001","Alleinerziehende","Laendlicher Raum","128","","",""
"Ja","2001","Paar mit Kind(ern)","Staedtischer Raum","389","0.0302956525225234","0.0269526228246475","0.0336386822203994"
"Ja","2001","Paar mit Kind(ern)","Laendlicher Raum","270","","",""
"Ja","2001","Sonstige","Staedtischer Raum","13","","",""
"Ja","2001","Sonstige","Laendlicher Raum","7","0.00628273530652888","-0.00191360123387141","0.0144790718469292"
"Nein","2001","1-Pers.- Haushalt","Staedtischer Raum","1979","","",""
"Nein","2001","1-Pers.- Haushalt","Laendlicher Raum","813","0.944154856329746","0.928896674478037","0.959413038181455"
"Nein","2001","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4700","0.991647152408509","0.989056774191491","0.994237530625527"
"Nein","2001","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2406","","",""
"Nein","2001","Alleinerziehende","Staedtischer Raum","960","0.844413869453964","0.823446677751885","0.865381061156043"
"Nein","2001","Alleinerziehende","Laendlicher Raum","485","0.806708564005798","0.775449030421034","0.837968097590563"
"Nein","2001","Paar mit Kind(ern)","Staedtischer Raum","9709","0.969704347477477","0.966361317779601","0.973047377175353"
"Nein","2001","Paar mit Kind(ern)","Laendlicher Raum","5430","0.952650837659764","0.947137257536171","0.958164417783357"
"Nein","2001","Sonstige","Staedtischer Raum","695","0.976095568942135","0.964843902767089","0.987347235117182"
"Nein","2001","Sonstige","Laendlicher Raum","350","0.993717264693471","0.985520928153071","1.00191360123387"
"Ja","2002","1-Pers.- Haushalt","Staedtischer Raum","83","0.0394152565948165","0.0310410487369526","0.0477894644526803"
"Ja","2002","1-Pers.- Haushalt","Laendlicher Raum","54","0.059069651290818","0.0433496650511318","0.0747896375305042"
"Ja","2002","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","46","0.00859621627733542","0.00610332027745507","0.0110891122772158"
"Ja","2002","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","26","","",""
"Ja","2002","Alleinerziehende","Staedtischer Raum","170","","",""
"Ja","2002","Alleinerziehende","Laendlicher Raum","120","","",""
"Ja","2002","Paar mit Kind(ern)","Staedtischer Raum","348","0.0346055525619788","0.0311679277858437","0.0380431773381139"
"Ja","2002","Paar mit Kind(ern)","Laendlicher Raum","243","","",""
"Ja","2002","Sonstige","Staedtischer Raum","13","","",""
"Ja","2002","Sonstige","Laendlicher Raum","4","0.0162714573308409","0.00307335168426071","0.0294695629774212"
"Nein","2002","1-Pers.- Haushalt","Staedtischer Raum","1991","","",""
"Nein","2002","1-Pers.- Haushalt","Laendlicher Raum","810","0.940930348709182","0.925210362469496","0.956650334948868"
"Nein","2002","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5222","0.991403783722665","0.988910887722784","0.993896679722545"
"Nein","2002","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2510","","",""
"Nein","2002","Alleinerziehende","Staedtischer Raum","956","0.833173444134552","0.811397389509609","0.854949498759495"
"Nein","2002","Alleinerziehende","Laendlicher Raum","524","0.834627567243974","0.805934096889278","0.86332103759867"
"Nein","2002","Paar mit Kind(ern)","Staedtischer Raum","10512","","",""
"Nein","2002","Paar mit Kind(ern)","Laendlicher Raum","5483","0.942726640197164","0.936708093431689","0.948745186962639"
"Nein","2002","Sonstige","Staedtischer Raum","652","0.980604987339131","0.970123344647881","0.991086630030382"
"Nein","2002","Sonstige","Laendlicher Raum","349","0.983728542669159","0.970530437022579","0.996926648315739"
"Ja","2003","1-Pers.- Haushalt","Staedtischer Raum","84","0.0437219159895198","0.0349027045050489","0.0525411274739907"
"Ja","2003","1-Pers.- Haushalt","Laendlicher Raum","61","0.0615507127058661","0.0454316010687165","0.0776698243430157"
"Ja","2003","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","46","0.00964703253966629","0.00696549035483029","0.0123285747245023"
"Ja","2003","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","42","0.0140269526730107","0.0094462676718851","0.0186076376741363"
"Ja","2003","Alleinerziehende","Staedtischer Raum","183","","",""
"Ja","2003","Alleinerziehende","Laendlicher Raum","151","","",""
"Ja","2003","Paar mit Kind(ern)","Staedtischer Raum","355","0.0413271343947062","0.0374790317474613","0.045175237041951"
"Ja","2003","Paar mit Kind(ern)","Laendlicher Raum","255","","",""
"Ja","2003","Sonstige","Staedtischer Raum","16","","",""
"Ja","2003","Sonstige","Laendlicher Raum","4","0.0108452403865164","-0.000816906057285302","0.022507386830318"
"Nein","2003","1-Pers.- Haushalt","Staedtischer Raum","1981","","",""
"Nein","2003","1-Pers.- Haushalt","Laendlicher Raum","793","0.938449287294134","0.922330175656984","0.954568398931284"
"Nein","2003","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5058","0.990352967460334","0.987671425275498","0.99303450964517"
"Nein","2003","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2490","","",""
"Nein","2003","Alleinerziehende","Staedtischer Raum","956","0.820716192013531","0.798439368516497","0.842993015510565"
"Nein","2003","Alleinerziehende","Laendlicher Raum","452","0.750451805061187","0.715911350027488","0.784992260094886"
"Nein","2003","Paar mit Kind(ern)","Staedtischer Raum","9923","0.958672865605294","0.954824762958049","0.962520968252539"
"Nein","2003","Paar mit Kind(ern)","Laendlicher Raum","5093","0.953223649283326","0.947564346051555","0.958882952515098"
"Nein","2003","Sonstige","Staedtischer Raum","550","0.982388517289169","0.971552255845928","0.993224778732411"
"Nein","2003","Sonstige","Laendlicher Raum","299","","",""
"Ja","2004","1-Pers.- Haushalt","Staedtischer Raum","91","0.0502040954364938","0.0406435217746904","0.0597646690982973"
"Ja","2004","1-Pers.- Haushalt","Laendlicher Raum","62","0.0630883801562359","0.0468111058986404","0.0793656544138314"
"Ja","2004","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","66","0.0160121527238064","0.012579967080923","0.0194443383666899"
"Ja","2004","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","28","","",""
"Ja","2004","Alleinerziehende","Staedtischer Raum","171","","",""
"Ja","2004","Alleinerziehende","Laendlicher Raum","145","","",""
"Ja","2004","Paar mit Kind(ern)","Staedtischer Raum","336","0.0440943753171982","0.0400273391689635","0.0481614114654329"
"Ja","2004","Paar mit Kind(ern)","Laendlicher Raum","292","","",""
"Ja","2004","Sonstige","Staedtischer Raum","12","","",""
"Ja","2004","Sonstige","Laendlicher Raum","10","","",""
"Nein","2004","1-Pers.- Haushalt","Staedtischer Raum","1913","","",""
"Nein","2004","1-Pers.- Haushalt","Laendlicher Raum","795","0.936911619843764","0.920634345586169","0.95318889410136"
"Nein","2004","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5072","0.983987847276194","0.98055566163331","0.987420032919077"
"Nein","2004","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2472","","",""
"Nein","2004","Alleinerziehende","Staedtischer Raum","947","0.829812699347392","0.807784408464148","0.851840990230636"
"Nein","2004","Alleinerziehende","Laendlicher Raum","423","0.716200934687287","0.679124595610767","0.753277273763806"
"Nein","2004","Paar mit Kind(ern)","Staedtischer Raum","9453","0.955905624682802","0.951838588534567","0.959972660831037"
"Nein","2004","Paar mit Kind(ern)","Laendlicher Raum","4866","0.932174249007045","0.925312208483311","0.939036289530779"
"Nein","2004","Sonstige","Staedtischer Raum","504","0.981891262222451","0.970385933597929","0.993396590846972"
"Nein","2004","Sonstige","Laendlicher Raum","273","","",""
"Ja","2005","1-Pers.- Haushalt","Staedtischer Raum","65","0.0366355609117112","0.0284892564804487","0.0447818653429738"
"Ja","2005","1-Pers.- Haushalt","Laendlicher Raum","47","0.041413594171078","0.0281739729824933","0.0546532153596628"
"Ja","2005","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","72","0.0133300028352266","0.0101390470017613","0.0165209586686919"
"Ja","2005","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","24","","",""
"Ja","2005","Alleinerziehende","Staedtischer Raum","131","","",""
"Ja","2005","Alleinerziehende","Laendlicher Raum","85","0.160507356889779","0.131160149989114","0.189854563790443"
"Ja","2005","Paar mit Kind(ern)","Staedtischer Raum","267","","",""
"Ja","2005","Paar mit Kind(ern)","Laendlicher Raum","173","","",""
"Ja","2005","Sonstige","Staedtischer Raum","8","0.0166763053802435","0.00509927071012631","0.0282533400503607"
"Ja","2005","Sonstige","Laendlicher Raum","21","","",""
"Nein","2005","1-Pers.- Haushalt","Staedtischer Raum","1978","","",""
"Nein","2005","1-Pers.- Haushalt","Laendlicher Raum","823","0.958586405828922","0.945346784640337","0.971826027017507"
"Nein","2005","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4890","0.986669997164773","0.983479041331308","0.989860952998239"
"Nein","2005","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2398","","",""
"Nein","2005","Alleinerziehende","Staedtischer Raum","1004","","",""
"Nein","2005","Alleinerziehende","Laendlicher Raum","516","0.839492643110221","0.810145436209557","0.868839850010886"
"Nein","2005","Paar mit Kind(ern)","Staedtischer Raum","8875","0.968949263210351","0.965393654545663","0.97250487187504"
"Nein","2005","Paar mit Kind(ern)","Laendlicher Raum","4609","0.963068327802362","0.957723036948712","0.968413618656012"
"Nein","2005","Sonstige","Staedtischer Raum","462","0.983323694619756","0.971746659949639","0.994900729289874"
"Nein","2005","Sonstige","Laendlicher Raum","258","","",""
"Ja","2006","1-Pers.- Haushalt","Staedtischer Raum","75","0.0357103524320021","0.0280648393745757","0.0433558654894284"
"Ja","2006","1-Pers.- Haushalt","Laendlicher Raum","59","0.0512159718060067","0.0377992904869793","0.0646326531250342"
"Ja","2006","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","64","0.0141418160018869","0.0110365059614379","0.0172471260423359"
"Ja","2006","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","28","","",""
"Ja","2006","Alleinerziehende","Staedtischer Raum","134","","",""
"Ja","2006","Alleinerziehende","Laendlicher Raum","90","0.145628053795946","0.119534961675145","0.171721145916746"
"Ja","2006","Paar mit Kind(ern)","Staedtischer Raum","231","","",""
"Ja","2006","Paar mit Kind(ern)","Laendlicher Raum","117","","",""
"Ja","2006","Sonstige","Staedtischer Raum","3","","",""
"Ja","2006","Sonstige","Laendlicher Raum","21","","",""
"Nein","2006","1-Pers.- Haushalt","Staedtischer Raum","2188","","",""
"Nein","2006","1-Pers.- Haushalt","Laendlicher Raum","978","0.948784028193993","0.935367346874966","0.962200709513021"
"Nein","2006","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5490","0.985858183998113","0.982752873957664","0.988963494038562"
"Nein","2006","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2734","","",""
"Nein","2006","Alleinerziehende","Staedtischer Raum","1088","","",""
"Nein","2006","Alleinerziehende","Laendlicher Raum","612","0.854371946204054","0.828278854083254","0.880465038324855"
"Nein","2006","Paar mit Kind(ern)","Staedtischer Raum","9109","0.97012984608399","0.966677547770714","0.973582144397267"
"Nein","2006","Paar mit Kind(ern)","Laendlicher Raum","4931","0.977221343999658","0.973105594463341","0.981337093535974"
"Nein","2006","Sonstige","Staedtischer Raum","433","0.995094299609438","0.988536057038971","1.0016525421799"
"Nein","2006","Sonstige","Laendlicher Raum","283","","",""
"Ja","2007","1-Pers.- Haushalt","Staedtischer Raum","71","0.0405674283104167","0.032183253711228","0.0489516029096054"
"Ja","2007","1-Pers.- Haushalt","Laendlicher Raum","50","0.0436959862032007","0.0309880899397399","0.0564038824666615"
"Ja","2007","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","36","0.00793778366908112","0.00550897576884988","0.0103665915693124"
"Ja","2007","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","26","","",""
"Ja","2007","Alleinerziehende","Staedtischer Raum","93","0.0745224466349653","0.059148980979281","0.0898959122906497"
"Ja","2007","Alleinerziehende","Laendlicher Raum","63","0.10101561760852","0.0779023240298729","0.124128911187168"
"Ja","2007","Paar mit Kind(ern)","Staedtischer Raum","239","","",""
"Ja","2007","Paar mit Kind(ern)","Laendlicher Raum","97","0.0247213337878826","0.0202530966265651","0.0291895709492"
"Ja","2007","Sonstige","Staedtischer Raum","","","",""
"Ja","2007","Sonstige","Laendlicher Raum","15","","",""
"Nein","2007","1-Pers.- Haushalt","Staedtischer Raum","2056","","",""
"Nein","2007","1-Pers.- Haushalt","Laendlicher Raum","944","0.956304013796799","0.943596117533338","0.96901191006026"
"Nein","2007","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5092","0.992062216330919","0.989633408430688","0.99449102423115"
"Nein","2007","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2598","","",""
"Nein","2007","Alleinerziehende","Staedtischer Raum","1028","","",""
"Nein","2007","Alleinerziehende","Laendlicher Raum","590","0.89898438239148","0.875871088812832","0.922097675970127"
"Nein","2007","Paar mit Kind(ern)","Staedtischer Raum","8469","0.968855516284062","0.965207061595545","0.97250397097258"
"Nein","2007","Paar mit Kind(ern)","Laendlicher Raum","4542","0.975278666212117","0.9708104290508","0.979746903373435"
"Nein","2007","Sonstige","Staedtischer Raum","371","1","1","1"
"Nein","2007","Sonstige","Laendlicher Raum","238","","",""
"Ja","2008","1-Pers.- Haushalt","Staedtischer Raum","56","0.0318066388044122","0.0242175818851537","0.0393956957236706"
"Ja","2008","1-Pers.- Haushalt","Laendlicher Raum","35","0.0331373958802967","0.0217129849967911","0.0445618067638023"
"Ja","2008","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","52","0.0117870536672797","0.00877315402252136","0.0148009533120381"
"Ja","2008","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","18","","",""
"Ja","2008","Alleinerziehende","Staedtischer Raum","97","0.0867605876006373","0.0699104184983557","0.103610756702919"
"Ja","2008","Alleinerziehende","Laendlicher Raum","71","0.117243352605519","0.0923579202996023","0.142128784911436"
"Ja","2008","Paar mit Kind(ern)","Staedtischer Raum","195","","",""
"Ja","2008","Paar mit Kind(ern)","Laendlicher Raum","90","0.0193026621891072","0.0151366821680371","0.0234686422101773"
"Ja","2008","Sonstige","Staedtischer Raum","3","","",""
"Ja","2008","Sonstige","Laendlicher Raum","4","0.00802036774115897","-0.00312588934634293","0.0191666248286609"
"Nein","2008","1-Pers.- Haushalt","Staedtischer Raum","1998","","",""
"Nein","2008","1-Pers.- Haushalt","Laendlicher Raum","908","0.966862604119703","0.955438193236198","0.978287015003209"
"Nein","2008","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4874","0.98821294633272","0.985199046687962","0.991226845977479"
"Nein","2008","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2524","","",""
"Nein","2008","Alleinerziehende","Staedtischer Raum","975","0.913239412399363","0.896389243297081","0.930089581501644"
"Nein","2008","Alleinerziehende","Laendlicher Raum","571","0.882756647394481","0.857871215088564","0.907642079700398"
"Nein","2008","Paar mit Kind(ern)","Staedtischer Raum","7776","0.971867450898301","0.968237508379835","0.975497393416767"
"Nein","2008","Paar mit Kind(ern)","Laendlicher Raum","4100","0.980697337810893","0.976531357789823","0.984863317831963"
"Nein","2008","Sonstige","Staedtischer Raum","288","","",""
"Nein","2008","Sonstige","Laendlicher Raum","242","","",""
"Ja","2009","1-Pers.- Haushalt","Staedtischer Raum","52","0.0293009624321844","0.0218555626678104","0.0367463621965584"
