,Unnamed: 0,year,migback,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
72,72,1993,Direct migration background,Part-time,0.31305,100,1875,0.24221,0.38335
73,73,1993,Direct migration background,Either,0.11011,37,1875,0.08667,0.14
74,74,1993,Direct migration background,I'm not sure yet,0.13024,40,1875,0.09879,0.17524
75,75,1993,Indirect migration background,Full-time,1.0,99,1875,0.85615,1.16843
76,76,1994,No migration background,Full-time,0.47727,753,1966,0.45558,0.50367
77,77,1994,No migration background,Part-time,0.31098,449,1966,0.29134,0.33051
78,78,1994,No migration background,Either,0.12391,209,1966,0.11255,0.13678
79,79,1994,No migration background,I'm not sure yet,0.08784,126,1966,0.07824,0.09926
80,80,1994,Direct migration background,Full-time,0.50916,158,1966,0.44117,0.5842
81,81,1994,Direct migration background,Part-time,0.26425,89,1966,0.21768,0.3229
82,82,1994,Direct migration background,Either,0.13361,44,1966,0.09193,0.17935
83,83,1994,Direct migration background,I'm not sure yet,0.09298,36,1966,0.07841,0.11053
84,84,1994,Indirect migration background,Full-time,1.0,102,1966,0.85403,1.16593
85,85,1995,No migration background,Full-time,0.45003,703,2095,0.42701,0.47563
86,86,1995,No migration background,Part-time,0.34027,468,2095,0.31927,0.35931
87,87,1995,No migration background,Either,0.13779,218,2095,0.12664,0.15075
88,88,1995,No migration background,I'm not sure yet,0.07191,102,2095,0.06378,0.07996
89,89,1995,Direct migration background,Full-time,0.54129,242,2095,0.48981,0.60234
90,90,1995,Direct migration background,Part-time,0.24087,129,2095,0.20332,0.29412
91,91,1995,Direct migration background,Either,0.14651,77,2095,0.11655,0.1792
92,92,1995,Direct migration background,I'm not sure yet,0.07132,43,2095,0.05751,0.08995
93,93,1995,Indirect migration background,Full-time,1.0,113,2095,0.82366,1.13535
94,94,1996,No migration background,Full-time,0.43784,715,2072,0.41673,0.45983
95,95,1996,No migration background,Part-time,0.33816,455,2072,0.31731,0.35917
96,96,1996,No migration background,Either,0.14622,232,2072,0.13171,0.15973
97,97,1996,No migration background,I'm not sure yet,0.07778,111,2072,0.06888,0.08948
98,98,1996,Direct migration background,Full-time,0.48374,213,2072,0.43081,0.55347
99,99,1996,Direct migration background,Part-time,0.28593,112,2072,0.23668,0.33173
100,100,1996,Direct migration background,Either,0.15288,77,2072,0.12309,0.19606
101,101,1996,Direct migration background,I'm not sure yet,0.07745,41,2072,0.05343,0.10218
102,102,1996,Indirect migration background,Full-time,1.0,116,2072,0.87855,1.13637
103,103,1997,No migration background,Full-time,0.43749,673,2025,0.41289,0.46661
104,104,1997,No migration background,Part-time,0.31752,454,2025,0.29692,0.33907
105,105,1997,No migration background,Either,0.16686,259,2025,0.15424,0.18188
106,106,1997,No migration background,I'm not sure yet,0.07812,106,2025,0.06461,0.09075
107,107,1997,Direct migration background,Full-time,0.51541,205,2025,0.4523,0.58371
108,108,1997,Direct migration background,Part-time,0.32835,135,2025,0.26618,0.39844
109,109,1997,Direct migration background,Either,0.15625,79,2025,0.13254,0.18323
110,110,1997,Indirect migration background,Full-time,1.0,114,2025,0.87331,1.13329
111,111,1998,No migration background,Full-time,0.43774,750,2162,0.4173,0.45918
112,112,1998,No migration background,Part-time,0.3219,500,2162,0.3045,0.33992
113,113,1998,No migration background,Either,0.15844,268,2162,0.14414,0.17227
114,114,1998,No migration background,I'm not sure yet,0.08193,134,2162,0.07295,0.09115
115,115,1998,Direct migration background,Full-time,0.47332,174,2162,0.41094,0.52648
116,116,1998,Direct migration background,Part-time,0.26273,114,2162,0.21391,0.30641
117,117,1998,Direct migration background,Either,0.18238,61,2162,0.15066,0.22297
118,118,1998,Direct migration background,I'm not sure yet,0.08157,45,2162,0.06568,0.09608
119,119,1998,Indirect migration background,Full-time,1.0,116,2162,0.84221,1.12374
120,120,1999,No migration background,Full-time,0.4509,663,1870,0.42669,0.47628
121,121,1999,No migration background,Part-time,0.30522,419,1870,0.28385,0.32356
122,122,1999,No migration background,Either,0.15273,232,1870,0.13938,0.16901
123,123,1999,No migration background,I'm not sure yet,0.09115,131,1870,0.08014,0.10211
124,124,1999,Direct migration background,Full-time,0.41581,127,1870,0.36243,0.48465
125,125,1999,Direct migration background,Part-time,0.32541,98,1870,0.27146,0.38486
126,126,1999,Direct migration background,Either,0.17125,56,1870,0.14148,0.20291
127,127,1999,Direct migration background,I'm not sure yet,0.08753,34,1870,0.06171,0.1135
128,128,1999,Indirect migration background,Full-time,1.0,110,1870,0.87022,1.11993
129,129,2000,No migration background,Full-time,0.45415,1174,3350,0.44073,0.46718
130,130,2000,No migration background,Part-time,0.31786,815,3350,0.30531,0.33142
131,131,2000,No migration background,Either,0.15168,379,3350,0.14402,0.16123
132,132,2000,No migration background,I'm not sure yet,0.0763,189,3350,0.06894,0.08136
133,133,2000,Direct migration background,Full-time,0.41414,238,3350,0.38477,0.45227
134,134,2000,Direct migration background,Part-time,0.32775,182,3350,0.29567,0.3606
135,135,2000,Direct migration background,Either,0.16096,84,3350,0.13879,0.18353
136,136,2000,Direct migration background,I'm not sure yet,0.09715,54,3350,0.08251,0.11435
137,137,2000,Indirect migration background,Full-time,0.70185,164,3350,0.63563,0.76907
138,138,2000,Indirect migration background,Part-time,0.17243,40,3350,0.14078,0.20305
139,139,2000,Indirect migration background,Either,0.12572,31,3350,0.10089,0.14909
140,140,2001,No migration background,Full-time,0.49052,1125,2985,0.47086,0.50698
141,141,2001,No migration background,Part-time,0.3041,691,2985,0.28897,0.31897
142,142,2001,No migration background,Either,0.12245,290,2985,0.11237,0.13243
143,143,2001,No migration background,I'm not sure yet,0.08293,203,2985,0.07582,0.09048
144,144,2001,Direct migration background,Full-time,0.46614,202,2985,0.42591,0.51968
145,145,2001,Direct migration background,Part-time,0.31668,146,2985,0.284,0.35136
146,146,2001,Direct migration background,Either,0.12874,56,2985,0.11104,0.14634
147,147,2001,Direct migration background,I'm not sure yet,0.08844,45,2985,0.07378,0.10299
148,148,2001,Indirect migration background,Full-time,0.61204,144,2985,0.54741,0.6829
149,149,2001,Indirect migration background,Part-time,0.20224,49,2985,0.14901,0.26859
150,150,2001,Indirect migration background,I'm not sure yet,0.18572,34,2985,0.1329,0.24821
151,151,2002,No migration background,Full-time,0.49576,1248,3151,0.476,0.51979
152,152,2002,No migration background,Part-time,0.31351,742,3151,0.29557,0.33149
153,153,2002,No migration background,Either,0.12608,348,3151,0.11432,0.13751
154,154,2002,No migration background,I'm not sure yet,0.06465,189,3151,0.05751,0.07237
155,155,2002,Direct migration background,Full-time,0.44464,186,3151,0.40911,0.48124
156,156,2002,Direct migration background,Part-time,0.30887,142,3151,0.26869,0.34509
157,157,2002,Direct migration background,Either,0.18004,73,3151,0.15806,0.20993
158,158,2002,Direct migration background,I'm not sure yet,0.06645,36,3151,0.05067,0.08549
159,159,2002,Indirect migration background,Full-time,0.77817,144,3151,0.68099,0.88341
160,160,2002,Indirect migration background,Part-time,0.22183,43,3151,0.1668,0.2977
161,161,2003,No migration background,Full-time,0.50145,1228,3063,0.48066,0.52453
162,162,2003,No migration background,Part-time,0.28113,665,3063,0.26555,0.29658
163,163,2003,No migration background,Either,0.14565,361,3063,0.13416,0.15614
164,164,2003,No migration background,I'm not sure yet,0.07178,204,3063,0.06222,0.08058
165,165,2003,Direct migration background,Full-time,0.45584,190,3063,0.41151,0.49591
166,166,2003,Direct migration background,Part-time,0.28548,128,3063,0.25296,0.328
167,167,2003,Direct migration background,Either,0.17698,68,3063,0.15351,0.20599
168,168,2003,Direct migration background,I'm not sure yet,0.08171,34,3063,0.06167,0.10149
169,169,2003,Indirect migration background,Full-time,0.74807,137,3063,0.63659,0.86666
170,170,2003,Indirect migration background,Part-time,0.25193,48,3063,0.18328,0.33144
171,171,2004,No migration background,Full-time,0.47671,1215,3179,0.45765,0.50148
172,172,2004,No migration background,Part-time,0.2758,663,3179,0.25564,0.29176
173,173,2004,No migration background,Either,0.17775,410,3179,0.16214,0.19278
174,174,2004,No migration background,I'm not sure yet,0.06975,195,3179,0.06158,0.07956
175,175,2004,Direct migration background,Full-time,0.52577,221,3179,0.47394,0.57362
176,176,2004,Direct migration background,Part-time,0.24023,121,3179,0.2032,0.27969
177,177,2004,Direct migration background,Either,0.15655,72,3179,0.13134,0.1793
178,178,2004,Direct migration background,I'm not sure yet,0.07746,39,3179,0.06126,0.09667
179,179,2004,Indirect migration background,Full-time,0.68029,159,3179,0.58628,0.7806
180,180,2004,Indirect migration background,Part-time,0.18573,53,3179,0.14834,0.22604
181,181,2004,Indirect migration background,Either,0.13399,31,3179,0.09179,0.17964
182,182,2005,No migration background,Full-time,0.48705,1185,3054,0.46401,0.51051
183,183,2005,No migration background,Part-time,0.2557,629,3054,0.23907,0.27276
184,184,2005,No migration background,Either,0.18909,418,3054,0.17012,0.20489
185,185,2005,No migration background,I'm not sure yet,0.06816,182,3054,0.05874,0.07878
186,186,2005,Direct migration background,Full-time,0.50384,182,3054,0.44924,0.5595
187,187,2005,Direct migration background,Part-time,0.25281,105,3054,0.21169,0.29736
188,188,2005,Direct migration background,Either,0.24336,81,3054,0.20896,0.27844
189,189,2005,Indirect migration background,Full-time,0.5787,154,3054,0.50196,0.67865
190,190,2005,Indirect migration background,Part-time,0.18678,47,3054,0.12893,0.25601
191,191,2005,Indirect migration background,Either,0.11525,35,3054,0.08241,0.14968
192,192,2005,Indirect migration background,I'm not sure yet,0.11927,36,3054,0.08371,0.16457
193,193,2006,No migration background,Full-time,0.4636,1113,3034,0.4378,0.48625
194,194,2006,No migration background,Part-time,0.30944,729,3034,0.29214,0.33064
195,195,2006,No migration background,Either,0.17983,422,3034,0.16706,0.19659
196,196,2006,No migration background,I'm not sure yet,0.04713,140,3034,0.04019,0.05336
197,197,2006,Direct migration background,Full-time,0.42384,168,3034,0.36787,0.46661
198,198,2006,Direct migration background,Part-time,0.3448,141,3034,0.30348,0.39146
199,199,2006,Direct migration background,Either,0.23136,84,3034,0.19821,0.25712
200,200,2006,Indirect migration background,Full-time,0.58441,148,3034,0.48867,0.68179
201,201,2006,Indirect migration background,Part-time,0.21236,50,3034,0.15079,0.27202
202,202,2006,Indirect migration background,Either,0.20323,39,3034,0.15658,0.25539
203,203,2007,No migration background,Full-time,0.43291,913,2511,0.4087,0.45614
204,204,2007,No migration background,Part-time,0.30392,591,2511,0.28387,0.32208
205,205,2007,No migration background,Either,0.19769,388,2511,0.18039,0.21497
206,206,2007,No migration background,I'm not sure yet,0.06547,150,2511,0.05639,0.07544
207,207,2007,Direct migration background,Full-time,0.4208,128,2511,0.36432,0.46749
208,208,2007,Direct migration background,Part-time,0.27598,100,2511,0.22977,0.31487
209,209,2007,Direct migration background,Either,0.30322,78,2511,0.26534,0.34653
210,210,2007,Indirect migration background,Full-time,0.6724,112,2511,0.56516,0.77953
211,211,2007,Indirect migration background,Part-time,0.3276,51,2511,0.25253,0.41117
212,212,2008,No migration background,Full-time,0.45159,822,2227,0.429,0.47753
213,213,2008,No migration background,Part-time,0.27782,511,2227,0.26005,0.297
214,214,2008,No migration background,Either,0.19737,340,2227,0.17925,0.21625
215,215,2008,No migration background,I'm not sure yet,0.07322,156,2227,0.06233,0.08286
216,216,2008,Direct migration background,Full-time,0.4717,109,2227,0.40748,0.53323
217,217,2008,Direct migration background,Part-time,0.3059,92,2227,0.25353,0.36993
218,218,2008,Direct migration background,Either,0.2224,39,2227,0.17672,0.2643
219,219,2008,Indirect migration background,Full-time,0.68695,116,2227,0.59091,0.78403
220,220,2008,Indirect migration background,Part-time,0.31305,42,2227,0.22336,0.39604
221,221,2009,No migration background,Full-time,0.48149,785,2016,0.44251,0.51985
222,222,2009,No migration background,Part-time,0.27062,459,2016,0.24523,0.29322
223,223,2009,No migration background,Either,0.19186,295,2016,0.16961,0.21631
224,224,2009,No migration background,I'm not sure yet,0.05604,119,2016,0.04618,0.06726
225,225,2009,Direct migration background,Full-time,0.45811,94,2016,0.3835,0.54026
226,226,2009,Direct migration background,Part-time,0.2796,72,2016,0.21972,0.33764
227,227,2009,Direct migration background,Either,0.26228,47,2016,0.20649,0.32002
228,228,2009,Indirect migration background,Full-time,0.70963,106,2016,0.59529,0.83353
229,229,2009,Indirect migration background,Part-time,0.29037,39,2016,0.19848,0.40517
230,230,2010,No migration background,Full-time,0.50181,1166,4390,0.46003,0.5523
231,231,2010,No migration background,Part-time,0.27369,1439,4390,0.24706,0.29798
232,232,2010,No migration background,Either,0.15395,439,4390,0.13425,0.17586
233,233,2010,No migration background,I'm not sure yet,0.07055,146,4390,0.05863,0.08161
234,234,2010,Direct migration background,Full-time,0.40836,268,4390,0.33433,0.48981
235,235,2010,Direct migration background,Part-time,0.33143,416,4390,0.29177,0.37758
236,236,2010,Direct migration background,Either,0.21358,117,4390,0.15302,0.27734
237,237,2010,Direct migration background,I'm not sure yet,0.04663,34,4390,0.02656,0.07668
238,238,2010,Indirect migration background,Full-time,0.58217,164,4390,0.45824,0.71509
239,239,2010,Indirect migration background,Part-time,0.195,138,4390,0.15792,0.23872
240,240,2010,Indirect migration background,Either,0.22283,63,4390,0.15087,0.3027
241,241,2011,No migration background,Full-time,0.51542,1267,4296,0.4861,0.55394
242,242,2011,No migration background,Part-time,0.28139,1317,4296,0.26173,0.30538
243,243,2011,No migration background,Either,0.15082,456,4296,0.13628,0.16506
244,244,2011,No migration background,I'm not sure yet,0.05238,163,4296,0.04176,0.06357
245,245,2011,Direct migration background,Full-time,0.38121,244,4296,0.32244,0.43362
246,246,2011,Direct migration background,Part-time,0.38557,350,4296,0.33593,0.44855
247,247,2011,Direct migration background,Either,0.15547,104,4296,0.10876,0.20305
248,248,2011,Direct migration background,I'm not sure yet,0.07775,38,4296,0.04905,0.11282
249,249,2011,Indirect migration background,Full-time,0.5834,182,4296,0.48079,0.71285
250,250,2011,Indirect migration background,Part-time,0.25786,127,4296,0.19117,0.33848
251,251,2011,Indirect migration background,Either,0.15874,48,4296,0.10783,0.23136
252,252,2012,No migration background,Full-time,0.47299,1221,3964,0.44299,0.50379
253,253,2012,No migration background,Part-time,0.29707,1201,3964,0.27481,0.32072
254,254,2012,No migration background,Either,0.15614,406,3964,0.1398,0.17234
255,255,2012,No migration background,I'm not sure yet,0.0738,189,3964,0.06191,0.08712
256,256,2012,Direct migration background,Full-time,0.37749,196,3964,0.32523,0.44362
257,257,2012,Direct migration background,Part-time,0.37034,310,3964,0.32369,0.42233
258,258,2012,Direct migration background,Either,0.16851,73,3964,0.11898,0.22269
259,259,2012,Direct migration background,I'm not sure yet,0.08365,50,3964,0.06242,0.11242
260,260,2012,Indirect migration background,Full-time,0.61869,169,3964,0.4985,0.7294
261,261,2012,Indirect migration background,Part-time,0.27399,116,3964,0.19485,0.3421
262,262,2012,Indirect migration background,Either,0.10732,33,3964,0.06162,0.16322
263,263,2013,No migration background,Full-time,0.45735,1063,4768,0.43131,0.48478
264,264,2013,No migration background,Part-time,0.29844,1023,4768,0.27414,0.32104
265,265,2013,No migration background,Either,0.16308,408,4768,0.14671,0.18286
266,266,2013,No migration background,I'm not sure yet,0.08113,181,4768,0.0666,0.09494
267,267,2013,Direct migration background,Full-time,0.42897,598,4768,0.37649,0.46918
268,268,2013,Direct migration background,Part-time,0.36048,622,4768,0.32831,0.39216
269,269,2013,Direct migration background,Either,0.14219,198,4768,0.11274,0.18054
270,270,2013,Direct migration background,I'm not sure yet,0.06835,66,4768,0.04691,0.10054
271,271,2013,Indirect migration background,Full-time,0.63582,349,4768,0.57848,0.71594
272,272,2013,Indirect migration background,Part-time,0.25808,186,4768,0.22177,0.30403
273,273,2013,Indirect migration background,Either,0.1061,74,4768,0.08186,0.13875
274,274,2014,No migration background,Full-time,0.42026,867,3886,0.38637,0.45728
275,275,2014,No migration background,Part-time,0.34085,906,3886,0.31622,0.37216
276,276,2014,No migration background,Either,0.15798,364,3886,0.14489,0.17573
277,277,2014,No migration background,I'm not sure yet,0.08091,166,3886,0.06294,0.09886
278,278,2014,Direct migration background,Full-time,0.42736,427,3886,0.3718,0.48081
279,279,2014,Direct migration background,Part-time,0.37793,484,3886,0.33992,0.42701
280,280,2014,Direct migration background,Either,0.14614,145,3886,0.11296,0.17969
281,281,2014,Direct migration background,I'm not sure yet,0.04856,55,3886,0.03488,0.06548
282,282,2014,Indirect migration background,Full-time,0.62511,259,3886,0.54718,0.72148
283,283,2014,Indirect migration background,Part-time,0.24281,160,3886,0.20392,0.28864
284,284,2014,Indirect migration background,Either,0.13208,53,3886,0.07112,0.20686
285,285,2015,No migration background,Full-time,0.45327,861,4035,0.41683,0.49276
286,286,2015,No migration background,Part-time,0.30283,787,4035,0.28153,0.32565
287,287,2015,No migration background,Either,0.16746,343,4035,0.14532,0.18769
288,288,2015,No migration background,I'm not sure yet,0.07645,163,4035,0.06203,0.09565
289,289,2015,Direct migration background,Full-time,0.42776,535,4035,0.37392,0.49621
290,290,2015,Direct migration background,Part-time,0.35897,544,4035,0.31656,0.40374
291,291,2015,Direct migration background,Either,0.16083,222,4035,0.13365,0.20182
292,292,2015,Direct migration background,I'm not sure yet,0.05244,88,4035,0.04056,0.06282
293,293,2015,Indirect migration background,Full-time,0.51779,247,4035,0.44307,0.5901
294,294,2015,Indirect migration background,Part-time,0.2837,147,4035,0.21351,0.36068
295,295,2015,Indirect migration background,Either,0.1063,56,4035,0.0772,0.13774
296,296,2015,Indirect migration background,I'm not sure yet,0.09222,42,4035,0.05622,0.1344
297,297,2016,No migration background,Full-time,0.44425,725,3286,0.40259,0.48221
298,298,2016,No migration background,Part-time,0.31006,670,3286,0.27999,0.34039
299,299,2016,No migration background,Either,0.15216,288,3286,0.13449,0.17686
300,300,2016,No migration background,I'm not sure yet,0.09352,179,3286,0.07889,0.11348
301,301,2016,Direct migration background,Full-time,0.3464,356,3286,0.29776,0.40062
302,302,2016,Direct migration background,Part-time,0.39378,438,3286,0.34503,0.45573
303,303,2016,Direct migration background,Either,0.17887,180,3286,0.14846,0.21266
304,304,2016,Direct migration background,I'm not sure yet,0.08096,62,3286,0.05121,0.12299
305,305,2016,Indirect migration background,Full-time,0.57948,219,3286,0.48006,0.67838
306,306,2016,Indirect migration background,Part-time,0.27426,121,3286,0.20095,0.35518
307,307,2016,Indirect migration background,Either,0.14627,48,3286,0.08797,0.21515
308,308,2017,No migration background,Full-time,0.39325,804,4993,0.36571,0.42794
309,309,2017,No migration background,Part-time,0.34484,751,4993,0.31412,0.37072
310,310,2017,No migration background,Either,0.17821,316,4993,0.15382,0.2015
311,311,2017,No migration background,I'm not sure yet,0.08369,179,4993,0.06839,0.10177
312,312,2017,Direct migration background,Full-time,0.40916,1123,4993,0.34657,0.47583
313,313,2017,Direct migration background,Part-time,0.36337,800,4993,0.31216,0.41343
314,314,2017,Direct migration background,Either,0.15121,384,4993,0.12112,0.18482
315,315,2017,Direct migration background,I'm not sure yet,0.07626,195,4993,0.05083,0.1139
316,316,2017,Indirect migration background,Full-time,0.5623,217,4993,0.47373,0.66938
317,317,2017,Indirect migration background,Part-time,0.23932,130,4993,0.19854,0.28386
318,318,2017,Indirect migration background,Either,0.13792,62,4993,0.09863,0.18674
319,319,2017,Indirect migration background,I'm not sure yet,0.06046,32,4993,0.03901,0.08766
320,320,2018,No migration background,Full-time,0.39833,766,5446,0.36684,0.43027
321,321,2018,No migration background,Part-time,0.34126,696,5446,0.31608,0.37204
322,322,2018,No migration background,Either,0.16443,322,5446,0.14632,0.18442
323,323,2018,No migration background,I'm not sure yet,0.09597,181,5446,0.08007,0.11639
324,324,2018,Direct migration background,Full-time,0.39884,1360,5446,0.34619,0.47014
325,325,2018,Direct migration background,Part-time,0.3648,1016,5446,0.31618,0.42038
326,326,2018,Direct migration background,Either,0.1468,400,5446,0.11668,0.19244
327,327,2018,Direct migration background,I'm not sure yet,0.08956,288,5446,0.06499,0.12456
328,328,2018,Indirect migration background,Full-time,0.53474,209,5446,0.46667,0.61431
329,329,2018,Indirect migration background,Part-time,0.28012,118,5446,0.22345,0.32736
330,330,2018,Indirect migration background,Either,0.10484,57,5446,0.0795,0.13604
331,331,2018,Indirect migration background,I'm not sure yet,0.08029,33,5446,0.04876,0.11376
332,332,2019,No migration background,Full-time,0.37061,635,4638,0.33684,0.40957
333,333,2019,No migration background,Part-time,0.39217,691,4638,0.35405,0.42337
334,334,2019,No migration background,Either,0.16008,299,4638,0.1384,0.18241
335,335,2019,No migration background,I'm not sure yet,0.07714,145,4638,0.0632,0.09424
336,336,2019,Direct migration background,Full-time,0.41476,1088,4638,0.32519,0.48841
337,337,2019,Direct migration background,Part-time,0.35075,957,4638,0.29272,0.41497
338,338,2019,Direct migration background,Either,0.12692,223,4638,0.09586,0.17117
339,339,2019,Direct migration background,I'm not sure yet,0.10757,243,4638,0.07186,0.14554
340,340,2019,Indirect migration background,Full-time,0.48547,167,4638,0.40883,0.57903
341,341,2019,Indirect migration background,Part-time,0.30326,106,4638,0.22986,0.40479
342,342,2019,Indirect migration background,Either,0.13467,50,4638,0.0986,0.17628
343,343,2019,Indirect migration background,I'm not sure yet,0.0766,34,4638,0.05378,0.10211
344,344,2020,No migration background,Full-time,0.36752,601,4526,0.32842,0.40393
345,345,2020,No migration background,Part-time,0.33814,596,4526,0.3032,0.36926
346,346,2020,No migration background,Either,0.16131,288,4526,0.14581,0.1822
347,347,2020,No migration background,I'm not sure yet,0.13303,223,4526,0.11521,0.15111
348,348,2020,Direct migration background,Full-time,0.35814,1079,4526,0.30341,0.43411
349,349,2020,Direct migration background,Part-time,0.38497,857,4526,0.3126,0.47647
350,350,2020,Direct migration background,Either,0.12564,276,4526,0.0881,0.16536
351,351,2020,Direct migration background,I'm not sure yet,0.13125,265,4526,0.09655,0.18042
352,352,2020,Indirect migration background,Full-time,0.45586,138,4526,0.34458,0.59081
353,353,2020,Indirect migration background,Part-time,0.26188,101,4526,0.18657,0.3371
354,354,2020,Indirect migration background,Either,0.12478,55,4526,0.09334,0.16534
355,355,2020,Indirect migration background,I'm not sure yet,0.15748,47,4526,0.09025,0.25327
356,356,2021,No migration background,Full-time,0.34167,410,2979,0.30293,0.38711
357,357,2021,No migration background,Part-time,0.38826,474,2979,0.34656,0.42703
358,358,2021,No migration background,Either,0.19117,234,2979,0.16225,0.22447
