year,pgisced97,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1987,Lower Secondary Level,Either,0.10293,46,1276,0.10245,0.10342
1987,Lower Secondary Level,I'm not sure yet,0.05889,36,1276,0.05851,0.05926
1987,Upper Secondary Level,Full-time,0.44463,280,1276,0.44407,0.44519
1987,Upper Secondary Level,Part-time,0.46380,279,1276,0.46323,0.46436
1987,Upper Secondary Level,Either,0.09157,64,1276,0.09125,0.09190
1988,Pre-primary Level,Full-time,1.00000,96,1312,1.00000,1.00000
1988,Primary Level,Full-time,0.63017,54,1312,0.62789,0.63245
1988,Primary Level,Part-time,0.36983,37,1312,0.36755,0.37211
1988,Lower Secondary Level,Full-time,0.51527,257,1312,0.51448,0.51605
1988,Lower Secondary Level,Part-time,0.28766,95,1312,0.28695,0.28837
1988,Lower Secondary Level,Either,0.12499,43,1312,0.12447,0.12551
1988,Lower Secondary Level,I'm not sure yet,0.07209,44,1312,0.07168,0.07249
1988,Upper Secondary Level,Full-time,0.46351,292,1312,0.46297,0.46405
1988,Upper Secondary Level,Part-time,0.39555,262,1312,0.39502,0.39607
1988,Upper Secondary Level,Either,0.08312,56,1312,0.08282,0.08341
1988,Upper Secondary Level,I'm not sure yet,0.05782,42,1312,0.05757,0.05808
1988,First Stage of Tertiary Education,Part-time,1.00000,34,1312,1.00000,1.00000
1989,Pre-primary Level,Full-time,1.00000,94,1035,1.00000,1.00000
1989,Primary Level,Full-time,1.00000,47,1035,1.00000,1.00000
1989,Lower Secondary Level,Full-time,0.59025,194,1035,0.58936,0.59114
1989,Lower Secondary Level,Part-time,0.32126,99,1035,0.32041,0.32210
1989,Lower Secondary Level,I'm not sure yet,0.08849,34,1035,0.08798,0.08900
1989,Upper Secondary Level,Full-time,0.42727,241,1035,0.42670,0.42785
1989,Upper Secondary Level,Part-time,0.44255,244,1035,0.44197,0.44312
1989,Upper Secondary Level,Either,0.05611,35,1035,0.05585,0.05638
1989,Upper Secondary Level,I'm not sure yet,0.07407,47,1035,0.07376,0.07437
1990,Upper Secondary Level,Full-time,0.52169,71,133,0.52011,0.52328
1990,Upper Secondary Level,Part-time,0.47831,62,133,0.47672,0.47989
1991,Pre-primary Level,Full-time,1.00000,86,1431,1.00000,1.00000
1991,Primary Level,Full-time,1.00000,45,1431,1.00000,1.00000
1991,Lower Secondary Level,Full-time,0.44876,182,1431,0.44793,0.44958
1991,Lower Secondary Level,Part-time,0.33152,108,1431,0.33074,0.33230
1991,Lower Secondary Level,Either,0.13579,47,1431,0.13522,0.13636
1991,Lower Secondary Level,I'm not sure yet,0.08393,33,1431,0.08347,0.08439
1991,Upper Secondary Level,Full-time,0.43293,363,1431,0.43241,0.43345
1991,Upper Secondary Level,Part-time,0.40054,292,1431,0.40003,0.40106
1991,Upper Secondary Level,Either,0.11545,117,1431,0.11511,0.11578
1991,Upper Secondary Level,I'm not sure yet,0.05108,40,1431,0.05085,0.05131
1991,Second Stage of Tertiary Education,Full-time,0.51153,67,1431,0.51012,0.51294
1991,Second Stage of Tertiary Education,Part-time,0.48847,51,1431,0.48706,0.48988
1992,Pre-primary Level,Full-time,1.00000,100,1722,1.00000,1.00000
1992,Primary Level,Full-time,0.53849,53,1722,0.53639,0.54059
1992,Primary Level,Part-time,0.46151,32,1722,0.45941,0.46361
1992,Lower Secondary Level,Full-time,0.49511,203,1722,0.49431,0.49592
1992,Lower Secondary Level,Part-time,0.28496,105,1722,0.28423,0.28569
1992,Lower Secondary Level,Either,0.12770,45,1722,0.12716,0.12824
1992,Lower Secondary Level,I'm not sure yet,0.09223,43,1722,0.09176,0.09270
1992,Upper Secondary Level,Full-time,0.48311,452,1722,0.48262,0.48360
1992,Upper Secondary Level,Part-time,0.36633,308,1722,0.36587,0.36680
1992,Upper Secondary Level,Either,0.09670,114,1722,0.09641,0.09699
1992,Upper Secondary Level,I'm not sure yet,0.05385,47,1722,0.05363,0.05407
1992,Post-secondary Non-tertiary Level,Full-time,1.00000,48,1722,1.00000,1.00000
1992,First Stage of Tertiary Education,Part-time,1.00000,33,1722,1.00000,1.00000
1992,Second Stage of Tertiary Education,Full-time,0.58566,91,1722,0.58438,0.58695
1992,Second Stage of Tertiary Education,Part-time,0.41434,48,1722,0.41305,0.41562
1993,Pre-primary Level,Full-time,1.00000,103,1735,1.00000,1.00000
1993,Primary Level,Full-time,1.00000,43,1735,1.00000,1.00000
1993,Lower Secondary Level,Full-time,0.48607,195,1735,0.48525,0.48688
1993,Lower Secondary Level,Part-time,0.29771,104,1735,0.29696,0.29845
1993,Lower Secondary Level,Either,0.13233,46,1735,0.13178,0.13288
1993,Lower Secondary Level,I'm not sure yet,0.08390,32,1735,0.08344,0.08435
1993,Upper Secondary Level,Full-time,0.46987,474,1735,0.46940,0.47034
1993,Upper Secondary Level,Part-time,0.33937,307,1735,0.33893,0.33982
1993,Upper Secondary Level,Either,0.12335,142,1735,0.12304,0.12366
1993,Upper Secondary Level,I'm not sure yet,0.06741,60,1735,0.06717,0.06764
1993,Post-secondary Non-tertiary Level,Full-time,1.00000,47,1735,1.00000,1.00000
1993,First Stage of Tertiary Education,Part-time,1.00000,34,1735,1.00000,1.00000
1993,Second Stage of Tertiary Education,Full-time,0.51016,81,1735,0.50898,0.51133
1993,Second Stage of Tertiary Education,Part-time,0.30458,36,1735,0.30349,0.30566
1993,Second Stage of Tertiary Education,Either,0.18527,31,1735,0.18436,0.18618
1994,Pre-primary Level,Full-time,0.80035,129,1768,0.79940,0.80131
1994,Pre-primary Level,I'm not sure yet,0.19965,31,1768,0.19869,0.20060
1994,Primary Level,Full-time,1.00000,33,1768,1.00000,1.00000
1994,Lower Secondary Level,Full-time,0.47782,188,1768,0.47703,0.47860
1994,Lower Secondary Level,Part-time,0.26144,98,1768,0.26074,0.26213
1994,Lower Secondary Level,Either,0.11936,47,1768,0.11885,0.11987
1994,Lower Secondary Level,I'm not sure yet,0.14139,55,1768,0.14084,0.14194
1994,Upper Secondary Level,Full-time,0.46696,491,1768,0.46651,0.46741
1994,Upper Secondary Level,Part-time,0.34650,324,1768,0.34607,0.34693
1994,Upper Secondary Level,Either,0.11518,145,1768,0.11489,0.11547
1994,Upper Secondary Level,I'm not sure yet,0.07136,67,1768,0.07112,0.07159
1994,Post-secondary Non-tertiary Level,Full-time,1.00000,50,1768,1.00000,1.00000
1994,Second Stage of Tertiary Education,Full-time,0.56732,66,1768,0.56604,0.56860
1994,Second Stage of Tertiary Education,Part-time,0.43268,44,1768,0.43140,0.43396
1995,Pre-primary Level,Full-time,0.80004,163,1818,0.79917,0.80092
1995,Pre-primary Level,I'm not sure yet,0.19996,34,1818,0.19908,0.20083
1995,Lower Secondary Level,Full-time,0.41831,180,1818,0.41754,0.41908
1995,Lower Secondary Level,Part-time,0.36248,120,1818,0.36173,0.36323
1995,Lower Secondary Level,Either,0.12928,58,1818,0.12876,0.12981
1995,Lower Secondary Level,I'm not sure yet,0.08993,35,1818,0.08948,0.09038
1995,Upper Secondary Level,Full-time,0.46248,509,1818,0.46202,0.46294
1995,Upper Secondary Level,Part-time,0.34832,339,1818,0.34788,0.34876
1995,Upper Secondary Level,Either,0.13885,150,1818,0.13853,0.13917
1995,Upper Secondary Level,I'm not sure yet,0.05035,55,1818,0.05015,0.05056
1995,Post-secondary Non-tertiary Level,Full-time,1.00000,61,1818,1.00000,1.00000
1995,Second Stage of Tertiary Education,Full-time,0.54263,62,1818,0.54132,0.54393
1995,Second Stage of Tertiary Education,Part-time,0.45737,52,1818,0.45607,0.45868
1996,Pre-primary Level,Full-time,0.75531,160,1829,0.75442,0.75620
1996,Pre-primary Level,I'm not sure yet,0.24469,54,1829,0.24380,0.24558
1996,Lower Secondary Level,Full-time,0.46040,169,1829,0.45956,0.46123
1996,Lower Secondary Level,Part-time,0.36333,108,1829,0.36252,0.36414
1996,Lower Secondary Level,Either,0.17627,73,1829,0.17563,0.17691
1996,Upper Secondary Level,Full-time,0.42812,489,1829,0.42767,0.42857
1996,Upper Secondary Level,Part-time,0.36135,326,1829,0.36092,0.36179
1996,Upper Secondary Level,Either,0.15073,163,1829,0.15041,0.15106
1996,Upper Secondary Level,I'm not sure yet,0.05979,64,1829,0.05957,0.06001
1996,Post-secondary Non-tertiary Level,Full-time,1.00000,55,1829,1.00000,1.00000
1996,Second Stage of Tertiary Education,Full-time,0.43872,78,1829,0.43763,0.43982
1996,Second Stage of Tertiary Education,Part-time,0.38541,59,1829,0.38434,0.38649
1996,Second Stage of Tertiary Education,Either,0.17587,31,1829,0.17503,0.17671
1997,Pre-primary Level,Full-time,0.84131,178,1866,0.84054,0.84207
1997,Pre-primary Level,I'm not sure yet,0.15869,35,1866,0.15793,0.15946
1997,Primary Level,Full-time,1.00000,32,1866,1.00000,1.00000
1997,Lower Secondary Level,Full-time,0.46695,189,1866,0.46617,0.46773
1997,Lower Secondary Level,Part-time,0.26976,109,1866,0.26907,0.27046
1997,Lower Secondary Level,Either,0.16820,71,1866,0.16762,0.16879
1997,Lower Secondary Level,I'm not sure yet,0.09509,33,1866,0.09463,0.09554
1997,Upper Secondary Level,Full-time,0.40026,432,1866,0.39983,0.40070
1997,Upper Secondary Level,Part-time,0.35192,341,1866,0.35150,0.35235
1997,Upper Secondary Level,Either,0.17223,187,1866,0.17189,0.17256
1997,Upper Secondary Level,I'm not sure yet,0.07559,63,1866,0.07536,0.07583
1997,Post-secondary Non-tertiary Level,Full-time,1.00000,46,1866,1.00000,1.00000
1997,First Stage of Tertiary Education,Part-time,1.00000,32,1866,1.00000,1.00000
1997,Second Stage of Tertiary Education,Full-time,0.54306,63,1866,0.54178,0.54434
1997,Second Stage of Tertiary Education,Part-time,0.45694,55,1866,0.45566,0.45822
1998,Pre-primary Level,Full-time,0.77100,166,1914,0.77009,0.77192
1998,Pre-primary Level,I'm not sure yet,0.22900,49,1914,0.22808,0.22991
1998,Lower Secondary Level,Full-time,0.44729,185,1914,0.44651,0.44807
1998,Lower Secondary Level,Part-time,0.29673,119,1914,0.29601,0.29745
1998,Lower Secondary Level,Either,0.15669,63,1914,0.15612,0.15726
1998,Lower Secondary Level,I'm not sure yet,0.09930,43,1914,0.09882,0.09977
1998,Upper Secondary Level,Full-time,0.44588,492,1914,0.44542,0.44633
1998,Upper Secondary Level,Part-time,0.32859,334,1914,0.32816,0.32902
1998,Upper Secondary Level,Either,0.16218,182,1914,0.16184,0.16252
1998,Upper Secondary Level,I'm not sure yet,0.06336,66,1914,0.06313,0.06358
1998,First Stage of Tertiary Education,Part-time,1.00000,35,1914,1.00000,1.00000
1998,Second Stage of Tertiary Education,Full-time,0.42696,82,1914,0.42587,0.42805
1998,Second Stage of Tertiary Education,Part-time,0.32791,57,1914,0.32687,0.32894
1998,Second Stage of Tertiary Education,Either,0.24513,41,1914,0.24418,0.24608
1999,Pre-primary Level,Full-time,0.77238,147,1629,0.77144,0.77331
1999,Pre-primary Level,I'm not sure yet,0.22762,49,1629,0.22669,0.22856
1999,Lower Secondary Level,Full-time,0.41172,152,1629,0.41090,0.41254
1999,Lower Secondary Level,Part-time,0.27188,96,1629,0.27114,0.27262
1999,Lower Secondary Level,Either,0.19914,65,1629,0.19847,0.19980
1999,Lower Secondary Level,I'm not sure yet,0.11726,41,1629,0.11673,0.11780
1999,Upper Secondary Level,Full-time,0.45329,435,1629,0.45281,0.45377
1999,Upper Secondary Level,Part-time,0.31742,278,1629,0.31697,0.31787
1999,Upper Secondary Level,Either,0.15031,147,1629,0.14996,0.15066
1999,Upper Secondary Level,I'm not sure yet,0.07898,70,1629,0.07872,0.07924
1999,Post-secondary Non-tertiary Level,Part-time,1.00000,35,1629,1.00000,1.00000
1999,Second Stage of Tertiary Education,Full-time,0.52412,61,1629,0.52275,0.52549
1999,Second Stage of Tertiary Education,Part-time,0.47588,53,1629,0.47451,0.47725
2000,Pre-primary Level,Full-time,0.74019,257,3204,0.73923,0.74116
2000,Pre-primary Level,Either,0.09708,34,3204,0.09643,0.09773
2000,Pre-primary Level,I'm not sure yet,0.16273,56,3204,0.16191,0.16354
2000,Lower Secondary Level,Full-time,0.49106,270,3204,0.49021,0.49191
2000,Lower Secondary Level,Part-time,0.22000,127,3204,0.21930,0.22071
2000,Lower Secondary Level,Either,0.17417,90,3204,0.17352,0.17481
2000,Lower Secondary Level,I'm not sure yet,0.11477,59,3204,0.11423,0.11532
2000,Upper Secondary Level,Full-time,0.44672,792,3204,0.44624,0.44720
2000,Upper Secondary Level,Part-time,0.33687,576,3204,0.33641,0.33733
2000,Upper Secondary Level,Either,0.15222,256,3204,0.15188,0.15257
2000,Upper Secondary Level,I'm not sure yet,0.06419,99,3204,0.06395,0.06443
2000,Post-secondary Non-tertiary Level,Full-time,0.41213,63,3204,0.41065,0.41362
2000,Post-secondary Non-tertiary Level,Part-time,0.58787,91,3204,0.58638,0.58935
2000,First Stage of Tertiary Education,Full-time,0.33885,49,3204,0.33722,0.34047
2000,First Stage of Tertiary Education,Part-time,0.66115,92,3204,0.65953,0.66278
2000,Second Stage of Tertiary Education,Full-time,0.39323,117,3204,0.39212,0.39435
2000,Second Stage of Tertiary Education,Part-time,0.38226,115,3204,0.38115,0.38337
2000,Second Stage of Tertiary Education,Either,0.22450,61,3204,0.22355,0.22546
2001,Pre-primary Level,Full-time,0.80613,277,2822,0.80528,0.80698
2001,Pre-primary Level,I'm not sure yet,0.19387,72,2822,0.19302,0.19472
2001,Lower Secondary Level,Full-time,0.48244,228,2822,0.48156,0.48332
2001,Lower Secondary Level,Part-time,0.27344,129,2822,0.27266,0.27423
2001,Lower Secondary Level,Either,0.13441,58,2822,0.13381,0.13501
2001,Lower Secondary Level,I'm not sure yet,0.10971,53,2822,0.10916,0.11025
2001,Upper Secondary Level,Full-time,0.48056,690,2822,0.48007,0.48105
2001,Upper Secondary Level,Part-time,0.31329,460,2822,0.31283,0.31374
2001,Upper Secondary Level,Either,0.12410,194,2822,0.12378,0.12442
2001,Upper Secondary Level,I'm not sure yet,0.08205,119,2822,0.08178,0.08232
2001,Post-secondary Non-tertiary Level,Full-time,0.47949,75,2822,0.47803,0.48094
2001,Post-secondary Non-tertiary Level,Part-time,0.52051,79,2822,0.51906,0.52197
2001,First Stage of Tertiary Education,Full-time,0.40839,45,2822,0.40663,0.41015
2001,First Stage of Tertiary Education,Part-time,0.59161,80,2822,0.58985,0.59337
2001,Second Stage of Tertiary Education,Full-time,0.41373,112,2822,0.41265,0.41482
2001,Second Stage of Tertiary Education,Part-time,0.41315,105,2822,0.41206,0.41424
2001,Second Stage of Tertiary Education,Either,0.17312,46,2822,0.17228,0.17395
2002,Pre-primary Level,Full-time,0.67620,302,3023,0.67529,0.67711
2002,Pre-primary Level,Part-time,0.10057,34,3023,0.09999,0.10116
2002,Pre-primary Level,Either,0.08324,36,3023,0.08270,0.08377
2002,Pre-primary Level,I'm not sure yet,0.13999,80,3023,0.13931,0.14066
2002,Lower Secondary Level,Full-time,0.49089,222,3023,0.49002,0.49176
2002,Lower Secondary Level,Part-time,0.27434,116,3023,0.27356,0.27511
2002,Lower Secondary Level,Either,0.14713,59,3023,0.14651,0.14774
2002,Lower Secondary Level,I'm not sure yet,0.08765,41,3023,0.08715,0.08814
2002,Upper Secondary Level,Full-time,0.50677,791,3023,0.50631,0.50722
2002,Upper Secondary Level,Part-time,0.30807,474,3023,0.30765,0.30849
2002,Upper Secondary Level,Either,0.13173,233,3023,0.13142,0.13204
2002,Upper Secondary Level,I'm not sure yet,0.05344,87,3023,0.05323,0.05364
2002,Post-secondary Non-tertiary Level,Full-time,0.40153,64,3023,0.40013,0.40293
2002,Post-secondary Non-tertiary Level,Part-time,0.59847,89,3023,0.59707,0.59987
2002,First Stage of Tertiary Education,Full-time,0.32889,34,3023,0.32734,0.33044
2002,First Stage of Tertiary Education,Part-time,0.67111,80,3023,0.66956,0.67266
2002,Second Stage of Tertiary Education,Full-time,0.43960,114,3023,0.43846,0.44075
2002,Second Stage of Tertiary Education,Part-time,0.37560,116,3023,0.37448,0.37671
2002,Second Stage of Tertiary Education,Either,0.18480,51,3023,0.18390,0.18569
2003,Pre-primary Level,Full-time,0.74228,287,2875,0.74137,0.74318
2003,Pre-primary Level,Either,0.08492,39,2875,0.08434,0.08549
2003,Pre-primary Level,I'm not sure yet,0.17281,92,2875,0.17203,0.17359
2003,Lower Secondary Level,Full-time,0.54152,211,2875,0.54067,0.54237
2003,Lower Secondary Level,Part-time,0.22541,88,2875,0.22470,0.22612
2003,Lower Secondary Level,Either,0.14406,66,2875,0.14346,0.14465
2003,Lower Secondary Level,I'm not sure yet,0.08901,38,2875,0.08853,0.08950
2003,Upper Secondary Level,Full-time,0.48979,753,2875,0.48932,0.49026
2003,Upper Secondary Level,Part-time,0.29424,437,2875,0.29381,0.29466
2003,Upper Secondary Level,Either,0.16027,232,2875,0.15993,0.16061
2003,Upper Secondary Level,I'm not sure yet,0.05570,86,2875,0.05549,0.05591
2003,Post-secondary Non-tertiary Level,Full-time,0.46913,64,2875,0.46762,0.47065
2003,Post-secondary Non-tertiary Level,Part-time,0.53087,76,2875,0.52935,0.53238
2003,First Stage of Tertiary Education,Full-time,0.35994,42,2875,0.35838,0.36150
2003,First Stage of Tertiary Education,Part-time,0.64006,81,2875,0.63850,0.64162
2003,Second Stage of Tertiary Education,Full-time,0.47665,130,2875,0.47555,0.47775
2003,Second Stage of Tertiary Education,Part-time,0.36937,107,2875,0.36831,0.37043
2003,Second Stage of Tertiary Education,Either,0.15398,46,2875,0.15318,0.15477
2004,Pre-primary Level,Full-time,0.66236,324,2949,0.66150,0.66322
2004,Pre-primary Level,Part-time,0.09568,41,2949,0.09514,0.09622
2004,Pre-primary Level,Either,0.10749,49,2949,0.10692,0.10805
2004,Pre-primary Level,I'm not sure yet,0.13448,87,2949,0.13386,0.13510
2004,Lower Secondary Level,Full-time,0.56734,217,2949,0.56650,0.56818
2004,Lower Secondary Level,Part-time,0.21515,93,2949,0.21446,0.21585
2004,Lower Secondary Level,Either,0.21750,77,2949,0.21681,0.21820
2004,Upper Secondary Level,Full-time,0.47827,748,2949,0.47782,0.47873
2004,Upper Secondary Level,Part-time,0.27987,435,2949,0.27947,0.28028
2004,Upper Secondary Level,Either,0.18181,263,2949,0.18146,0.18215
2004,Upper Secondary Level,I'm not sure yet,0.06005,94,2949,0.05983,0.06026
2004,Post-secondary Non-tertiary Level,Full-time,0.52005,79,2949,0.51854,0.52157
2004,Post-secondary Non-tertiary Level,Part-time,0.47995,67,2949,0.47843,0.48146
2004,First Stage of Tertiary Education,Full-time,0.34311,36,2949,0.34144,0.34478
2004,First Stage of Tertiary Education,Part-time,0.65689,68,2949,0.65522,0.65856
2004,Second Stage of Tertiary Education,Full-time,0.40366,103,2949,0.40260,0.40471
2004,Second Stage of Tertiary Education,Part-time,0.38276,109,2949,0.38171,0.38380
2004,Second Stage of Tertiary Education,Either,0.21359,59,2949,0.21271,0.21447
2005,Pre-primary Level,Full-time,0.67383,338,2868,0.67304,0.67462
2005,Pre-primary Level,Part-time,0.08273,35,2868,0.08226,0.08319
2005,Pre-primary Level,Either,0.08881,52,2868,0.08833,0.08929
2005,Pre-primary Level,I'm not sure yet,0.15463,89,2868,0.15402,0.15524
2005,Lower Secondary Level,Full-time,0.53236,196,2868,0.53154,0.53317
2005,Lower Secondary Level,Part-time,0.19950,82,2868,0.19884,0.20016
2005,Lower Secondary Level,Either,0.19146,63,2868,0.19082,0.19211
2005,Lower Secondary Level,I'm not sure yet,0.07668,38,2868,0.07624,0.07712
2005,Upper Secondary Level,Full-time,0.47088,688,2868,0.47042,0.47133
2005,Upper Secondary Level,Part-time,0.26567,397,2868,0.26527,0.26607
2005,Upper Secondary Level,Either,0.21333,282,2868,0.21296,0.21371
2005,Upper Secondary Level,I'm not sure yet,0.05012,75,2868,0.04992,0.05032
2005,Post-secondary Non-tertiary Level,Full-time,0.44049,65,2868,0.43919,0.44179
2005,Post-secondary Non-tertiary Level,Part-time,0.37567,65,2868,0.37440,0.37694
2005,Post-secondary Non-tertiary Level,Either,0.18384,32,2868,0.18282,0.18485
2005,First Stage of Tertiary Education,Full-time,0.39498,36,2868,0.39331,0.39665
2005,First Stage of Tertiary Education,Part-time,0.60502,67,2868,0.60335,0.60669
2005,Second Stage of Tertiary Education,Full-time,0.36581,98,2868,0.36480,0.36682
2005,Second Stage of Tertiary Education,Part-time,0.40558,116,2868,0.40455,0.40660
2005,Second Stage of Tertiary Education,Either,0.22861,54,2868,0.22773,0.22949
2006,Pre-primary Level,Full-time,0.69345,205,2799,0.69233,0.69458
2006,Pre-primary Level,Either,0.17362,32,2799,0.17270,0.17454
2006,Pre-primary Level,I'm not sure yet,0.13293,44,2799,0.13210,0.13376
2006,Lower Secondary Level,Full-time,0.44288,187,2799,0.44206,0.44370
2006,Lower Secondary Level,Part-time,0.24503,97,2799,0.24431,0.24574
2006,Lower Secondary Level,Either,0.26284,89,2799,0.26211,0.26357
2006,Lower Secondary Level,I'm not sure yet,0.04925,34,2799,0.04889,0.04961
2006,Upper Secondary Level,Full-time,0.47612,726,2799,0.47567,0.47657
2006,Upper Secondary Level,Part-time,0.30651,469,2799,0.30609,0.30693
2006,Upper Secondary Level,Either,0.17657,283,2799,0.17622,0.17691
2006,Upper Secondary Level,I'm not sure yet,0.04080,68,2799,0.04062,0.04098
2006,Post-secondary Non-tertiary Level,Full-time,0.46677,69,2799,0.46537,0.46818
2006,Post-secondary Non-tertiary Level,Part-time,0.53323,91,2799,0.53182,0.53463
2006,First Stage of Tertiary Education,Full-time,0.33647,33,2799,0.33483,0.33810
2006,First Stage of Tertiary Education,Part-time,0.66353,65,2799,0.66190,0.66517
2006,Second Stage of Tertiary Education,Full-time,0.35933,98,2799,0.35837,0.36028
2006,Second Stage of Tertiary Education,Part-time,0.44372,146,2799,0.44273,0.44470
2006,Second Stage of Tertiary Education,Either,0.19696,63,2799,0.19617,0.19774
2007,Pre-primary Level,Full-time,0.69467,163,2309,0.69351,0.69582
2007,Pre-primary Level,Either,0.14654,32,2309,0.14565,0.14742
2007,Pre-primary Level,I'm not sure yet,0.15879,45,2309,0.15788,0.15971
2007,Lower Secondary Level,Full-time,0.45053,172,2309,0.44969,0.45137
2007,Lower Secondary Level,Part-time,0.22341,84,2309,0.22271,0.22411
2007,Lower Secondary Level,Either,0.24780,71,2309,0.24708,0.24853
2007,Lower Secondary Level,I'm not sure yet,0.07826,33,2309,0.07781,0.07871
2007,Upper Secondary Level,Full-time,0.43385,553,2309,0.43337,0.43433
2007,Upper Secondary Level,Part-time,0.29559,363,2309,0.29515,0.29603
2007,Upper Secondary Level,Either,0.22291,269,2309,0.22251,0.22331
2007,Upper Secondary Level,I'm not sure yet,0.04764,68,2309,0.04744,0.04785
2007,Post-secondary Non-tertiary Level,Full-time,0.33756,49,2309,0.33634,0.33879
2007,Post-secondary Non-tertiary Level,Part-time,0.44612,79,2309,0.44484,0.44741
2007,Post-secondary Non-tertiary Level,Either,0.21631,33,2309,0.21525,0.21738
2007,First Stage of Tertiary Education,Part-time,1.00000,52,2309,1.00000,1.00000
2007,Second Stage of Tertiary Education,Full-time,0.32098,76,2309,0.31996,0.32201
2007,Second Stage of Tertiary Education,Part-time,0.49550,121,2309,0.49440,0.49660
2007,Second Stage of Tertiary Education,Either,0.18352,46,2309,0.18267,0.18437
2008,Pre-primary Level,Full-time,0.69045,169,1997,0.68939,0.69151
2008,Pre-primary Level,Either,0.13213,37,1997,0.13135,0.13290
2008,Pre-primary Level,I'm not sure yet,0.17743,54,1997,0.17655,0.17830
2008,Lower Secondary Level,Full-time,0.51973,134,1997,0.51878,0.52068
2008,Lower Secondary Level,Part-time,0.24850,74,1997,0.24767,0.24932
2008,Lower Secondary Level,Either,0.23177,61,1997,0.23097,0.23257
2008,Upper Secondary Level,Full-time,0.45823,511,1997,0.45773,0.45873
2008,Upper Secondary Level,Part-time,0.29314,324,1997,0.29268,0.29360
2008,Upper Secondary Level,Either,0.19019,203,1997,0.18979,0.19058
2008,Upper Secondary Level,I'm not sure yet,0.05844,77,1997,0.05821,0.05868
2008,Post-secondary Non-tertiary Level,Full-time,0.35853,34,1997,0.35701,0.36005
2008,Post-secondary Non-tertiary Level,Part-time,0.64147,68,1997,0.63995,0.64299
2008,First Stage of Tertiary Education,Part-time,1.00000,39,1997,1.00000,1.00000
2008,Second Stage of Tertiary Education,Full-time,0.33607,68,1997,0.33498,0.33717
2008,Second Stage of Tertiary Education,Part-time,0.39784,103,1997,0.39670,0.39897
2008,Second Stage of Tertiary Education,Either,0.26609,41,1997,0.26506,0.26711
2009,Pre-primary Level,Full-time,0.82757,148,1779,0.82661,0.82853
