year,migback,regtyp,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,No migration background,Urban regions,Full-time,0.04305,295,643,0.02735,0.05875
1989,No migration background,Urban regions,Part-time,0.03583,254,643,0.02145,0.05021
1989,No migration background,Urban regions,Either,0.00529,36,643,-0.00032,0.01090
1989,No migration background,Urban regions,I'm not sure yet,0.00836,58,643,0.00132,0.01541
1989,No migration background,Rural regions,Full-time,0.05060,107,185,0.01893,0.08227
1989,No migration background,Rural regions,Part-time,0.03591,78,185,0.00902,0.06279
1989,Direct migration background,Urban regions,Full-time,0.06155,159,328,0.03550,0.08761
1989,Direct migration background,Urban regions,Part-time,0.03461,99,328,0.01480,0.05443
1989,Direct migration background,Urban regions,Either,0.01779,36,328,0.00346,0.03212
1989,Direct migration background,Urban regions,I'm not sure yet,0.01034,34,328,-0.00062,0.02130
1989,Indirect migration background,Urban regions,Full-time,0.04566,62,62,-0.00673,0.09804
1990,No migration background,Urban regions,Full-time,0.00272,43,75,-0.00914,0.01457
1990,No migration background,Urban regions,Part-time,0.00219,32,75,-0.00846,0.01284
1990,No migration background,Rural regions,Full-time,0.01136,107,174,-0.00443,0.02715
1990,No migration background,Rural regions,Part-time,0.00795,67,174,-0.00528,0.02119
1991,No migration background,Urban regions,Full-time,0.03565,303,698,0.02188,0.04941
1991,No migration background,Urban regions,Part-time,0.03378,277,698,0.02037,0.04719
1991,No migration background,Urban regions,Either,0.00761,72,698,0.00116,0.01406
1991,No migration background,Urban regions,I'm not sure yet,0.00526,46,698,-0.00011,0.01062
1991,No migration background,Rural regions,Full-time,0.04508,276,513,0.02710,0.06305
1991,No migration background,Rural regions,Part-time,0.02786,144,513,0.01360,0.04212
1991,No migration background,Rural regions,Either,0.01453,93,513,0.00417,0.02490
1991,Direct migration background,Urban regions,Full-time,0.05188,135,226,0.02290,0.08086
1991,Direct migration background,Urban regions,Part-time,0.03684,91,226,0.01223,0.06146
1991,Indirect migration background,Urban regions,Full-time,0.03176,60,60,-0.01299,0.07651
1992,No migration background,Urban regions,Full-time,0.04449,381,804,0.03023,0.05875
1992,No migration background,Urban regions,Part-time,0.03384,285,804,0.02133,0.04635
1992,No migration background,Urban regions,Either,0.00912,85,804,0.00254,0.01569
1992,No migration background,Urban regions,I'm not sure yet,0.00666,53,804,0.00104,0.01229
1992,No migration background,Rural regions,Full-time,0.05480,341,595,0.03650,0.07310
1992,No migration background,Rural regions,Part-time,0.03279,163,595,0.01847,0.04712
1992,No migration background,Rural regions,Either,0.01241,91,595,0.00351,0.02131
1992,Direct migration background,Urban regions,Full-time,0.06179,135,268,0.03291,0.09067
1992,Direct migration background,Urban regions,Part-time,0.03879,91,268,0.01563,0.06195
1992,Direct migration background,Urban regions,I'm not sure yet,0.01549,42,268,0.00068,0.03030
1992,Indirect migration background,Urban regions,Full-time,0.06724,90,90,0.01521,0.11927
1993,No migration background,Urban regions,Full-time,0.04599,391,824,0.03168,0.06030
1993,No migration background,Urban regions,Part-time,0.03433,279,824,0.02189,0.04677
1993,No migration background,Urban regions,Either,0.01034,93,824,0.00343,0.01726
1993,No migration background,Urban regions,I'm not sure yet,0.00739,61,824,0.00154,0.01324
1993,No migration background,Rural regions,Full-time,0.05648,348,628,0.03841,0.07455
1993,No migration background,Rural regions,Part-time,0.02599,132,628,0.01354,0.03844
1993,No migration background,Rural regions,Either,0.01717,116,628,0.00700,0.02734
1993,No migration background,Rural regions,I'm not sure yet,0.00739,32,628,0.00069,0.01409
1993,Direct migration background,Urban regions,Full-time,0.05073,119,240,0.02291,0.07855
1993,Direct migration background,Urban regions,Part-time,0.03624,84,240,0.01255,0.05993
1993,Direct migration background,Urban regions,I'm not sure yet,0.01673,37,240,0.00047,0.03299
1993,Indirect migration background,Urban regions,Full-time,0.06666,85,85,0.01332,0.12000
1994,No migration background,Urban regions,Full-time,0.04803,413,905,0.03409,0.06197
1994,No migration background,Urban regions,Part-time,0.03587,307,905,0.02375,0.04799
1994,No migration background,Urban regions,Either,0.01102,95,905,0.00421,0.01782
1994,No migration background,Urban regions,I'm not sure yet,0.01084,90,905,0.00409,0.01759
1994,No migration background,Rural regions,Full-time,0.05922,340,632,0.04080,0.07763
1994,No migration background,Rural regions,Part-time,0.02955,142,632,0.01633,0.04276
1994,No migration background,Rural regions,Either,0.01826,114,632,0.00781,0.02870
1994,No migration background,Rural regions,I'm not sure yet,0.00695,36,632,0.00047,0.01343
1994,Direct migration background,Urban regions,Full-time,0.05704,124,275,0.02958,0.08451
1994,Direct migration background,Urban regions,Part-time,0.03424,80,275,0.01271,0.05577
1994,Direct migration background,Urban regions,Either,0.01738,39,275,0.00191,0.03285
1994,Direct migration background,Urban regions,I'm not sure yet,0.01277,32,275,-0.00053,0.02606
1994,Direct migration background,Rural regions,Full-time,0.08787,34,34,-0.00872,0.18447
1994,Indirect migration background,Urban regions,Full-time,0.07291,92,92,0.01949,0.12633
1995,No migration background,Urban regions,Full-time,0.04538,382,871,0.03155,0.05921
1995,No migration background,Urban regions,Part-time,0.03850,318,871,0.02571,0.05128
1995,No migration background,Urban regions,Either,0.01222,109,871,0.00492,0.01952
1995,No migration background,Urban regions,I'm not sure yet,0.00800,62,871,0.00208,0.01391
1995,No migration background,Rural regions,Full-time,0.05106,321,620,0.03372,0.06841
1995,No migration background,Rural regions,Part-time,0.03067,150,620,0.01708,0.04425
1995,No migration background,Rural regions,Either,0.01881,109,620,0.00811,0.02952
1995,No migration background,Rural regions,I'm not sure yet,0.00676,40,620,0.00031,0.01322
1995,Direct migration background,Urban regions,Full-time,0.08431,199,406,0.05725,0.11138
1995,Direct migration background,Urban regions,Part-time,0.04126,108,406,0.02189,0.06062
1995,Direct migration background,Urban regions,Either,0.02196,62,406,0.00769,0.03623
1995,Direct migration background,Urban regions,I'm not sure yet,0.01243,37,406,0.00164,0.02322
1995,Direct migration background,Rural regions,Full-time,0.09263,43,43,0.00495,0.18031
1995,Indirect migration background,Urban regions,Full-time,0.07293,98,98,0.02118,0.12467
1996,No migration background,Urban regions,Full-time,0.04244,373,871,0.02904,0.05584
1996,No migration background,Urban regions,Part-time,0.04048,315,871,0.02739,0.05358
1996,No migration background,Urban regions,Either,0.01393,114,871,0.00614,0.02172
1996,No migration background,Urban regions,I'm not sure yet,0.00943,69,871,0.00301,0.01585
1996,No migration background,Rural regions,Full-time,0.05660,342,642,0.03871,0.07449
1996,No migration background,Rural regions,Part-time,0.02869,140,642,0.01576,0.04161
1996,No migration background,Rural regions,Either,0.01935,118,642,0.00868,0.03001
1996,No migration background,Rural regions,I'm not sure yet,0.00637,42,642,0.00021,0.01253
1996,Direct migration background,Urban regions,Full-time,0.07294,172,364,0.04619,0.09970
1996,Direct migration background,Urban regions,Part-time,0.05150,98,364,0.02876,0.07424
1996,Direct migration background,Urban regions,Either,0.02337,55,364,0.00783,0.03891
1996,Direct migration background,Urban regions,I'm not sure yet,0.01380,39,364,0.00180,0.02580
1996,Direct migration background,Rural regions,Full-time,0.10019,41,41,0.00714,0.19324
1996,Indirect migration background,Urban regions,Full-time,0.07086,99,99,0.02006,0.12166
1997,No migration background,Urban regions,Full-time,0.04436,364,839,0.03042,0.05830
1997,No migration background,Urban regions,Part-time,0.03529,283,839,0.02280,0.04779
1997,No migration background,Urban regions,Either,0.01597,132,839,0.00748,0.02446
1997,No migration background,Urban regions,I'm not sure yet,0.00848,60,839,0.00227,0.01468
1997,No migration background,Rural regions,Full-time,0.05676,311,653,0.03900,0.07452
1997,No migration background,Rural regions,Part-time,0.03466,170,653,0.02062,0.04870
1997,No migration background,Rural regions,Either,0.02285,126,653,0.01138,0.03432
1997,No migration background,Rural regions,I'm not sure yet,0.00904,46,653,0.00178,0.01631
1997,Direct migration background,Urban regions,Full-time,0.07721,172,353,0.04932,0.10509
1997,Direct migration background,Urban regions,Part-time,0.05423,121,353,0.03057,0.07788
1997,Direct migration background,Urban regions,Either,0.02195,60,353,0.00664,0.03726
1997,Direct migration background,Rural regions,Full-time,0.07351,33,33,-0.01691,0.16393
1997,Indirect migration background,Urban regions,Full-time,0.06028,91,91,0.01111,0.10946
1998,No migration background,Urban regions,Full-time,0.04091,389,923,0.02812,0.05369
1998,No migration background,Urban regions,Part-time,0.03480,325,923,0.02297,0.04663
1998,No migration background,Urban regions,Either,0.01403,123,923,0.00644,0.02162
1998,No migration background,Urban regions,I'm not sure yet,0.00949,86,923,0.00323,0.01575
1998,No migration background,Rural regions,Full-time,0.05619,361,729,0.03946,0.07292
1998,No migration background,Rural regions,Part-time,0.03238,175,729,0.01952,0.04524
1998,No migration background,Rural regions,Either,0.02181,145,729,0.01120,0.03242
1998,No migration background,Rural regions,I'm not sure yet,0.00715,48,729,0.00103,0.01326
1998,Direct migration background,Urban regions,Full-time,0.06804,138,325,0.04062,0.09546
1998,Direct migration background,Urban regions,Part-time,0.04309,97,325,0.02098,0.06520
1998,Direct migration background,Urban regions,Either,0.02728,50,325,0.00954,0.04502
1998,Direct migration background,Urban regions,I'm not sure yet,0.01401,40,325,0.00121,0.02681
1998,Direct migration background,Rural regions,Full-time,0.08669,36,36,-0.00653,0.17991
1998,Indirect migration background,Urban regions,Full-time,0.07010,96,96,0.01876,0.12145
1999,No migration background,Urban regions,Full-time,0.03811,335,799,0.02482,0.05139
1999,No migration background,Urban regions,Part-time,0.03012,274,799,0.01826,0.04198
1999,No migration background,Urban regions,Either,0.01215,105,799,0.00455,0.01976
1999,No migration background,Urban regions,I'm not sure yet,0.00927,85,799,0.00262,0.01592
1999,No migration background,Rural regions,Full-time,0.05273,328,646,0.03548,0.06998
1999,No migration background,Rural regions,Part-time,0.02745,145,646,0.01484,0.04006
1999,No migration background,Rural regions,Either,0.01928,127,646,0.00867,0.02990
1999,No migration background,Rural regions,I'm not sure yet,0.00764,46,646,0.00092,0.01436
1999,Direct migration background,Urban regions,Full-time,0.05564,111,246,0.02693,0.08434
1999,Direct migration background,Urban regions,Part-time,0.04555,86,246,0.01944,0.07166
1999,Direct migration background,Urban regions,Either,0.02355,49,246,0.00456,0.04253
1999,Indirect migration background,Urban regions,Full-time,0.06948,91,91,0.01695,0.12202
2000,No migration background,Urban regions,Full-time,0.03583,622,1476,0.02635,0.04532
2000,No migration background,Urban regions,Part-time,0.03118,547,1476,0.02231,0.04005
2000,No migration background,Urban regions,Either,0.01160,188,1476,0.00614,0.01706
2000,No migration background,Urban regions,I'm not sure yet,0.00734,119,1476,0.00298,0.01170
2000,No migration background,Rural regions,Full-time,0.05259,551,1081,0.03927,0.06590
2000,No migration background,Rural regions,Part-time,0.02551,268,1081,0.01611,0.03491
2000,No migration background,Rural regions,Either,0.01841,192,1081,0.01039,0.02643
2000,No migration background,Rural regions,I'm not sure yet,0.00638,70,1081,0.00163,0.01113
2000,Direct migration background,Urban regions,Full-time,0.06104,195,454,0.03899,0.08308
2000,Direct migration background,Urban regions,Part-time,0.05076,159,454,0.03055,0.07098
2000,Direct migration background,Urban regions,Either,0.01779,53,454,0.00561,0.02996
2000,Direct migration background,Urban regions,I'm not sure yet,0.01372,47,454,0.00301,0.02443
2000,Direct migration background,Rural regions,Full-time,0.05529,43,74,0.00286,0.10772
2000,Direct migration background,Rural regions,Either,0.04922,31,74,-0.00041,0.09884
2000,Indirect migration background,Urban regions,Full-time,0.07945,143,177,0.03950,0.11941
2000,Indirect migration background,Urban regions,Part-time,0.01905,34,177,-0.00115,0.03925
2001,No migration background,Urban regions,Full-time,0.03911,582,1296,0.02855,0.04967
2001,No migration background,Urban regions,Part-time,0.02863,446,1296,0.01955,0.03771
2001,No migration background,Urban regions,Either,0.00966,143,1296,0.00433,0.01498
2001,No migration background,Urban regions,I'm not sure yet,0.00746,125,1296,0.00277,0.01215
2001,No migration background,Rural regions,Full-time,0.05669,543,1013,0.04244,0.07094
2001,No migration background,Rural regions,Part-time,0.02684,245,1013,0.01688,0.03680
2001,No migration background,Rural regions,Either,0.01437,147,1013,0.00704,0.02170
2001,No migration background,Rural regions,I'm not sure yet,0.00800,78,1013,0.00251,0.01348
2001,Direct migration background,Urban regions,Full-time,0.06820,159,361,0.04216,0.09424
2001,Direct migration background,Urban regions,Part-time,0.04792,124,361,0.02586,0.06999
2001,Direct migration background,Urban regions,Either,0.01816,41,361,0.00437,0.03196
2001,Direct migration background,Urban regions,I'm not sure yet,0.01438,37,361,0.00208,0.02668
2001,Direct migration background,Rural regions,Full-time,0.07895,43,43,-0.00260,0.16051
2001,Indirect migration background,Urban regions,Full-time,0.06680,133,176,0.02981,0.10379
2001,Indirect migration background,Urban regions,Part-time,0.02117,43,176,-0.00016,0.04250
2002,No migration background,Urban regions,Full-time,0.04378,661,1466,0.03331,0.05426
2002,No migration background,Urban regions,Part-time,0.03305,499,1466,0.02389,0.04220
2002,No migration background,Urban regions,Either,0.01093,172,1466,0.00560,0.01625
2002,No migration background,Urban regions,I'm not sure yet,0.00741,134,1466,0.00302,0.01180
2002,No migration background,Rural regions,Full-time,0.06282,586,1060,0.04821,0.07744
2002,No migration background,Rural regions,Part-time,0.02978,243,1060,0.01954,0.04002
2002,No migration background,Rural regions,Either,0.01638,176,1060,0.00874,0.02403
2002,No migration background,Rural regions,I'm not sure yet,0.00505,55,1060,0.00078,0.00932
2002,Direct migration background,Urban regions,Full-time,0.06850,151,365,0.04255,0.09445
2002,Direct migration background,Urban regions,Part-time,0.05387,126,365,0.03068,0.07706
2002,Direct migration background,Urban regions,Either,0.02688,55,365,0.01026,0.04349
2002,Direct migration background,Urban regions,I'm not sure yet,0.01253,33,365,0.00111,0.02396
2002,Direct migration background,Rural regions,Full-time,0.08019,35,35,-0.01110,0.17148
2002,Indirect migration background,Urban regions,Full-time,0.07244,134,169,0.03324,0.11164
2002,Indirect migration background,Urban regions,Part-time,0.02008,35,169,-0.00113,0.04129
2003,No migration background,Urban regions,Full-time,0.04456,679,1451,0.03394,0.05518
2003,No migration background,Urban regions,Part-time,0.02978,457,1451,0.02103,0.03852
2003,No migration background,Urban regions,Either,0.01350,184,1451,0.00756,0.01943
2003,No migration background,Urban regions,I'm not sure yet,0.00707,131,1451,0.00276,0.01138
2003,No migration background,Rural regions,Full-time,0.06275,549,1007,0.04777,0.07774
2003,No migration background,Rural regions,Part-time,0.02609,208,1007,0.01624,0.03594
2003,No migration background,Rural regions,Either,0.01717,177,1007,0.00914,0.02519
2003,No migration background,Rural regions,I'm not sure yet,0.00766,73,1007,0.00227,0.01305
2003,Direct migration background,Urban regions,Full-time,0.07680,159,320,0.04758,0.10602
2003,Direct migration background,Urban regions,Part-time,0.05276,113,320,0.02822,0.07729
2003,Direct migration background,Urban regions,Either,0.02600,48,320,0.00854,0.04346
2003,Direct migration background,Rural regions,Full-time,0.07443,31,31,-0.01949,0.16835
2003,Indirect migration background,Urban regions,Full-time,0.06934,125,168,0.03081,0.10787
2003,Indirect migration background,Urban regions,Part-time,0.02432,43,168,0.00096,0.04769
2004,No migration background,Urban regions,Full-time,0.04554,680,1448,0.03479,0.05628
2004,No migration background,Urban regions,Part-time,0.02992,448,1448,0.02114,0.03870
2004,No migration background,Urban regions,Either,0.01480,201,1448,0.00858,0.02102
2004,No migration background,Urban regions,I'm not sure yet,0.00619,119,1448,0.00215,0.01024
2004,No migration background,Rural regions,Full-time,0.06200,535,1034,0.04730,0.07671
2004,No migration background,Rural regions,Part-time,0.02895,214,1034,0.01872,0.03917
2004,No migration background,Rural regions,Either,0.02726,209,1034,0.01733,0.03719
2004,No migration background,Rural regions,I'm not sure yet,0.00991,76,1034,0.00387,0.01596
2004,Direct migration background,Urban regions,Full-time,0.09221,182,373,0.06281,0.12161
2004,Direct migration background,Urban regions,Part-time,0.04754,105,373,0.02592,0.06917
2004,Direct migration background,Urban regions,Either,0.02609,54,373,0.00989,0.04229
2004,Direct migration background,Urban regions,I'm not sure yet,0.01473,32,373,0.00249,0.02698
2004,Direct migration background,Rural regions,Full-time,0.11213,39,39,0.01181,0.21246
2004,Indirect migration background,Urban regions,Full-time,0.07371,133,180,0.03543,0.11200
2004,Indirect migration background,Urban regions,Part-time,0.02344,47,180,0.00128,0.04561
2005,No migration background,Urban regions,Full-time,0.05039,679,1425,0.03903,0.06175
2005,No migration background,Urban regions,Part-time,0.02943,426,1425,0.02065,0.03820
2005,No migration background,Urban regions,Either,0.01725,210,1425,0.01049,0.02401
2005,No migration background,Urban regions,I'm not sure yet,0.00723,110,1425,0.00283,0.01163
2005,No migration background,Rural regions,Full-time,0.06183,506,987,0.04680,0.07687
2005,No migration background,Rural regions,Part-time,0.02674,201,987,0.01667,0.03681
2005,No migration background,Rural regions,Either,0.02778,207,987,0.01752,0.03803
2005,No migration background,Rural regions,I'm not sure yet,0.00831,73,987,0.00264,0.01398
2005,Direct migration background,Urban regions,Full-time,0.07822,146,302,0.04788,0.10855
2005,Direct migration background,Urban regions,Part-time,0.04314,90,302,0.02019,0.06609
2005,Direct migration background,Urban regions,Either,0.03958,66,302,0.01755,0.06161
2005,Direct migration background,Rural regions,Full-time,0.10298,36,36,0.00229,0.20367
2005,Indirect migration background,Urban regions,Full-time,0.08417,134,209,0.04643,0.12190
2005,Indirect migration background,Urban regions,Part-time,0.02684,42,209,0.00487,0.04880
2005,Indirect migration background,Urban regions,Either,0.02061,33,209,0.00130,0.03992
2006,No migration background,Urban regions,Full-time,0.04489,624,1409,0.03407,0.05570
2006,No migration background,Urban regions,Part-time,0.03165,471,1409,0.02251,0.04080
2006,No migration background,Urban regions,Either,0.01635,229,1409,0.00973,0.02298
2006,No migration background,Urban regions,I'm not sure yet,0.00447,85,1409,0.00098,0.00795
2006,No migration background,Rural regions,Full-time,0.05440,488,992,0.04028,0.06853
2006,No migration background,Rural regions,Part-time,0.03332,257,992,0.02214,0.04449
2006,No migration background,Rural regions,Either,0.02264,192,992,0.01338,0.03190
2006,No migration background,Rural regions,I'm not sure yet,0.00572,55,992,0.00102,0.01041
2006,Direct migration background,Urban regions,Full-time,0.07960,138,316,0.04971,0.10950
2006,Direct migration background,Urban regions,Part-time,0.05867,109,316,0.03272,0.08463
2006,Direct migration background,Urban regions,Either,0.04369,69,316,0.02111,0.06626
2006,Direct migration background,Rural regions,Part-time,0.08584,32,32,-0.01277,0.18445
2006,Indirect migration background,Urban regions,Full-time,0.08228,132,211,0.04512,0.11945
2006,Indirect migration background,Urban regions,Part-time,0.02953,47,211,0.00663,0.05242
2006,Indirect migration background,Urban regions,Either,0.02808,32,211,0.00573,0.05042
2007,No migration background,Urban regions,Full-time,0.03663,513,1214,0.02606,0.04720
2007,No migration background,Urban regions,Part-time,0.03103,404,1214,0.02128,0.04079
2007,No migration background,Urban regions,Either,0.01558,199,1214,0.00861,0.02254
2007,No migration background,Urban regions,I'm not sure yet,0.00599,98,1214,0.00164,0.01033
2007,No migration background,Rural regions,Full-time,0.04790,399,826,0.03333,0.06247
2007,No migration background,Rural regions,Part-time,0.02377,187,826,0.01337,0.03416
2007,No migration background,Rural regions,Either,0.02408,189,826,0.01362,0.03454
2007,No migration background,Rural regions,I'm not sure yet,0.00637,51,826,0.00094,0.01180
2007,Direct migration background,Urban regions,Full-time,0.07217,107,250,0.04003,0.10432
2007,Direct migration background,Urban regions,Part-time,0.04325,82,250,0.01799,0.06852
2007,Direct migration background,Urban regions,Either,0.04795,61,250,0.02141,0.07448
2007,Indirect migration background,Urban regions,Full-time,0.07047,103,150,0.02937,0.11157
2007,Indirect migration background,Urban regions,Part-time,0.03512,47,150,0.00556,0.06468
2008,No migration background,Urban regions,Full-time,0.03683,462,1084,0.02561,0.04804
2008,No migration background,Urban regions,Part-time,0.02559,345,1084,0.01619,0.03500
2008,No migration background,Urban regions,Either,0.01430,173,1084,0.00723,0.02137
2008,No migration background,Urban regions,I'm not sure yet,0.00680,104,1084,0.00191,0.01170
2008,No migration background,Rural regions,Full-time,0.04498,361,745,0.03008,0.05987
2008,No migration background,Rural regions,Part-time,0.02210,166,745,0.01153,0.03266
2008,No migration background,Rural regions,Either,0.02240,166,745,0.01176,0.03303
2008,No migration background,Rural regions,I'm not sure yet,0.00569,52,745,0.00029,0.01110
2008,Direct migration background,Urban regions,Full-time,0.06192,85,189,0.02747,0.09638
2008,Direct migration background,Urban regions,Part-time,0.03668,71,189,0.00981,0.06355
2008,Direct migration background,Urban regions,Either,0.02866,33,189,0.00481,0.05252
2008,Indirect migration background,Urban regions,Full-time,0.06415,103,139,0.02327,0.10503
2008,Indirect migration background,Urban regions,Part-time,0.02799,36,139,0.00047,0.05551
2009,No migration background,Urban regions,Full-time,0.03896,442,989,0.02689,0.05102
2009,No migration background,Urban regions,Part-time,0.02456,297,989,0.01491,0.03421
2009,No migration background,Urban regions,Either,0.01622,169,989,0.00834,0.02410
2009,No migration background,Urban regions,I'm not sure yet,0.00471,81,989,0.00044,0.00898
2009,No migration background,Rural regions,Full-time,0.04773,342,668,0.03155,0.06391
2009,No migration background,Rural regions,Part-time,0.02227,162,668,0.01107,0.03346
2009,No migration background,Rural regions,Either,0.01800,126,668,0.00791,0.02809
2009,No migration background,Rural regions,I'm not sure yet,0.00531,38,668,-0.00020,0.01083
2009,Direct migration background,Urban regions,Full-time,0.05350,70,163,0.01884,0.08815
2009,Direct migration background,Urban regions,Part-time,0.03823,56,163,0.00870,0.06776
2009,Direct migration background,Urban regions,Either,0.03197,37,163,0.00488,0.05906
2009,Indirect migration background,Urban regions,Full-time,0.06962,90,124,0.02464,0.11460
2009,Indirect migration background,Urban regions,Part-time,0.02580,34,124,-0.00222,0.05382
2010,No migration background,Urban regions,Full-time,0.04571,665,1975,0.03650,0.05493
2010,No migration background,Urban regions,Part-time,0.02652,943,1975,0.01943,0.03361
2010,No migration background,Urban regions,Either,0.01311,258,1975,0.00809,0.01812
2010,No migration background,Urban regions,I'm not sure yet,0.00705,109,1975,0.00336,0.01074
2010,No migration background,Rural regions,Full-time,0.04438,495,1206,0.03275,0.05600
2010,No migration background,Rural regions,Part-time,0.02187,495,1206,0.01361,0.03013
2010,No migration background,Rural regions,Either,0.01585,180,1206,0.00880,0.02290
2010,No migration background,Rural regions,I'm not sure yet,0.00514,36,1206,0.00110,0.00918
2010,Direct migration background,Urban regions,Full-time,0.07578,207,656,0.05552,0.09605
2010,Direct migration background,Urban regions,Part-time,0.05937,323,656,0.04128,0.07747
2010,Direct migration background,Urban regions,Either,0.03235,95,656,0.01880,0.04589
2010,Direct migration background,Urban regions,I'm not sure yet,0.00895,31,656,0.00174,0.01616
2010,Direct migration background,Rural regions,Full-time,0.05283,65,163,0.01839,0.08728
2010,Direct migration background,Rural regions,Part-time,0.05065,98,163,0.01688,0.08442
2010,Indirect migration background,Urban regions,Full-time,0.07865,137,300,0.04814,0.10917
2010,Indirect migration background,Urban regions,Part-time,0.02521,115,300,0.00744,0.04298
2010,Indirect migration background,Urban regions,Either,0.02562,48,300,0.00771,0.04353
2011,No migration background,Urban regions,Full-time,0.04275,745,1927,0.03372,0.05179
2011,No migration background,Urban regions,Part-time,0.02355,816,1927,0.01678,0.03032
2011,No migration background,Urban regions,Either,0.01185,266,1927,0.00702,0.01669
2011,No migration background,Urban regions,I'm not sure yet,0.00474,100,1927,0.00167,0.00781
2011,No migration background,Rural regions,Full-time,0.04151,517,1266,0.03052,0.05251
2011,No migration background,Rural regions,Part-time,0.02226,498,1266,0.01413,0.03039
2011,No migration background,Rural regions,Either,0.01337,188,1266,0.00704,0.01970
2011,No migration background,Rural regions,I'm not sure yet,0.00346,63,1266,0.00023,0.00670
2011,Direct migration background,Urban regions,Full-time,0.06658,190,580,0.04627,0.08689
2011,Direct migration background,Urban regions,Part-time,0.06459,271,580,0.04457,0.08461
2011,Direct migration background,Urban regions,Either,0.02250,86,580,0.01042,0.03458
2011,Direct migration background,Urban regions,I'm not sure yet,0.01358,33,580,0.00415,0.02301
2011,Direct migration background,Rural regions,Full-time,0.04650,58,145,0.01211,0.08089
2011,Direct migration background,Rural regions,Part-time,0.05896,87,145,0.02049,0.09743
2011,Indirect migration background,Urban regions,Full-time,0.06420,147,290,0.03594,0.09246
2011,Indirect migration background,Urban regions,Part-time,0.02763,101,290,0.00873,0.04653
2011,Indirect migration background,Urban regions,Either,0.01865,42,290,0.00305,0.03425
2011,Indirect migration background,Rural regions,Full-time,0.04522,36,36,-0.02362,0.11407
2012,No migration background,Urban regions,Full-time,0.04056,705,1823,0.03150,0.04961
