year,sex,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,female,I'm not sure yet,0.09232,192,2170,0.08013,0.10450
2001,male,Full-time,0.77316,845,1090,0.74828,0.79803
2001,male,Part-time,0.04896,55,1090,0.03615,0.06178
2001,male,Either,0.10569,105,1090,0.08743,0.12395
2001,male,I'm not sure yet,0.07219,85,1090,0.05682,0.08756
2001,female,Full-time,0.31207,626,1915,0.29132,0.33283
2001,female,Part-time,0.45529,831,1915,0.43298,0.47760
2001,female,Either,0.13227,261,1915,0.11709,0.14745
2001,female,I'm not sure yet,0.10037,197,1915,0.08691,0.11383
2002,male,Full-time,0.76560,944,1241,0.74202,0.78918
2002,male,Part-time,0.06877,80,1241,0.05469,0.08286
2002,male,Either,0.11496,138,1241,0.09720,0.13271
2002,male,I'm not sure yet,0.05067,79,1241,0.03846,0.06288
2002,female,Full-time,0.30750,634,1959,0.28706,0.32794
2002,female,Part-time,0.46461,847,1959,0.44252,0.48670
2002,female,Either,0.14643,307,1959,0.13077,0.16209
2002,female,I'm not sure yet,0.08146,171,1959,0.06934,0.09357
2003,male,Full-time,0.74672,958,1273,0.72282,0.77062
2003,male,Part-time,0.06010,81,1273,0.04704,0.07316
2003,male,Either,0.13165,155,1273,0.11307,0.15024
2003,male,I'm not sure yet,0.06153,79,1273,0.04832,0.07473
2003,female,Full-time,0.31552,597,1833,0.29424,0.33680
2003,female,Part-time,0.44114,760,1833,0.41840,0.46388
2003,female,Either,0.16103,296,1833,0.14420,0.17786
2003,female,I'm not sure yet,0.08231,180,1833,0.06973,0.09490
2004,male,Full-time,0.72134,964,1304,0.69700,0.74569
2004,male,Part-time,0.07535,89,1304,0.06102,0.08968
2004,male,Either,0.15436,180,1304,0.13475,0.17398
2004,male,I'm not sure yet,0.04894,71,1304,0.03723,0.06066
2004,female,Full-time,0.31557,631,1891,0.29462,0.33652
2004,female,Part-time,0.41339,748,1891,0.39119,0.43559
2004,female,Either,0.18324,333,1891,0.16580,0.20068
2004,female,I'm not sure yet,0.08780,179,1891,0.07504,0.10056
2005,male,Full-time,0.70576,885,1245,0.68044,0.73109
2005,male,Part-time,0.05343,70,1245,0.04094,0.06593
2005,male,Either,0.18155,204,1245,0.16013,0.20298
2005,male,I'm not sure yet,0.05925,86,1245,0.04613,0.07237
2005,female,Full-time,0.33205,636,1836,0.31050,0.35360
2005,female,Part-time,0.39333,711,1836,0.37098,0.41568
2005,female,Either,0.19584,330,1836,0.17768,0.21400
2005,female,I'm not sure yet,0.07879,159,1836,0.06646,0.09111
2006,male,Full-time,0.70638,854,1192,0.68052,0.73225
2006,male,Part-time,0.07287,88,1192,0.05811,0.08763
2006,male,Either,0.17674,185,1192,0.15508,0.19841
2006,male,I'm not sure yet,0.04400,65,1192,0.03235,0.05565
2006,female,Full-time,0.28736,575,1880,0.26689,0.30782
2006,female,Part-time,0.46723,832,1880,0.44467,0.48979
2006,female,Either,0.19727,360,1880,0.17928,0.21527
2006,female,I'm not sure yet,0.04815,113,1880,0.03847,0.05783
2007,male,Full-time,0.63927,652,971,0.60905,0.66949
2007,male,Part-time,0.10139,87,971,0.08240,0.12039
2007,male,Either,0.20954,170,971,0.18393,0.23515
2007,male,I'm not sure yet,0.04980,62,971,0.03611,0.06349
2007,female,Full-time,0.29716,501,1609,0.27482,0.31950
2007,female,Part-time,0.41631,655,1609,0.39222,0.44041
2007,female,Either,0.21149,325,1609,0.19153,0.23145
2007,female,I'm not sure yet,0.07504,128,1609,0.06216,0.08791
2008,male,Full-time,0.66111,600,888,0.62996,0.69226
2008,male,Part-time,0.08016,75,888,0.06229,0.09803
2008,male,Either,0.18649,143,888,0.16086,0.21213
2008,male,I'm not sure yet,0.07224,70,888,0.05520,0.08928
2008,female,Full-time,0.31010,447,1396,0.28582,0.33437
2008,female,Part-time,0.41846,570,1396,0.39257,0.44435
2008,female,Either,0.20230,265,1396,0.18122,0.22338
2008,female,I'm not sure yet,0.06914,114,1396,0.05583,0.08245
2009,male,Full-time,0.67217,585,869,0.64094,0.70339
2009,male,Part-time,0.08240,80,869,0.06411,0.10070
2009,male,Either,0.18410,141,869,0.15831,0.20988
2009,male,I'm not sure yet,0.06134,63,869,0.04537,0.07730
2009,female,Full-time,0.31223,400,1210,0.28611,0.33835
2009,female,Part-time,0.40614,490,1210,0.37846,0.43382
2009,female,Either,0.21671,231,1210,0.19348,0.23993
2009,female,I'm not sure yet,0.06492,89,1210,0.05103,0.07881
2010,male,Full-time,0.71687,898,1226,0.69164,0.74210
2010,male,Part-time,0.08278,103,1226,0.06735,0.09821
2010,male,Either,0.13675,158,1226,0.11751,0.15599
2010,male,I'm not sure yet,0.06360,67,1226,0.04994,0.07727
2010,female,Full-time,0.30224,700,3176,0.28626,0.31821
2010,female,Part-time,0.43668,1890,3176,0.41943,0.45393
2010,female,Either,0.20076,461,3176,0.18682,0.21469
2010,female,I'm not sure yet,0.06032,125,3176,0.05204,0.06861
2011,male,Full-time,0.69977,922,1291,0.67475,0.72478
2011,male,Part-time,0.10217,120,1291,0.08564,0.11870
2011,male,Either,0.14958,180,1291,0.13012,0.16905
2011,male,I'm not sure yet,0.04848,69,1291,0.03676,0.06020
2011,female,Full-time,0.34571,771,3022,0.32875,0.36267
2011,female,Part-time,0.43750,1674,3022,0.41981,0.45519
2011,female,Either,0.15414,428,3022,0.14126,0.16702
2011,female,I'm not sure yet,0.06264,149,3022,0.05400,0.07129
2012,male,Full-time,0.65629,864,1254,0.62999,0.68258
2012,male,Part-time,0.12265,157,1254,0.10449,0.14082
2012,male,Either,0.14873,151,1254,0.12903,0.16843
2012,male,I'm not sure yet,0.07233,82,1254,0.05799,0.08668
2012,female,Full-time,0.32027,722,2731,0.30277,0.33777
2012,female,Part-time,0.44335,1470,2731,0.42471,0.46198
2012,female,Either,0.15620,361,2731,0.14258,0.16982
2012,female,I'm not sure yet,0.08019,178,2731,0.07000,0.09037
2013,male,Full-time,0.67529,1114,1612,0.65243,0.69816
2013,male,Part-time,0.12068,180,1612,0.10477,0.13658
2013,male,Either,0.14402,223,1612,0.12687,0.16116
2013,male,I'm not sure yet,0.06001,95,1612,0.04841,0.07161
2013,female,Full-time,0.31253,896,3177,0.29641,0.32865
2013,female,Part-time,0.44729,1651,3177,0.42999,0.46458
2013,female,Either,0.15813,457,3177,0.14544,0.17082
2013,female,I'm not sure yet,0.08206,173,3177,0.07251,0.09161
2014,male,Full-time,0.66338,890,1343,0.63810,0.68866
2014,male,Part-time,0.14734,187,1343,0.12837,0.16630
2014,male,Either,0.14405,194,1343,0.12526,0.16284
2014,male,I'm not sure yet,0.04523,72,1343,0.03411,0.05635
2014,female,Full-time,0.27411,663,2573,0.25687,0.29135
2014,female,Part-time,0.47722,1363,2573,0.45791,0.49652
2014,female,Either,0.15803,368,2573,0.14393,0.17213
2014,female,I'm not sure yet,0.09064,179,2573,0.07955,0.10174
2015,male,Full-time,0.65569,936,1391,0.63071,0.68066
2015,male,Part-time,0.11324,163,1391,0.09659,0.12990
2015,male,Either,0.16992,211,1391,0.15017,0.18966
2015,male,I'm not sure yet,0.06115,81,1391,0.04856,0.07375
2015,female,Full-time,0.29466,707,2644,0.27728,0.31204
2015,female,Part-time,0.47123,1315,2644,0.45220,0.49026
2015,female,Either,0.15094,410,2644,0.13729,0.16459
2015,female,I'm not sure yet,0.08317,212,2644,0.07265,0.09370
2016,male,Full-time,0.62395,741,1160,0.59606,0.65184
2016,male,Part-time,0.13032,129,1160,0.11094,0.14971
2016,male,Either,0.17670,198,1160,0.15474,0.19866
2016,male,I'm not sure yet,0.06902,92,1160,0.05443,0.08362
2016,female,Full-time,0.29726,559,2154,0.27795,0.31657
2016,female,Part-time,0.46335,1100,2154,0.44229,0.48442
2016,female,Either,0.13953,318,2154,0.12489,0.15416
2016,female,I'm not sure yet,0.09986,177,2154,0.08720,0.11252
2017,male,Full-time,0.59443,1437,2130,0.57357,0.61528
2017,male,Part-time,0.14370,228,2130,0.12880,0.15860
2017,male,Either,0.19469,333,2130,0.17787,0.21151
2017,male,I'm not sure yet,0.06718,132,2130,0.05655,0.07782
2017,female,Full-time,0.27012,707,2863,0.25385,0.28639
2017,female,Part-time,0.49621,1453,2863,0.47789,0.51452
2017,female,Either,0.14409,429,2863,0.13122,0.15695
2017,female,I'm not sure yet,0.08959,274,2863,0.07912,0.10005
2018,male,Full-time,0.59330,1546,2294,0.57319,0.61341
2018,male,Part-time,0.15849,281,2294,0.14354,0.17344
2018,male,Either,0.16641,309,2294,0.15116,0.18165
2018,male,I'm not sure yet,0.08180,158,2294,0.07058,0.09302
2018,female,Full-time,0.27548,789,3152,0.25988,0.29108
2018,female,Part-time,0.47683,1549,3152,0.45939,0.49427
2018,female,Either,0.14850,470,3152,0.13608,0.16091
2018,female,I'm not sure yet,0.09920,344,3152,0.08876,0.10963
2019,male,Full-time,0.57900,1239,1905,0.55682,0.60117
2019,male,Part-time,0.18350,285,1905,0.16611,0.20089
2019,male,Either,0.15996,233,1905,0.14349,0.17643
2019,male,I'm not sure yet,0.07755,148,1905,0.06553,0.08956
2019,female,Full-time,0.26078,652,2732,0.24431,0.27725
2019,female,Part-time,0.50896,1469,2732,0.49021,0.52771
2019,female,Either,0.13936,337,2732,0.12637,0.15235
2019,female,I'm not sure yet,0.09090,274,2732,0.08012,0.10168
2020,male,Full-time,0.55355,1160,1846,0.53087,0.57623
2020,male,Part-time,0.18232,264,1846,0.16470,0.19993
2020,male,Either,0.14540,234,1846,0.12931,0.16148
2020,male,I'm not sure yet,0.11873,188,1846,0.10397,0.13349
2020,female,Full-time,0.23571,656,2677,0.21963,0.25180
2020,female,Part-time,0.46195,1289,2677,0.44306,0.48084
2020,female,Either,0.15516,385,2677,0.14144,0.16888
2020,female,I'm not sure yet,0.14717,347,2677,0.13375,0.16060
2021,male,Full-time,0.51122,584,1153,0.48235,0.54009
2021,male,Part-time,0.21800,233,1153,0.19416,0.24185
2021,male,Either,0.19422,252,1153,0.17137,0.21706
2021,male,I'm not sure yet,0.07656,84,1153,0.06120,0.09191
2021,female,Full-time,0.21250,370,1852,0.19387,0.23114
2021,female,Part-time,0.48457,935,1852,0.46180,0.50733
2021,female,Either,0.18376,327,1852,0.16612,0.20140
2021,female,I'm not sure yet,0.11917,220,1852,0.10441,0.13393
2022,male,Full-time,0.50398,650,1298,0.47677,0.53119
2022,male,Part-time,0.24456,293,1298,0.22117,0.26795
2022,male,Either,0.14677,217,1298,0.12752,0.16603
2022,male,I'm not sure yet,0.10469,138,1298,0.08803,0.12135
2022,female,Full-time,0.22847,475,2227,0.21102,0.24591
2022,female,Part-time,0.50155,1161,2227,0.48078,0.52233
2022,female,Either,0.14290,322,2227,0.12836,0.15744
2022,female,I'm not sure yet,0.12708,269,2227,0.11324,0.14091
