"plh0196","year","migback","n","percent","lower_confidence","upper_confidence","NA"
"Leute sind hilfsbereit","2008","indirekter Migrationshintergrund","255","0.29102869181668","0.258606329732942","0.323451053900418",""
"Leute sind hilfsbereit","2008","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2008","kein Migrationshintergrund","10141","0.625796098657236","0.618391005014873","0.633201192299599",""
"Leute verfolgen Eigeninteresse","2008","direkter Migrationshintergrund","1173","0.642261932288054","0.620536623547513","0.663987241028594",""
"Leute verfolgen Eigeninteresse","2008","indirekter Migrationshintergrund","499","0.70897130818332","0.676548946099582","0.741393670267058",""
"Leute verfolgen Eigeninteresse","2008","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2009","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2009","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2009","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2009","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2009","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2009","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2010","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2010","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2010","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2010","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2010","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2010","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2011","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2011","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2011","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2011","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2011","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2011","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2012","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2012","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2012","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2012","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2012","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2012","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2012","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2012","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2013","kein Migrationshintergrund","9434","0.433049750937049","0.426389705482635","0.439709796391463",""
"Leute sind hilfsbereit","2013","direkter Migrationshintergrund","1129","0.430769935348014","0.411699315175754","0.449840555520274",""
"Leute sind hilfsbereit","2013","indirekter Migrationshintergrund","434","0.38985240957589","0.361786012960517","0.417918806191263",""
"Leute sind hilfsbereit","2013","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2013","kein Migrationshintergrund","11829","0.566950249062951","0.560290203608537","0.573610294517365",""
"Leute verfolgen Eigeninteresse","2013","direkter Migrationshintergrund","1461","0.569230064651986","0.550159444479726","0.588300684824246",""
"Leute verfolgen Eigeninteresse","2013","indirekter Migrationshintergrund","726","0.61014759042411","0.582081193808737","0.638213987039483",""
"Leute verfolgen Eigeninteresse","2013","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2014","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2014","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2014","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2014","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2014","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2014","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2014","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2014","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2015","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2015","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2015","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2015","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2015","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2015","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2015","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2015","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2016","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2016","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2016","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2016","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2016","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2016","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2016","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2016","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2017","kein Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2017","direkter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2017","indirekter Migrationshintergrund","","","","",""
"Leute sind hilfsbereit","2017","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2017","kein Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2017","direkter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2017","indirekter Migrationshintergrund","","","","",""
"Leute verfolgen Eigeninteresse","2017","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute sind hilfsbereit","2018","kein Migrationshintergrund","8986","0.468721133391814","0.461656316875609","0.47578594990802",""
"Leute sind hilfsbereit","2018","direkter Migrationshintergrund","3582","0.46231503696734","0.450845585500779","0.473784488433901",""
"Leute sind hilfsbereit","2018","indirekter Migrationshintergrund","647","0.400624346544327","0.377185244963191","0.424063448125464",""
"Leute sind hilfsbereit","2018","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Leute verfolgen Eigeninteresse","2018","kein Migrationshintergrund","10180","0.531278866608186","0.52421405009198","0.538343683124391",""
"Leute verfolgen Eigeninteresse","2018","direkter Migrationshintergrund","3677","0.53768496303266","0.526215511566099","0.549154414499221",""
"Leute verfolgen Eigeninteresse","2018","indirekter Migrationshintergrund","1032","0.599375653455672","0.575936551874536","0.622814755036809",""
"Leute verfolgen Eigeninteresse","2018","Migrationshintergrund - n. w. differenzierbar","","","","",""
