"plh0196","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Leute sind hilfsbereit","2007","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2007","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2007","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2007","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2007","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2007","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2007","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2007","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2007","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2007","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2007","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2007","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2008","17-34","maennlich","661","0.305060022318183","0.285079846564158","0.325040198072207"
"Leute sind hilfsbereit","2008","17-34","weiblich","772","0.319236781764157","0.299965773354368","0.338507790173946"
"Leute sind hilfsbereit","2008","35-65","maennlich","1652","0.31818468928016","0.305316790396434","0.331052588163885"
"Leute sind hilfsbereit","2008","35-65","weiblich","2018","0.349369854266086","0.33674901079131","0.361990697740861"
"Leute sind hilfsbereit","2008","66 +","maennlich","935","0.460192519264707","0.43837626788018","0.482008770649234"
"Leute sind hilfsbereit","2008","66 +","weiblich","1178","0.535421662642318","0.514679632616195","0.556163692668441"
"Leute verfolgen Eigeninteresse","2008","17-34","maennlich","1379","0.694939977681817","0.674959801927793","0.714920153435842"
"Leute verfolgen Eigeninteresse","2008","17-34","weiblich","1476","0.680763218235843","0.661492209826054","0.700034226645632"
"Leute verfolgen Eigeninteresse","2008","35-65","maennlich","3381","0.68181531071984","0.668947411836115","0.694683209603566"
"Leute verfolgen Eigeninteresse","2008","35-65","weiblich","3464","0.650630145733914","0.638009302259139","0.66325098920869"
"Leute verfolgen Eigeninteresse","2008","66 +","maennlich","1070","0.539807480735293","0.517991229350767","0.56162373211982"
"Leute verfolgen Eigeninteresse","2008","66 +","weiblich","1043","0.464578337357682","0.443836307331559","0.485320367383805"
"Leute sind hilfsbereit","2009","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2009","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2009","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2009","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2009","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2009","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2009","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2009","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2009","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2009","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2009","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2009","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2010","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2010","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2010","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2010","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2010","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2010","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2010","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2010","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2010","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2010","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2010","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2010","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2011","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2011","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2011","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2011","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2011","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2011","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2011","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2011","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2011","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2011","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2011","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2011","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2012","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2012","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2012","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2012","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2012","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2012","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2012","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2012","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2012","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2012","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2012","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2012","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2013","17-34","maennlich","913","0.384309388330269","0.364929013574188","0.403689763086351"
"Leute sind hilfsbereit","2013","17-34","weiblich","1224","0.363120890724857","0.346243918994763","0.379997862454951"
"Leute sind hilfsbereit","2013","35-65","maennlich","2618","0.369144605659615","0.357465070495395","0.380824140823836"
"Leute sind hilfsbereit","2013","35-65","weiblich","3511","0.404980170057233","0.394280661720285","0.415679678394182"
"Leute sind hilfsbereit","2013","66 +","maennlich","1249","0.529998982485533","0.50976386865509","0.550234096315976"
"Leute sind hilfsbereit","2013","66 +","weiblich","1482","0.595906872325696","0.576644184740074","0.615169559911319"
"Leute verfolgen Eigeninteresse","2013","17-34","maennlich","1507","0.615690611669731","0.596310236913649","0.635070986425812"
"Leute verfolgen Eigeninteresse","2013","17-34","weiblich","1895","0.636879109275143","0.620002137545049","0.653756081005236"
"Leute verfolgen Eigeninteresse","2013","35-65","maennlich","3940","0.630855394340385","0.619175859176164","0.642534929504605"
"Leute verfolgen Eigeninteresse","2013","35-65","weiblich","4575","0.595019829942767","0.584320321605818","0.605719338279715"
"Leute verfolgen Eigeninteresse","2013","66 +","maennlich","1088","0.470001017514467","0.449765903684024","0.49023613134491"
"Leute verfolgen Eigeninteresse","2013","66 +","weiblich","1011","0.404093127674304","0.384830440088681","0.423355815259926"
"Leute sind hilfsbereit","2014","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2014","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2014","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2014","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2014","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2014","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2014","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2014","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2014","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2014","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2014","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2014","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2015","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2015","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2015","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2015","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2015","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2015","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2015","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2015","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2015","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2015","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2015","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2015","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2016","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2016","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2016","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2016","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2016","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2016","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2016","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2016","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2016","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2016","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2016","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2016","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2017","17-34","maennlich","","","",""
"Leute sind hilfsbereit","2017","17-34","weiblich","","","",""
"Leute sind hilfsbereit","2017","35-65","maennlich","","","",""
"Leute sind hilfsbereit","2017","35-65","weiblich","","","",""
"Leute sind hilfsbereit","2017","66 +","maennlich","","","",""
"Leute sind hilfsbereit","2017","66 +","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2017","17-34","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2017","17-34","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2017","35-65","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2017","35-65","weiblich","","","",""
"Leute verfolgen Eigeninteresse","2017","66 +","maennlich","","","",""
"Leute verfolgen Eigeninteresse","2017","66 +","weiblich","","","",""
"Leute sind hilfsbereit","2018","17-34","maennlich","1588","0.412117218277541","0.396142398787456","0.428092037767627"
"Leute sind hilfsbereit","2018","17-34","weiblich","1603","0.400081061781266","0.384388261268497","0.415773862294035"
"Leute sind hilfsbereit","2018","35-65","maennlich","3265","0.42735023845728","0.415996693038312","0.438703783876248"
"Leute sind hilfsbereit","2018","35-65","weiblich","3921","0.437706639401378","0.42717244476126","0.448240834041496"
"Leute sind hilfsbereit","2018","66 +","maennlich","1312","0.556110889169402","0.536191909618825","0.576029868719979"
"Leute sind hilfsbereit","2018","66 +","weiblich","1526","0.605657169499992","0.586538325206714","0.62477601379327"
"Leute verfolgen Eigeninteresse","2018","17-34","maennlich","2059","0.587882781722459","0.571907962232373","0.603857601212544"
"Leute verfolgen Eigeninteresse","2018","17-34","weiblich","2141","0.599918938218734","0.584226137705965","0.615611738731503"
"Leute verfolgen Eigeninteresse","2018","35-65","maennlich","4028","0.57264976154272","0.561296216123752","0.584003306961688"
"Leute verfolgen Eigeninteresse","2018","35-65","weiblich","4599","0.562293360598622","0.551759165958503","0.57282755523874"
"Leute verfolgen Eigeninteresse","2018","66 +","maennlich","1078","0.443889110830598","0.423970131280021","0.463808090381175"
"Leute verfolgen Eigeninteresse","2018","66 +","weiblich","984","0.394342830500009","0.375223986206731","0.413461674793286"
