year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1998,Staedtischer Raum,maennlich,,,,,,,,,,,,
1998,Staedtischer Raum,weiblich,,,,,,,,,,,,
1998,Laendlicher Raum,maennlich,,,,,,,,,,,,
1998,Laendlicher Raum,weiblich,,,,,,,,,,,,
1999,Staedtischer Raum,maennlich,,,,,,,,,,,,
1999,Staedtischer Raum,weiblich,,,,,,,,,,,,
1999,Laendlicher Raum,maennlich,,,,,,,,,,,,
1999,Laendlicher Raum,weiblich,,,,,,,,,,,,
2000,Staedtischer Raum,maennlich,,,,,,,,,,,,
2000,Staedtischer Raum,weiblich,,,,,,,,,,,,
2000,Laendlicher Raum,maennlich,,,,,,,,,,,,
2000,Laendlicher Raum,weiblich,,,,,,,,,,,,
2001,Staedtischer Raum,maennlich,,,,,,,,,,,,
2001,Staedtischer Raum,weiblich,,,,,,,,,,,,
2001,Laendlicher Raum,maennlich,,,,,,,,,,,,
2001,Laendlicher Raum,weiblich,,,,,,,,,,,,
2002,Staedtischer Raum,maennlich,,,,,,,,,,,,
2002,Staedtischer Raum,weiblich,,,,,,,,,,,,
2002,Laendlicher Raum,maennlich,,,,,,,,,,,,
2002,Laendlicher Raum,weiblich,,,,,,,,,,,,
2003,Staedtischer Raum,maennlich,,,,,,,,,,,,
2003,Staedtischer Raum,weiblich,,,,,,,,,,,,
2003,Laendlicher Raum,maennlich,,,,,,,,,,,,
2003,Laendlicher Raum,weiblich,,,,,,,,,,,,
2004,Staedtischer Raum,maennlich,,,,,,,,,,,,
2004,Staedtischer Raum,weiblich,,,,,,,,,,,,
2004,Laendlicher Raum,maennlich,,,,,,,,,,,,
2004,Laendlicher Raum,weiblich,,,,,,,,,,,,
2005,Staedtischer Raum,maennlich,,,,,,,,,,,,
2005,Staedtischer Raum,weiblich,,,,,,,,,,,,
2005,Laendlicher Raum,maennlich,,,,,,,,,,,,
2005,Laendlicher Raum,weiblich,,,,,,,,,,,,
2006,Staedtischer Raum,maennlich,7.540691931822282,7.516458163552114,7.56492570009245,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,6756.0
2006,Staedtischer Raum,weiblich,7.5304316271927885,7.507099831864897,7.55376342252068,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,7438.0
2006,Laendlicher Raum,maennlich,7.608560944663108,7.575127241696873,7.641994647629343,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3514.0
2006,Laendlicher Raum,weiblich,7.640686052542515,7.608867079026585,7.672505026058444,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3855.0
2007,Staedtischer Raum,maennlich,7.549431835358736,7.524458773516544,7.574404897200928,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,6269.0
2007,Staedtischer Raum,weiblich,7.514831636568973,7.491324589999588,7.538338683138357,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,6949.0
2007,Laendlicher Raum,maennlich,7.550963259748805,7.515436154111711,7.586490365385899,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3342.0
2007,Laendlicher Raum,weiblich,7.61569447239644,7.583517750498613,7.647871194294266,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3599.0
2008,Staedtischer Raum,maennlich,7.61082321489147,7.58480578406745,7.636840645715489,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5954.0
2008,Staedtischer Raum,weiblich,7.647283241588159,7.6225424923097025,7.672023990866616,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,6601.0
2008,Laendlicher Raum,maennlich,7.697641757022281,7.662612073686915,7.732671440357647,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3176.0
2008,Laendlicher Raum,weiblich,7.719787172597765,7.686759856384846,7.752814488810683,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3428.0
2009,Staedtischer Raum,maennlich,7.597137542630115,7.570033479279682,7.624241605980548,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5487.0
2009,Staedtischer Raum,weiblich,7.707565738982576,7.682576473191924,7.7325550047732285,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,6107.0
2009,Laendlicher Raum,maennlich,7.526169884169547,7.488731681719103,7.563608086619991,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3041.0
2009,Laendlicher Raum,weiblich,7.6824916261555005,7.647231375722079,7.717751876588922,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3252.0
2010,Staedtischer Raum,maennlich,7.671480655136649,7.647862950021216,7.695098360252081,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7028.0
2010,Staedtischer Raum,weiblich,7.684831221257063,7.6629152161515615,7.706747226362565,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8497.0
2010,Laendlicher Raum,maennlich,7.662191272548505,7.629375833802417,7.695006711294592,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3805.0
2010,Laendlicher Raum,weiblich,7.785469422255731,7.756402794129354,7.814536050382108,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4477.0
2011,Staedtischer Raum,-3,,,,,,,,,,,,
2011,Staedtischer Raum,-1,,,,,,,,,,,,
2011,Staedtischer Raum,maennlich,7.7422435434353645,7.719619697836475,7.764867389034254,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7346.0
2011,Staedtischer Raum,weiblich,7.751401613419765,7.730905600711827,7.7718976261277035,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,9036.0
2011,Laendlicher Raum,maennlich,7.83495532000079,7.805819060335606,7.864091579665974,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4169.0
2011,Laendlicher Raum,weiblich,7.770694368563371,7.743340050641484,7.798048686485258,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4991.0
2012,Staedtischer Raum,-3,,,,,,,,,,,,
2012,Staedtischer Raum,maennlich,7.852436961996898,7.831142717384796,7.873731206609,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7453.0
2012,Staedtischer Raum,weiblich,7.824414708207898,7.804447191381384,7.844382225034411,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,9107.0
2012,Laendlicher Raum,maennlich,7.874004576672646,7.845788620849183,7.902220532496108,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4364.0
2012,Laendlicher Raum,weiblich,7.816428932221809,7.789376521996734,7.843481342446885,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5160.0
2013,Staedtischer Raum,-3,,,,,,,,,,,,
2013,Staedtischer Raum,maennlich,7.826342347738273,7.80415266036721,7.848532035109336,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7192.0
2013,Staedtischer Raum,weiblich,7.8109877902445835,7.790752407600948,7.831223172888219,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8815.0
2013,Laendlicher Raum,maennlich,7.848730204101329,7.818820353826382,7.878640054376277,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4212.0
2013,Laendlicher Raum,weiblich,7.786184468024275,7.759355569131307,7.813013366917243,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5006.0
2014,Staedtischer Raum,-3,,,,,,,,,,,,
2014,Staedtischer Raum,maennlich,7.847581404528074,7.827087725386964,7.868075083669184,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7950.0
2014,Staedtischer Raum,weiblich,7.827126655731394,7.807779700525229,7.84647361093756,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,9475.0
2014,Laendlicher Raum,-1,,,,,,,,,,,,
2014,Laendlicher Raum,maennlich,7.845641922561177,7.816991915182964,7.874291929939391,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4320.0
2014,Laendlicher Raum,weiblich,7.837998709867355,7.812529133360445,7.863468286374265,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5023.0
2015,Staedtischer Raum,-3,,,,,,,,,,,,
2015,Staedtischer Raum,-1,,,,,,,,,,,,
2015,Staedtischer Raum,maennlich,7.837717372639669,7.816036552563447,7.859398192715891,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7289.0
2015,Staedtischer Raum,weiblich,7.811085959270569,7.790857443261377,7.831314475279761,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8701.0
2015,Laendlicher Raum,maennlich,7.794473363596132,7.764897138066926,7.824049589125337,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4030.0
2015,Laendlicher Raum,weiblich,7.718077054563629,7.69016540361236,7.745988705514899,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4731.0
2016,Staedtischer Raum,-3,,,,,,,,,,,,
2016,Staedtischer Raum,-1,,,,,,,,,,,,
2016,Staedtischer Raum,maennlich,7.817982759653256,7.795777412860022,7.840188106446489,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7035.0
2016,Staedtischer Raum,weiblich,7.85121452395564,7.8312285098257854,7.871200538085495,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8434.0
2016,Laendlicher Raum,-1,,,,,,,,,,,,
2016,Laendlicher Raum,maennlich,7.915043298389068,7.8870759301150555,7.94301066666308,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3880.0
2016,Laendlicher Raum,weiblich,7.7962182119962735,7.7686619495337075,7.82377447445884,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4527.0
2017,Staedtischer Raum,-3,,,,,,,,,,,,
2017,Staedtischer Raum,-1,,,,,,,,,,,,
2017,Staedtischer Raum,maennlich,7.847400367521294,7.826627569127277,7.8681731659153105,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7715.0
2017,Staedtischer Raum,weiblich,7.8505246605141465,7.831299703608525,7.869749617419768,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,9142.0
2017,Laendlicher Raum,maennlich,7.860565408058373,7.833459246216094,7.887671569900652,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4333.0
2017,Laendlicher Raum,weiblich,7.805713793781855,7.77921730893956,7.83221027862415,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4930.0
2018,Staedtischer Raum,-3,,,,,,,,,,,,
2018,Staedtischer Raum,-1,,,,,,,,,,,,
2018,Staedtischer Raum,maennlich,7.85041582098057,7.829651677458838,7.871179964502302,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7507.0
2018,Staedtischer Raum,weiblich,7.8550591121708395,7.835442869115347,7.874675355226332,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8911.0
2018,Laendlicher Raum,maennlich,7.836907650138741,7.808690922558326,7.865124377719156,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4119.0
2018,Laendlicher Raum,weiblich,7.766070255683766,7.739340599664925,7.792799911702606,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4753.0
2019,-1,-3,,,,,,,,,,,,
2019,-1,maennlich,7.644590674471505,7.511567636180902,7.7776137127621086,7.0,8.0,9.0,4.0,10.0,8.0,7.0,8.0,290.0
2019,-1,weiblich,7.8537527934762545,7.727612585275528,7.979893001676981,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0,250.0
2019,Staedtischer Raum,-3,,,,,,,,,,,,
2019,Staedtischer Raum,-1,,,,,,,,,,,,
2019,Staedtischer Raum,maennlich,7.9085856808704245,7.887731102813528,7.929440258927321,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7647.0
2019,Staedtischer Raum,weiblich,7.878422204298269,7.858621753960256,7.898222654636281,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8483.0
2019,Laendlicher Raum,-1,,,,,,,,,,,,
2019,Laendlicher Raum,maennlich,7.874660281422034,7.846497151137979,7.9028234117060885,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4164.0
2019,Laendlicher Raum,weiblich,7.776438604226607,7.748272694043646,7.804604514409569,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4532.0
2020,Staedtischer Raum,-3,,,,,,,,,,,,
2020,Staedtischer Raum,-1,,,,,,,,,,,,
2020,Staedtischer Raum,maennlich,7.786593862757502,7.766227641851165,7.806960083663839,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,7941.0
2020,Staedtischer Raum,weiblich,7.752940606838885,7.732478959364806,7.7734022543129635,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,8745.0
2020,Laendlicher Raum,-3,,,,,,,,,,,,
2020,Laendlicher Raum,-1,,,,,,,,,,,,
2020,Laendlicher Raum,maennlich,7.7871553834094875,7.758364724238661,7.815946042580314,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4072.0
2020,Laendlicher Raum,weiblich,7.716850789704736,7.688929167021973,7.7447724123874995,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,4436.0
2021,-1,weiblich,,,,,,,,,,,,
2021,Staedtischer Raum,-3,,,,,,,,,,,,
2021,Staedtischer Raum,-1,,,,,,,,,,,,
2021,Staedtischer Raum,maennlich,7.931188871264167,7.907802798421923,7.954574944106412,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5257.0
2021,Staedtischer Raum,weiblich,7.9123891395840875,7.889342868683718,7.935435410484457,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,5975.0
2021,Laendlicher Raum,-1,,,,,,,,,,,,
2021,Laendlicher Raum,maennlich,7.876831302881381,7.843421640470536,7.910240965292225,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,2712.0
2021,Laendlicher Raum,weiblich,7.871536179638503,7.839873837653566,7.90319852162344,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,3036.0
