year,bula_h,pgisced97,plh0034,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,Hesse,Upper Secondary Level,Very concerned,0.4876325088339223,21983,0.4810248182200358,0.4942401994478088
2009,Hesse,Upper Secondary Level,Somewhat concerned,0.41519434628975266,21983,0.4086804012758368,0.4217082913036685
2009,Hesse,Upper Secondary Level,Not concerned at all,0.09717314487632508,21983,0.09325763832431551,0.10108865142833466
2009,Hesse,Post-secondary Non-tertiary Level,Very concerned,0.550561797752809,21983,0.5439859670979456,0.5571376284076724
2009,Hesse,Post-secondary Non-tertiary Level,Somewhat concerned,0.4044943820224719,21983,0.39800636814784723,0.41098239589709656
2009,Hesse,Post-secondary Non-tertiary Level,Not concerned at all,0.0449438202247191,21983,0.04220500935206495,0.04768263109737325
2009,Hesse,First Stage of Tertiary Education,Very concerned,0.6857142857142857,21983,0.6795774215508509,0.6918511498777206
2009,Hesse,First Stage of Tertiary Education,Somewhat concerned,0.2857142857142857,21983,0.2797423578746648,0.2916862135539066
2009,Hesse,First Stage of Tertiary Education,Not concerned at all,0.02857142857142857,21983,0.026369090402903365,0.030773766739953776
2009,Hesse,Second Stage of Tertiary Education,Somewhat concerned,0.473015873015873,21983,0.4664157927703577,0.4796159532613883
2009,Hesse,Second Stage of Tertiary Education,Very concerned,0.44761904761904764,21983,0.4410457057764707,0.4541923894616246
2009,Hesse,Second Stage of Tertiary Education,Not concerned at all,0.07936507936507936,21983,0.07579176651700453,0.08293839221315419
2009,"Rhineland-Palatinate, Saarland",Pre-primary Level,Somewhat concerned,0.5294117647058824,21983,0.5228134972063898,0.5360100322053749
2009,"Rhineland-Palatinate, Saarland",Pre-primary Level,Not concerned at all,0.35294117647058826,21983,0.34662381630234645,0.35925853663883006
2009,"Rhineland-Palatinate, Saarland",Pre-primary Level,Very concerned,0.11764705882352941,21983,0.11338789546697003,0.12190622218008879
2009,"Rhineland-Palatinate, Saarland",Primary Level,Very concerned,0.5384615384615384,21983,0.5318714099407198,0.5450516669823571
2009,"Rhineland-Palatinate, Saarland",Primary Level,Not concerned at all,0.23076923076923078,21983,0.22519955561065313,0.23633890592780843
2009,"Rhineland-Palatinate, Saarland",Primary Level,Somewhat concerned,0.23076923076923078,21983,0.22519955561065313,0.23633890592780843
2009,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.41139240506329117,21983,0.40488730985816274,0.4178975002684196
2009,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.3987341772151899,21983,0.39226144586856554,0.40520690856181424
2009,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not concerned at all,0.189873417721519,21983,0.18468874775116206,0.19505808769187594
2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.48936170212765956,21983,0.4827534854857558,0.4959699187695633
2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.4119922630560928,21983,0.40548574496240714,0.4184987811497785
2009,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not concerned at all,0.09864603481624758,21983,0.09470418480952712,0.10258788482296803
2009,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Somewhat concerned,0.52,21983,0.5133955769887408,0.5266044230112592
2009,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Very concerned,0.4,21983,0.3935238304210708,0.40647616957892924
2009,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Not concerned at all,0.08,21983,0.07641365968235751,0.08358634031764249
2009,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Very concerned,0.5384615384615384,21983,0.5318714099407198,0.5450516669823571
2009,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Somewhat concerned,0.3974358974358974,21983,0.3909667393420164,0.4039050555297784
2009,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Not concerned at all,0.0641025641025641,21983,0.06086465672782113,0.06734047147730707
2009,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Somewhat concerned,0.5212121212121212,21983,0.5146083591271962,0.5278158832970463
2009,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Very concerned,0.40606060606060607,21983,0.3995685974618013,0.41255261465941084
2009,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Not concerned at all,0.07272727272727272,21983,0.06929434242930939,0.07616020302523606
2009,Baden-Wuerttemberg,Pre-primary Level,Somewhat concerned,0.5641025641025641,21983,0.5575473967223927,0.5706577314827355
2009,Baden-Wuerttemberg,Pre-primary Level,Very concerned,0.3076923076923077,21983,0.30159103424764944,0.313793581136966
2009,Baden-Wuerttemberg,Pre-primary Level,Not concerned at all,0.1282051282051282,21983,0.12378563525899317,0.13262462115126322
2009,Baden-Wuerttemberg,Primary Level,Very concerned,0.5151515151515151,21983,0.5085448377127206,0.5217581925903096
2009,Baden-Wuerttemberg,Primary Level,Somewhat concerned,0.30303030303030304,21983,0.2969550751964418,0.30910553086416426
2009,Baden-Wuerttemberg,Primary Level,Not concerned at all,0.18181818181818182,21983,0.17671952056857396,0.1869168430677897
2009,Baden-Wuerttemberg,Lower Secondary Level,Very concerned,0.4482758620689655,21983,0.441701611373461,0.45485011276447007
2009,Baden-Wuerttemberg,Lower Secondary Level,Somewhat concerned,0.44061302681992337,21983,0.43405010195753435,0.4471759516823124
2009,Baden-Wuerttemberg,Lower Secondary Level,Not concerned at all,0.1111111111111111,21983,0.10695664638920839,0.11526557583301382
2009,Baden-Wuerttemberg,Upper Secondary Level,Very concerned,0.5151209677419355,21983,0.5085142780729254,0.5217276574109456
2009,Baden-Wuerttemberg,Upper Secondary Level,Somewhat concerned,0.4112903225806452,21983,0.4047854705129972,0.4177951746482932
2009,Baden-Wuerttemberg,Upper Secondary Level,Not concerned at all,0.07358870967741936,21983,0.07013711250131141,0.07704030685352731
2009,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Very concerned,0.5384615384615384,21983,0.5318714099407198,0.5450516669823571
2009,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Somewhat concerned,0.4017094017094017,21983,0.3952286605120755,0.40819014290672795
2009,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Not concerned at all,0.05982905982905983,21983,0.056693810437459455,0.06296430922066021
2009,Baden-Wuerttemberg,First Stage of Tertiary Education,Very concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Baden-Wuerttemberg,First Stage of Tertiary Education,Somewhat concerned,0.4407894736842105,21983,0.4342262702238087,0.4473526771446123
2009,Baden-Wuerttemberg,First Stage of Tertiary Education,Not concerned at all,0.05921052631578947,21983,0.056090499857531596,0.062330552774047344
2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very concerned,0.5365296803652968,21983,0.52993763130314,0.5431217294274536
2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,Somewhat concerned,0.3972602739726027,21983,0.39079160289486353,0.4037289450503419
2009,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not concerned at all,0.06621004566210045,21983,0.06292304997792661,0.0694970413462743
2009,Bavaria,Pre-primary Level,Somewhat concerned,0.40425531914893614,21983,0.39776792104396863,0.41074271725390366
2009,Bavaria,Pre-primary Level,Not concerned at all,0.3617021276595745,21983,0.3553502836866058,0.36805397163254316
2009,Bavaria,Pre-primary Level,Very concerned,0.23404255319148937,21983,0.22844546272615363,0.2396396436568251
2009,Bavaria,Primary Level,Very concerned,0.625,21983,0.6186001730053406,0.6313998269946594
2009,Bavaria,Primary Level,Somewhat concerned,0.25,21983,0.2442758207182814,0.2557241792817186
2009,Bavaria,Primary Level,Not concerned at all,0.125,21983,0.12062808585833777,0.12937191414166221
2009,Bavaria,Lower Secondary Level,Somewhat concerned,0.4679245283018868,21983,0.46132843004481366,0.47452062655895993
2009,Bavaria,Lower Secondary Level,Very concerned,0.46037735849056605,21983,0.453788432164246,0.46696628481688607
2009,Bavaria,Lower Secondary Level,Not concerned at all,0.07169811320754717,21983,0.06828766803943703,0.0751085583756573
2009,Bavaria,Upper Secondary Level,Very concerned,0.5313190862196021,21983,0.524722352803726,0.5379158196354782
2009,Bavaria,Upper Secondary Level,Somewhat concerned,0.41046425939572584,21983,0.40396138546088006,0.4169671333305716
2009,Bavaria,Upper Secondary Level,Not concerned at all,0.05821665438467207,21983,0.055121290463158494,0.06131201830618565
2009,Bavaria,Post-secondary Non-tertiary Level,Somewhat concerned,0.47692307692307695,21983,0.4703204077086689,0.483525746137485
2009,Bavaria,Post-secondary Non-tertiary Level,Very concerned,0.46153846153846156,21983,0.45494833301764287,0.46812859005928026
2009,Bavaria,Post-secondary Non-tertiary Level,Not concerned at all,0.06153846153846154,21983,0.058361630275544196,0.06471529280137889
2009,Bavaria,First Stage of Tertiary Education,Very concerned,0.6019900497512438,21983,0.5955193058357063,0.6084607936667813
2009,Bavaria,First Stage of Tertiary Education,Somewhat concerned,0.3482587064676617,21983,0.3419607275600576,0.35455668537526586
2009,Bavaria,First Stage of Tertiary Education,Not concerned at all,0.04975124378109453,21983,0.04687693635055101,0.05262555121163805
2009,Bavaria,Second Stage of Tertiary Education,Very concerned,0.5276190476190477,21983,0.5210194263584423,0.534218668879653
2009,Bavaria,Second Stage of Tertiary Education,Somewhat concerned,0.42857142857142855,21983,0.4220295093923216,0.4351133477505355
2009,Bavaria,Second Stage of Tertiary Education,Not concerned at all,0.04380952380952381,21983,0.041103889704947216,0.04651515791410041
2009,Berlin,Pre-primary Level,Somewhat concerned,0.8333333333333334,21983,0.8284067442158219,0.8382599224508448
2009,Berlin,Pre-primary Level,Very concerned,0.16666666666666666,21983,0.1617400775491552,0.1715932557841781
2009,Berlin,Primary Level,Somewhat concerned,0.6666666666666666,21983,0.6604349695838125,0.6728983637495207
2009,Berlin,Primary Level,Not concerned at all,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Berlin,Lower Secondary Level,Somewhat concerned,0.46511627906976744,21983,0.4585226721696267,0.47170988596990815
2009,Berlin,Lower Secondary Level,Very concerned,0.3953488372093023,21983,0.38888552298282514,0.4018121514357795
2009,Berlin,Lower Secondary Level,Not concerned at all,0.13953488372093023,21983,0.1349543021331898,0.14411546530867067
2009,Berlin,Upper Secondary Level,Very concerned,0.5131086142322098,21983,0.5065011732944734,0.5197160551699461
2009,Berlin,Upper Secondary Level,Somewhat concerned,0.40074906367041196,21983,0.39427088069838295,0.407227246642441
2009,Berlin,Upper Secondary Level,Not concerned at all,0.08614232209737828,21983,0.08243329367613714,0.08985135051861942
2009,Berlin,Post-secondary Non-tertiary Level,Somewhat concerned,0.47368421052631576,21983,0.4670836587035768,0.4802847623490547
2009,Berlin,Post-secondary Non-tertiary Level,Very concerned,0.4473684210526316,21983,0.4407954290655968,0.45394141303966634
2009,Berlin,Post-secondary Non-tertiary Level,Not concerned at all,0.07894736842105263,21983,0.0753826630185881,0.08251207382351715
2009,Berlin,First Stage of Tertiary Education,Very concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Berlin,First Stage of Tertiary Education,Somewhat concerned,0.46153846153846156,21983,0.45494833301764287,0.46812859005928026
2009,Berlin,First Stage of Tertiary Education,Not concerned at all,0.038461538461538464,21983,0.035919341192930845,0.04100373573014608
2009,Berlin,Second Stage of Tertiary Education,Very concerned,0.5447154471544715,21983,0.5381322191795923,0.5512986751293507
2009,Berlin,Second Stage of Tertiary Education,Somewhat concerned,0.3821138211382114,21983,0.37569044720342426,0.38853719507299855
2009,Berlin,Second Stage of Tertiary Education,Not concerned at all,0.07317073170731707,21983,0.06972817454441649,0.07661328887021765
2009,Brandenburg,Pre-primary Level,Not concerned at all,0.5833333333333334,21983,0.5768160685249671,0.5898505981416996
2009,Brandenburg,Pre-primary Level,Somewhat concerned,0.4166666666666667,21983,0.41014940185830046,0.4231839314750329
2009,Brandenburg,Lower Secondary Level,Somewhat concerned,0.4807692307692308,21983,0.474164408521094,0.4873740530173676
2009,Brandenburg,Lower Secondary Level,Very concerned,0.3269230769230769,21983,0.32072199126268885,0.333124162583465
2009,Brandenburg,Lower Secondary Level,Not concerned at all,0.19230769230769232,21983,0.18709773825793646,0.19751764635744817
2009,Brandenburg,Upper Secondary Level,Very concerned,0.450261780104712,21983,0.44368485192592166,0.45683870828350237
2009,Brandenburg,Upper Secondary Level,Somewhat concerned,0.4293193717277487,21983,0.4227760330542398,0.4358627104012576
2009,Brandenburg,Upper Secondary Level,Not concerned at all,0.12041884816753927,21983,0.11611657697029616,0.12472111936478238
2009,Brandenburg,Post-secondary Non-tertiary Level,Somewhat concerned,0.4642857142857143,21983,0.45769288446190204,0.47087854410952656
2009,Brandenburg,Post-secondary Non-tertiary Level,Very concerned,0.4642857142857143,21983,0.45769288446190204,0.47087854410952656
2009,Brandenburg,Post-secondary Non-tertiary Level,Not concerned at all,0.07142857142857142,21983,0.06802404874697084,0.07483309411017201
2009,Brandenburg,First Stage of Tertiary Education,Very concerned,0.5573770491803278,21983,0.5508110005188516,0.5639430978418041
2009,Brandenburg,First Stage of Tertiary Education,Somewhat concerned,0.32786885245901637,21983,0.32166316809451595,0.3340745368235168
2009,Brandenburg,First Stage of Tertiary Education,Not concerned at all,0.11475409836065574,21983,0.11054073750308314,0.11896745921822834
2009,Brandenburg,Second Stage of Tertiary Education,Very concerned,0.5210084033613446,21983,0.5144045274736746,0.5276122792490145
2009,Brandenburg,Second Stage of Tertiary Education,Somewhat concerned,0.4117647058823529,21983,0.40525872638948107,0.41827068537522477
2009,Brandenburg,Second Stage of Tertiary Education,Not concerned at all,0.06722689075630252,21983,0.06391655448280943,0.0705372270297956
2009,Mecklenburg-Western Pomerania,Pre-primary Level,Somewhat concerned,0.5,21983,0.4933902871016202,0.5066097128983797
2009,Mecklenburg-Western Pomerania,Pre-primary Level,Very concerned,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Mecklenburg-Western Pomerania,Pre-primary Level,Not concerned at all,0.16666666666666666,21983,0.1617400775491552,0.1715932557841781
2009,Mecklenburg-Western Pomerania,Primary Level,Somewhat concerned,0.6666666666666666,21983,0.6604349695838125,0.6728983637495207
2009,Mecklenburg-Western Pomerania,Primary Level,Not concerned at all,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
2009,Mecklenburg-Western Pomerania,Lower Secondary Level,Very concerned,0.6086956521739131,21983,0.6022440136285189,0.6151472907193073
2009,Mecklenburg-Western Pomerania,Lower Secondary Level,Somewhat concerned,0.21739130434782608,21983,0.21193867458121568,0.22284393411443648
2009,Mecklenburg-Western Pomerania,Lower Secondary Level,Not concerned at all,0.17391304347826086,21983,0.16890242250959045,0.17892366444693128
2009,Mecklenburg-Western Pomerania,Upper Secondary Level,Very concerned,0.502092050209205,21983,0.49548239516819664,0.5087017052502134
2009,Mecklenburg-Western Pomerania,Upper Secondary Level,Somewhat concerned,0.3514644351464435,21983,0.3451531154079872,0.35777575488489977
2009,Mecklenburg-Western Pomerania,Upper Secondary Level,Not concerned at all,0.14644351464435146,21983,0.1417697827435506,0.15111724654515232
2009,Mecklenburg-Western Pomerania,Post-secondary Non-tertiary Level,Somewhat concerned,0.4444444444444444,21983,0.43787565895442915,0.4510132299344597
2009,Mecklenburg-Western Pomerania,Post-secondary Non-tertiary Level,Very concerned,0.3333333333333333,21983,0.3271016362504793,0.33956503041618735
