year,hhtyp,quintil_oecd_hh,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Other Combinations,5th Quintile,No,0.95587,33,33,0.88472,1.02703
2011,Single-person household,1st Quintile,No,0.99461,1015,1015,0.99010,0.99911
2011,Single-person household,2nd Quintile,No,0.99526,723,723,0.99025,1.00027
2011,Single-person household,3rd Quintile,No,0.99111,655,655,0.98391,0.99830
2011,Single-person household,4th Quintile,No,0.99158,541,541,0.98387,0.99928
2011,Single-person household,5th Quintile,No,0.98708,552,552,0.97765,0.99651
2011,Couple without children,1st Quintile,No,0.99400,470,470,0.98701,1.00099
2011,Couple without children,2nd Quintile,No,0.99524,717,717,0.99019,1.00028
2011,Couple without children,3rd Quintile,No,0.99435,797,797,0.98915,0.99956
2011,Couple without children,4th Quintile,No,0.98942,950,950,0.98291,0.99593
2011,Couple without children,5th Quintile,No,0.98085,1392,1392,0.97365,0.98805
2011,Single parent,1st Quintile,No,0.43071,321,321,0.37645,0.48496
2011,Single parent,2nd Quintile,No,0.50317,172,172,0.42823,0.57811
2011,Single parent,3rd Quintile,No,0.59951,139,139,0.51775,0.68126
2011,Single parent,4th Quintile,No,0.62986,89,89,0.52898,0.73075
2011,Single parent,5th Quintile,No,0.63974,55,55,0.51170,0.76779
2011,Couple with children,1st Quintile,No,0.57556,405,405,0.52736,0.62376
2011,Couple with children,2nd Quintile,No,0.72261,578,578,0.68608,0.75915
2011,Couple with children,3rd Quintile,No,0.80471,719,719,0.77571,0.83370
2011,Couple with children,4th Quintile,No,0.84383,779,779,0.81832,0.86933
2011,Couple with children,5th Quintile,No,0.85263,701,701,0.82637,0.87889
2016,Single-person household,1st Quintile,No,0.97740,988,988,0.96812,0.98667
2016,Single-person household,2nd Quintile,No,0.99913,726,726,0.99697,1.00128
2016,Single-person household,3rd Quintile,No,0.99530,631,631,0.98995,1.00064
2016,Single-person household,4th Quintile,No,0.99032,550,550,0.98212,0.99851
2016,Single-person household,5th Quintile,No,0.99532,476,476,0.98918,1.00146
2016,Couple without children,1st Quintile,No,0.98733,431,431,0.97675,0.99790
2016,Couple without children,2nd Quintile,No,0.99615,706,706,0.99158,1.00072
2016,Couple without children,3rd Quintile,No,0.98697,755,755,0.97887,0.99506
2016,Couple without children,4th Quintile,No,0.98943,920,920,0.98282,0.99604
2016,Couple without children,5th Quintile,No,0.97592,1242,1242,0.96739,0.98445
2016,Single parent,1st Quintile,No,0.98045,650,650,0.96980,0.99110
2016,Single parent,2nd Quintile,No,0.99767,405,405,0.99296,1.00237
2016,Single parent,3rd Quintile,No,0.96453,225,225,0.94031,0.98875
2016,Single parent,4th Quintile,No,0.95343,148,148,0.91937,0.98750
2016,Single parent,5th Quintile,No,0.93957,81,81,0.88735,0.99179
2016,Couple with children,1st Quintile,No,0.94253,919,919,0.92748,0.95759
2016,Couple with children,2nd Quintile,No,0.99046,1098,1098,0.98471,0.99621
2016,Couple with children,3rd Quintile,No,0.98461,1039,1039,0.97712,0.99210
2016,Couple with children,4th Quintile,No,0.98363,975,975,0.97566,0.99160
2016,Couple with children,5th Quintile,No,0.96072,872,872,0.94781,0.97362
2016,Multi-generational household,1st Quintile,No,0.96621,35,35,0.90548,1.02695
2016,Multi-generational household,2nd Quintile,No,0.78228,34,34,0.64147,0.92309
2016,Other Combinations,1st Quintile,No,0.82242,59,59,0.72406,0.92077
2021,Single-person household,1st Quintile,No,0.96917,930,930,0.95805,0.98028
2021,Single-person household,2nd Quintile,No,0.99215,625,625,0.98522,0.99907
2021,Single-person household,3rd Quintile,No,0.99519,554,554,0.98942,1.00096
2021,Single-person household,4th Quintile,No,0.98520,508,508,0.97468,0.99571
2021,Single-person household,5th Quintile,No,0.98677,537,537,0.97710,0.99644
2021,Couple without children,1st Quintile,No,0.98107,335,335,0.96645,0.99569
2021,Couple without children,2nd Quintile,No,0.99482,559,559,0.98886,1.00078
2021,Couple without children,3rd Quintile,No,0.97872,555,555,0.96671,0.99074
2021,Couple without children,4th Quintile,No,0.99011,693,693,0.98273,0.99748
2021,Couple without children,5th Quintile,No,0.97627,1230,1230,0.96776,0.98478
2021,Single parent,1st Quintile,No,0.94902,272,272,0.92283,0.97521
2021,Single parent,2nd Quintile,No,0.98208,273,273,0.96632,0.99785
2021,Single parent,3rd Quintile,No,0.99476,141,141,0.98280,1.00672
2021,Single parent,4th Quintile,No,0.91451,119,119,0.86406,0.96496
2021,Single parent,5th Quintile,No,0.96852,75,75,0.92874,1.00830
2021,Couple with children,1st Quintile,No,0.84045,401,401,0.80457,0.87634
2021,Couple with children,2nd Quintile,No,0.97821,623,623,0.96674,0.98968
2021,Couple with children,3rd Quintile,No,0.98096,672,672,0.97061,0.99130
2021,Couple with children,4th Quintile,No,0.96735,656,656,0.95374,0.98096
2021,Couple with children,5th Quintile,No,0.96441,743,743,0.95108,0.97774
2021,Other Combinations,1st Quintile,No,0.88870,54,54,0.80402,0.97337
2021,Other Combinations,2nd Quintile,No,0.99079,54,54,0.96508,1.01651
2021,Other Combinations,3rd Quintile,No,0.95694,49,49,0.89952,1.01437
2021,Other Combinations,4th Quintile,No,0.99976,52,52,0.99549,1.00402
2021,Other Combinations,5th Quintile,No,0.91533,50,50,0.83738,0.99328
