year,hhtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Couple without children,Yes,0.07776,375,4363,0.06981,0.08570
2011,Couple without children,No,0.92224,3988,4363,0.91430,0.93019
2011,Single parent,Yes,0.03882,90,2304,0.03093,0.04671
2011,Single parent,No,0.96118,2214,2304,0.95329,0.96907
2011,Couple with children,Yes,0.12500,815,6159,0.11674,0.13326
2011,Couple with children,No,0.87500,5344,6159,0.86674,0.88326
2011,Multi-generational household,No,0.94613,113,113,0.90431,0.98794
2011,Other Combinations,No,0.92772,92,92,0.87452,0.98093
2012,Single-person household,Yes,0.03026,127,3677,0.02472,0.03580
2012,Single-person household,No,0.96974,3550,3677,0.96420,0.97528
2012,Couple without children,Yes,0.08727,429,4445,0.07897,0.09557
2012,Couple without children,No,0.91273,4016,4445,0.90443,0.92103
2012,Single parent,Yes,0.04348,100,2179,0.03491,0.05204
2012,Single parent,No,0.95652,2079,2179,0.94796,0.96509
2012,Couple with children,Yes,0.13812,851,5773,0.12922,0.14703
2012,Couple with children,No,0.86188,4922,5773,0.85297,0.87078
2012,Multi-generational household,No,0.92870,112,112,0.88083,0.97657
2012,Other Combinations,No,0.94399,94,94,0.89726,0.99072
2013,Single-person household,Yes,0.03657,142,3842,0.03064,0.04251
2013,Single-person household,No,0.96343,3700,3842,0.95749,0.96936
2013,Couple without children,Yes,0.09685,447,4638,0.08834,0.10537
2013,Couple without children,No,0.90315,4191,4638,0.89463,0.91166
2013,Single parent,Yes,0.04722,98,2243,0.03844,0.05599
2013,Single parent,No,0.95278,2145,2243,0.94401,0.96156
2013,Couple with children,Yes,0.14396,850,6639,0.13551,0.15240
2013,Couple with children,No,0.85604,5789,6639,0.84760,0.86449
2013,Multi-generational household,No,0.97221,141,141,0.94499,0.99944
2013,Other Combinations,No,0.94185,334,334,0.91672,0.96699
2014,Single-person household,Yes,0.04082,144,3559,0.03432,0.04732
2014,Single-person household,No,0.95918,3415,3559,0.95268,0.96568
2014,Couple without children,Yes,0.10851,448,4361,0.09928,0.11774
2014,Couple without children,No,0.89149,3913,4361,0.88226,0.90072
2014,Single parent,Yes,0.04713,103,1814,0.03737,0.05688
2014,Single parent,No,0.95287,1711,1814,0.94312,0.96263
2014,Couple with children,Yes,0.15695,826,5698,0.14750,0.16639
2014,Couple with children,No,0.84305,4872,5698,0.83361,0.85250
2014,Multi-generational household,No,0.93600,114,114,0.89087,0.98112
2014,Other Combinations,No,0.96473,250,250,0.94182,0.98764
2015,Single-person household,Yes,0.04306,164,3617,0.03644,0.04968
2015,Single-person household,No,0.95694,3453,3617,0.95032,0.96356
2015,Couple without children,Yes,0.10664,446,4370,0.09749,0.11579
2015,Couple without children,No,0.89336,3924,4370,0.88421,0.90251
2015,Single parent,Yes,0.05435,94,1710,0.04360,0.06510
2015,Single parent,No,0.94565,1616,1710,0.93490,0.95640
2015,Couple with children,Yes,0.17230,842,5657,0.16246,0.18215
2015,Couple with children,No,0.82770,4815,5657,0.81785,0.83754
2015,Multi-generational household,No,0.90708,130,130,0.85698,0.95718
2015,Other Combinations,No,0.95283,239,239,0.92589,0.97976
2016,Single-person household,Yes,0.03379,129,3379,0.02770,0.03988
2016,Single-person household,No,0.96621,3250,3379,0.96012,0.97230
2016,Couple without children,Yes,0.11478,451,4092,0.10501,0.12454
2016,Couple without children,No,0.88522,3641,4092,0.87546,0.89499
2016,Single parent,Yes,0.06567,81,1524,0.05323,0.07811
2016,Single parent,No,0.93433,1443,1524,0.92189,0.94677
2016,Couple with children,Yes,0.16450,745,4989,0.15421,0.17478
2016,Couple with children,No,0.83550,4244,4989,0.82522,0.84579
2016,Multi-generational household,No,0.86907,98,98,0.80194,0.93620
2016,Other Combinations,No,0.97330,188,188,0.95019,0.99640
2017,Single-person household,Yes,0.04640,181,3826,0.03974,0.05307
2017,Single-person household,No,0.95360,3645,3826,0.94693,0.96026
2017,Couple without children,Yes,0.11709,529,4604,0.10780,0.12638
2017,Couple without children,No,0.88291,4075,4604,0.87362,0.89220
2017,Single parent,Yes,0.07042,97,1537,0.05763,0.08322
2017,Single parent,No,0.92958,1440,1537,0.91678,0.94237
2017,Couple with children,Yes,0.16427,846,5316,0.15431,0.17423
2017,Couple with children,No,0.83573,4470,5316,0.82577,0.84569
2017,Multi-generational household,No,0.90167,106,106,0.84472,0.95863
2017,Other Combinations,No,0.91381,234,234,0.87777,0.94984
2018,Single-person household,Yes,0.04601,181,4017,0.03953,0.05249
2018,Single-person household,No,0.95399,3836,4017,0.94751,0.96047
2018,Couple without children,Yes,0.11675,520,4537,0.10741,0.12610
2018,Couple without children,No,0.88325,4017,4537,0.87390,0.89259
2018,Single parent,Yes,0.06638,99,1510,0.05382,0.07894
2018,Single parent,No,0.93362,1411,1510,0.92106,0.94618
2018,Couple with children,Yes,0.17077,806,5015,0.16035,0.18118
2018,Couple with children,No,0.82923,4209,5015,0.81882,0.83965
2018,Multi-generational household,No,0.89553,106,106,0.83702,0.95404
2018,Other Combinations,No,0.87964,207,207,0.83521,0.92408
2019,Single-person household,Yes,0.04951,158,3261,0.04206,0.05696
2019,Single-person household,No,0.95049,3103,3261,0.94304,0.95794
2019,Couple without children,Yes,0.12377,469,3858,0.11338,0.13416
2019,Couple without children,No,0.87623,3389,3858,0.86584,0.88662
2019,Single parent,Yes,0.07636,82,1233,0.06153,0.09119
2019,Single parent,No,0.92364,1151,1233,0.90881,0.93847
2019,Couple with children,Yes,0.17629,691,4009,0.16450,0.18809
2019,Couple with children,No,0.82371,3318,4009,0.81191,0.83550
2019,Multi-generational household,No,0.88955,77,77,0.81907,0.96002
2019,Other Combinations,No,0.90188,146,146,0.85345,0.95030
2020,Single-person household,Yes,0.05456,254,4588,0.04799,0.06113
2020,Single-person household,No,0.94544,4334,4588,0.93887,0.95201
2020,Couple without children,Yes,0.12947,670,5013,0.12017,0.13876
2020,Couple without children,No,0.87053,4343,5013,0.86124,0.87983
2020,Single parent,Yes,0.08024,103,1337,0.06567,0.09481
2020,Single parent,No,0.91976,1234,1337,0.90519,0.93433
2020,Couple with children,Yes,0.19035,871,4896,0.17935,0.20135
2020,Couple with children,No,0.80965,4025,4896,0.79865,0.82065
2020,Multi-generational household,No,0.84278,102,102,0.77179,0.91377
2020,Other Combinations,No,0.87462,271,271,0.83512,0.91412
2021,Single-person household,Yes,0.05502,171,2798,0.04657,0.06347
2021,Single-person household,No,0.94498,2627,2798,0.93653,0.95343
2021,Couple without children,Yes,0.12720,441,3120,0.11551,0.13889
2021,Couple without children,No,0.87280,2679,3120,0.86111,0.88449
2021,Single parent,Yes,0.09138,69,823,0.07168,0.11108
2021,Single parent,No,0.90862,754,823,0.88892,0.92832
2021,Couple with children,Yes,0.19696,539,2883,0.18244,0.21148
2021,Couple with children,No,0.80304,2344,2883,0.78852,0.81756
2021,Multi-generational household,No,0.85778,58,58,0.76711,0.94846
2021,Other Combinations,Yes,0.09636,31,228,0.05798,0.13475
2021,Other Combinations,No,0.90364,197,228,0.86525,0.94202
2022,No answer / don't know,Yes,0.17553,72,444,0.14011,0.21096
2022,No answer / don't know,No,0.82447,372,444,0.78904,0.85989
2022,Single-person household,Yes,0.08521,435,5564,0.07787,0.09255
2022,Single-person household,No,0.91479,5129,5564,0.90745,0.92213
2022,Couple without children,Yes,0.16643,918,5720,0.15678,0.17609
2022,Couple without children,No,0.83357,4802,5720,0.82391,0.84322
2022,Single parent,Yes,0.10500,107,1142,0.08722,0.12279
2022,Single parent,No,0.89500,1035,1142,0.87721,0.91278
2022,Couple with children,Yes,0.22457,1242,5146,0.21317,0.23598
2022,Couple with children,No,0.77543,3904,5146,0.76402,0.78683
2022,Multi-generational household,No,0.88907,70,70,0.81496,0.96317
2022,Other Combinations,Yes,0.13634,176,1113,0.11617,0.15650
2022,Other Combinations,No,0.86366,937,1113,0.84350,0.88383
