year,hhtyp,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Single parent,Urban regions,No,0.98483,384,384,0.97259,0.99707
2009,Single parent,Rural regions,No,0.95835,228,228,0.93236,0.98434
2009,Couple with children,Urban regions,Yes,0.08504,184,1933,0.07260,0.09748
2009,Couple with children,Urban regions,No,0.91496,1749,1933,0.90252,0.92740
2009,Couple with children,Rural regions,Yes,0.10361,123,1060,0.08525,0.12196
2009,Couple with children,Rural regions,No,0.89639,937,1060,0.87804,0.91475
2009,Multi-generational household,Urban regions,No,0.96130,32,32,0.89341,1.02920
2009,Other Combinations,Urban regions,No,0.89056,41,41,0.79381,0.98731
2010,Single-person household,Urban regions,Yes,0.01738,44,1843,0.01141,0.02334
2010,Single-person household,Urban regions,No,0.98262,1799,1843,0.97666,0.98859
2010,Single-person household,Rural regions,No,0.96530,810,810,0.95269,0.97791
2010,Couple without children,Urban regions,Yes,0.06514,148,2207,0.05484,0.07544
2010,Couple without children,Urban regions,No,0.93486,2059,2207,0.92456,0.94516
2010,Couple without children,Rural regions,Yes,0.08213,109,1151,0.06626,0.09799
2010,Couple without children,Rural regions,No,0.91787,1042,1151,0.90201,0.93374
2010,Single parent,Urban regions,No,0.98065,1172,1172,0.97276,0.98854
2010,Single parent,Rural regions,No,0.95317,618,618,0.93650,0.96984
2010,Couple with children,Urban regions,Yes,0.09609,348,3706,0.08660,0.10558
2010,Couple with children,Urban regions,No,0.90391,3358,3706,0.89442,0.91340
2010,Couple with children,Rural regions,Yes,0.12913,283,1994,0.11440,0.14385
2010,Couple with children,Rural regions,No,0.87087,1711,1994,0.85615,0.88560
2010,Multi-generational household,Urban regions,No,0.96033,51,51,0.90622,1.01443
2010,Multi-generational household,Rural regions,No,0.94922,44,44,0.88360,1.01484
2010,Other Combinations,Urban regions,No,0.99413,39,39,0.96983,1.01842
2011,Single-person household,Urban regions,Yes,0.02372,71,2400,0.01763,0.02981
2011,Single-person household,Urban regions,No,0.97628,2329,2400,0.97019,0.98237
2011,Single-person household,Rural regions,Yes,0.04854,57,1126,0.03598,0.06109
2011,Single-person household,Rural regions,No,0.95146,1069,1126,0.93891,0.96402
2011,Couple without children,Urban regions,Yes,0.06836,200,2766,0.05895,0.07776
2011,Couple without children,Urban regions,No,0.93164,2566,2766,0.92224,0.94105
2011,Couple without children,Rural regions,Yes,0.09566,175,1597,0.08123,0.11009
2011,Couple without children,Rural regions,No,0.90434,1422,1597,0.88991,0.91877
2011,Single parent,Urban regions,Yes,0.02794,47,1500,0.01960,0.03628
2011,Single parent,Urban regions,No,0.97206,1453,1500,0.96372,0.98040
2011,Single parent,Rural regions,Yes,0.06281,43,804,0.04602,0.07959
2011,Single parent,Rural regions,No,0.93719,761,804,0.92041,0.95398
2011,Couple with children,Urban regions,Yes,0.11534,465,3945,0.10537,0.12531
2011,Couple with children,Urban regions,No,0.88466,3480,3945,0.87469,0.89463
2011,Couple with children,Rural regions,Yes,0.14477,350,2214,0.13011,0.15943
2011,Couple with children,Rural regions,No,0.85523,1864,2214,0.84057,0.86989
2011,Multi-generational household,Urban regions,No,0.98624,60,60,0.95652,1.01597
2011,Multi-generational household,Rural regions,No,0.89371,53,53,0.80993,0.97748
2011,Other Combinations,Urban regions,No,0.93673,58,58,0.87353,0.99993
2011,Other Combinations,Rural regions,No,0.90899,34,34,0.81086,1.00713
2012,Single-person household,Urban regions,Yes,0.02330,69,2463,0.01734,0.02926
2012,Single-person household,Urban regions,No,0.97670,2394,2463,0.97074,0.98266
2012,Single-person household,Rural regions,Yes,0.04701,58,1214,0.03510,0.05892
2012,Single-person household,Rural regions,No,0.95299,1156,1214,0.94108,0.96490
2012,Couple without children,Urban regions,Yes,0.07405,233,2771,0.06430,0.08380
2012,Couple without children,Urban regions,No,0.92595,2538,2771,0.91620,0.93570
2012,Couple without children,Rural regions,Yes,0.11235,196,1674,0.09722,0.12748
2012,Couple without children,Rural regions,No,0.88765,1478,1674,0.87252,0.90278
2012,Single parent,Urban regions,Yes,0.03215,52,1400,0.02291,0.04139
2012,Single parent,Urban regions,No,0.96785,1348,1400,0.95861,0.97709
2012,Single parent,Rural regions,Yes,0.06518,48,779,0.04784,0.08253
2012,Single parent,Rural regions,No,0.93482,731,779,0.91747,0.95216
2012,Couple with children,Urban regions,Yes,0.12993,484,3689,0.11907,0.14078
2012,Couple with children,Urban regions,No,0.87007,3205,3689,0.85922,0.88093
2012,Couple with children,Rural regions,Yes,0.15566,367,2084,0.14009,0.17123
2012,Couple with children,Rural regions,No,0.84434,1717,2084,0.82877,0.85991
2012,Multi-generational household,Urban regions,No,0.98670,57,57,0.95670,1.01670
2012,Multi-generational household,Rural regions,No,0.87295,55,55,0.78413,0.96178
2012,Other Combinations,Urban regions,No,0.92910,55,55,0.86064,0.99756
2012,Other Combinations,Rural regions,No,0.96763,39,39,0.91135,1.02390
2013,Single-person household,Urban regions,Yes,0.02969,81,2627,0.02319,0.03618
2013,Single-person household,Urban regions,No,0.97031,2546,2627,0.96382,0.97681
2013,Single-person household,Rural regions,Yes,0.05274,61,1215,0.04017,0.06531
2013,Single-person household,Rural regions,No,0.94726,1154,1215,0.93469,0.95983
2013,Couple without children,Urban regions,Yes,0.08357,250,2969,0.07362,0.09353
2013,Couple without children,Urban regions,No,0.91643,2719,2969,0.90647,0.92638
2013,Couple without children,Rural regions,Yes,0.12187,197,1669,0.10617,0.13757
2013,Couple without children,Rural regions,No,0.87813,1472,1669,0.86243,0.89383
2013,Single parent,Urban regions,Yes,0.03544,50,1479,0.02601,0.04487
2013,Single parent,Urban regions,No,0.96456,1429,1479,0.95513,0.97399
2013,Single parent,Rural regions,Yes,0.06909,48,764,0.05109,0.08708
2013,Single parent,Rural regions,No,0.93091,716,764,0.91292,0.94891
2013,Couple with children,Urban regions,Yes,0.13063,482,4433,0.12071,0.14055
2013,Couple with children,Urban regions,No,0.86937,3951,4433,0.85945,0.87929
2013,Couple with children,Rural regions,Yes,0.17220,368,2206,0.15644,0.18796
2013,Couple with children,Rural regions,No,0.82780,1838,2206,0.81204,0.84356
2013,Multi-generational household,Urban regions,No,0.99742,76,76,0.98595,1.00890
2013,Multi-generational household,Rural regions,No,0.94563,65,65,0.89007,1.00118
2013,Other Combinations,Urban regions,No,0.95846,250,250,0.93368,0.98325
2013,Other Combinations,Rural regions,No,0.88539,84,84,0.81686,0.95392
2014,Single-person household,Urban regions,Yes,0.03733,85,2419,0.02977,0.04488
2014,Single-person household,Urban regions,No,0.96267,2334,2419,0.95512,0.97023
2014,Single-person household,Rural regions,Yes,0.04881,59,1140,0.03630,0.06133
2014,Single-person household,Rural regions,No,0.95119,1081,1140,0.93867,0.96370
2014,Couple without children,Urban regions,Yes,0.09703,261,2750,0.08596,0.10809
2014,Couple without children,Urban regions,No,0.90297,2489,2750,0.89191,0.91404
2014,Couple without children,Rural regions,Yes,0.13025,187,1611,0.11381,0.14670
2014,Couple without children,Rural regions,No,0.86975,1424,1611,0.85330,0.88619
2014,Single parent,Urban regions,Yes,0.03506,53,1183,0.02458,0.04555
2014,Single parent,Urban regions,No,0.96494,1130,1183,0.95445,0.97542
2014,Single parent,Rural regions,Yes,0.06997,50,631,0.05005,0.08989
2014,Single parent,Rural regions,No,0.93003,581,631,0.91011,0.94995
2014,Couple with children,Urban regions,Yes,0.13817,456,3782,0.12717,0.14917
2014,Couple with children,Urban regions,No,0.86183,3326,3782,0.85083,0.87283
2014,Couple with children,Rural regions,Yes,0.19865,370,1916,0.18078,0.21652
2014,Couple with children,Rural regions,No,0.80135,1546,1916,0.78348,0.81922
2014,Multi-generational household,Urban regions,No,0.96444,65,65,0.91907,1.00981
2014,Multi-generational household,Rural regions,No,0.89646,49,49,0.81028,0.98265
2014,Other Combinations,Urban regions,No,0.97577,185,185,0.95355,0.99799
2014,Other Combinations,Rural regions,No,0.92412,65,65,0.85924,0.98900
2015,Single-person household,Urban regions,Yes,0.03416,85,2451,0.02697,0.04136
2015,Single-person household,Urban regions,No,0.96584,2366,2451,0.95864,0.97303
2015,Single-person household,Rural regions,Yes,0.06328,79,1166,0.04930,0.07726
2015,Single-person household,Rural regions,No,0.93672,1087,1166,0.92274,0.95070
2015,Couple without children,Urban regions,Yes,0.09230,247,2778,0.08153,0.10306
2015,Couple without children,Urban regions,No,0.90770,2531,2778,0.89694,0.91847
2015,Couple without children,Rural regions,Yes,0.13442,199,1592,0.11766,0.15118
2015,Couple without children,Rural regions,No,0.86558,1393,1592,0.84882,0.88234
2015,Single parent,Urban regions,Yes,0.04846,53,1124,0.03590,0.06102
2015,Single parent,Urban regions,No,0.95154,1071,1124,0.93898,0.96410
2015,Single parent,Rural regions,Yes,0.06612,41,586,0.04598,0.08626
2015,Single parent,Rural regions,No,0.93388,545,586,0.91374,0.95402
2015,Couple with children,Urban regions,Yes,0.14882,462,3750,0.13743,0.16022
2015,Couple with children,Urban regions,No,0.85118,3288,3750,0.83978,0.86257
2015,Couple with children,Rural regions,Yes,0.22280,380,1907,0.20412,0.24148
2015,Couple with children,Rural regions,No,0.77720,1527,1907,0.75852,0.79588
2015,Multi-generational household,Urban regions,No,0.93850,76,76,0.88413,0.99287
2015,Multi-generational household,Rural regions,No,0.85186,54,54,0.75622,0.94750
2015,Other Combinations,Urban regions,No,0.95812,179,179,0.92869,0.98755
2015,Other Combinations,Rural regions,No,0.93138,60,60,0.86687,0.99589
2016,Single-person household,Urban regions,Yes,0.02826,73,2312,0.02150,0.03501
2016,Single-person household,Urban regions,No,0.97174,2239,2312,0.96499,0.97850
2016,Single-person household,Rural regions,Yes,0.04707,56,1067,0.03436,0.05978
2016,Single-person household,Rural regions,No,0.95293,1011,1067,0.94022,0.96564
2016,Couple without children,Urban regions,Yes,0.09537,244,2565,0.08400,0.10674
2016,Couple without children,Urban regions,No,0.90463,2321,2565,0.89326,0.91600
2016,Couple without children,Rural regions,Yes,0.15117,207,1527,0.13319,0.16914
2016,Couple without children,Rural regions,No,0.84883,1320,1527,0.83086,0.86681
2016,Single parent,Urban regions,Yes,0.04268,48,992,0.03010,0.05527
2016,Single parent,Urban regions,No,0.95732,944,992,0.94473,0.96990
2016,Single parent,Rural regions,Yes,0.10827,33,532,0.08184,0.13470
2016,Single parent,Rural regions,No,0.89173,499,532,0.86530,0.91816
2016,Couple with children,Urban regions,Yes,0.14638,414,3297,0.13432,0.15845
2016,Couple with children,Urban regions,No,0.85362,2883,3297,0.84155,0.86568
2016,Couple with children,Rural regions,Yes,0.20530,331,1692,0.18605,0.22456
2016,Couple with children,Rural regions,No,0.79470,1361,1692,0.77544,0.81395
2016,Multi-generational household,Urban regions,No,0.92877,59,59,0.86257,0.99496
2016,Multi-generational household,Rural regions,No,0.76246,39,39,0.62715,0.89777
2016,Other Combinations,Urban regions,No,0.97107,133,133,0.94248,0.99966
2016,Other Combinations,Rural regions,No,0.98038,55,55,0.94338,1.01737
2017,Single-person household,Urban regions,Yes,0.03962,100,2592,0.03211,0.04713
2017,Single-person household,Urban regions,No,0.96038,2492,2592,0.95287,0.96789
2017,Single-person household,Rural regions,Yes,0.06285,81,1234,0.04931,0.07640
2017,Single-person household,Rural regions,No,0.93715,1153,1234,0.92360,0.95069
2017,Couple without children,Urban regions,Yes,0.09925,298,2886,0.08834,0.11016
2017,Couple without children,Urban regions,No,0.90075,2588,2886,0.88984,0.91166
2017,Couple without children,Rural regions,Yes,0.15286,231,1718,0.13584,0.16988
2017,Couple without children,Rural regions,No,0.84714,1487,1718,0.83012,0.86416
2017,Single parent,Urban regions,Yes,0.04336,54,992,0.03068,0.05604
2017,Single parent,Urban regions,No,0.95664,938,992,0.94396,0.96932
2017,Single parent,Rural regions,Yes,0.12523,43,545,0.09742,0.15305
2017,Single parent,Rural regions,No,0.87477,502,545,0.84695,0.90258
2017,Couple with children,Urban regions,Yes,0.14243,470,3508,0.13087,0.15400
2017,Couple with children,Urban regions,No,0.85757,3038,3508,0.84600,0.86913
2017,Couple with children,Rural regions,Yes,0.21460,376,1808,0.19568,0.23353
2017,Couple with children,Rural regions,No,0.78540,1432,1808,0.76647,0.80432
2017,Multi-generational household,Urban regions,No,0.95317,66,66,0.90181,1.00453
2017,Multi-generational household,Rural regions,No,0.82783,40,40,0.70934,0.94631
2017,Other Combinations,Urban regions,No,0.95254,171,171,0.92057,0.98450
2017,Other Combinations,Rural regions,No,0.80109,63,63,0.70172,0.90045
2018,Single-person household,Urban regions,Yes,0.03861,96,2757,0.03142,0.04580
2018,Single-person household,Urban regions,No,0.96139,2661,2757,0.95420,0.96858
2018,Single-person household,Rural regions,Yes,0.06370,85,1260,0.05021,0.07719
2018,Single-person household,Rural regions,No,0.93630,1175,1260,0.92281,0.94979
2018,Couple without children,Urban regions,Yes,0.09831,286,2859,0.08739,0.10923
2018,Couple without children,Urban regions,No,0.90169,2573,2859,0.89077,0.91261
2018,Couple without children,Rural regions,Yes,0.15365,234,1678,0.13639,0.17091
2018,Couple without children,Rural regions,No,0.84635,1444,1678,0.82909,0.86361
2018,Single parent,Urban regions,Yes,0.05214,53,1006,0.03839,0.06588
2018,Single parent,Urban regions,No,0.94786,953,1006,0.93412,0.96161
2018,Single parent,Rural regions,Yes,0.09664,46,504,0.07082,0.12246
2018,Single parent,Rural regions,No,0.90336,458,504,0.87754,0.92918
2018,Couple with children,Urban regions,Yes,0.15476,453,3299,0.14241,0.16710
2018,Couple with children,Urban regions,No,0.84524,2846,3299,0.83290,0.85759
2018,Couple with children,Rural regions,Yes,0.20723,353,1716,0.18805,0.22641
2018,Couple with children,Rural regions,No,0.79277,1363,1716,0.77359,0.81195
2018,Multi-generational household,Urban regions,No,0.92930,70,70,0.86882,0.98978
2018,Multi-generational household,Rural regions,No,0.79797,36,36,0.66494,0.93099
2018,Other Combinations,Urban regions,No,0.92837,150,150,0.88697,0.96978
2018,Other Combinations,Rural regions,No,0.75878,57,57,0.64672,0.87083
2019,Single-person household,Urban regions,Yes,0.04072,78,2215,0.03248,0.04895
2019,Single-person household,Urban regions,No,0.95928,2137,2215,0.95105,0.96752
2019,Single-person household,Rural regions,Yes,0.06974,80,1046,0.05430,0.08518
2019,Single-person household,Rural regions,No,0.93026,966,1046,0.91482,0.94570
2019,Couple without children,Urban regions,Yes,0.10984,266,2407,0.09735,0.12234
2019,Couple without children,Urban regions,No,0.89016,2141,2407,0.87766,0.90265
2019,Couple without children,Rural regions,Yes,0.15105,203,1451,0.13262,0.16948
2019,Couple without children,Rural regions,No,0.84895,1248,1451,0.83052,0.86738
2019,Single parent,Urban regions,Yes,0.04699,41,834,0.03262,0.06136
2019,Single parent,Urban regions,No,0.95301,793,834,0.93864,0.96738
2019,Single parent,Rural regions,Yes,0.13935,41,399,0.10533,0.17338
2019,Single parent,Rural regions,No,0.86065,358,399,0.82662,0.89467
2019,Couple with children,Urban regions,Yes,0.15403,380,2616,0.14019,0.16787
2019,Couple with children,Urban regions,No,0.84597,2236,2616,0.83213,0.85981
2019,Couple with children,Rural regions,Yes,0.22838,311,1393,0.20633,0.25043
2019,Couple with children,Rural regions,No,0.77162,1082,1393,0.74957,0.79367
2019,Multi-generational household,Urban regions,No,0.93339,49,49,0.86284,1.00393
2019,Other Combinations,Urban regions,No,0.94897,102,102,0.90605,0.99188
2019,Other Combinations,Rural regions,No,0.76611,44,44,0.63959,0.89264
2020,Single-person household,Urban regions,Yes,0.04101,133,3254,0.03420,0.04783
2020,Single-person household,Urban regions,No,0.95899,3121,3254,0.95217,0.96580
2020,Single-person household,Rural regions,Yes,0.08676,121,1334,0.07165,0.10187
2020,Single-person household,Rural regions,No,0.91324,1213,1334,0.89813,0.92835
2020,Couple without children,Urban regions,Yes,0.11588,395,3292,0.10495,0.12682
2020,Couple without children,Urban regions,No,0.88412,2897,3292,0.87318,0.89505
2020,Couple without children,Rural regions,Yes,0.15720,275,1721,0.14000,0.17440
2020,Couple without children,Rural regions,No,0.84280,1446,1721,0.82560,0.86000
2020,Single parent,Urban regions,Yes,0.05467,51,895,0.03977,0.06958
2020,Single parent,Urban regions,No,0.94533,844,895,0.93042,0.96023
2020,Single parent,Rural regions,Yes,0.13142,52,442,0.09989,0.16296
2020,Single parent,Rural regions,No,0.86858,390,442,0.83704,0.90011
2020,Couple with children,Urban regions,Yes,0.17385,499,3256,0.16083,0.18687
2020,Couple with children,Urban regions,No,0.82615,2757,3256,0.81313,0.83917
2020,Couple with children,Rural regions,Yes,0.22677,372,1640,0.20650,0.24704
2020,Couple with children,Rural regions,No,0.77323,1268,1640,0.75296,0.79350
2020,Multi-generational household,Urban regions,No,0.92385,60,60,0.85617,0.99153
2020,Multi-generational household,Rural regions,No,0.68102,42,42,0.53835,0.82369
2020,Other Combinations,Urban regions,No,0.89485,191,191,0.85123,0.93847
2020,Other Combinations,Rural regions,No,0.83150,80,80,0.74895,0.91404
2021,Single-person household,Urban regions,Yes,0.04223,86,1953,0.03331,0.05116
2021,Single-person household,Urban regions,No,0.95777,1867,1953,0.94884,0.96669
2021,Single-person household,Rural regions,Yes,0.08377,85,845,0.06508,0.10246
2021,Single-person household,Rural regions,No,0.91623,760,845,0.89754,0.93492
2021,Couple without children,Urban regions,Yes,0.11387,260,2013,0.09999,0.12775
2021,Couple without children,Urban regions,No,0.88613,1753,2013,0.87225,0.90001
2021,Couple without children,Rural regions,Yes,0.15449,181,1107,0.13319,0.17579
2021,Couple without children,Rural regions,No,0.84551,926,1107,0.82421,0.86681
2021,Single parent,Urban regions,Yes,0.05971,37,529,0.03950,0.07992
2021,Single parent,Urban regions,No,0.94029,492,529,0.92008,0.96050
2021,Single parent,Rural regions,Yes,0.14526,32,294,0.10491,0.18561
2021,Single parent,Rural regions,No,0.85474,262,294,0.81439,0.89509
2021,Couple with children,Urban regions,Yes,0.17869,311,1908,0.16150,0.19589
2021,Couple with children,Urban regions,No,0.82131,1597,1908,0.80411,0.83850
2021,Couple with children,Rural regions,Yes,0.23537,228,975,0.20872,0.26201
2021,Couple with children,Rural regions,No,0.76463,747,975,0.73799,0.79128
2021,Multi-generational household,Urban regions,No,0.93633,37,37,0.85657,1.01609
2021,Other Combinations,Urban regions,No,0.92987,139,139,0.88727,0.97248
2021,Other Combinations,Rural regions,No,0.84999,58,58,0.75729,0.94269
2022,No answer / don't know,Urban regions,Yes,0.11980,33,295,0.08268,0.15692
2022,No answer / don't know,Urban regions,No,0.88020,262,295,0.84308,0.91732
2022,No answer / don't know,Rural regions,Yes,0.31335,39,149,0.23862,0.38809
2022,No answer / don't know,Rural regions,No,0.68665,110,149,0.61191,0.76138
2022,Single-person household,Urban regions,Yes,0.06931,235,4019,0.06146,0.07717
2022,Single-person household,Urban regions,No,0.93069,3784,4019,0.92283,0.93854
2022,Single-person household,Rural regions,Yes,0.12262,200,1545,0.10626,0.13898
2022,Single-person household,Rural regions,No,0.87738,1345,1545,0.86102,0.89374
2022,Couple without children,Urban regions,Yes,0.14665,530,3893,0.13553,0.15776
2022,Couple without children,Urban regions,No,0.85335,3363,3893,0.84224,0.86447
2022,Couple without children,Rural regions,Yes,0.20594,388,1827,0.18739,0.22449
2022,Couple without children,Rural regions,No,0.79406,1439,1827,0.77551,0.81261
2022,Single parent,Urban regions,Yes,0.07880,68,765,0.05970,0.09791
2022,Single parent,Urban regions,No,0.92120,697,765,0.90209,0.94030
2022,Single parent,Rural regions,Yes,0.16295,39,377,0.12562,0.20028
2022,Single parent,Rural regions,No,0.83705,338,377,0.79972,0.87438
2022,Couple with children,Urban regions,Yes,0.20003,709,3355,0.18649,0.21356
2022,Couple with children,Urban regions,No,0.79997,2646,3355,0.78644,0.81351
2022,Couple with children,Rural regions,Yes,0.27842,533,1791,0.25766,0.29919
2022,Couple with children,Rural regions,No,0.72158,1258,1791,0.70081,0.74234
2022,Multi-generational household,Urban regions,No,0.90264,41,41,0.81077,0.99451
2022,Other Combinations,Urban regions,Yes,0.10217,92,771,0.08078,0.12356
2022,Other Combinations,Urban regions,No,0.89783,679,771,0.87644,0.91922
2022,Other Combinations,Rural regions,Yes,0.21021,84,342,0.16696,0.25346
2022,Other Combinations,Rural regions,No,0.78979,258,342,0.74654,0.83304
