year,hhtyp,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Owner,No,0.98617,917,917,0.97861,0.99374
2016,Single-person household,Tenant,Yes,0.02466,49,2455,0.01852,0.03079
2016,Single-person household,Tenant,No,0.97534,2406,2455,0.96921,0.98148
2016,Couple without children,Owner,Yes,0.02182,60,2222,0.01574,0.02789
2016,Couple without children,Owner,No,0.97818,2162,2222,0.97211,0.98426
2016,Couple without children,Tenant,Yes,0.03164,47,1875,0.02371,0.03956
2016,Couple without children,Tenant,No,0.96836,1828,1875,0.96044,0.97629
2016,Single parent,Owner,No,0.97480,367,367,0.95875,0.99086
2016,Single parent,Tenant,Yes,0.04088,45,1142,0.02939,0.05237
2016,Single parent,Tenant,No,0.95912,1097,1142,0.94763,0.97061
2016,Couple with children,Owner,Yes,0.04045,118,2662,0.03296,0.04793
2016,Couple with children,Owner,No,0.95955,2544,2662,0.95207,0.96704
2016,Couple with children,Tenant,Yes,0.03495,81,2328,0.02749,0.04241
2016,Couple with children,Tenant,No,0.96505,2247,2328,0.95759,0.97251
2016,Multi-generational household,Tenant,No,0.95284,52,52,0.89467,1.01102
2016,Other Combinations,Owner,No,0.93730,47,47,0.86725,1.00736
2016,Other Combinations,Tenant,No,0.95432,136,136,0.91910,0.98954
2021,No answer / don't know,Tenant,No,0.97676,40,40,0.92947,1.02405
2021,Single-person household,Owner,No,0.98377,848,848,0.97526,0.99228
2021,Single-person household,Tenant,No,0.98668,2296,2296,0.98199,0.99137
2021,Couple without children,Owner,Yes,0.02815,51,1924,0.02076,0.03554
2021,Couple without children,Owner,No,0.97185,1873,1924,0.96446,0.97924
2021,Couple without children,Tenant,No,0.98021,1465,1465,0.97308,0.98735
2021,Single parent,Owner,No,0.99825,247,247,0.99304,1.00347
2021,Single parent,Tenant,No,0.97016,626,626,0.95682,0.98350
2021,Couple with children,Owner,Yes,0.02936,72,1881,0.02173,0.03699
2021,Couple with children,Owner,No,0.97064,1809,1881,0.96301,0.97827
2021,Couple with children,Tenant,Yes,0.02568,38,1278,0.01700,0.03436
2021,Couple with children,Tenant,No,0.97432,1240,1278,0.96564,0.98300
2021,Multi-generational household,Owner,No,0.93097,38,38,0.84929,1.01266
2021,Other Combinations,Owner,No,0.99583,105,105,0.98345,1.00821
2021,Other Combinations,Tenant,No,0.98982,155,155,0.97397,1.00567
