year,hhtyp,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single parent,West,Yes,0.03178,44,1188,0.02180,0.04176
2016,Single parent,West,No,0.96822,1144,1188,0.95824,0.97820
2016,Single parent,East,No,0.94236,320,320,0.91678,0.96793
2016,Couple with children,West,Yes,0.03548,150,4169,0.02987,0.04110
2016,Couple with children,West,No,0.96452,4019,4169,0.95890,0.97013
2016,Couple with children,East,Yes,0.05406,49,821,0.03858,0.06954
2016,Couple with children,East,No,0.94594,772,821,0.93046,0.96142
2016,Multi-generational household,West,No,0.97777,80,80,0.94526,1.01028
2016,Other Combinations,West,No,0.94739,157,157,0.91236,0.98242
2021,No answer / don't know,West,No,0.99162,45,45,0.96469,1.01855
2021,Single-person household,West,No,0.98825,2451,2451,0.98398,0.99252
2021,Single-person household,East,No,0.97438,694,694,0.96261,0.98614
2021,Couple without children,West,Yes,0.02183,48,2595,0.01621,0.02746
2021,Couple without children,West,No,0.97817,2547,2595,0.97254,0.98379
2021,Couple without children,East,No,0.96144,792,792,0.94802,0.97486
2021,Single parent,West,No,0.97661,638,638,0.96488,0.98835
2021,Single parent,East,No,0.98630,235,235,0.97140,1.00119
2021,Couple with children,West,Yes,0.02887,87,2611,0.02245,0.03529
2021,Couple with children,West,No,0.97113,2524,2611,0.96471,0.97755
2021,Couple with children,East,No,0.97618,527,527,0.96315,0.98921
2021,Multi-generational household,West,No,0.96783,57,57,0.92161,1.01405
2021,Other Combinations,West,No,0.99881,219,219,0.99423,1.00339
2021,Other Combinations,East,No,0.94916,41,41,0.88108,1.01724
