year,hhtyp,quintil_oecd_hh,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single parent,1st Quintile,No,0.88655,264,298,0.85048,0.92262
2001,Single parent,2nd Quintile,No,0.95880,165,165,0.92838,0.98922
2001,Single parent,3rd Quintile,No,0.95512,105,105,0.91533,0.99491
2001,Single parent,4th Quintile,No,0.96096,69,69,0.91492,1.00700
2001,Single parent,5th Quintile,No,0.98184,49,49,0.94405,1.01962
2001,Couple with children,1st Quintile,Yes,0.14587,97,642,0.11854,0.17319
2001,Couple with children,1st Quintile,No,0.85413,545,642,0.82681,0.88146
2001,Couple with children,2nd Quintile,Yes,0.12158,125,995,0.10126,0.14189
2001,Couple with children,2nd Quintile,No,0.87842,870,995,0.85811,0.89874
2001,Couple with children,3rd Quintile,Yes,0.10942,114,996,0.09003,0.12882
2001,Couple with children,3rd Quintile,No,0.89058,882,996,0.87118,0.90997
2001,Couple with children,4th Quintile,Yes,0.08664,78,896,0.06821,0.10507
2001,Couple with children,4th Quintile,No,0.91336,818,896,0.89493,0.93179
2001,Couple with children,5th Quintile,Yes,0.06552,40,646,0.04643,0.08462
2001,Couple with children,5th Quintile,No,0.93448,606,646,0.91538,0.95357
2001,Multi-generational household,2nd Quintile,No,0.93045,41,41,0.85162,1.00929
2006,Single-person household,1st Quintile,Yes,0.03752,32,847,0.02471,0.05033
2006,Single-person household,1st Quintile,No,0.96248,815,847,0.94967,0.97529
2006,Single-person household,2nd Quintile,No,0.96292,624,624,0.94808,0.97776
2006,Single-person household,3rd Quintile,No,0.96387,581,581,0.94868,0.97906
2006,Single-person household,4th Quintile,No,0.97248,575,575,0.95910,0.98587
2006,Single-person household,5th Quintile,No,0.98473,589,589,0.97482,0.99464
2006,Couple without children,1st Quintile,No,0.93921,400,400,0.91577,0.96266
2006,Couple without children,2nd Quintile,Yes,0.05407,32,664,0.03685,0.07128
2006,Couple without children,2nd Quintile,No,0.94593,632,664,0.92872,0.96315
2006,Couple without children,3rd Quintile,Yes,0.05157,38,770,0.03594,0.06720
2006,Couple without children,3rd Quintile,No,0.94843,732,770,0.93280,0.96406
2006,Couple without children,4th Quintile,Yes,0.04365,43,834,0.02978,0.05753
2006,Couple without children,4th Quintile,No,0.95635,791,834,0.94247,0.97022
2006,Couple without children,5th Quintile,Yes,0.04531,62,1463,0.03465,0.05598
2006,Couple without children,5th Quintile,No,0.95469,1401,1463,0.94402,0.96535
2006,Single parent,1st Quintile,No,0.92734,311,311,0.89844,0.95624
2006,Single parent,2nd Quintile,No,0.93674,145,145,0.89698,0.97650
2006,Single parent,3rd Quintile,No,0.91585,113,113,0.86444,0.96727
2006,Single parent,4th Quintile,No,0.94220,90,90,0.89371,0.99068
2006,Single parent,5th Quintile,No,0.97078,60,60,0.92781,1.01376
2006,Couple with children,1st Quintile,Yes,0.09781,48,459,0.07061,0.12502
2006,Couple with children,1st Quintile,No,0.90219,411,459,0.87498,0.92939
2006,Couple with children,2nd Quintile,Yes,0.08991,69,709,0.06884,0.11098
2006,Couple with children,2nd Quintile,No,0.91009,640,709,0.88902,0.93116
2006,Couple with children,3rd Quintile,Yes,0.08581,74,857,0.06704,0.10457
2006,Couple with children,3rd Quintile,No,0.91419,783,857,0.89543,0.93296
2006,Couple with children,4th Quintile,Yes,0.07879,67,920,0.06138,0.09621
2006,Couple with children,4th Quintile,No,0.92121,853,920,0.90379,0.93862
2006,Couple with children,5th Quintile,Yes,0.04142,45,892,0.02834,0.05451
2006,Couple with children,5th Quintile,No,0.95858,847,892,0.94549,0.97166
2011,Single-person household,1st Quintile,No,0.97088,987,987,0.96039,0.98138
2011,Single-person household,2nd Quintile,No,0.97212,704,704,0.95995,0.98429
2011,Single-person household,3rd Quintile,No,0.96321,635,635,0.94856,0.97787
2011,Single-person household,4th Quintile,No,0.97955,537,537,0.96757,0.99153
2011,Single-person household,5th Quintile,No,0.98282,550,550,0.97195,0.99369
2011,Couple without children,1st Quintile,Yes,0.05990,34,475,0.03854,0.08127
2011,Couple without children,1st Quintile,No,0.94010,441,475,0.91873,0.96146
2011,Couple without children,2nd Quintile,No,0.96195,693,693,0.94770,0.97621
2011,Couple without children,3rd Quintile,Yes,0.05002,32,804,0.03494,0.06510
2011,Couple without children,3rd Quintile,No,0.94998,772,804,0.93490,0.96506
2011,Couple without children,4th Quintile,Yes,0.04566,37,955,0.03241,0.05890
2011,Couple without children,4th Quintile,No,0.95434,918,955,0.94110,0.96759
2011,Couple without children,5th Quintile,No,0.97946,1386,1386,0.97199,0.98693
2011,Single parent,1st Quintile,No,0.94991,308,308,0.92551,0.97431
2011,Single parent,2nd Quintile,No,0.90640,162,162,0.86140,0.95139
2011,Single parent,3rd Quintile,No,0.97994,134,134,0.95611,1.00377
2011,Single parent,4th Quintile,No,0.97714,88,88,0.94574,1.00855
2011,Single parent,5th Quintile,No,0.99901,56,56,0.99069,1.00733
2011,Couple with children,1st Quintile,Yes,0.09601,46,405,0.06728,0.12474
2011,Couple with children,1st Quintile,No,0.90399,359,405,0.87526,0.93272
2011,Couple with children,2nd Quintile,Yes,0.06837,41,584,0.04788,0.08885
2011,Couple with children,2nd Quintile,No,0.93163,543,584,0.91115,0.95212
2011,Couple with children,3rd Quintile,Yes,0.04361,38,734,0.02882,0.05839
2011,Couple with children,3rd Quintile,No,0.95639,696,734,0.94161,0.97118
2011,Couple with children,4th Quintile,Yes,0.06807,43,800,0.05060,0.08553
2011,Couple with children,4th Quintile,No,0.93193,757,800,0.91447,0.94940
2011,Couple with children,5th Quintile,No,0.97856,696,696,0.96779,0.98933
2016,Single-person household,1st Quintile,No,0.96919,963,963,0.95827,0.98011
2016,Single-person household,2nd Quintile,No,0.97710,711,711,0.96610,0.98810
2016,Single-person household,3rd Quintile,No,0.97729,621,621,0.96556,0.98902
2016,Single-person household,4th Quintile,No,0.98372,547,547,0.97310,0.99433
2016,Single-person household,5th Quintile,No,0.99580,478,478,0.98999,1.00160
2016,Couple without children,1st Quintile,No,0.96603,418,418,0.94865,0.98342
2016,Couple without children,2nd Quintile,No,0.97746,689,689,0.96637,0.98855
2016,Couple without children,3rd Quintile,No,0.96982,737,737,0.95746,0.98218
2016,Couple without children,4th Quintile,No,0.96790,902,902,0.95640,0.97941
2016,Couple without children,5th Quintile,No,0.98244,1244,1244,0.97514,0.98974
2016,Single parent,1st Quintile,No,0.94803,623,623,0.93059,0.96548
2016,Single parent,2nd Quintile,No,0.98405,397,397,0.97171,0.99639
2016,Single parent,3rd Quintile,No,0.94781,216,216,0.91808,0.97754
2016,Single parent,4th Quintile,No,0.99045,148,148,0.97473,1.00617
2016,Single parent,5th Quintile,No,0.96202,80,80,0.91987,1.00417
2016,Couple with children,1st Quintile,Yes,0.04977,48,926,0.03576,0.06379
2016,Couple with children,1st Quintile,No,0.95023,878,926,0.93621,0.96424
2016,Couple with children,2nd Quintile,Yes,0.05809,52,1112,0.04434,0.07185
2016,Couple with children,2nd Quintile,No,0.94191,1060,1112,0.92815,0.95566
2016,Couple with children,3rd Quintile,Yes,0.03120,44,1057,0.02072,0.04169
2016,Couple with children,3rd Quintile,No,0.96880,1013,1057,0.95831,0.97928
2016,Couple with children,4th Quintile,Yes,0.03747,33,993,0.02565,0.04929
2016,Couple with children,4th Quintile,No,0.96253,960,993,0.95071,0.97435
2016,Couple with children,5th Quintile,No,0.97965,879,879,0.97031,0.98899
2016,Multi-generational household,1st Quintile,No,0.98150,32,32,0.93407,1.02894
2016,Other Combinations,1st Quintile,No,0.94887,58,58,0.89169,1.00605
2016,Other Combinations,2nd Quintile,No,0.94705,43,43,0.87933,1.01478
2016,Other Combinations,3rd Quintile,No,0.92934,35,35,0.84320,1.01548
2021,Single-person household,1st Quintile,No,0.98328,919,919,0.97499,0.99158
2021,Single-person household,2nd Quintile,No,0.98001,616,616,0.96895,0.99107
2021,Single-person household,3rd Quintile,No,0.99457,553,553,0.98845,1.00070
2021,Single-person household,4th Quintile,No,0.97884,505,505,0.96627,0.99140
2021,Single-person household,5th Quintile,No,0.99629,537,537,0.99114,1.00144
2021,Couple without children,1st Quintile,No,0.95889,328,328,0.93737,0.98041
2021,Couple without children,2nd Quintile,No,0.95486,544,544,0.93740,0.97232
2021,Couple without children,3rd Quintile,No,0.97676,548,548,0.96413,0.98938
2021,Couple without children,4th Quintile,No,0.97600,681,681,0.96449,0.98750
2021,Couple without children,5th Quintile,No,0.98983,1236,1236,0.98423,0.99543
2021,Single parent,1st Quintile,No,0.97136,263,263,0.95116,0.99156
2021,Single parent,2nd Quintile,No,0.98724,273,273,0.97391,1.00058
2021,Single parent,3rd Quintile,No,0.96067,140,140,0.92836,0.99298
2021,Single parent,4th Quintile,No,0.98458,118,118,0.96225,1.00691
2021,Couple with children,1st Quintile,No,0.96724,388,388,0.94951,0.98498
2021,Couple with children,2nd Quintile,Yes,0.03961,31,631,0.02438,0.05484
2021,Couple with children,2nd Quintile,No,0.96039,600,631,0.94516,0.97562
2021,Couple with children,3rd Quintile,No,0.97980,660,660,0.96906,0.99054
2021,Couple with children,4th Quintile,No,0.96318,645,645,0.94863,0.97772
2021,Couple with children,5th Quintile,No,0.98428,758,758,0.97542,0.99314
2021,Other Combinations,1st Quintile,No,0.96954,53,53,0.92283,1.01625
2021,Other Combinations,5th Quintile,No,0.98962,51,51,0.96153,1.01771
