"plb0196_h","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1991","kein Migrationshintergrund","Westdeutschland","2346","","",""
"Nein","1991","kein Migrationshintergrund","Ostdeutschland","1913","","",""
"Nein","1991","direkter Migrationshintergrund","Westdeutschland","1184","","",""
"Nein","1991","direkter Migrationshintergrund","Ostdeutschland","56","1","1","1"
"Nein","1991","indirekter Migrationshintergrund","Westdeutschland","147","","",""
"Nein","1991","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Nein","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1992","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1992","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1992","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1992","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1992","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1992","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1992","kein Migrationshintergrund","Westdeutschland","2282","","",""
"Nein","1992","kein Migrationshintergrund","Ostdeutschland","1395","","",""
"Nein","1992","direkter Migrationshintergrund","Westdeutschland","1143","","",""
"Nein","1992","direkter Migrationshintergrund","Ostdeutschland","37","1","1","1"
"Nein","1992","indirekter Migrationshintergrund","Westdeutschland","165","","",""
"Nein","1992","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Nein","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1993","kein Migrationshintergrund","Westdeutschland","2357","","",""
"Nein","1993","kein Migrationshintergrund","Ostdeutschland","1232","","",""
"Nein","1993","direkter Migrationshintergrund","Westdeutschland","1141","","",""
"Nein","1993","direkter Migrationshintergrund","Ostdeutschland","20","","",""
"Nein","1993","indirekter Migrationshintergrund","Westdeutschland","189","","",""
"Nein","1993","indirekter Migrationshintergrund","Ostdeutschland","5","1","1","1"
"Nein","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1994","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1994","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1994","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1994","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1994","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1994","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1994","kein Migrationshintergrund","Westdeutschland","2231","","",""
"Nein","1994","kein Migrationshintergrund","Ostdeutschland","1149","","",""
"Nein","1994","direkter Migrationshintergrund","Westdeutschland","984","1","1","1"
"Nein","1994","direkter Migrationshintergrund","Ostdeutschland","22","","",""
"Nein","1994","indirekter Migrationshintergrund","Westdeutschland","196","","",""
"Nein","1994","indirekter Migrationshintergrund","Ostdeutschland","6","1","1","1"
"Nein","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1995","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1995","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1995","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1995","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1995","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1995","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1995","kein Migrationshintergrund","Westdeutschland","2165","","",""
"Nein","1995","kein Migrationshintergrund","Ostdeutschland","1155","","",""
"Nein","1995","direkter Migrationshintergrund","Westdeutschland","1040","","",""
"Nein","1995","direkter Migrationshintergrund","Ostdeutschland","27","","",""
"Nein","1995","indirekter Migrationshintergrund","Westdeutschland","192","","",""
"Nein","1995","indirekter Migrationshintergrund","Ostdeutschland","3","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1996","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1996","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1996","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1996","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1996","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1996","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1996","kein Migrationshintergrund","Westdeutschland","2136","","",""
"Nein","1996","kein Migrationshintergrund","Ostdeutschland","1132","","",""
"Nein","1996","direkter Migrationshintergrund","Westdeutschland","960","1","1","1"
"Nein","1996","direkter Migrationshintergrund","Ostdeutschland","22","","",""
"Nein","1996","indirekter Migrationshintergrund","Westdeutschland","190","","",""
"Nein","1996","indirekter Migrationshintergrund","Ostdeutschland","8","1","1","1"
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1997","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1997","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1997","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1997","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1997","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1997","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1997","kein Migrationshintergrund","Westdeutschland","689","1","1","1"
"Nein","1997","kein Migrationshintergrund","Ostdeutschland","433","1","1","1"
"Nein","1997","direkter Migrationshintergrund","Westdeutschland","233","","",""
"Nein","1997","direkter Migrationshintergrund","Ostdeutschland","7","1","1","1"
"Nein","1997","indirekter Migrationshintergrund","Westdeutschland","62","1","1","1"
"Nein","1997","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Nein","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1998","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1998","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1998","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1998","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1998","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1998","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1998","kein Migrationshintergrund","Westdeutschland","763","1","1","1"
"Nein","1998","kein Migrationshintergrund","Ostdeutschland","487","1","1","1"
"Nein","1998","direkter Migrationshintergrund","Westdeutschland","201","","",""
"Nein","1998","direkter Migrationshintergrund","Ostdeutschland","3","","",""
"Nein","1998","indirekter Migrationshintergrund","Westdeutschland","46","1","1","1"
"Nein","1998","indirekter Migrationshintergrund","Ostdeutschland","1","","",""
"Nein","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","1999","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","1999","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1999","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1999","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1999","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","1999","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1999","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","1999","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","1999","kein Migrationshintergrund","Westdeutschland","729","1","1","1"
"Nein","1999","kein Migrationshintergrund","Ostdeutschland","452","1","1","1"
"Nein","1999","direkter Migrationshintergrund","Westdeutschland","158","","",""
"Nein","1999","direkter Migrationshintergrund","Ostdeutschland","11","","",""
"Nein","1999","indirekter Migrationshintergrund","Westdeutschland","55","1","1","1"
"Nein","1999","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Nein","1999","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","1999","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2000","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2000","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2000","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2000","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2000","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2000","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2000","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2000","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2000","kein Migrationshintergrund","Westdeutschland","1449","","",""
"Nein","2000","kein Migrationshintergrund","Ostdeutschland","671","1","1","1"
"Nein","2000","direkter Migrationshintergrund","Westdeutschland","314","1","1","1"
"Nein","2000","direkter Migrationshintergrund","Ostdeutschland","6","1","1","1"
"Nein","2000","indirekter Migrationshintergrund","Westdeutschland","68","1","1","1"
"Nein","2000","indirekter Migrationshintergrund","Ostdeutschland","3","","",""
"Nein","2000","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2000","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2001","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2001","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2001","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2001","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2001","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2001","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2001","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2001","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2001","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2001","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2001","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2001","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2001","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2001","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2001","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2001","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2002","kein Migrationshintergrund","Westdeutschland","3643","0.709792945710314","0.697249204223427","0.722336687197201"
"Ja","2002","kein Migrationshintergrund","Ostdeutschland","1312","","",""
"Ja","2002","direkter Migrationshintergrund","Westdeutschland","455","0.629929745974728","0.594008077263338","0.665851414686117"
"Ja","2002","direkter Migrationshintergrund","Ostdeutschland","6","0.296180125280818","0.0852587677213311","0.507101482840306"
"Ja","2002","indirekter Migrationshintergrund","Westdeutschland","174","","",""
"Ja","2002","indirekter Migrationshintergrund","Ostdeutschland","6","0.576243870695942","0.233819825461352","0.918667915930532"
"Ja","2002","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2002","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2002","kein Migrationshintergrund","Westdeutschland","1386","","",""
"Nein","2002","kein Migrationshintergrund","Ostdeutschland","623","0.3396137002411","0.318512885009715","0.360714515472486"
"Nein","2002","direkter Migrationshintergrund","Westdeutschland","239","","",""
"Nein","2002","direkter Migrationshintergrund","Ostdeutschland","12","","",""
"Nein","2002","indirekter Migrationshintergrund","Westdeutschland","71","0.308960441166363","0.251101838369352","0.366819043963374"
"Nein","2002","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Nein","2002","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2002","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2003","kein Migrationshintergrund","Westdeutschland","3458","0.709532972321024","0.696718101382412","0.722347843259636"
"Ja","2003","kein Migrationshintergrund","Ostdeutschland","1258","","",""
"Ja","2003","direkter Migrationshintergrund","Westdeutschland","404","0.657317874732469","0.62025737566743","0.694378373797508"
"Ja","2003","direkter Migrationshintergrund","Ostdeutschland","9","0.581592517019576","0.347097965196639","0.816087068842514"
"Ja","2003","indirekter Migrationshintergrund","Westdeutschland","163","","",""
"Ja","2003","indirekter Migrationshintergrund","Ostdeutschland","7","0.593138009023799","0.272194738568581","0.914081279479018"
"Ja","2003","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2003","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2003","kein Migrationshintergrund","Westdeutschland","1363","","",""
"Nein","2003","kein Migrationshintergrund","Ostdeutschland","574","0.327521736294445","0.306031333979626","0.349012138609264"
"Nein","2003","direkter Migrationshintergrund","Westdeutschland","226","","",""
"Nein","2003","direkter Migrationshintergrund","Ostdeutschland","8","0.418407482980424","0.183912931157486","0.652902034803361"
"Nein","2003","indirekter Migrationshintergrund","Westdeutschland","84","0.320027345962677","0.261852012279819","0.378202679645535"
"Nein","2003","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Nein","2003","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2003","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2004","kein Migrationshintergrund","Westdeutschland","3350","0.71113697035826","0.698098755531687","0.724175185184833"
"Ja","2004","kein Migrationshintergrund","Ostdeutschland","1239","","",""
"Ja","2004","direkter Migrationshintergrund","Westdeutschland","395","0.656029316930139","0.617892249082348","0.694166384777931"
"Ja","2004","direkter Migrationshintergrund","Ostdeutschland","8","0.640762173518479","0.397965951628596","0.883558395408363"
"Ja","2004","indirekter Migrationshintergrund","Westdeutschland","172","","",""
"Ja","2004","indirekter Migrationshintergrund","Ostdeutschland","4","0.306836287592113","-0.0621784703189493","0.675851045503176"
"Ja","2004","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2004","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2004","kein Migrationshintergrund","Westdeutschland","1292","","",""
"Nein","2004","kein Migrationshintergrund","Ostdeutschland","546","0.316271020225252","0.294698510449503","0.337843530001001"
"Nein","2004","direkter Migrationshintergrund","Westdeutschland","201","","",""
"Nein","2004","direkter Migrationshintergrund","Ostdeutschland","7","0.359237826481521","0.116441604591637","0.602034048371404"
"Nein","2004","indirekter Migrationshintergrund","Westdeutschland","64","0.258598182254229","0.20273423143724","0.314462133071219"
"Nein","2004","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Nein","2004","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2004","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2005","kein Migrationshintergrund","Westdeutschland","3092","0.714741145769473","0.701188207763957","0.728294083774989"
"Ja","2005","kein Migrationshintergrund","Ostdeutschland","1135","","",""
"Ja","2005","direkter Migrationshintergrund","Westdeutschland","376","0.640895279150954","0.600947071177836","0.680843487124072"
"Ja","2005","direkter Migrationshintergrund","Ostdeutschland","8","0.563907776983906","0.304144780079637","0.823670773888175"
"Ja","2005","indirekter Migrationshintergrund","Westdeutschland","180","","",""
"Ja","2005","indirekter Migrationshintergrund","Ostdeutschland","6","0.616896895512928","0.299289238296188","0.934504552729667"
"Ja","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2005","kein Migrationshintergrund","Westdeutschland","1172","","",""
"Nein","2005","kein Migrationshintergrund","Ostdeutschland","529","0.329786032087058","0.307197173007036","0.352374891167081"
"Nein","2005","direkter Migrationshintergrund","Westdeutschland","178","","",""
"Nein","2005","direkter Migrationshintergrund","Ostdeutschland","6","0.436092223016094","0.176329226111825","0.695855219920363"
"Nein","2005","indirekter Migrationshintergrund","Westdeutschland","62","0.234618678766573","0.181228591582008","0.288008765951139"
"Nein","2005","indirekter Migrationshintergrund","Ostdeutschland","3","","",""
"Nein","2005","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2005","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2006","kein Migrationshintergrund","Westdeutschland","3520","0.730134284118497","0.717526794371801","0.742741773865192"
"Ja","2006","kein Migrationshintergrund","Ostdeutschland","1271","","",""
"Ja","2006","direkter Migrationshintergrund","Westdeutschland","423","0.693678635068175","0.656886309587495","0.730470960548855"
"Ja","2006","direkter Migrationshintergrund","Ostdeutschland","6","0.200744597814856","-0.00907632695757607","0.410565522587289"
"Ja","2006","indirekter Migrationshintergrund","Westdeutschland","215","","",""
"Ja","2006","indirekter Migrationshintergrund","Ostdeutschland","6","0.529332504098643","0.219968716600652","0.838696291596634"
"Ja","2006","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2006","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2006","kein Migrationshintergrund","Westdeutschland","1242","","",""
"Nein","2006","kein Migrationshintergrund","Ostdeutschland","520","0.304080175422397","0.282775547400014","0.32538480344478"
"Nein","2006","direkter Migrationshintergrund","Westdeutschland","180","","",""
"Nein","2006","direkter Migrationshintergrund","Ostdeutschland","8","0.799255402185144","0.589434477412711","1.00907632695758"
"Nein","2006","indirekter Migrationshintergrund","Westdeutschland","55","0.248201906992535","0.19667674381994","0.299727070165131"
"Nein","2006","indirekter Migrationshintergrund","Ostdeutschland","4","0.470667495901357","0.161303708403366","0.780031283399348"
"Nein","2006","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2006","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2007","kein Migrationshintergrund","Westdeutschland","3322","0.756561969429065","0.743866981357953","0.769256957500176"
"Ja","2007","kein Migrationshintergrund","Ostdeutschland","1227","","",""
"Ja","2007","direkter Migrationshintergrund","Westdeutschland","376","0.755586283462242","0.718105624127264","0.793066942797221"
"Ja","2007","direkter Migrationshintergrund","Ostdeutschland","9","0.688342719634898","0.453950354414441","0.922735084855355"
"Ja","2007","indirekter Migrationshintergrund","Westdeutschland","206","","",""
"Ja","2007","indirekter Migrationshintergrund","Ostdeutschland","8","0.622687330809863","0.377392627625062","0.867982033994664"
"Ja","2007","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2007","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2007","kein Migrationshintergrund","Westdeutschland","1068","","",""
"Nein","2007","kein Migrationshintergrund","Ostdeutschland","522","0.313904087128239","0.292154847033144","0.335653327223335"
"Nein","2007","direkter Migrationshintergrund","Westdeutschland","129","","",""
"Nein","2007","direkter Migrationshintergrund","Ostdeutschland","6","0.311657280365102","0.0772649151446449","0.546049645585559"
"Nein","2007","indirekter Migrationshintergrund","Westdeutschland","63","0.253970898206846","0.201954316006497","0.305987480407196"
