"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2012","indirekter Migrationshintergrund","Westdeutschland","75.1","73.5","739","73.91","76.29"
"2012","kein Migrationshintergrund","Ostdeutschland","78.48","76.5","4653","78.01","78.95"
"2012","kein Migrationshintergrund","Westdeutschland","77.86","75.5","12862","77.57","78.15"
"2013","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2013","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2013","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2013","kein Migrationshintergrund","Westdeutschland","","","","",""
"2014","direkter Migrationshintergrund","Ostdeutschland","73.35","73","340","71.56","75.14"
"2014","direkter Migrationshintergrund","Westdeutschland","75.58","74.5","4722","75.12","76.04"
"2014","indirekter Migrationshintergrund","Ostdeutschland","77.59","72.5","99","73.38","81.8"
"2014","indirekter Migrationshintergrund","Westdeutschland","75.63","73.5","1651","74.8","76.46"
"2014","kein Migrationshintergrund","Ostdeutschland","78.61","76.5","5080","78.16","79.06"
"2014","kein Migrationshintergrund","Westdeutschland","78.31","75.5","14821","78.03","78.59"
"2015","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2015","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2015","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2015","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2015","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2015","kein Migrationshintergrund","Westdeutschland","","","","",""
"2016","direkter Migrationshintergrund","Ostdeutschland","73.22","72.5","345","71.37","75.07"
"2016","direkter Migrationshintergrund","Westdeutschland","76.32","74.5","4371","75.83","76.81"
"2016","indirekter Migrationshintergrund","Ostdeutschland","77.9","70.5","103","73.41","82.39"
"2016","indirekter Migrationshintergrund","Westdeutschland","76.66","73.5","1399","75.72","77.6"
"2016","kein Migrationshintergrund","Ostdeutschland","78.67","77.5","4530","78.18","79.16"
"2016","kein Migrationshintergrund","Westdeutschland","79.06","76.5","13024","78.75","79.37"
"2017","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2017","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2017","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2017","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2017","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2017","kein Migrationshintergrund","Westdeutschland","","","","",""
"2018","direkter Migrationshintergrund","Ostdeutschland","73","69.5","798","71.87","74.13"
"2018","direkter Migrationshintergrund","Westdeutschland","76.13","74.5","6586","75.75","76.51"
"2018","indirekter Migrationshintergrund","Ostdeutschland","76.96","72.5","117","72.72","81.2"
"2018","indirekter Migrationshintergrund","Westdeutschland","76.91","72.5","1550","75.99","77.83"
"2018","kein Migrationshintergrund","Ostdeutschland","79.84","77.5","4946","79.34","80.34"
"2018","kein Migrationshintergrund","Westdeutschland","79.51","77.5","14218","79.21","79.81"
"2019","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"2019","direkter Migrationshintergrund","Westdeutschland","","","","",""
"2019","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"2019","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"2019","kein Migrationshintergrund","Ostdeutschland","","","","",""
"2019","kein Migrationshintergrund","Westdeutschland","","","","",""
"2020","direkter Migrationshintergrund","Ostdeutschland","73.75","69.5","470","72.14","75.36"
"2020","direkter Migrationshintergrund","Westdeutschland","77.11","75.5","4863","76.64","77.58"
"2020","indirekter Migrationshintergrund","Ostdeutschland","80.7","74.5","131","76.51","84.89"
"2020","indirekter Migrationshintergrund","Westdeutschland","78.16","74.5","1512","77.22","79.1"
"2020","kein Migrationshintergrund","Ostdeutschland","80.33","78.5","4685","79.81","80.85"
"2020","kein Migrationshintergrund","Westdeutschland","80.01","77.5","13715","79.7","80.32"
