"year","age_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"2012","17-34","direkter Migrationshintergrund","71.38","69.5","350","69.76","73"
"2012","17-34","indirekter Migrationshintergrund","73.64","69.5","484","72.16","75.12"
"2012","17-34","kein Migrationshintergrund","74.53","71.5","3222","73.96","75.1"
"2012","35-65","direkter Migrationshintergrund","76.82","75.5","1169","75.92","77.72"
"2012","35-65","indirekter Migrationshintergrund","79.06","78.5","295","77.23","80.89"
"2012","35-65","kein Migrationshintergrund","80.6","79.5","9568","80.25","80.95"
"2012","66 +","direkter Migrationshintergrund","75.34","73.5","406","73.97","76.71"
"2012","66 +","indirekter Migrationshintergrund","","","","",""
"2012","66 +","kein Migrationshintergrund","75.75","74.5","4725","75.34","76.16"
"2013","17-34","direkter Migrationshintergrund","","","","",""
"2013","17-34","indirekter Migrationshintergrund","","","","",""
"2013","17-34","kein Migrationshintergrund","","","","",""
"2013","35-65","direkter Migrationshintergrund","","","","",""
"2013","35-65","indirekter Migrationshintergrund","","","","",""
"2013","35-65","kein Migrationshintergrund","","","","",""
"2013","66 +","direkter Migrationshintergrund","","","","",""
"2013","66 +","indirekter Migrationshintergrund","","","","",""
"2013","66 +","kein Migrationshintergrund","","","","",""
"2014","17-34","direkter Migrationshintergrund","71.26","69.5","1400","70.41","72.11"
"2014","17-34","indirekter Migrationshintergrund","74.3","71.5","1077","73.28","75.32"
"2014","17-34","kein Migrationshintergrund","74.82","71.5","3960","74.27","75.37"
"2014","35-65","direkter Migrationshintergrund","77.2","76.5","3228","76.64","77.76"
"2014","35-65","indirekter Migrationshintergrund","78.75","76.5","669","77.4","80.1"
"2014","35-65","kein Migrationshintergrund","81.01","79.5","11471","80.69","81.33"
"2014","66 +","direkter Migrationshintergrund","75.73","74.5","434","74.39","77.07"
"2014","66 +","indirekter Migrationshintergrund","","","","",""
"2014","66 +","kein Migrationshintergrund","76.04","74.5","4470","75.61","76.47"
"2015","17-34","direkter Migrationshintergrund","","","","",""
"2015","17-34","indirekter Migrationshintergrund","","","","",""
"2015","17-34","kein Migrationshintergrund","","","","",""
"2015","35-65","direkter Migrationshintergrund","","","","",""
"2015","35-65","indirekter Migrationshintergrund","","","","",""
"2015","35-65","kein Migrationshintergrund","","","","",""
"2015","66 +","direkter Migrationshintergrund","","","","",""
"2015","66 +","indirekter Migrationshintergrund","","","","",""
"2015","66 +","kein Migrationshintergrund","","","","",""
"2016","17-34","direkter Migrationshintergrund","72.49","69.5","1299","71.57","73.41"
"2016","17-34","indirekter Migrationshintergrund","74.09","71.5","863","72.93","75.25"
"2016","17-34","kein Migrationshintergrund","76.02","73.5","3287","75.4","76.64"
"2016","35-65","direkter Migrationshintergrund","77.72","77.5","3020","77.13","78.31"
"2016","35-65","indirekter Migrationshintergrund","82.03","78.5","635","80.57","83.49"
"2016","35-65","kein Migrationshintergrund","81.6","79.5","10003","81.24","81.96"
"2016","66 +","direkter Migrationshintergrund","75.59","74.5","397","74.13","77.05"
"2016","66 +","indirekter Migrationshintergrund","","","","",""
"2016","66 +","kein Migrationshintergrund","76.21","74.5","4264","75.76","76.66"
"2017","17-34","direkter Migrationshintergrund","","","","",""
"2017","17-34","indirekter Migrationshintergrund","","","","",""
"2017","17-34","kein Migrationshintergrund","","","","",""
"2017","35-65","direkter Migrationshintergrund","","","","",""
"2017","35-65","indirekter Migrationshintergrund","","","","",""
"2017","35-65","kein Migrationshintergrund","","","","",""
"2017","66 +","direkter Migrationshintergrund","","","","",""
"2017","66 +","indirekter Migrationshintergrund","","","","",""
"2017","66 +","kein Migrationshintergrund","","","","",""
"2018","17-34","direkter Migrationshintergrund","72.75","69.5","2560","72.16","73.34"
"2018","17-34","indirekter Migrationshintergrund","74.55","69.5","956","73.39","75.71"
"2018","17-34","kein Migrationshintergrund","76.74","73.5","3881","76.16","77.32"
"2018","35-65","direkter Migrationshintergrund","77.55","76.5","4369","77.08","78.02"
"2018","35-65","indirekter Migrationshintergrund","81.07","77.5","691","79.63","82.51"
"2018","35-65","kein Migrationshintergrund","82.45","79.5","10809","82.1","82.8"
"2018","66 +","direkter Migrationshintergrund","74.92","74.5","455","73.53","76.31"
"2018","66 +","indirekter Migrationshintergrund","","","","",""
"2018","66 +","kein Migrationshintergrund","76.39","74.5","4474","75.93","76.85"
"2019","17-34","direkter Migrationshintergrund","","","","",""
"2019","17-34","indirekter Migrationshintergrund","","","","",""
"2019","17-34","kein Migrationshintergrund","","","","",""
"2019","35-65","direkter Migrationshintergrund","","","","",""
"2019","35-65","indirekter Migrationshintergrund","","","","",""
"2019","35-65","kein Migrationshintergrund","","","","",""
"2019","66 +","direkter Migrationshintergrund","","","","",""
"2019","66 +","indirekter Migrationshintergrund","","","","",""
"2019","66 +","kein Migrationshintergrund","","","","",""
"2020","17-34","direkter Migrationshintergrund","74.66","73.5","1836","73.93","75.39"
"2020","17-34","indirekter Migrationshintergrund","77.14","74.5","851","75.88","78.4"
"2020","17-34","kein Migrationshintergrund","77.71","74.5","3510","77.09","78.33"
"2020","35-65","direkter Migrationshintergrund","78.02","77.5","3075","77.42","78.62"
"2020","35-65","indirekter Migrationshintergrund","80.13","76.5","747","78.73","81.53"
"2020","35-65","kein Migrationshintergrund","82.89","79.5","10467","82.53","83.25"
"2020","66 +","direkter Migrationshintergrund","75.85","74.5","422","74.27","77.43"
"2020","66 +","indirekter Migrationshintergrund","75.98","72.5","45","71.33","80.63"
"2020","66 +","kein Migrationshintergrund","76.78","74.5","4422","76.3","77.26"
