"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA"
"2015","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","76.15","74.5","4716","56","64","86","96","120","75.67","76.63","36","180","74","75",""
"2016","indirekter Migrationshintergrund","76.73","73.5","1502","56","64","88","100","125","75.8","77.66","40","200","72","75",""
"2016","kein Migrationshintergrund","78.98","76.5","17554","58","66","89","100","135","78.72","79.24","30","230","76","77",""
"2016","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2017","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","75.97","74.5","7384","57","65","85","95","122","75.61","76.33","37","190","75","75",""
"2018","indirekter Migrationshintergrund","76.91","72.5","1667","55","64","88","102","130","76","77.82","40","230","72","75",""
"2018","kein Migrationshintergrund","79.58","77.5","19164","59","67","90","103","135","79.32","79.84","30","200","77","78",""
"2018","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","","","","","","","","","","","","","","",""
"2019","indirekter Migrationshintergrund","","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","76.95","75.5","5333","57","65","86","96","125","76.5","77.4","38","200","74","75",""
"2020","indirekter Migrationshintergrund","78.32","74.5","1643","56","65","88","104","160","77.39","79.25","39","230","74","75",""
"2020","kein Migrationshintergrund","80.08","77.5","18400","59","67","90","103","138","79.82","80.34","36","202","78","79",""
"2020","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","","",""
