"year","migback","sex","mean","median","n","lower_confidence","upper_confidence"
"2010","direkter Migrationshintergrund","weiblich","69.66","67.5","796","68.66","70.66"
"2010","indirekter Migrationshintergrund","maennlich","80.67","79.5","310","79.12","82.22"
"2010","indirekter Migrationshintergrund","weiblich","69.18","64.5","339","67.57","70.79"
"2010","kein Migrationshintergrund","maennlich","85.67","82.5","6921","85.31","86.03"
"2010","kein Migrationshintergrund","weiblich","70.02","67.5","7449","69.71","70.33"
"2011","direkter Migrationshintergrund","maennlich","","","","",""
"2011","direkter Migrationshintergrund","weiblich","","","","",""
"2011","indirekter Migrationshintergrund","maennlich","","","","",""
"2011","indirekter Migrationshintergrund","weiblich","","","","",""
"2011","kein Migrationshintergrund","maennlich","","","","",""
"2011","kein Migrationshintergrund","weiblich","","","","",""
"2012","direkter Migrationshintergrund","maennlich","83.35","81.5","859","82.41","84.29"
"2012","direkter Migrationshintergrund","weiblich","68.34","66.5","1066","67.54","69.14"
"2012","indirekter Migrationshintergrund","maennlich","81.81","79.5","374","80.32","83.3"
"2012","indirekter Migrationshintergrund","weiblich","67.75","62.5","410","66.25","69.25"
"2012","kein Migrationshintergrund","maennlich","85.67","83.5","8371","85.35","85.99"
"2012","kein Migrationshintergrund","weiblich","70.42","67.5","9144","70.12","70.72"
"2013","direkter Migrationshintergrund","maennlich","","","","",""
"2013","direkter Migrationshintergrund","weiblich","","","","",""
"2013","indirekter Migrationshintergrund","maennlich","","","","",""
"2013","indirekter Migrationshintergrund","weiblich","","","","",""
"2013","kein Migrationshintergrund","maennlich","","","","",""
"2013","kein Migrationshintergrund","weiblich","","","","",""
"2014","direkter Migrationshintergrund","maennlich","83.26","81.5","2309","82.69","83.83"
"2014","direkter Migrationshintergrund","weiblich","68.07","64.5","2753","67.52","68.62"
"2014","indirekter Migrationshintergrund","maennlich","81.59","79.5","825","80.5","82.68"
"2014","indirekter Migrationshintergrund","weiblich","68.74","64.5","925","67.72","69.76"
"2014","kein Migrationshintergrund","maennlich","86.32","83.5","9232","86","86.64"
"2014","kein Migrationshintergrund","weiblich","70.76","67.5","10669","70.47","71.05"
"2015","direkter Migrationshintergrund","maennlich","","","","",""
"2015","direkter Migrationshintergrund","weiblich","","","","",""
"2015","indirekter Migrationshintergrund","maennlich","","","","",""
"2015","indirekter Migrationshintergrund","weiblich","","","","",""
"2015","kein Migrationshintergrund","maennlich","","","","",""
"2015","kein Migrationshintergrund","weiblich","","","","",""
"2016","direkter Migrationshintergrund","maennlich","83.74","82.5","2142","83.12","84.36"
"2016","direkter Migrationshintergrund","weiblich","68.9","66.5","2574","68.33","69.47"
"2016","indirekter Migrationshintergrund","maennlich","82.94","79.5","701","81.65","84.23"
"2016","indirekter Migrationshintergrund","weiblich","69.91","65.5","801","68.77","71.05"
"2016","kein Migrationshintergrund","maennlich","86.9","84.5","8139","86.55","87.25"
"2016","kein Migrationshintergrund","weiblich","71.28","68.5","9415","70.96","71.6"
"2017","direkter Migrationshintergrund","maennlich","","","","",""
"2017","direkter Migrationshintergrund","weiblich","","","","",""
"2017","indirekter Migrationshintergrund","maennlich","","","","",""
"2017","indirekter Migrationshintergrund","weiblich","","","","",""
"2017","kein Migrationshintergrund","maennlich","","","","",""
"2017","kein Migrationshintergrund","weiblich","","","","",""
"2018","direkter Migrationshintergrund","maennlich","82.67","81.5","3823","82.21","83.13"
"2018","direkter Migrationshintergrund","weiblich","69.64","66.5","3561","69.16","70.12"
"2018","indirekter Migrationshintergrund","maennlich","83.37","79.5","771","82.08","84.66"
"2018","indirekter Migrationshintergrund","weiblich","69.95","65.5","896","68.85","71.05"
"2018","kein Migrationshintergrund","maennlich","87.61","84.5","8991","87.27","87.95"
"2018","kein Migrationshintergrund","weiblich","71.67","68.5","10173","71.35","71.99"
"2019","direkter Migrationshintergrund","maennlich","","","","",""
"2019","direkter Migrationshintergrund","weiblich","","","","",""
"2019","indirekter Migrationshintergrund","maennlich","","","","",""
"2019","indirekter Migrationshintergrund","weiblich","","","","",""
"2019","kein Migrationshintergrund","maennlich","","","","",""
"2019","kein Migrationshintergrund","weiblich","","","","",""
"2020","direkter Migrationshintergrund","maennlich","83.68","82.5","2657","83.1","84.26"
"2020","direkter Migrationshintergrund","weiblich","70.74","68.5","2676","70.17","71.31"
"2020","indirekter Migrationshintergrund","maennlich","84.28","79.5","777","82.99","85.57"
"2020","indirekter Migrationshintergrund","weiblich","71.36","66.5","866","70.24","72.48"
"2020","kein Migrationshintergrund","maennlich","88.08","84.5","8789","87.73","88.43"
"2020","kein Migrationshintergrund","weiblich","72.32","69.5","9604","71.99","72.65"
