year,migback,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2011,Indirect migration background,Urban regions,,,,,,,,,,,,
2011,Indirect migration background,Rural regions,,,,,,,,,,,,
2012,No migration background,Urban regions,77.47378755508987,77.31681394928363,77.63076116089611,65.0,75.0,87.0,34.0,120.0,75.0,74.0,75.0,10792.0
2012,No migration background,Rural regions,78.97662316153618,78.7833718105048,79.16987451256756,67.0,78.0,90.0,40.0,124.5,78.0,77.0,79.0,6700.0
2012,Direct migration background,Urban regions,75.0065574327816,74.63036436481114,75.38275050075207,65.0,74.0,85.0,35.0,115.0,74.0,73.0,76.0,1477.0
2012,Direct migration background,Rural regions,76.51766253225072,75.76875171111271,77.26657335338874,65.0,75.0,86.5913226167901,35.0,118.97830654197523,75.0,71.0,78.0,486.0
2012,Indirect migration background,Urban regions,75.4079127984488,74.73196199642533,76.08386360047228,61.0,74.0,87.0,30.0,126.0,74.0,72.0,78.0,624.0
2012,Indirect migration background,Rural regions,74.987624730713,73.681149607798,76.29409985362798,64.0,70.0,85.0,45.0,116.5,70.0,60.0,71.0,145.0
2013,No migration background,Urban regions,,,,,,,,,,,,
2013,No migration background,Rural regions,,,,,,,,,,,,
2013,Direct migration background,Urban regions,,,,,,,,,,,,
2013,Direct migration background,Rural regions,,,,,,,,,,,,
2013,Indirect migration background,Urban regions,,,,,,,,,,,,
2013,Indirect migration background,Rural regions,,,,,,,,,,,,
2014,No migration background,Urban regions,77.85425081878698,77.7030705101539,78.00543112742005,65.0,75.0,87.0,36.0,120.0,75.0,74.0,75.0,12148.0
2014,No migration background,Rural regions,79.27650846136746,79.09187114900895,79.46114577372596,68.0,78.0,90.0,35.0,123.0,78.0,77.0,78.0,7715.0
2014,Direct migration background,Urban regions,75.28987699553636,75.05207857924418,75.52767541182854,64.0,75.0,85.0,32.5,116.5,75.0,75.0,77.0,3862.0
2014,Direct migration background,Rural regions,76.48732111758952,76.01838510371486,76.95625713146417,63.0,75.0,88.0,35.0,125.5,75.0,72.0,78.0,1305.0
2014,Indirect migration background,Urban regions,76.03246077970515,75.58717069490386,76.47775086450643,63.0,74.3375055361945,87.67649170514483,30.0,124.69122926286207,74.0,72.0,75.0,1377.0
2014,Indirect migration background,Rural regions,74.8281694940502,73.92361768294661,75.73272130515379,61.44485979231219,72.0,85.0,42.0,120.33271031153171,72.0,67.0,74.0,306.0
2015,No migration background,Urban regions,,,,,,,,,,,,
2015,No migration background,Rural regions,,,,,,,,,,,,
2015,Direct migration background,Urban regions,,,,,,,,,,,,
2015,Direct migration background,Rural regions,,,,,,,,,,,,
2015,Indirect migration background,Urban regions,,,,,,,,,,,,
2015,Indirect migration background,Rural regions,,,,,,,,,,,,
2016,No migration background,Urban regions,78.52867134887623,78.3620045745844,78.69533812316806,65.0,76.0,88.0,37.0,122.5,76.0,75.0,77.0,10685.0
2016,No migration background,Rural regions,79.82652782983276,79.62537308679548,80.02768257287003,68.0,79.0,90.0,40.0,123.0,79.0,78.0,80.0,6831.0
2016,Direct migration background,Urban regions,76.15710600309826,75.90605507842926,76.40815692776727,65.0,75.0,86.0,33.5,117.5,75.0,74.975,76.0,3568.0
2016,Direct migration background,Rural regions,76.03417391671374,75.57416092132847,76.49418691209901,62.0,76.0,85.0,36.0,119.5,76.0,72.0,78.0,1252.0
2016,Indirect migration background,Urban regions,76.98579576533766,76.4824196949579,77.48917183571741,65.0,75.0,88.0,40.0,122.5,75.0,73.0,77.0,1150.0
2016,Indirect migration background,Rural regions,75.14559103108068,74.14024073929122,76.15094132287015,64.0,73.0,85.0,45.0,116.5,73.0,69.0,76.0,286.0
2017,No migration background,Urban regions,,,,,,,,,,,,
2017,No migration background,Rural regions,,,,,,,,,,,,
2017,Direct migration background,Urban regions,,,,,,,,,,,,
2017,Direct migration background,Rural regions,,,,,,,,,,,,
2017,Indirect migration background,Urban regions,,,,,,,,,,,,
2017,Indirect migration background,Rural regions,,,,,,,,,,,,
2018,No migration background,Urban regions,79.11135108846216,78.94916394388395,79.27353823304037,66.0,77.0,90.0,36.0,126.0,77.0,76.0,78.0,11736.0
2018,No migration background,Rural regions,80.4570527433062,80.26032897296241,80.65377651365,68.0,80.0,90.0,35.0,123.0,80.0,80.0,81.0,7380.0
2018,Direct migration background,Urban regions,75.58309825607704,75.3886944238189,75.77750208833517,64.0,75.0,85.0,32.5,116.5,75.0,74.0,76.0,5547.0
2018,Direct migration background,Rural regions,77.68925916222932,77.30361193008092,78.07490639437772,65.0,76.0,87.0,37.0,120.0,76.0,72.0,77.0,1962.0
2018,Indirect migration background,Urban regions,76.91115454682658,76.41064134543024,77.41166774822292,65.0,73.0,88.0,40.0,122.5,73.0,71.0,75.025,1296.0
2018,Indirect migration background,Rural regions,76.48223763034953,75.41677079628718,77.54770446441188,62.0,75.0,86.0,45.0,122.0,75.0,72.0,80.0,294.0
2019,No migration background,Urban regions,,,,,,,,,,,,
2019,No migration background,Rural regions,,,,,,,,,,,,
2019,Direct migration background,Urban regions,,,,,,,,,,,,
2019,Direct migration background,Rural regions,,,,,,,,,,,,
2019,Indirect migration background,Urban regions,,,,,,,,,,,,
2019,Indirect migration background,Rural regions,,,,,,,,,,,,
2020,No migration background,Urban regions,79.51838096499152,79.35134764415562,79.68541428582742,66.0,78.0,90.0,36.0,126.0,78.0,78.0,80.0,11458.0
2020,No migration background,Rural regions,81.04475820933997,80.83476768263259,81.25474873604736,68.0,80.0,90.0,40.0,123.0,80.0,80.0,81.0,6853.0
2020,Direct migration background,Urban regions,76.70741316893668,76.47349492096873,76.94133141690463,65.0,76.0,85.0,39.0,115.0,76.0,74.0,77.0,4098.0
2020,Direct migration background,Rural regions,78.41549162228759,77.9900801064966,78.84090313807857,66.0,78.0,90.0,38.0,126.0,78.0,76.0,81.0,1357.0
2020,Indirect migration background,Urban regions,79.4132435177698,78.85148838031287,79.97499865522673,65.0,76.0,90.0,39.0,127.5,76.0,74.0,77.025,1220.0
2020,Indirect migration background,Rural regions,74.03716597673173,73.0319707183646,75.04236123509885,62.0,72.0,82.0,40.0,112.0,72.0,69.0,74.0,285.0
2021,No migration background,Urban regions,,,,,,,,,,,,
2021,No migration background,Rural regions,,,,,,,,,,,,
2021,Direct migration background,Urban regions,,,,,,,,,,,,
2021,Direct migration background,Rural regions,,,,,,,,,,,,
2021,Indirect migration background,Urban regions,,,,,,,,,,,,
2021,Indirect migration background,Rural regions,,,,,,,,,,,,
