"ple0020","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2014","kein Migrationshintergrund","","","",""
"Nein","2014","direkter Migrationshintergrund","","","",""
"Nein","2014","indirekter Migrationshintergrund","","","",""
"Nein","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2015","kein Migrationshintergrund","55","0.00393102059296823","0.00304381049170322","0.00481823069423324"
"Ja","2015","direkter Migrationshintergrund","9","0.00413303863052124","0.00221703622632227","0.00604904103472021"
"Ja","2015","indirekter Migrationshintergrund","1","","",""
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2015","kein Migrationshintergrund","19054","","",""
"Nein","2015","direkter Migrationshintergrund","4298","0.995866961369479","0.99395095896528","0.997782963773678"
"Nein","2015","indirekter Migrationshintergrund","1623","","",""
"Nein","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2016","kein Migrationshintergrund","","","",""
"Ja","2016","direkter Migrationshintergrund","","","",""
"Ja","2016","indirekter Migrationshintergrund","","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2016","kein Migrationshintergrund","","","",""
"Nein","2016","direkter Migrationshintergrund","","","",""
"Nein","2016","indirekter Migrationshintergrund","","","",""
"Nein","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2017","kein Migrationshintergrund","53","0.00401990853267868","0.00314760804060449","0.00489220902475287"
"Ja","2017","direkter Migrationshintergrund","8","0.00327431911129184","0.00162932151964642","0.00491931670293726"
"Ja","2017","indirekter Migrationshintergrund","2","","",""
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2017","kein Migrationshintergrund","20160","","",""
"Nein","2017","direkter Migrationshintergrund","4625","0.996725680888708","0.995080683297063","0.998370678480354"
"Nein","2017","indirekter Migrationshintergrund","1701","","",""
"Nein","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2018","kein Migrationshintergrund","","","",""
"Ja","2018","direkter Migrationshintergrund","","","",""
"Ja","2018","indirekter Migrationshintergrund","","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2018","kein Migrationshintergrund","","","",""
"Nein","2018","direkter Migrationshintergrund","","","",""
"Nein","2018","indirekter Migrationshintergrund","","","",""
"Nein","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2019","kein Migrationshintergrund","72","0.00406281424509608","0.00318438923571024","0.00494123925448193"
"Ja","2019","direkter Migrationshintergrund","11","","",""
"Ja","2019","indirekter Migrationshintergrund","2","","",""
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2019","kein Migrationshintergrund","20072","","",""
"Nein","2019","direkter Migrationshintergrund","3843","0.99726831283617","0.995620477821784","0.998916147850557"
"Nein","2019","indirekter Migrationshintergrund","1828","","",""
"Nein","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
