"year","bildungsniveau","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2007","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2007","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2007","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2007","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2007","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2007","Realschule","maennlich","","","","","","","","","","","","","",""
"2007","Realschule","weiblich","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2008","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2008","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2008","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2008","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2008","Realschule","maennlich","","","","","","","","","","","","","",""
"2008","Realschule","weiblich","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2009","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2009","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2009","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2009","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2009","Realschule","maennlich","","","","","","","","","","","","","",""
"2009","Realschule","weiblich","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","maennlich","3.31","2.5","844","1","2","4","6","7","3.2","3.42","1","7","3","3"
"2010","(Fach-)Abitur","weiblich","3.01","2.5","1045","1","2","4","5","7","2.92","3.1","1","7","3","3"
"2010","(noch) kein Abschluss","maennlich","3.36","2.5","213","1","2","5","6","7","3.12","3.6","1","7","3","4"
"2010","(noch) kein Abschluss","weiblich","3.16","2.5","196","1","2","5","6","7","2.91","3.41","1","7","3","4"
"2010","AkademikerIn","maennlich","2.94","2.5","2055","1","2","4","5","7","2.87","3.01","1","7","3","3"
"2010","AkademikerIn","weiblich","2.67","1.5","1765","1","1","4","5","7","2.6","2.74","1","7","2","2"
"2010","Hauptschule","maennlich","3.56","2.5","2681","1","2","5","6","7","3.49","3.63","1","7","3","4"
"2010","Hauptschule","weiblich","3.09","2.5","2886","1","1","4","6","7","3.02","3.16","1","7","3","3"
"2010","Realschule","maennlich","3.4","2.5","1878","1","2","5","6","7","3.32","3.48","1","7","3","3"
"2010","Realschule","weiblich","3","2.5","2576","1","2","4","5","7","2.94","3.06","1","7","3","3"
"2011","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2011","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2011","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2011","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2011","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2011","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2011","Realschule","maennlich","","","","","","","","","","","","","",""
"2011","Realschule","weiblich","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2012","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2012","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2012","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2012","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2012","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2012","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2012","Realschule","maennlich","","","","","","","","","","","","","",""
"2012","Realschule","weiblich","","","","","","","","","","","","","",""
"2013","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2013","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2013","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2013","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2013","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2013","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2013","Realschule","maennlich","","","","","","","","","","","","","",""
"2013","Realschule","weiblich","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","maennlich","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","weiblich","","","","","","","","","","","","","",""
"2014","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2014","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2014","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2014","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2014","Realschule","maennlich","","","","","","","","","","","","","",""
"2014","Realschule","weiblich","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","maennlich","3.07","2.5","1750","1","2","4","5","7","2.99","3.15","1","7","2","3"
"2015","(Fach-)Abitur","weiblich","2.58","1.5","2366","1","1","4","5","7","2.52","2.64","1","7","2","2"
"2015","(noch) kein Abschluss","maennlich","3.18","2.5","409","1","2","5","5","7","3.01","3.35","1","7","3","3"
"2015","(noch) kein Abschluss","weiblich","2.87","1.5","529","1","1","4","6","7","2.71","3.03","1","7","2","3"
"2015","AkademikerIn","maennlich","2.78","1.5","3183","1","2","4","5","7","2.73","2.83","1","7","2","2"
"2015","AkademikerIn","weiblich","2.39","1.5","3201","1","1","3","4","7","2.34","2.44","1","7","2","2"
"2015","Hauptschule","maennlich","3.35","2.5","3825","1","2","5","6","7","3.29","3.41","1","7","3","3"
"2015","Hauptschule","weiblich","2.89","1.5","3902","1","1","4","6","7","2.83","2.95","1","7","2","2"
"2015","Realschule","maennlich","3.21","2.5","2627","1","2","4","6","7","3.15","3.27","1","7","3","3"
"2015","Realschule","weiblich","2.76","1.5","3919","1","1","4","5","7","2.71","2.81","1","7","2","2"
"2016","(Fach-)Abitur","maennlich","2.23","1.5","306","1","1","3","4","7","2.06","2.4","1","7","1","1"
"2016","(Fach-)Abitur","weiblich","1.83","1","209","1","1","2","4","6","1.63","2.03","1","7","1","1"
"2016","(noch) kein Abschluss","maennlich","2.63","1","540","1","1","4","6","7","2.49","2.77","1","7","1","1"
"2016","(noch) kein Abschluss","weiblich","2.48","1","462","1","1","4","6","7","2.32","2.64","1","7","1","1"
"2016","AkademikerIn","maennlich","2.29","1.5","373","1","1","3","5","7","2.13","2.45","1","7","1","1"
"2016","AkademikerIn","weiblich","1.93","1.5","227","1","1","2","3","7","1.72","2.14","1","7","1","1"
"2016","Hauptschule","maennlich","3.12","1.5","397","1","1","5","7","7","2.94","3.3","1","7","1","1"
"2016","Hauptschule","weiblich","1.93","1","236","1","1","2","4","7","1.74","2.12","1","7","1","1"
"2016","Realschule","maennlich","","","","","","","","","","","","","",""
"2016","Realschule","weiblich","","","","","","","","","","","","","",""
"2017","(Fach-)Abitur","maennlich","1.93","1","136","1","1","2","4","7","1.68","2.18","1","7","1","1"
"2017","(Fach-)Abitur","weiblich","1.63","1","165","1","1","1","3","7","1.36","1.9","1","7","1","1"
"2017","(noch) kein Abschluss","maennlich","1.85","1","353","1","1","2","4","7","1.67","2.03","1","7","1","1"
"2017","(noch) kein Abschluss","weiblich","1.83","1","367","1","1","1","5","7","1.67","1.99","1","7","1","1"
"2017","AkademikerIn","maennlich","1.85","1","198","1","1","2","4","7","1.63","2.07","1","7","1","1"
"2017","AkademikerIn","weiblich","1.65","1","115","1","1","1","4","7","1.38","1.92","1","7","1","1"
"2017","Hauptschule","maennlich","1.97","1","216","1","1","2","5","7","1.75","2.19","1","7","1","1"
"2017","Hauptschule","weiblich","1.78","1","188","1","1","2","4","7","1.56","2","1","7","1","1"
"2017","Realschule","maennlich","","","","","","","","","","","","","",""
"2017","Realschule","weiblich","","","","","","","","","","","","","",""
"2018","(Fach-)Abitur","maennlich","1.91","1","31","1","1","1","5","7","1.09","2.73","1","7","1","4"
"2018","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2018","(noch) kein Abschluss","maennlich","2.16","1","65","1","1","3","5","7","1.66","2.66","1","7","1","2"
"2018","(noch) kein Abschluss","weiblich","1.95","1","83","1","1","2","5","7","1.55","2.35","1","7","1","1"
"2018","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2018","AkademikerIn","weiblich","1.52","1","30","1","1","2","3","5","1.1","1.94","1","5","1","2"
"2018","Hauptschule","maennlich","3.46","2.5","40","1","1","5","7","7","2.8","4.12","1","7","1","3"
"2018","Hauptschule","weiblich","2.21","1","46","1","1","2","7","7","1.58","2.84","1","7","1","2"
"2018","Realschule","maennlich","","","","","","","","","","","","","",""
"2018","Realschule","weiblich","","","","","","","","","","","","","",""
"2019","(Fach-)Abitur","maennlich","","","","","","","","","","","","","",""
"2019","(Fach-)Abitur","weiblich","","","","","","","","","","","","","",""
"2019","(noch) kein Abschluss","maennlich","2.45","1","59","1","1","4","4","7","1.92","2.98","1","7","1","3"
"2019","(noch) kein Abschluss","weiblich","2.51","1","68","1","1","4","5","7","2.06","2.96","1","7","1","2"
"2019","AkademikerIn","maennlich","","","","","","","","","","","","","",""
"2019","AkademikerIn","weiblich","","","","","","","","","","","","","",""
"2019","Hauptschule","maennlich","","","","","","","","","","","","","",""
"2019","Hauptschule","weiblich","","","","","","","","","","","","","",""
"2019","Realschule","maennlich","","","","","","","","","","","","","",""
"2019","Realschule","weiblich","","","","","","","","","","","","","",""
"2020","(Fach-)Abitur","maennlich","3.02","2.5","2335","1","2","4","5","7","2.95","3.09","1","7","2","3"
"2020","(Fach-)Abitur","weiblich","2.54","1.5","2709","1","1","3","5","7","2.48","2.6","1","7","2","2"
"2020","(noch) kein Abschluss","maennlich","3.15","2.5","1249","1","1","4","6","7","3.05","3.25","1","7","2","2"
"2020","(noch) kein Abschluss","weiblich","3.12","2.5","999","1","1","5","6","7","3.01","3.23","1","7","2","2"
"2020","AkademikerIn","maennlich","2.85","2.5","4096","1","2","4","5","7","2.8","2.9","1","7","2","2"
"2020","AkademikerIn","weiblich","2.45","1.5","3668","1","1","3","5","7","2.4","2.5","1","7","2","2"
"2020","Hauptschule","maennlich","3.23","2.5","3523","1","2","4","6","7","3.17","3.29","1","7","3","3"
"2020","Hauptschule","weiblich","2.88","1.5","3194","1","1","4","6","7","2.82","2.94","1","7","2","2"
"2020","Realschule","maennlich","3.2","2.5","2596","1","2","4","6","7","3.14","3.26","1","7","3","3"
"2020","Realschule","weiblich","2.58","1.5","3639","1","1","4","5","7","2.53","2.63","1","7","2","2"
