"year","age_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"2012","17-34","kein Migrationshintergrund","","","","",""
"2012","35-65","direkter Migrationshintergrund","","","","",""
"2012","35-65","indirekter Migrationshintergrund","","","","",""
"2012","35-65","kein Migrationshintergrund","","","","",""
"2012","66 +","direkter Migrationshintergrund","","","","",""
"2012","66 +","indirekter Migrationshintergrund","","","","",""
"2012","66 +","kein Migrationshintergrund","","","","",""
"2013","17-34","direkter Migrationshintergrund","","","","",""
"2013","17-34","indirekter Migrationshintergrund","","","","",""
"2013","17-34","kein Migrationshintergrund","","","","",""
"2013","35-65","direkter Migrationshintergrund","","","","",""
"2013","35-65","indirekter Migrationshintergrund","","","","",""
"2013","35-65","kein Migrationshintergrund","","","","",""
"2013","66 +","direkter Migrationshintergrund","","","","",""
"2013","66 +","indirekter Migrationshintergrund","","","","",""
"2013","66 +","kein Migrationshintergrund","","","","",""
"2014","17-34","direkter Migrationshintergrund","","","","",""
"2014","17-34","indirekter Migrationshintergrund","","","","",""
"2014","17-34","kein Migrationshintergrund","","","","",""
"2014","35-65","direkter Migrationshintergrund","","","","",""
"2014","35-65","indirekter Migrationshintergrund","","","","",""
"2014","35-65","kein Migrationshintergrund","","","","",""
"2014","66 +","direkter Migrationshintergrund","","","","",""
"2014","66 +","indirekter Migrationshintergrund","","","","",""
"2014","66 +","kein Migrationshintergrund","","","","",""
"2015","17-34","direkter Migrationshintergrund","2.91","1.5","1853","2.83","2.99"
"2015","17-34","indirekter Migrationshintergrund","3.03","2.5","987","2.92","3.14"
"2015","17-34","kein Migrationshintergrund","3.13","2.5","3734","3.08","3.18"
"2015","35-65","direkter Migrationshintergrund","2.81","1.5","3445","2.75","2.87"
"2015","35-65","indirekter Migrationshintergrund","2.89","1.5","684","2.76","3.02"
"2015","35-65","kein Migrationshintergrund","2.9","2.5","10976","2.87","2.93"
"2015","66 +","direkter Migrationshintergrund","2.74","1.5","425","2.58","2.9"
"2015","66 +","indirekter Migrationshintergrund","","","","",""
"2015","66 +","kein Migrationshintergrund","2.83","1.5","4445","2.78","2.88"
"2016","17-34","direkter Migrationshintergrund","2.32","1.5","1531","2.23","2.41"
"2016","17-34","indirekter Migrationshintergrund","","","","",""
"2016","17-34","kein Migrationshintergrund","","","","",""
"2016","35-65","direkter Migrationshintergrund","1.93","1","1366","1.85","2.01"
"2016","35-65","indirekter Migrationshintergrund","","","","",""
"2016","35-65","kein Migrationshintergrund","","","","",""
"2016","66 +","direkter Migrationshintergrund","","","","",""
"2016","66 +","indirekter Migrationshintergrund","","","","",""
"2016","66 +","kein Migrationshintergrund","","","","",""
"2017","17-34","direkter Migrationshintergrund","1.89","1","1112","1.79","1.99"
"2017","17-34","indirekter Migrationshintergrund","","","","",""
"2017","17-34","kein Migrationshintergrund","","","","",""
"2017","35-65","direkter Migrationshintergrund","1.73","1","690","1.62","1.84"
"2017","35-65","indirekter Migrationshintergrund","","","","",""
"2017","35-65","kein Migrationshintergrund","","","","",""
"2017","66 +","direkter Migrationshintergrund","","","","",""
"2017","66 +","indirekter Migrationshintergrund","","","","",""
"2017","66 +","kein Migrationshintergrund","","","","",""
"2018","17-34","direkter Migrationshintergrund","2.49","1","222","2.21","2.77"
"2018","17-34","indirekter Migrationshintergrund","","","","",""
"2018","17-34","kein Migrationshintergrund","","","","",""
"2018","35-65","direkter Migrationshintergrund","1.56","1","148","1.28","1.84"
"2018","35-65","indirekter Migrationshintergrund","","","","",""
"2018","35-65","kein Migrationshintergrund","","","","",""
"2018","66 +","direkter Migrationshintergrund","","","","",""
"2018","66 +","indirekter Migrationshintergrund","","","","",""
"2018","66 +","kein Migrationshintergrund","","","","",""
"2019","17-34","direkter Migrationshintergrund","2.33","1.5","131","1.98","2.68"
"2019","17-34","indirekter Migrationshintergrund","","","","",""
"2019","17-34","kein Migrationshintergrund","","","","",""
"2019","35-65","direkter Migrationshintergrund","2.31","1","119","1.99","2.63"
"2019","35-65","indirekter Migrationshintergrund","","","","",""
"2019","35-65","kein Migrationshintergrund","","","","",""
"2019","66 +","direkter Migrationshintergrund","","","","",""
"2019","66 +","indirekter Migrationshintergrund","","","","",""
"2019","66 +","kein Migrationshintergrund","","","","",""
"2020","17-34","direkter Migrationshintergrund","2.86","2.5","3601","2.8","2.92"
"2020","17-34","indirekter Migrationshintergrund","3.11","2.5","870","2.99","3.23"
"2020","17-34","kein Migrationshintergrund","3.01","2.5","3549","2.96","3.06"
"2020","35-65","direkter Migrationshintergrund","2.89","1.5","5004","2.84","2.94"
"2020","35-65","indirekter Migrationshintergrund","3","2.5","759","2.88","3.12"
"2020","35-65","kein Migrationshintergrund","2.87","1.5","10621","2.84","2.9"
"2020","66 +","direkter Migrationshintergrund","2.71","1.5","463","2.55","2.87"
"2020","66 +","indirekter Migrationshintergrund","3.07","1.5","45","2.51","3.63"
"2020","66 +","kein Migrationshintergrund","2.71","1.5","4447","2.66","2.76"
