,Unnamed: 0,year,quintil_oecd,sampreg,plh0105,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
64,64,1995,4th Quintile,East,Important,0.69604,448,11095,0.65615,0.73334
65,65,1995,4th Quintile,East,Less important,0.04932,36,11095,0.04234,0.05864
66,66,1995,5th Quintile,West,Very important,0.22612,479,11095,0.2129,0.23888
67,67,1995,5th Quintile,West,Important,0.67659,1295,11095,0.65427,0.69602
68,68,1995,5th Quintile,West,Less important,0.09729,178,11095,0.08669,0.10546
69,69,1995,5th Quintile,East,Very important,0.25047,80,11095,0.22088,0.28825
70,70,1995,5th Quintile,East,Important,0.65323,223,11095,0.59968,0.71051
71,71,1995,5th Quintile,East,Less important,0.0963,33,11095,0.07798,0.11619
72,72,2004,1st Quintile,West,Very important,0.29253,690,21410,0.27526,0.30959
73,73,2004,1st Quintile,West,Important,0.61238,1327,21410,0.59172,0.63455
74,74,2004,1st Quintile,West,Less important,0.09509,187,21410,0.08658,0.10401
75,75,2004,1st Quintile,East,Very important,0.27082,278,21410,0.25174,0.29409
76,76,2004,1st Quintile,East,Important,0.63959,682,21410,0.61334,0.67386
77,77,2004,1st Quintile,East,Less important,0.08959,85,21410,0.0781,0.10365
78,78,2004,2nd Quintile,West,Very important,0.29066,770,21410,0.27712,0.30547
79,79,2004,2nd Quintile,West,Important,0.61284,1550,21410,0.5931,0.63047
80,80,2004,2nd Quintile,West,Less important,0.0965,221,21410,0.08946,0.10455
81,81,2004,2nd Quintile,East,Very important,0.23783,290,21410,0.21953,0.2579
82,82,2004,2nd Quintile,East,Important,0.67092,827,21410,0.64075,0.70036
83,83,2004,2nd Quintile,East,Less important,0.09125,118,21410,0.08048,0.10206
84,84,2004,3rd Quintile,West,Very important,0.25065,732,21410,0.23805,0.26407
85,85,2004,3rd Quintile,West,Important,0.65987,1832,21410,0.6406,0.67968
86,86,2004,3rd Quintile,West,Less important,0.08948,225,21410,0.08124,0.09681
87,87,2004,3rd Quintile,East,Very important,0.23567,258,21410,0.21644,0.25561
88,88,2004,3rd Quintile,East,Important,0.67129,764,21410,0.63635,0.70681
89,89,2004,3rd Quintile,East,Less important,0.09305,97,21410,0.08028,0.1074
90,90,2004,4th Quintile,West,Very important,0.26194,906,21410,0.24802,0.27391
91,91,2004,4th Quintile,West,Important,0.66136,2179,21410,0.64065,0.67957
92,92,2004,4th Quintile,West,Less important,0.0767,230,21410,0.06969,0.08459
93,93,2004,4th Quintile,East,Very important,0.23079,232,21410,0.2059,0.2564
94,94,2004,4th Quintile,East,Important,0.69482,693,21410,0.65019,0.73575
95,95,2004,4th Quintile,East,Less important,0.07439,71,21410,0.05976,0.08909
96,96,2004,5th Quintile,West,Very important,0.22439,1325,21410,0.21363,0.23769
97,97,2004,5th Quintile,West,Important,0.69452,3634,21410,0.67445,0.71345
98,98,2004,5th Quintile,West,Less important,0.08109,427,21410,0.07502,0.08784
99,99,2004,5th Quintile,East,Very important,0.23236,167,21410,0.19656,0.27288
100,100,2004,5th Quintile,East,Important,0.69586,554,21410,0.62792,0.76683
101,101,2004,5th Quintile,East,Less important,0.07178,59,21410,0.05014,0.09766
102,102,2008,1st Quintile,West,Very important,0.30938,638,19170,0.29028,0.32659
103,103,2008,1st Quintile,West,Important,0.59643,1217,19170,0.57338,0.62177
104,104,2008,1st Quintile,West,Less important,0.09419,166,19170,0.08428,0.10392
105,105,2008,1st Quintile,East,Very important,0.24352,239,19170,0.22291,0.26703
106,106,2008,1st Quintile,East,Important,0.67121,636,19170,0.63552,0.70836
107,107,2008,1st Quintile,East,Less important,0.08528,88,19170,0.06883,0.10175
108,108,2008,2nd Quintile,West,Very important,0.26228,617,19170,0.24726,0.2839
109,109,2008,2nd Quintile,West,Important,0.66126,1433,19170,0.63649,0.68349
110,110,2008,2nd Quintile,West,Less important,0.07646,157,19170,0.0685,0.08765
111,111,2008,2nd Quintile,East,Very important,0.21022,233,19170,0.18976,0.2322
112,112,2008,2nd Quintile,East,Important,0.71332,810,19170,0.67563,0.75133
113,113,2008,2nd Quintile,East,Less important,0.07646,77,19170,0.06336,0.09234
114,114,2008,3rd Quintile,West,Very important,0.24491,694,19170,0.22924,0.25991
115,115,2008,3rd Quintile,West,Important,0.68324,1726,19170,0.65903,0.70513
116,116,2008,3rd Quintile,West,Less important,0.07185,164,19170,0.06528,0.07959
117,117,2008,3rd Quintile,East,Very important,0.21791,249,19170,0.19607,0.23985
118,118,2008,3rd Quintile,East,Important,0.70226,824,19170,0.66304,0.74761
119,119,2008,3rd Quintile,East,Less important,0.07983,84,19170,0.06589,0.09646
120,120,2008,4th Quintile,West,Very important,0.24241,796,19170,0.22955,0.25732
121,121,2008,4th Quintile,West,Important,0.66171,2015,19170,0.64138,0.68707
122,122,2008,4th Quintile,West,Less important,0.09588,285,19170,0.08659,0.10413
123,123,2008,4th Quintile,East,Very important,0.24014,193,19170,0.2154,0.27163
124,124,2008,4th Quintile,East,Important,0.68887,567,19170,0.64647,0.74658
125,125,2008,4th Quintile,East,Less important,0.07098,54,19170,0.05555,0.0907
126,126,2008,5th Quintile,West,Very important,0.24241,1116,19170,0.22977,0.25766
127,127,2008,5th Quintile,West,Important,0.67752,3076,19170,0.65474,0.70057
128,128,2008,5th Quintile,West,Less important,0.08007,327,19170,0.07216,0.08734
129,129,2008,5th Quintile,East,Very important,0.23751,170,19170,0.19442,0.29478
130,130,2008,5th Quintile,East,Important,0.70889,473,19170,0.63146,0.78648
131,131,2008,5th Quintile,East,Less important,0.0536,46,19170,0.04141,0.0722
132,132,2012,1st Quintile,West,Very important,0.33008,1496,25021,0.30744,0.35071
133,133,2012,1st Quintile,West,Important,0.59376,2139,25021,0.56393,0.61848
134,134,2012,1st Quintile,West,Less important,0.07615,173,25021,0.06678,0.08626
135,135,2012,1st Quintile,East,Very important,0.31643,546,25021,0.28287,0.35251
136,136,2012,1st Quintile,East,Important,0.62267,901,25021,0.57864,0.66959
137,137,2012,1st Quintile,East,Less important,0.0609,83,25021,0.04965,0.07583
138,138,2012,2nd Quintile,West,Very important,0.32925,1346,25021,0.30801,0.34804
139,139,2012,2nd Quintile,West,Important,0.61377,2133,25021,0.58646,0.64717
140,140,2012,2nd Quintile,West,Less important,0.05698,133,25021,0.04919,0.0643
141,141,2012,2nd Quintile,East,Very important,0.25141,384,25021,0.22405,0.27166
142,142,2012,2nd Quintile,East,Important,0.6852,841,25021,0.63716,0.73155
143,143,2012,2nd Quintile,East,Less important,0.06338,69,25021,0.04785,0.08358
144,144,2012,3rd Quintile,West,Very important,0.33078,1304,25021,0.30821,0.34974
145,145,2012,3rd Quintile,West,Important,0.60959,2122,25021,0.58187,0.6358
146,146,2012,3rd Quintile,West,Less important,0.05963,179,25021,0.051,0.06846
147,147,2012,3rd Quintile,East,Very important,0.24833,349,25021,0.22628,0.27475
148,148,2012,3rd Quintile,East,Important,0.705,802,25021,0.65313,0.76246
149,149,2012,3rd Quintile,East,Less important,0.04666,46,25021,0.03485,0.05963
150,150,2012,4th Quintile,West,Very important,0.32489,1320,25021,0.30714,0.34384
151,151,2012,4th Quintile,West,Important,0.6247,2326,25021,0.59487,0.65224
152,152,2012,4th Quintile,West,Less important,0.05041,142,25021,0.04477,0.05762
153,153,2012,4th Quintile,East,Very important,0.2786,288,25021,0.24597,0.30974
154,154,2012,4th Quintile,East,Important,0.66066,624,25021,0.60105,0.70824
155,155,2012,4th Quintile,East,Less important,0.06074,54,25021,0.04537,0.07457
156,156,2012,5th Quintile,West,Very important,0.28779,1420,25021,0.27154,0.30574
157,157,2012,5th Quintile,West,Important,0.64645,2824,25021,0.62085,0.67705
158,158,2012,5th Quintile,West,Less important,0.06576,258,25021,0.05858,0.07685
159,159,2012,5th Quintile,East,Very important,0.28245,209,25021,0.24471,0.32178
160,160,2012,5th Quintile,East,Important,0.6688,471,25021,0.59367,0.74158
161,161,2012,5th Quintile,East,Less important,0.04875,39,25021,0.03755,0.06116
162,162,2016,1st Quintile,West,Very important,0.38423,1562,24116,0.36197,0.40599
163,163,2016,1st Quintile,West,Important,0.54603,1971,24116,0.51782,0.5851
164,164,2016,1st Quintile,West,Less important,0.06973,196,24116,0.05887,0.08122
165,165,2016,1st Quintile,East,Very important,0.31568,444,24116,0.28447,0.35696
166,166,2016,1st Quintile,East,Important,0.6268,745,24116,0.55348,0.68028
167,167,2016,1st Quintile,East,Less important,0.05752,66,24116,0.04282,0.07851
168,168,2016,2nd Quintile,West,Very important,0.36257,1444,24116,0.33827,0.3864
169,169,2016,2nd Quintile,West,Important,0.59674,2189,24116,0.56805,0.62932
170,170,2016,2nd Quintile,West,Less important,0.04069,149,24116,0.03455,0.04682
171,171,2016,2nd Quintile,East,Very important,0.29424,437,24116,0.26197,0.32749
172,172,2016,2nd Quintile,East,Important,0.64305,845,24116,0.6008,0.69127
173,173,2016,2nd Quintile,East,Less important,0.06271,69,24116,0.04648,0.077
174,174,2016,3rd Quintile,West,Very important,0.33492,1300,24116,0.3134,0.35812
175,175,2016,3rd Quintile,West,Important,0.60853,2113,24116,0.5803,0.63377
176,176,2016,3rd Quintile,West,Less important,0.05655,149,24116,0.04775,0.06511
177,177,2016,3rd Quintile,East,Very important,0.35421,371,24116,0.30521,0.39509
178,178,2016,3rd Quintile,East,Important,0.5859,643,24116,0.53452,0.6388
179,179,2016,3rd Quintile,East,Less important,0.05989,53,24116,0.04683,0.08133
180,180,2016,4th Quintile,West,Very important,0.34238,1384,24116,0.32548,0.36648
181,181,2016,4th Quintile,West,Important,0.60814,2300,24116,0.58617,0.6308
182,182,2016,4th Quintile,West,Less important,0.04948,149,24116,0.0421,0.05832
183,183,2016,4th Quintile,East,Very important,0.29067,240,24116,0.23999,0.33814
184,184,2016,4th Quintile,East,Important,0.6729,478,24116,0.60076,0.74652
185,185,2016,4th Quintile,East,Less important,0.03644,32,24116,0.02502,0.04967
186,186,2016,5th Quintile,West,Very important,0.32234,1462,24116,0.30443,0.33866
187,187,2016,5th Quintile,West,Important,0.62177,2570,24116,0.59279,0.6497
188,188,2016,5th Quintile,West,Less important,0.0559,206,24116,0.04841,0.06373
189,189,2016,5th Quintile,East,Very important,0.35695,203,24116,0.30918,0.42401
190,190,2016,5th Quintile,East,Important,0.64305,346,24116,0.57219,0.72357
191,191,2021,1st Quintile,West,Very important,0.38922,947,17012,0.35924,0.42255
192,192,2021,1st Quintile,West,Important,0.54617,1280,17012,0.50903,0.59195
193,193,2021,1st Quintile,West,Less important,0.06462,127,17012,0.0504,0.08361
194,194,2021,1st Quintile,East,Very important,0.33853,278,17012,0.28618,0.39032
195,195,2021,1st Quintile,East,Important,0.56964,477,17012,0.50397,0.63958
196,196,2021,1st Quintile,East,Less important,0.09182,58,17012,0.06526,0.12486
197,197,2021,2nd Quintile,West,Very important,0.38149,972,17012,0.34887,0.41302
198,198,2021,2nd Quintile,West,Important,0.572,1406,17012,0.53635,0.61115
199,199,2021,2nd Quintile,West,Less important,0.04651,115,17012,0.03751,0.05744
200,200,2021,2nd Quintile,East,Very important,0.30422,296,17012,0.26022,0.35358
201,201,2021,2nd Quintile,East,Important,0.65838,536,17012,0.59141,0.73085
202,202,2021,2nd Quintile,East,Less important,0.0374,39,17012,0.02345,0.05305
203,203,2021,3rd Quintile,West,Very important,0.3834,926,17012,0.3497,0.41672
204,204,2021,3rd Quintile,West,Important,0.56105,1259,17012,0.5254,0.59753
205,205,2021,3rd Quintile,West,Less important,0.05555,124,17012,0.04257,0.06864
206,206,2021,3rd Quintile,East,Very important,0.30133,239,17012,0.26459,0.35255
207,207,2021,3rd Quintile,East,Important,0.65119,412,17012,0.57961,0.72454
208,208,2021,3rd Quintile,East,Less important,0.04747,33,17012,0.02896,0.07414
209,209,2021,4th Quintile,West,Very important,0.36646,1088,17012,0.33747,0.39734
210,210,2021,4th Quintile,West,Important,0.59082,1466,17012,0.55076,0.6347
211,211,2021,4th Quintile,West,Less important,0.04273,103,17012,0.03163,0.05553
212,212,2021,4th Quintile,East,Very important,0.37684,231,17012,0.32107,0.4301
213,213,2021,4th Quintile,East,Important,0.62316,328,17012,0.52124,0.7054
214,214,2021,5th Quintile,West,Very important,0.37011,1436,17012,0.34569,0.39655
215,215,2021,5th Quintile,West,Important,0.58023,2068,17012,0.54472,0.61142
216,216,2021,5th Quintile,West,Less important,0.04966,148,17012,0.03992,0.06188
217,217,2021,5th Quintile,East,Very important,0.39162,250,17012,0.30489,0.47092
218,218,2021,5th Quintile,East,Important,0.60838,370,17012,0.53026,0.6945
