"pli0080","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1996","30-45","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1996","30-45","2","","","",""
"Täglich","1996","30-45","3","","","",""
"Täglich","1996","30-45","4","","","",""
"Täglich","1996","30-45","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1996","46-65","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1996","46-65","2","","","",""
"Täglich","1996","46-65","3","","","",""
"Täglich","1996","46-65","4","","","",""
"Täglich","1996","46-65","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1996","66","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1996","66","2","","","",""
"Täglich","1996","66","3","","","",""
"Täglich","1996","66","4","","","",""
"Täglich","1996","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1996","17-29","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1996","17-29","2","","","",""
"Min 1x pro Woche","1996","17-29","3","","","",""
"Min 1x pro Woche","1996","17-29","4","","","",""
"Min 1x pro Woche","1996","17-29","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1996","30-45","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1996","30-45","2","","","",""
"Min 1x pro Woche","1996","30-45","3","","","",""
"Min 1x pro Woche","1996","30-45","4","","","",""
"Min 1x pro Woche","1996","30-45","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1996","46-65","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1996","46-65","2","","","",""
"Min 1x pro Woche","1996","46-65","3","","","",""
"Min 1x pro Woche","1996","46-65","4","","","",""
"Min 1x pro Woche","1996","46-65","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1996","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1996","66","2","","","",""
"Min 1x pro Woche","1996","66","3","","","",""
"Min 1x pro Woche","1996","66","4","","","",""
"Min 1x pro Woche","1996","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1996","17-29","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1996","17-29","2","","","",""
"Min 1x pro Monat","1996","17-29","3","","","",""
"Min 1x pro Monat","1996","17-29","4","","","",""
"Min 1x pro Monat","1996","17-29","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1996","30-45","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1996","30-45","2","","","",""
"Min 1x pro Monat","1996","30-45","3","","","",""
"Min 1x pro Monat","1996","30-45","4","","","",""
"Min 1x pro Monat","1996","30-45","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1996","46-65","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1996","46-65","2","","","",""
"Min 1x pro Monat","1996","46-65","3","","","",""
"Min 1x pro Monat","1996","46-65","4","","","",""
"Min 1x pro Monat","1996","46-65","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1996","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1996","66","2","","","",""
"Min 1x pro Monat","1996","66","3","","","",""
"Min 1x pro Monat","1996","66","4","","","",""
"Min 1x pro Monat","1996","66","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1996","17-29","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1996","17-29","2","","","",""
"Seltener","1996","17-29","3","","","",""
"Seltener","1996","17-29","4","","","",""
"Seltener","1996","17-29","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1996","30-45","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1996","30-45","2","","","",""
"Seltener","1996","30-45","3","","","",""
"Seltener","1996","30-45","4","","","",""
"Seltener","1996","30-45","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1996","46-65","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1996","46-65","2","","","",""
"Seltener","1996","46-65","3","","","",""
"Seltener","1996","46-65","4","","","",""
"Seltener","1996","46-65","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1996","66","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1996","66","2","","","",""
"Seltener","1996","66","3","","","",""
"Seltener","1996","66","4","","","",""
"Seltener","1996","66","5 Einkommensstärkstes Quintil","","","",""
"Nie","1996","17-29","1 Einkommensschwächstes Quintil","","","",""
"Nie","1996","17-29","2","","","",""
"Nie","1996","17-29","3","","","",""
"Nie","1996","17-29","4","","","",""
"Nie","1996","17-29","5 Einkommensstärkstes Quintil","","","",""
"Nie","1996","30-45","1 Einkommensschwächstes Quintil","","","",""
"Nie","1996","30-45","2","","","",""
"Nie","1996","30-45","3","","","",""
"Nie","1996","30-45","4","","","",""
"Nie","1996","30-45","5 Einkommensstärkstes Quintil","","","",""
"Nie","1996","46-65","1 Einkommensschwächstes Quintil","","","",""
"Nie","1996","46-65","2","","","",""
"Nie","1996","46-65","3","","","",""
"Nie","1996","46-65","4","","","",""
"Nie","1996","46-65","5 Einkommensstärkstes Quintil","","","",""
"Nie","1996","66","1 Einkommensschwächstes Quintil","","","",""
"Nie","1996","66","2","","","",""
"Nie","1996","66","3","","","",""
"Nie","1996","66","4","","","",""
"Nie","1996","66","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1997","17-29","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1997","17-29","2","","","",""
"Täglich","1997","17-29","3","","","",""
"Täglich","1997","17-29","4","","","",""
"Täglich","1997","17-29","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1997","30-45","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1997","30-45","2","","","",""
"Täglich","1997","30-45","3","","","",""
"Täglich","1997","30-45","4","","","",""
"Täglich","1997","30-45","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1997","46-65","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1997","46-65","2","","","",""
"Täglich","1997","46-65","3","","","",""
"Täglich","1997","46-65","4","","","",""
"Täglich","1997","46-65","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1997","66","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1997","66","2","","","",""
"Täglich","1997","66","3","","","",""
"Täglich","1997","66","4","","","",""
"Täglich","1997","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1997","17-29","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1997","17-29","2","","","",""
"Min 1x pro Woche","1997","17-29","3","","","",""
"Min 1x pro Woche","1997","17-29","4","","","",""
"Min 1x pro Woche","1997","17-29","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1997","30-45","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1997","30-45","2","","","",""
"Min 1x pro Woche","1997","30-45","3","","","",""
"Min 1x pro Woche","1997","30-45","4","","","",""
"Min 1x pro Woche","1997","30-45","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1997","46-65","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1997","46-65","2","","","",""
"Min 1x pro Woche","1997","46-65","3","","","",""
"Min 1x pro Woche","1997","46-65","4","","","",""
"Min 1x pro Woche","1997","46-65","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1997","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1997","66","2","","","",""
"Min 1x pro Woche","1997","66","3","","","",""
"Min 1x pro Woche","1997","66","4","","","",""
"Min 1x pro Woche","1997","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1997","17-29","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1997","17-29","2","","","",""
"Min 1x pro Monat","1997","17-29","3","","","",""
"Min 1x pro Monat","1997","17-29","4","","","",""
"Min 1x pro Monat","1997","17-29","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1997","30-45","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1997","30-45","2","","","",""
"Min 1x pro Monat","1997","30-45","3","","","",""
"Min 1x pro Monat","1997","30-45","4","","","",""
"Min 1x pro Monat","1997","30-45","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1997","46-65","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1997","46-65","2","","","",""
"Min 1x pro Monat","1997","46-65","3","","","",""
"Min 1x pro Monat","1997","46-65","4","","","",""
"Min 1x pro Monat","1997","46-65","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1997","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1997","66","2","","","",""
"Min 1x pro Monat","1997","66","3","","","",""
"Min 1x pro Monat","1997","66","4","","","",""
"Min 1x pro Monat","1997","66","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1997","17-29","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1997","17-29","2","","","",""
"Seltener","1997","17-29","3","","","",""
"Seltener","1997","17-29","4","","","",""
"Seltener","1997","17-29","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1997","30-45","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1997","30-45","2","","","",""
"Seltener","1997","30-45","3","","","",""
"Seltener","1997","30-45","4","","","",""
"Seltener","1997","30-45","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1997","46-65","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1997","46-65","2","","","",""
"Seltener","1997","46-65","3","","","",""
"Seltener","1997","46-65","4","","","",""
"Seltener","1997","46-65","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1997","66","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1997","66","2","","","",""
"Seltener","1997","66","3","","","",""
"Seltener","1997","66","4","","","",""
"Seltener","1997","66","5 Einkommensstärkstes Quintil","","","",""
"Nie","1997","17-29","1 Einkommensschwächstes Quintil","","","",""
"Nie","1997","17-29","2","","","",""
"Nie","1997","17-29","3","","","",""
"Nie","1997","17-29","4","","","",""
"Nie","1997","17-29","5 Einkommensstärkstes Quintil","","","",""
"Nie","1997","30-45","1 Einkommensschwächstes Quintil","","","",""
"Nie","1997","30-45","2","","","",""
"Nie","1997","30-45","3","","","",""
"Nie","1997","30-45","4","","","",""
"Nie","1997","30-45","5 Einkommensstärkstes Quintil","","","",""
"Nie","1997","46-65","1 Einkommensschwächstes Quintil","","","",""
"Nie","1997","46-65","2","","","",""
"Nie","1997","46-65","3","","","",""
"Nie","1997","46-65","4","","","",""
"Nie","1997","46-65","5 Einkommensstärkstes Quintil","","","",""
"Nie","1997","66","1 Einkommensschwächstes Quintil","","","",""
"Nie","1997","66","2","","","",""
"Nie","1997","66","3","","","",""
"Nie","1997","66","4","","","",""
"Nie","1997","66","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1998","17-29","1 Einkommensschwächstes Quintil","236","0.179228070092031","0.157906126575005","0.200550013609057"
"Täglich","1998","17-29","2","134","0.165956193258941","0.140841639450339","0.191070747067542"
"Täglich","1998","17-29","3","98","0.189074439937912","0.156468245449383","0.221680634426441"
"Täglich","1998","17-29","4","46","0.106865888712643","0.0756802024745147","0.138051574950771"
"Täglich","1998","17-29","5 Einkommensstärkstes Quintil","26","","",""
"Täglich","1998","30-45","1 Einkommensschwächstes Quintil","92","0.0675635121093408","0.0550722037161058","0.0800548205025758"
"Täglich","1998","30-45","2","50","0.0276061592620331","0.0189555324601082","0.0362567860639581"
"Täglich","1998","30-45","3","28","","",""
"Täglich","1998","30-45","4","23","","",""
"Täglich","1998","30-45","5 Einkommensstärkstes Quintil","7","","",""
"Täglich","1998","46-65","1 Einkommensschwächstes Quintil","60","0.0424009249727488","0.0313793133469296","0.0534225365985681"
"Täglich","1998","46-65","2","47","0.0325441773385382","0.0225047327211749","0.0425836219559016"
"Täglich","1998","46-65","3","23","","",""
"Täglich","1998","46-65","4","8","","",""
"Täglich","1998","46-65","5 Einkommensstärkstes Quintil","8","","",""
"Täglich","1998","66","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1998","66","2","","","",""
"Täglich","1998","66","3","","","",""
"Täglich","1998","66","4","","","",""
"Täglich","1998","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Woche","1998","17-29","1 Einkommensschwächstes Quintil","701","0.585875079024621","0.558492098202067","0.613258059847176"
"Min 1x pro Woche","1998","17-29","2","484","0.586290120334531","0.553044186380625","0.619536054288438"
"Min 1x pro Woche","1998","17-29","3","319","0.588518954385343","0.547541181284199","0.629496727486486"
"Min 1x pro Woche","1998","17-29","4","229","0.61774309768826","0.568690836200302","0.666795359176217"
"Min 1x pro Woche","1998","17-29","5 Einkommensstärkstes Quintil","69","0.482750762061494","0.398768019958392","0.566733504164596"
"Min 1x pro Woche","1998","30-45","1 Einkommensschwächstes Quintil","589","0.403421995337404","0.37900705893867","0.427836931736137"
"Min 1x pro Woche","1998","30-45","2","593","0.446655937779162","0.420407245886834","0.47290462967149"
"Min 1x pro Woche","1998","30-45","3","394","0.456869372602624","0.423806695338827","0.489932049866422"
"Min 1x pro Woche","1998","30-45","4","281","0.44973332804481","0.411636257491503","0.487830398598118"
"Min 1x pro Woche","1998","30-45","5 Einkommensstärkstes Quintil","167","0.455611385117699","0.403435975197377","0.50778679503802"
"Min 1x pro Woche","1998","46-65","1 Einkommensschwächstes Quintil","436","0.32058922112304","0.295061840513845","0.346116601732235"
"Min 1x pro Woche","1998","46-65","2","405","0.320210801462128","0.293813314344852","0.346608288579405"
"Min 1x pro Woche","1998","46-65","3","292","0.384510927527124","0.350884201665293","0.418137653388955"
"Min 1x pro Woche","1998","46-65","4","201","0.309924094030441","0.274854078186519","0.344994109874363"
"Min 1x pro Woche","1998","46-65","5 Einkommensstärkstes Quintil","136","0.316538395483437","0.271842083999321","0.361234706967554"
"Min 1x pro Woche","1998","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Woche","1998","66","2","","","",""
"Min 1x pro Woche","1998","66","3","","","",""
"Min 1x pro Woche","1998","66","4","","","",""
"Min 1x pro Woche","1998","66","5 Einkommensstärkstes Quintil","","","",""
"Min 1x pro Monat","1998","17-29","1 Einkommensschwächstes Quintil","194","0.142090481763947","0.122680918509944","0.16150004501795"
"Min 1x pro Monat","1998","17-29","2","158","0.172397376408505","0.14689911558435","0.19789563723266"
"Min 1x pro Monat","1998","17-29","3","102","0.153537797503474","0.123518215077129","0.183557379929818"
"Min 1x pro Monat","1998","17-29","4","76","0.218303846160947","0.176604706263001","0.260002986058892"
"Min 1x pro Monat","1998","17-29","5 Einkommensstärkstes Quintil","31","0.206757257975536","0.138694103630543","0.274820412320529"
"Min 1x pro Monat","1998","30-45","1 Einkommensschwächstes Quintil","474","0.284883289306862","0.262420476238238","0.307346102375485"
"Min 1x pro Monat","1998","30-45","2","464","0.327807310490276","0.303022837306436","0.352591783674116"
"Min 1x pro Monat","1998","30-45","3","290","0.328674992195217","0.297497613942636","0.359852370447799"
"Min 1x pro Monat","1998","30-45","4","250","0.388165699768579","0.350844729204596","0.425486670332562"
"Min 1x pro Monat","1998","30-45","5 Einkommensstärkstes Quintil","135","0.402807945004533","0.351424869697753","0.454191020311314"
"Min 1x pro Monat","1998","46-65","1 Einkommensschwächstes Quintil","368","0.265443131789556","0.241290523532173","0.289595740046939"
"Min 1x pro Monat","1998","46-65","2","383","0.322523295138954","0.296075760453642","0.348970829824266"
"Min 1x pro Monat","1998","46-65","3","255","0.29466327100179","0.263150882710371","0.32617565929321"
"Min 1x pro Monat","1998","46-65","4","268","0.397582415649186","0.360469740179377","0.434695091118994"
"Min 1x pro Monat","1998","46-65","5 Einkommensstärkstes Quintil","176","0.436087179595988","0.388433760167016","0.48374059902496"
"Min 1x pro Monat","1998","66","1 Einkommensschwächstes Quintil","","","",""
"Min 1x pro Monat","1998","66","2","","","",""
"Min 1x pro Monat","1998","66","3","","","",""
"Min 1x pro Monat","1998","66","4","","","",""
"Min 1x pro Monat","1998","66","5 Einkommensstärkstes Quintil","","","",""
"Seltener","1998","17-29","1 Einkommensschwächstes Quintil","103","0.0841386178544702","0.0687065157873522","0.0995707199215883"
"Seltener","1998","17-29","2","64","0.0728770758406654","0.05533025536593","0.0904238963154007"
"Seltener","1998","17-29","3","33","0.0668759950236372","0.0460743338543543","0.08767765619292"
"Seltener","1998","17-29","4","26","","",""
"Seltener","1998","17-29","5 Einkommensstärkstes Quintil","10","","",""
"Seltener","1998","30-45","1 Einkommensschwächstes Quintil","377","0.230083645365866","0.209137368513275","0.251029922218458"
"Seltener","1998","30-45","2","257","0.187879670695088","0.167255638953602","0.208503702436574"
"Seltener","1998","30-45","3","152","0.166126723849423","0.14142315910985","0.190830288588997"
"Seltener","1998","30-45","4","94","0.123733296417535","0.0985165595028393","0.14895003333223"
"Seltener","1998","30-45","5 Einkommensstärkstes Quintil","39","0.120066387517919","0.0860138292556763","0.154118945780163"
"Seltener","1998","46-65","1 Einkommensschwächstes Quintil","371","0.33250971415734","0.306741149836162","0.358278278478518"
"Seltener","1998","46-65","2","337","0.300619719138268","0.274676558073379","0.326562880203158"
"Seltener","1998","46-65","3","219","0.274976829886415","0.244113409098693","0.305840250674136"
"Seltener","1998","46-65","4","177","0.259905818242157","0.226646652172676","0.293164984311637"
"Seltener","1998","46-65","5 Einkommensstärkstes Quintil","91","0.214796305354052","0.175331860643803","0.2542607500643"
"Seltener","1998","66","1 Einkommensschwächstes Quintil","","","",""
"Seltener","1998","66","2","","","",""
"Seltener","1998","66","3","","","",""
"Seltener","1998","66","4","","","",""
"Seltener","1998","66","5 Einkommensstärkstes Quintil","","","",""
"Nie","1998","17-29","1 Einkommensschwächstes Quintil","9","","",""
"Nie","1998","17-29","2","3","","",""
"Nie","1998","17-29","3","2","","",""
"Nie","1998","17-29","4","","","",""
"Nie","1998","17-29","5 Einkommensstärkstes Quintil","","","",""
"Nie","1998","30-45","1 Einkommensschwächstes Quintil","19","","",""
"Nie","1998","30-45","2","14","","",""
"Nie","1998","30-45","3","8","","",""
"Nie","1998","30-45","4","7","","",""
"Nie","1998","30-45","5 Einkommensstärkstes Quintil","2","","",""
"Nie","1998","46-65","1 Einkommensschwächstes Quintil","49","0.0390570079573153","0.0284604729748554","0.0496535429397751"
"Nie","1998","46-65","2","28","","",""
"Nie","1998","46-65","3","15","","",""
"Nie","1998","46-65","4","14","","",""
"Nie","1998","46-65","5 Einkommensstärkstes Quintil","5","","",""
"Nie","1998","66","1 Einkommensschwächstes Quintil","","","",""
"Nie","1998","66","2","","","",""
"Nie","1998","66","3","","","",""
"Nie","1998","66","4","","","",""
"Nie","1998","66","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1999","17-29","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1999","17-29","2","","","",""
"Täglich","1999","17-29","3","","","",""
"Täglich","1999","17-29","4","","","",""
"Täglich","1999","17-29","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1999","30-45","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1999","30-45","2","","","",""
"Täglich","1999","30-45","3","","","",""
"Täglich","1999","30-45","4","","","",""
"Täglich","1999","30-45","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1999","46-65","1 Einkommensschwächstes Quintil","","","",""
"Täglich","1999","46-65","2","","","",""
"Täglich","1999","46-65","3","","","",""
"Täglich","1999","46-65","4","","","",""
"Täglich","1999","46-65","5 Einkommensstärkstes Quintil","","","",""
"Täglich","1999","66","1 Einkommensschwächstes Quintil","","","",""
