year,hhtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,Couple without children,Yes,0.82037,3618,12007,0.82015,0.82059
2011,Couple without children,No,0.17963,721,12007,0.17941,0.17985
2011,Single parent,Yes,0.46503,346,12007,0.46414,0.46591
2011,Single parent,No,0.53497,433,12007,0.53409,0.53586
2011,Couple with children,Yes,0.73701,2341,12007,0.73668,0.73733
2011,Couple with children,No,0.26299,886,12007,0.26267,0.26332
2011,Multi-generational household,Yes,0.57918,47,12007,0.57695,0.58141
2011,Multi-generational household,No,0.42082,36,12007,0.41859,0.42305
2011,Other Combinations,Yes,0.63332,62,12007,0.63123,0.63541
2011,Other Combinations,No,0.36668,31,12007,0.36459,0.36877
2013,Single-person household,Yes,0.66157,2408,13862,0.66134,0.66180
2013,Single-person household,No,0.33843,1291,13862,0.33820,0.33866
2013,Couple without children,Yes,0.82545,3755,13862,0.82524,0.82567
2013,Couple without children,No,0.17455,811,13862,0.17433,0.17476
2013,Single parent,Yes,0.45887,417,13862,0.45806,0.45969
2013,Single parent,No,0.54113,563,13862,0.54031,0.54194
2013,Couple with children,Yes,0.71224,2724,13862,0.71191,0.71257
2013,Couple with children,No,0.28776,1437,13862,0.28743,0.28809
2013,Multi-generational household,Yes,0.58647,63,13862,0.58430,0.58863
2013,Multi-generational household,No,0.41353,53,13862,0.41137,0.41570
2013,Other Combinations,Yes,0.57963,177,13862,0.57830,0.58096
2013,Other Combinations,No,0.42037,163,13862,0.41904,0.42170
2015,Single-person household,Yes,0.67182,2349,15664,0.67159,0.67204
2015,Single-person household,No,0.32818,1256,15664,0.32796,0.32841
2015,Couple without children,Yes,0.83169,3567,15664,0.83148,0.83190
2015,Couple without children,No,0.16831,786,15664,0.16810,0.16852
2015,Single parent,Yes,0.44457,701,15664,0.44395,0.44519
2015,Single parent,No,0.55543,994,15664,0.55481,0.55605
2015,Couple with children,Yes,0.73566,3765,15664,0.73537,0.73596
2015,Couple with children,No,0.26434,1860,15664,0.26404,0.26463
2015,Multi-generational household,Yes,0.53752,68,15664,0.53552,0.53952
2015,Multi-generational household,No,0.46248,71,15664,0.46048,0.46448
2015,Other Combinations,Yes,0.67569,147,15664,0.67433,0.67705
2015,Other Combinations,No,0.32431,100,15664,0.32295,0.32567
2016,Single-person household,Yes,0.70647,2372,16292,0.70625,0.70669
2016,Single-person household,No,0.29353,1403,16292,0.29331,0.29375
2016,Couple without children,Yes,0.86485,3493,16292,0.86465,0.86504
2016,Couple without children,No,0.13515,638,16292,0.13496,0.13535
2016,Single parent,Yes,0.49078,733,16292,0.49015,0.49141
2016,Single parent,No,0.50922,961,16292,0.50859,0.50985
2016,Couple with children,Yes,0.76488,3684,16292,0.76460,0.76516
2016,Couple with children,No,0.23512,2484,16292,0.23484,0.23540
2016,Multi-generational household,Yes,0.68351,60,16292,0.68142,0.68560
2016,Multi-generational household,No,0.31649,86,16292,0.31440,0.31858
2016,Other Combinations,Yes,0.61508,133,16292,0.61366,0.61651
2016,Other Combinations,No,0.38492,245,16292,0.38349,0.38634
2017,Single-person household,Yes,0.71796,2711,18177,0.71774,0.71817
2017,Single-person household,No,0.28204,1557,18177,0.28183,0.28226
2017,Couple without children,Yes,0.87562,4013,18177,0.87543,0.87580
2017,Couple without children,No,0.12438,676,18177,0.12420,0.12457
2017,Single parent,Yes,0.50844,788,18177,0.50779,0.50908
2017,Single parent,No,0.49156,968,18177,0.49092,0.49221
2017,Couple with children,Yes,0.78271,4169,18177,0.78244,0.78298
2017,Couple with children,No,0.21729,2626,18177,0.21702,0.21756
2017,Multi-generational household,Yes,0.62933,68,18177,0.62712,0.63155
2017,Multi-generational household,No,0.37067,94,18177,0.36845,0.37288
2017,Other Combinations,Yes,0.63933,194,18177,0.63807,0.64060
2017,Other Combinations,No,0.36067,313,18177,0.35940,0.36193
2018,Single-person household,Yes,0.71690,2768,17802,0.71669,0.71711
2018,Single-person household,No,0.28310,1669,17802,0.28289,0.28331
2018,Couple without children,Yes,0.86538,3881,17802,0.86519,0.86557
2018,Couple without children,No,0.13462,738,17802,0.13443,0.13481
2018,Single parent,Yes,0.53213,772,17802,0.53149,0.53277
2018,Single parent,No,0.46787,964,17802,0.46723,0.46851
2018,Couple with children,Yes,0.77152,3898,17802,0.77124,0.77180
2018,Couple with children,No,0.22848,2545,17802,0.22820,0.22876
2018,Multi-generational household,Yes,0.62154,73,17802,0.61938,0.62370
2018,Multi-generational household,No,0.37846,87,17802,0.37630,0.38062
2018,Other Combinations,Yes,0.75465,182,17802,0.75346,0.75585
2018,Other Combinations,No,0.24535,225,17802,0.24415,0.24654
2019,Single-person household,Yes,0.75494,3056,16091,0.75473,0.75514
2019,Single-person household,No,0.24506,1076,16091,0.24486,0.24527
2019,Couple without children,Yes,0.89378,4589,16091,0.89360,0.89395
2019,Couple without children,No,0.10622,493,16091,0.10605,0.10640
2019,Single parent,Yes,0.56418,805,16091,0.56354,0.56482
2019,Single parent,No,0.43582,605,16091,0.43518,0.43646
2019,Couple with children,Yes,0.81538,4210,16091,0.81512,0.81564
2019,Couple with children,No,0.18462,932,16091,0.18436,0.18488
2019,Multi-generational household,Yes,0.73896,68,16091,0.73692,0.74099
2019,Multi-generational household,No,0.26104,36,16091,0.25901,0.26308
2019,Other Combinations,Yes,0.77321,168,16091,0.77206,0.77436
2019,Other Combinations,No,0.22679,53,16091,0.22564,0.22794
2021,Single-person household,Yes,0.79543,2570,12370,0.79524,0.79561
2021,Single-person household,No,0.20457,943,12370,0.20439,0.20476
2021,Couple without children,Yes,0.92079,3108,12370,0.92063,0.92094
2021,Couple without children,No,0.07921,352,12370,0.07906,0.07937
2021,Single parent,Yes,0.59579,559,12370,0.59516,0.59641
2021,Single parent,No,0.40421,454,12370,0.40359,0.40484
2021,Couple with children,Yes,0.84725,2792,12370,0.84701,0.84750
2021,Couple with children,No,0.15275,1170,12370,0.15250,0.15299
2021,Multi-generational household,Yes,0.74755,53,12370,0.74567,0.74943
2021,Multi-generational household,No,0.25245,39,12370,0.25057,0.25433
2021,Other Combinations,Yes,0.80112,215,12370,0.80027,0.80197
2021,Other Combinations,No,0.19888,115,12370,0.19803,0.19973
