"plh0195","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Leute nutzen aus","2006","AkademikerIn","","","",""
"Leute sind fair","2006","(noch) kein Abschluss","","","",""
"Leute sind fair","2006","Hauptschule","","","",""
"Leute sind fair","2006","Realschule","","","",""
"Leute sind fair","2006","(Fach-)Abitur","","","",""
"Leute sind fair","2006","AkademikerIn","","","",""
"Leute nutzen aus","2007","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2007","Hauptschule","","","",""
"Leute nutzen aus","2007","Realschule","","","",""
"Leute nutzen aus","2007","(Fach-)Abitur","","","",""
"Leute nutzen aus","2007","AkademikerIn","","","",""
"Leute sind fair","2007","(noch) kein Abschluss","","","",""
"Leute sind fair","2007","Hauptschule","","","",""
"Leute sind fair","2007","Realschule","","","",""
"Leute sind fair","2007","(Fach-)Abitur","","","",""
"Leute sind fair","2007","AkademikerIn","","","",""
"Leute nutzen aus","2008","(noch) kein Abschluss","235","0.49504217242812","0.452754907022681","0.537329437833558"
"Leute nutzen aus","2008","Hauptschule","3486","0.523202334054364","0.511224956036592","0.535179712072136"
"Leute nutzen aus","2008","Realschule","2467","0.504240072861282","0.490443478557306","0.518036667165257"
"Leute nutzen aus","2008","(Fach-)Abitur","906","0.443898280661101","0.422862634554177","0.464933926768026"
"Leute nutzen aus","2008","AkademikerIn","1451","0.362210053936183","0.347544361796304","0.376875746076063"
"Leute sind fair","2008","(noch) kein Abschluss","302","0.50495782757188","0.462670562166442","0.547245092977319"
"Leute sind fair","2008","Hauptschule","3194","0.476797665945636","0.464820287927864","0.488775043963408"
"Leute sind fair","2008","Realschule","2578","0.495759927138718","0.481963332834743","0.509556521442694"
"Leute sind fair","2008","(Fach-)Abitur","1237","0.556101719338899","0.535066073231974","0.577137365445823"
"Leute sind fair","2008","AkademikerIn","2675","0.637789946063817","0.623124253923937","0.652455638203696"
"Leute nutzen aus","2009","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2009","Hauptschule","","","",""
"Leute nutzen aus","2009","Realschule","","","",""
"Leute nutzen aus","2009","(Fach-)Abitur","","","",""
"Leute nutzen aus","2009","AkademikerIn","","","",""
"Leute sind fair","2009","(noch) kein Abschluss","","","",""
"Leute sind fair","2009","Hauptschule","","","",""
"Leute sind fair","2009","Realschule","","","",""
"Leute sind fair","2009","(Fach-)Abitur","","","",""
"Leute sind fair","2009","AkademikerIn","","","",""
"Leute nutzen aus","2010","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2010","Hauptschule","","","",""
"Leute nutzen aus","2010","Realschule","","","",""
"Leute nutzen aus","2010","(Fach-)Abitur","","","",""
"Leute nutzen aus","2010","AkademikerIn","","","",""
"Leute sind fair","2010","(noch) kein Abschluss","","","",""
"Leute sind fair","2010","Hauptschule","","","",""
"Leute sind fair","2010","Realschule","","","",""
"Leute sind fair","2010","(Fach-)Abitur","","","",""
"Leute sind fair","2010","AkademikerIn","","","",""
"Leute nutzen aus","2011","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2011","Hauptschule","","","",""
"Leute nutzen aus","2011","Realschule","","","",""
"Leute nutzen aus","2011","(Fach-)Abitur","","","",""
"Leute nutzen aus","2011","AkademikerIn","","","",""
"Leute sind fair","2011","(noch) kein Abschluss","","","",""
"Leute sind fair","2011","Hauptschule","","","",""
"Leute sind fair","2011","Realschule","","","",""
"Leute sind fair","2011","(Fach-)Abitur","","","",""
"Leute sind fair","2011","AkademikerIn","","","",""
"Leute nutzen aus","2012","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2012","Hauptschule","","","",""
"Leute nutzen aus","2012","Realschule","","","",""
"Leute nutzen aus","2012","(Fach-)Abitur","","","",""
"Leute nutzen aus","2012","AkademikerIn","","","",""
"Leute sind fair","2012","(noch) kein Abschluss","","","",""
"Leute sind fair","2012","Hauptschule","","","",""
"Leute sind fair","2012","Realschule","","","",""
"Leute sind fair","2012","(Fach-)Abitur","","","",""
"Leute sind fair","2012","AkademikerIn","","","",""
"Leute nutzen aus","2013","(noch) kein Abschluss","363","0.499559238285783","0.464515167404231","0.534603309167336"
"Leute nutzen aus","2013","Hauptschule","3702","0.472645841514732","0.461373951195571","0.483917731833892"
"Leute nutzen aus","2013","Realschule","3195","0.468560984120396","0.456921740339658","0.480200227901135"
"Leute nutzen aus","2013","(Fach-)Abitur","1103","0.364661623216567","0.347934785961341","0.381388460471793"
"Leute nutzen aus","2013","AkademikerIn","1524","0.282747292332342","0.271062593237047","0.294431991427636"
"Leute sind fair","2013","(noch) kein Abschluss","419","0.500440761714217","0.465396690832664","0.535484832595769"
"Leute sind fair","2013","Hauptschule","3834","0.527354158485268","0.516082268166108","0.538626048804429"
"Leute sind fair","2013","Realschule","3866","0.531439015879604","0.519799772098865","0.543078259660342"
"Leute sind fair","2013","(Fach-)Abitur","2078","0.635338376783433","0.618611539528207","0.652065214038659"
"Leute sind fair","2013","AkademikerIn","4182","0.717252707667658","0.705568008572364","0.728937406762953"
"Leute nutzen aus","2014","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2014","Hauptschule","","","",""
"Leute nutzen aus","2014","Realschule","","","",""
"Leute nutzen aus","2014","(Fach-)Abitur","","","",""
"Leute nutzen aus","2014","AkademikerIn","","","",""
"Leute sind fair","2014","(noch) kein Abschluss","","","",""
"Leute sind fair","2014","Hauptschule","","","",""
"Leute sind fair","2014","Realschule","","","",""
"Leute sind fair","2014","(Fach-)Abitur","","","",""
"Leute sind fair","2014","AkademikerIn","","","",""
"Leute nutzen aus","2015","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2015","Hauptschule","","","",""
"Leute nutzen aus","2015","Realschule","","","",""
"Leute nutzen aus","2015","(Fach-)Abitur","","","",""
"Leute nutzen aus","2015","AkademikerIn","","","",""
"Leute sind fair","2015","(noch) kein Abschluss","","","",""
"Leute sind fair","2015","Hauptschule","","","",""
"Leute sind fair","2015","Realschule","","","",""
"Leute sind fair","2015","(Fach-)Abitur","","","",""
"Leute sind fair","2015","AkademikerIn","","","",""
"Leute nutzen aus","2016","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2016","Hauptschule","","","",""
"Leute nutzen aus","2016","Realschule","","","",""
"Leute nutzen aus","2016","(Fach-)Abitur","","","",""
"Leute nutzen aus","2016","AkademikerIn","","","",""
"Leute sind fair","2016","(noch) kein Abschluss","","","",""
"Leute sind fair","2016","Hauptschule","","","",""
"Leute sind fair","2016","Realschule","","","",""
"Leute sind fair","2016","(Fach-)Abitur","","","",""
"Leute sind fair","2016","AkademikerIn","","","",""
"Leute nutzen aus","2017","(noch) kein Abschluss","","","",""
"Leute nutzen aus","2017","Hauptschule","","","",""
"Leute nutzen aus","2017","Realschule","","","",""
"Leute nutzen aus","2017","(Fach-)Abitur","","","",""
"Leute nutzen aus","2017","AkademikerIn","","","",""
"Leute sind fair","2017","(noch) kein Abschluss","","","",""
"Leute sind fair","2017","Hauptschule","","","",""
"Leute sind fair","2017","Realschule","","","",""
"Leute sind fair","2017","(Fach-)Abitur","","","",""
"Leute sind fair","2017","AkademikerIn","","","",""
"Leute nutzen aus","2018","(noch) kein Abschluss","848","0.494935783423303","0.472536978292923","0.517334588553683"
"Leute nutzen aus","2018","Hauptschule","3401","0.459840908761814","0.448356901177707","0.471324916345921"
"Leute nutzen aus","2018","Realschule","2837","0.432351082156674","0.420322464086226","0.444379700227122"
"Leute nutzen aus","2018","(Fach-)Abitur","1636","0.375661711311521","0.361382818240238","0.389940604382804"
"Leute nutzen aus","2018","AkademikerIn","1733","0.252771823647676","0.242390930171055","0.263152717124297"
"Leute sind fair","2018","(noch) kein Abschluss","1066","0.505064216576697","0.482665411446317","0.527463021707077"
"Leute sind fair","2018","Hauptschule","3834","0.540159091238186","0.52867508365408","0.551643098822293"
"Leute sind fair","2018","Realschule","3679","0.567648917843326","0.555620299772878","0.579677535913774"
"Leute sind fair","2018","(Fach-)Abitur","2783","0.624338288688479","0.610059395617196","0.638617181759762"
"Leute sind fair","2018","AkademikerIn","5000","0.747228176352324","0.736847282875703","0.757609069828945"
