,Unnamed: 0,year,age_gr,migback,plh0195,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
55,55,2013,46-65 y.,Direct migration background,Most People would try to be fair,0.42796,415,24906,0.38019,0.47176
56,56,2013,46-65 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.45557,60,24906,0.32149,0.57995
57,57,2013,46-65 y.,Indirect migration background,Most People would try to be fair,0.54443,80,24906,0.43111,0.69456
58,58,2013,66 and older,No migration background,Most people would exploit you if they had the opportunity,0.3514,1539,24906,0.33748,0.3645
59,59,2013,66 and older,No migration background,Most People would try to be fair,0.6486,2910,24906,0.63123,0.67098
60,60,2013,66 and older,Direct migration background,Most people would exploit you if they had the opportunity,0.33935,121,24906,0.28893,0.39072
61,61,2013,66 and older,Direct migration background,Most People would try to be fair,0.66065,233,24906,0.59039,0.72462
62,62,2018,17-29 y.,No migration background,Most people would exploit you if they had the opportunity,0.42324,1170,27860,0.39995,0.452
63,63,2018,17-29 y.,No migration background,Most People would try to be fair,0.57676,1694,27860,0.54049,0.60448
64,64,2018,17-29 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.48098,664,27860,0.39177,0.54968
65,65,2018,17-29 y.,Direct migration background,Most People would try to be fair,0.51902,802,27860,0.44916,0.59715
66,66,2018,17-29 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.49034,396,27860,0.43062,0.55092
67,67,2018,17-29 y.,Indirect migration background,Most People would try to be fair,0.50966,395,27860,0.43431,0.56466
68,68,2018,30-45 y.,No migration background,Most people would exploit you if they had the opportunity,0.38573,1612,27860,0.36308,0.41216
69,69,2018,30-45 y.,No migration background,Most People would try to be fair,0.61427,2513,27860,0.58695,0.64183
70,70,2018,30-45 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.44528,1451,27860,0.41031,0.48552
71,71,2018,30-45 y.,Direct migration background,Most People would try to be fair,0.55472,1863,27860,0.50069,0.61374
72,72,2018,30-45 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.42273,241,27860,0.35352,0.49005
73,73,2018,30-45 y.,Indirect migration background,Most People would try to be fair,0.57727,311,27860,0.51437,0.65644
74,74,2018,46-65 y.,No migration background,Most people would exploit you if they had the opportunity,0.40338,2945,27860,0.38534,0.41967
75,75,2018,46-65 y.,No migration background,Most People would try to be fair,0.59662,4699,27860,0.57679,0.61564
76,76,2018,46-65 y.,Direct migration background,Most people would exploit you if they had the opportunity,0.49115,890,27860,0.44246,0.54487
77,77,2018,46-65 y.,Direct migration background,Most People would try to be fair,0.50885,1126,27860,0.4621,0.55951
78,78,2018,46-65 y.,Indirect migration background,Most people would exploit you if they had the opportunity,0.38506,91,27860,0.28183,0.49118
79,79,2018,46-65 y.,Indirect migration background,Most People would try to be fair,0.61494,141,27860,0.51275,0.74249
80,80,2018,66 and older,No migration background,Most people would exploit you if they had the opportunity,0.30189,1317,27860,0.28468,0.31865
81,81,2018,66 and older,No migration background,Most People would try to be fair,0.69811,3082,27860,0.675,0.72077
82,82,2018,66 and older,Direct migration background,Most people would exploit you if they had the opportunity,0.39463,169,27860,0.32155,0.47302
83,83,2018,66 and older,Direct migration background,Most People would try to be fair,0.60537,288,27860,0.53493,0.68907
