"year","bildungsniveau","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2008","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2010","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2010","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2010","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2010","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2010","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","(Fach-)Abitur","direkter Migrationshintergrund","7.62","7.5","567","5","7","9","10","10","7.46","7.78","0","10","8","8"
"2011","(Fach-)Abitur","indirekter Migrationshintergrund","8.05","7.5","198","6","8","9","10","10","7.82","8.28","1","10","8","8"
"2011","(Fach-)Abitur","kein Migrationshintergrund","7.78","7.5","2519","5","7","9","10","10","7.72","7.84","0","10","8","8"
"2011","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","direkter Migrationshintergrund","7.3","7.5","202","5","6","9","10","10","6.99","7.61","0","10","8","8"
"2011","(noch) kein Abschluss","indirekter Migrationshintergrund","8.23","7.5","97","6","7","10","10","10","7.93","8.53","3","10","8","9"
"2011","(noch) kein Abschluss","kein Migrationshintergrund","8.3","8.5","500","5","8","10","10","10","8.13","8.47","0","10","9","9"
"2011","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","AkademikerIn","direkter Migrationshintergrund","7.33","7.5","567","5","6","9","10","10","7.17","7.49","0","10","8","8"
"2011","AkademikerIn","indirekter Migrationshintergrund","7.85","7.5","183","6","7","9","10","10","7.6","8.1","0","10","8","8"
"2011","AkademikerIn","kein Migrationshintergrund","7.58","7.5","4997","5","7","9","10","10","7.53","7.63","0","10","8","8"
"2011","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","Hauptschule","direkter Migrationshintergrund","7.4","7.5","1190","4","6","9","10","10","7.29","7.51","0","10","8","8"
"2011","Hauptschule","indirekter Migrationshintergrund","7.88","7.5","305","5","7","10","10","10","7.66","8.1","0","10","8","8"
"2011","Hauptschule","kein Migrationshintergrund","7.42","7.5","6373","5","6","9","10","10","7.37","7.47","0","10","8","8"
"2011","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","Realschule","direkter Migrationshintergrund","7.84","7.5","257","5","7","9","10","10","7.63","8.05","2","10","8","8"
"2011","Realschule","indirekter Migrationshintergrund","7.67","7.5","316","5","7","9","10","10","7.46","7.88","0","10","8","9"
"2011","Realschule","kein Migrationshintergrund","7.6","7.5","6673","5","7","9","10","10","7.56","7.64","0","10","8","8"
"2011","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","direkter Migrationshintergrund","8.26","7.5","247","6","8","10","10","10","8.04","8.48","1","10","8","9"
"2012","(Fach-)Abitur","indirekter Migrationshintergrund","8.43","7.5","74","7","7","10","10","10","8.13","8.73","5","10","8","9"
"2012","(Fach-)Abitur","kein Migrationshintergrund","8.14","7.5","802","6","7","9","10","10","8.02","8.26","1","10","8","8"
"2012","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","(noch) kein Abschluss","direkter Migrationshintergrund","7.81","7.5","80","5","7","9","10","10","7.33","8.29","1","10","7","8"
"2012","(noch) kein Abschluss","indirekter Migrationshintergrund","8.17","8.5","46","5","7","10","10","10","7.62","8.72","2","10","8","9"
"2012","(noch) kein Abschluss","kein Migrationshintergrund","8.13","8.5","222","5","7","10","10","10","7.86","8.4","0","10","8","9"
"2012","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","AkademikerIn","direkter Migrationshintergrund","7.71","7.5","228","5","7","9","9","10","7.47","7.95","0","10","8","8"
"2012","AkademikerIn","indirekter Migrationshintergrund","7.93","7.5","75","6","7","9","10","10","7.57","8.29","4","10","8","8"
"2012","AkademikerIn","kein Migrationshintergrund","8.02","7.5","1192","6","7","9","10","10","7.93","8.11","1","10","8","8"
"2012","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","Hauptschule","direkter Migrationshintergrund","7.9","7.5","412","5","7","10","10","10","7.71","8.09","0","10","8","8"
"2012","Hauptschule","indirekter Migrationshintergrund","8.12","7.5","123","6","8","9","10","10","7.83","8.41","3","10","8","9"
"2012","Hauptschule","kein Migrationshintergrund","7.94","7.5","1178","5","7","9","10","10","7.83","8.05","0","10","8","8"
"2012","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","Realschule","direkter Migrationshintergrund","8.37","8.5","108","6","8","10","10","10","8.04","8.7","1","10","8","9"
"2012","Realschule","indirekter Migrationshintergrund","8.14","7.5","140","6","7","9","10","10","7.84","8.44","1","10","8","9"
"2012","Realschule","kein Migrationshintergrund","8.14","7.5","2049","6","8","9","10","10","8.07","8.21","0","10","8","8"
"2012","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","(Fach-)Abitur","direkter Migrationshintergrund","8.27","8.5","221","6","8","9","10","10","8.01","8.53","0","10","8","9"
"2013","(Fach-)Abitur","indirekter Migrationshintergrund","8.49","8.5","71","7","8","9","10","10","8.23","8.75","6","10","8","9"
"2013","(Fach-)Abitur","kein Migrationshintergrund","8.22","8.5","793","6","8","9","10","10","8.11","8.33","0","10","8","9"
"2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","direkter Migrationshintergrund","7.74","7.5","75","5","7","9","10","10","7.28","8.2","1","10","7","8"
"2013","(noch) kein Abschluss","indirekter Migrationshintergrund","8.37","8.5","50","7","7","10","10","10","7.92","8.82","3","10","8","10"
"2013","(noch) kein Abschluss","kein Migrationshintergrund","8.14","7.5","216","6","8","9","10","10","7.89","8.39","0","10","8","9"
"2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","AkademikerIn","direkter Migrationshintergrund","7.75","7.5","216","5","7","9","9","10","7.52","7.98","2","10","8","8"
"2013","AkademikerIn","indirekter Migrationshintergrund","7.87","7.5","73","6","7","9","10","10","7.51","8.23","4","10","8","8"
"2013","AkademikerIn","kein Migrationshintergrund","8.08","7.5","1101","6","7","9","10","10","7.99","8.17","1","10","8","8"
"2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","Hauptschule","direkter Migrationshintergrund","7.94","7.5","361","5","7","9","10","10","7.76","8.12","1","10","8","9"
"2013","Hauptschule","indirekter Migrationshintergrund","7.83","7.5","120","5","7","9","10","10","7.48","8.18","1","10","8","8"
"2013","Hauptschule","kein Migrationshintergrund","7.76","7.5","1086","5","7","9","10","10","7.64","7.88","0","10","8","8"
"2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","Realschule","direkter Migrationshintergrund","8.38","7.5","103","7","8","10","10","10","8.07","8.69","1","10","8","9"
"2013","Realschule","indirekter Migrationshintergrund","8.04","7.5","138","6","7","9","10","10","7.72","8.36","0","10","8","9"
"2013","Realschule","kein Migrationshintergrund","8.11","7.5","1955","6","8","9","10","10","8.03","8.19","0","10","8","8"
"2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2014","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2014","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2014","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2014","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2015","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2015","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2015","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2015","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2015","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","(Fach-)Abitur","direkter Migrationshintergrund","7.53","7.5","1139","5","7","9","10","10","7.42","7.64","0","10","8","8"
"2016","(Fach-)Abitur","indirekter Migrationshintergrund","8.08","7.5","320","6","7","9","10","10","7.88","8.28","0","10","8","9"
"2016","(Fach-)Abitur","kein Migrationshintergrund","7.77","7.5","2195","5","7","9","10","10","7.7","7.84","0","10","8","8"
"2016","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","(noch) kein Abschluss","direkter Migrationshintergrund","7.34","7.5","340","5","6","9","10","10","7.1","7.58","0","10","8","8"
"2016","(noch) kein Abschluss","indirekter Migrationshintergrund","7.63","7.5","99","4","7","10","10","10","7.21","8.05","0","10","8","9"
"2016","(noch) kein Abschluss","kein Migrationshintergrund","7.65","7.5","368","5","7","9","10","10","7.44","7.86","0","10","8","9"
"2016","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","AkademikerIn","direkter Migrationshintergrund","7.72","7.5","1207","5","7","9","10","10","7.62","7.82","0","10","8","8"
"2016","AkademikerIn","indirekter Migrationshintergrund","7.77","7.5","237","6","7","9","10","10","7.57","7.97","2","10","8","8"
"2016","AkademikerIn","kein Migrationshintergrund","7.62","7.5","4418","5","7","9","10","10","7.57","7.67","0","10","8","8"
"2016","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","Hauptschule","direkter Migrationshintergrund","7.61","7.5","1593","5","7","9","10","10","7.51","7.71","0","10","8","8"
"2016","Hauptschule","indirekter Migrationshintergrund","7.85","7.5","372","5","7","9","10","10","7.64","8.06","0","10","8","8"
"2016","Hauptschule","kein Migrationshintergrund","7.43","7.5","4931","5","6","9","10","10","7.38","7.48","0","10","8","8"
"2016","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","Realschule","direkter Migrationshintergrund","7.85","7.5","315","5","7","9","10","10","7.67","8.03","1","10","8","8"
"2016","Realschule","indirekter Migrationshintergrund","7.92","7.5","379","6","7","9","10","10","7.74","8.1","0","10","8","8"
"2016","Realschule","kein Migrationshintergrund","7.66","7.5","5295","5","7","9","10","10","7.61","7.71","0","10","8","8"
"2016","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
