year,regtyp,rentown,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,Tenant,Yes,0.58340,3760,5627,0.57051,0.59628
2013,Urban regions,Tenant,No,0.34930,1867,5627,0.33685,0.36176
2013,Rural regions,Owner,Yes,0.85876,2222,2356,0.84470,0.87283
2013,Rural regions,Owner,No,0.07674,134,2356,0.06599,0.08750
2013,Rural regions,Tenant,Yes,0.62297,1615,2211,0.60276,0.64317
2013,Rural regions,Tenant,No,0.29838,596,2211,0.27930,0.31746
2016,Urban regions,Owner,Yes,0.91341,3560,3767,0.90443,0.92239
2016,Urban regions,Owner,No,0.08357,207,3767,0.07473,0.09241
2016,Urban regions,Tenant,Yes,0.62705,3829,5594,0.61437,0.63972
2016,Urban regions,Tenant,No,0.36995,1765,5594,0.35730,0.38261
2016,Rural regions,Owner,Yes,0.91593,2397,2529,0.90511,0.92674
2016,Rural regions,Owner,No,0.08055,132,2529,0.06994,0.09116
2016,Rural regions,Tenant,Yes,0.68592,1773,2390,0.66730,0.70453
2016,Rural regions,Tenant,No,0.30877,617,2390,0.29025,0.32730
2017,Urban regions,Owner,Yes,0.91321,4037,4257,0.90475,0.92166
2017,Urban regions,Owner,No,0.08626,220,4257,0.07783,0.09470
2017,Urban regions,Tenant,Yes,0.62482,4414,7235,0.61366,0.63598
2017,Urban regions,Tenant,No,0.37464,2821,7235,0.36348,0.38579
2017,Rural regions,Owner,Yes,0.92681,2686,2801,0.91716,0.93646
2017,Rural regions,Owner,No,0.06888,115,2801,0.05950,0.07826
2017,Rural regions,Tenant,Yes,0.68119,2116,3169,0.66496,0.69742
2017,Rural regions,Tenant,No,0.31375,1053,3169,0.29760,0.32991
2018,Urban regions,Owner,Yes,0.92085,3878,4080,0.91257,0.92914
2018,Urban regions,Owner,No,0.07915,202,4080,0.07086,0.08743
2018,Urban regions,Tenant,Yes,0.62880,4647,7841,0.61811,0.63950
2018,Urban regions,Tenant,No,0.36870,3194,7841,0.35802,0.37938
2018,Rural regions,Owner,Yes,0.92653,2571,2673,0.91664,0.93643
2018,Rural regions,Owner,No,0.06829,102,2673,0.05873,0.07785
2018,Rural regions,Tenant,Yes,0.68565,2176,3264,0.66973,0.70158
2018,Rural regions,Tenant,No,0.31402,1088,3264,0.29810,0.32995
2019,Urban regions,Owner,Yes,0.91369,4498,4726,0.90568,0.92169
2019,Urban regions,Owner,No,0.08426,228,4726,0.07634,0.09218
2019,Urban regions,Tenant,Yes,0.63597,3902,5584,0.62335,0.64860
2019,Urban regions,Tenant,No,0.34755,1682,5584,0.33506,0.36004
2019,Rural regions,Owner,Yes,0.93862,2892,2993,0.93001,0.94722
2019,Rural regions,Owner,No,0.06131,101,2993,0.05271,0.06991
2019,Rural regions,Tenant,Yes,0.68753,1780,2364,0.66884,0.70622
2019,Rural regions,Tenant,No,0.29714,584,2364,0.27871,0.31557
2021,Urban regions,Owner,Yes,0.91432,2962,3135,0.90452,0.92412
2021,Urban regions,Owner,No,0.08430,173,3135,0.07457,0.09402
2021,Urban regions,Tenant,Yes,0.65628,3506,5479,0.64370,0.66885
2021,Urban regions,Tenant,No,0.34266,1973,5479,0.33009,0.35523
2021,Rural regions,Owner,Yes,0.95148,1903,1962,0.94197,0.96099
2021,Rural regions,Owner,No,0.04852,59,1962,0.03901,0.05803
2021,Rural regions,Tenant,Yes,0.73113,1520,1980,0.71160,0.75067
2021,Rural regions,Tenant,No,0.26580,460,1980,0.24634,0.28527
