year,migback,sampreg,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,East,Not Working,0.33333,1238,3617,0.31797,0.34870
1994,Direct migration background,West,Full Time,0.43305,1058,2215,0.41241,0.45369
1994,Direct migration background,West,Part Time,0.18556,403,2215,0.16937,0.20175
1994,Direct migration background,West,Not Working,0.37030,754,2215,0.35019,0.39042
1994,Direct migration background,East,Full Time,0.25905,44,125,0.18194,0.33617
1994,Direct migration background,East,Not Working,0.59483,81,125,0.50842,0.68124
1994,Indirect migration background,West,Full Time,0.12256,203,474,0.09301,0.15212
1994,Indirect migration background,West,Part Time,0.07858,105,474,0.05433,0.10283
1994,Indirect migration background,West,Not Working,0.13170,166,474,0.10123,0.16218
1995,No migration background,West,Full Time,0.33077,2807,6467,0.31930,0.34224
1995,No migration background,West,Part Time,0.15842,1347,6467,0.14952,0.16732
1995,No migration background,West,Not Working,0.34350,2313,6467,0.33193,0.35508
1995,No migration background,East,Full Time,0.36002,1738,3535,0.34419,0.37584
1995,No migration background,East,Part Time,0.12268,583,3535,0.11186,0.13350
1995,No migration background,East,Not Working,0.33982,1214,3535,0.32421,0.35544
1995,Direct migration background,West,Full Time,0.34437,1108,2638,0.32624,0.36251
1995,Direct migration background,West,Part Time,0.19037,519,2638,0.17538,0.20535
1995,Direct migration background,West,Not Working,0.40225,1011,2638,0.38353,0.42096
1995,Direct migration background,East,Full Time,0.25596,42,125,0.17914,0.33277
1995,Direct migration background,East,Not Working,0.61854,83,125,0.53305,0.70404
1995,Indirect migration background,West,Full Time,0.10457,191,488,0.07739,0.13175
1995,Indirect migration background,West,Part Time,0.09849,131,488,0.07203,0.12496
1995,Indirect migration background,West,Not Working,0.12593,166,488,0.09646,0.15540
1996,No migration background,West,Full Time,0.33025,2783,6383,0.31871,0.34179
1996,No migration background,West,Part Time,0.16400,1371,6383,0.15491,0.17308
1996,No migration background,West,Not Working,0.34039,2229,6383,0.32877,0.35202
1996,No migration background,East,Full Time,0.36245,1738,3525,0.34658,0.37833
1996,No migration background,East,Part Time,0.12570,590,3525,0.11475,0.13665
1996,No migration background,East,Not Working,0.33855,1197,3525,0.32292,0.35417
1996,Direct migration background,West,Full Time,0.34238,954,2458,0.32361,0.36114
1996,Direct migration background,West,Part Time,0.19451,568,2458,0.17886,0.21016
1996,Direct migration background,West,Not Working,0.40347,936,2458,0.38407,0.42287
1996,Direct migration background,East,Full Time,0.27673,43,125,0.19799,0.35548
1996,Direct migration background,East,Not Working,0.63911,82,125,0.55457,0.72364
1996,Indirect migration background,West,Full Time,0.11843,206,523,0.09071,0.14615
1996,Indirect migration background,West,Part Time,0.08939,142,523,0.06492,0.11387
1996,Indirect migration background,West,Not Working,0.13183,175,523,0.10280,0.16085
1997,No migration background,West,Full Time,0.32898,2743,6307,0.31739,0.34058
1997,No migration background,West,Part Time,0.15817,1308,6307,0.14916,0.16717
1997,No migration background,West,Not Working,0.34629,2256,6307,0.33455,0.35803
1997,No migration background,East,Full Time,0.35160,1669,3485,0.33574,0.36745
1997,No migration background,East,Part Time,0.13226,579,3485,0.12101,0.14351
1997,No migration background,East,Not Working,0.35173,1237,3485,0.33588,0.36759
1997,Direct migration background,West,Full Time,0.34373,912,2342,0.32449,0.36297
1997,Direct migration background,West,Part Time,0.19167,501,2342,0.17572,0.20761
1997,Direct migration background,West,Not Working,0.40896,929,2342,0.38904,0.42888
1997,Direct migration background,East,Full Time,0.22041,36,114,0.14398,0.29684
1997,Direct migration background,East,Not Working,0.64855,78,114,0.56052,0.73658
1997,Indirect migration background,West,Full Time,0.13284,219,546,0.10434,0.16133
1997,Indirect migration background,West,Part Time,0.09123,132,546,0.06706,0.11541
1997,Indirect migration background,West,Not Working,0.14726,195,546,0.11751,0.17701
1998,No migration background,West,Full Time,0.32135,3136,7523,0.31080,0.33190
1998,No migration background,West,Part Time,0.15668,1538,7523,0.14846,0.16489
1998,No migration background,West,Not Working,0.36039,2849,7523,0.34954,0.37124
1998,No migration background,East,Full Time,0.34414,1723,3723,0.32887,0.35940
1998,No migration background,East,Part Time,0.13963,669,3723,0.12850,0.15077
1998,No migration background,East,Not Working,0.35261,1331,3723,0.33726,0.36796
1998,Direct migration background,West,Full Time,0.34586,854,2281,0.32633,0.36538
1998,Direct migration background,West,Part Time,0.19837,503,2281,0.18200,0.21474
1998,Direct migration background,West,Not Working,0.39821,924,2281,0.37811,0.41830
1998,Direct migration background,East,Not Working,0.68304,75,75,0.57703,0.78906
1998,Indirect migration background,West,Full Time,0.15005,234,571,0.12073,0.17937
1998,Indirect migration background,West,Part Time,0.09195,140,571,0.06823,0.11567
1998,Indirect migration background,West,Not Working,0.15000,197,571,0.12069,0.17932
1999,No migration background,West,Full Time,0.32811,3072,7213,0.31728,0.33895
1999,No migration background,West,Part Time,0.17265,1614,7213,0.16393,0.18137
1999,No migration background,West,Not Working,0.33846,2527,7213,0.32754,0.34938
1999,No migration background,East,Full Time,0.34373,1674,3653,0.32832,0.35913
1999,No migration background,East,Part Time,0.14795,687,3653,0.13643,0.15946
1999,No migration background,East,Not Working,0.35444,1292,3653,0.33893,0.36996
1999,Direct migration background,West,Full Time,0.36408,819,2095,0.34347,0.38469
1999,Direct migration background,West,Part Time,0.20471,447,2095,0.18743,0.22199
1999,Direct migration background,West,Not Working,0.37890,829,2095,0.35812,0.39967
1999,Direct migration background,East,Not Working,0.66699,70,70,0.55579,0.77820
1999,Indirect migration background,West,Full Time,0.14700,238,583,0.11823,0.17577
1999,Indirect migration background,West,Part Time,0.11390,160,583,0.08809,0.13971
1999,Indirect migration background,West,Not Working,0.14561,185,583,0.11695,0.17426
2000,No migration background,West,Full Time,0.33952,5964,14311,0.33176,0.34728
2000,No migration background,West,Part Time,0.16847,3054,14311,0.16234,0.17461
2000,No migration background,West,Not Working,0.33454,5293,14311,0.32681,0.34227
2000,No migration background,East,Full Time,0.34506,2519,5678,0.33270,0.35743
2000,No migration background,East,Part Time,0.14899,1044,5678,0.13972,0.15825
2000,No migration background,East,Not Working,0.35585,2115,5678,0.34340,0.36831
2000,Direct migration background,West,Full Time,0.35736,1217,3156,0.34064,0.37408
2000,Direct migration background,West,Part Time,0.19849,688,3156,0.18457,0.21240
2000,Direct migration background,West,Not Working,0.36152,1251,3156,0.34475,0.37828
2000,Direct migration background,East,Full Time,0.18392,33,129,0.11681,0.25104
2000,Direct migration background,East,Not Working,0.64421,96,129,0.56127,0.72715
2000,Indirect migration background,West,Full Time,0.16197,330,793,0.13631,0.18763
2000,Indirect migration background,West,Part Time,0.11532,233,793,0.09307,0.13757
2000,Indirect migration background,West,Not Working,0.12121,230,793,0.09848,0.14394
2001,No migration background,West,Full Time,0.33961,5339,12952,0.33145,0.34777
2001,No migration background,West,Part Time,0.17635,2917,12952,0.16978,0.18291
2001,No migration background,West,Not Working,0.32823,4696,12952,0.32014,0.33631
2001,No migration background,East,Full Time,0.34424,2303,5289,0.33143,0.35705
2001,No migration background,East,Part Time,0.15293,980,5289,0.14323,0.16263
2001,No migration background,East,Not Working,0.35982,2006,5289,0.34689,0.37276
2001,Direct migration background,West,Full Time,0.35386,1081,2794,0.33613,0.37159
2001,Direct migration background,West,Part Time,0.22520,662,2794,0.20971,0.24069
2001,Direct migration background,West,Not Working,0.35487,1051,2794,0.33712,0.37261
2001,Direct migration background,East,Not Working,0.70498,83,83,0.60627,0.80369
2001,Indirect migration background,West,Full Time,0.15689,308,740,0.13067,0.18311
2001,Indirect migration background,West,Part Time,0.11022,215,740,0.08764,0.13280
2001,Indirect migration background,West,Not Working,0.11207,217,740,0.08932,0.13481
2002,No migration background,West,Full Time,0.32704,5907,14170,0.31931,0.33476
2002,No migration background,West,Part Time,0.18354,3365,14170,0.17717,0.18992
2002,No migration background,West,Not Working,0.33363,4898,14170,0.32586,0.34139
2002,No migration background,East,Full Time,0.32954,2279,5291,0.31688,0.34221
2002,No migration background,East,Part Time,0.15985,1005,5291,0.14997,0.16973
2002,No migration background,East,Not Working,0.37430,2007,5291,0.36126,0.38734
2002,Direct migration background,West,Full Time,0.35381,1036,2682,0.33571,0.37191
2002,Direct migration background,West,Part Time,0.21987,627,2682,0.20420,0.23555
2002,Direct migration background,West,Not Working,0.36867,1019,2682,0.35041,0.38693
2002,Direct migration background,East,Not Working,0.73546,82,82,0.63940,0.83152
2002,Indirect migration background,West,Full Time,0.16449,317,746,0.13787,0.19111
2002,Indirect migration background,West,Part Time,0.10131,203,746,0.07964,0.12298
2002,Indirect migration background,West,Not Working,0.11521,226,746,0.09229,0.13814
2003,No migration background,West,Full Time,0.32240,5499,13561,0.31453,0.33027
2003,No migration background,West,Part Time,0.18269,3248,13561,0.17619,0.18919
2003,No migration background,West,Not Working,0.33977,4814,13561,0.33180,0.34774
2003,No migration background,East,Full Time,0.31682,2174,5209,0.30418,0.32946
2003,No migration background,East,Part Time,0.16735,1007,5209,0.15721,0.17749
2003,No migration background,East,Not Working,0.38436,2028,5209,0.37115,0.39757
2003,Direct migration background,West,Full Time,0.32938,912,2515,0.31101,0.34775
2003,Direct migration background,West,Part Time,0.23537,624,2515,0.21878,0.25195
2003,Direct migration background,West,Not Working,0.38306,979,2515,0.36406,0.40207
2003,Direct migration background,East,Not Working,0.75276,74,74,0.65380,0.85173
2003,Indirect migration background,West,Full Time,0.16339,304,746,0.13684,0.18994
2003,Indirect migration background,West,Part Time,0.11157,214,746,0.08896,0.13418
2003,Indirect migration background,West,Not Working,0.12399,228,746,0.10033,0.14766
2004,No migration background,West,Full Time,0.31823,5241,13190,0.31028,0.32618
2004,No migration background,West,Part Time,0.18679,3183,13190,0.18014,0.19344
2004,No migration background,West,Not Working,0.34198,4766,13190,0.33388,0.35007
2004,No migration background,East,Full Time,0.30894,2033,5088,0.29624,0.32164
2004,No migration background,East,Part Time,0.16392,999,5088,0.15374,0.17409
2004,No migration background,East,Not Working,0.40066,2056,5088,0.38720,0.41413
2004,Direct migration background,West,Full Time,0.32523,854,2437,0.30663,0.34384
2004,Direct migration background,West,Part Time,0.23125,585,2437,0.21451,0.24799
2004,Direct migration background,West,Not Working,0.40305,998,2437,0.38357,0.42253
2004,Direct migration background,East,Not Working,0.75891,72,72,0.65941,0.85840
2004,Indirect migration background,West,Full Time,0.16809,304,764,0.14156,0.19463
2004,Indirect migration background,West,Part Time,0.11743,224,764,0.09459,0.14028
2004,Indirect migration background,West,Not Working,0.13837,236,764,0.11387,0.16287
2005,No migration background,West,Full Time,0.32655,4991,12602,0.31836,0.33474
2005,No migration background,West,Part Time,0.18928,3046,12602,0.18244,0.19612
2005,No migration background,West,Not Working,0.33514,4565,12602,0.32690,0.34338
2005,No migration background,East,Full Time,0.30916,1907,4903,0.29623,0.32210
2005,No migration background,East,Part Time,0.17332,994,4903,0.16273,0.18392
2005,No migration background,East,Not Working,0.39160,2002,4903,0.37793,0.40526
2005,Direct migration background,West,Full Time,0.32945,788,2269,0.31011,0.34879
2005,Direct migration background,West,Part Time,0.24468,548,2269,0.22698,0.26237
2005,Direct migration background,West,Not Working,0.39110,933,2269,0.37101,0.41118
2005,Direct migration background,East,Not Working,0.75694,73,73,0.65786,0.85602
2005,Indirect migration background,West,Full Time,0.18595,318,791,0.15882,0.21308
2005,Indirect migration background,West,Part Time,0.13537,208,791,0.11152,0.15923
2005,Indirect migration background,West,Not Working,0.14497,265,791,0.12042,0.16952
2006,No migration background,West,Full Time,0.32473,5321,13818,0.31692,0.33254
2006,No migration background,West,Part Time,0.18430,3204,13818,0.17784,0.19077
2006,No migration background,West,Not Working,0.34314,5293,13818,0.33523,0.35106
2006,No migration background,East,Full Time,0.30736,1982,5214,0.29484,0.31989
2006,No migration background,East,Part Time,0.17355,1027,5214,0.16327,0.18383
2006,No migration background,East,Not Working,0.40253,2205,5214,0.38922,0.41584
2006,Direct migration background,West,Full Time,0.32800,783,2275,0.30870,0.34730
2006,Direct migration background,West,Part Time,0.22365,541,2275,0.20652,0.24078
2006,Direct migration background,West,Not Working,0.41184,951,2275,0.39161,0.43207
2006,Direct migration background,East,Not Working,0.64099,76,76,0.53242,0.74956
2006,Indirect migration background,West,Full Time,0.19064,317,812,0.16360,0.21767
2006,Indirect migration background,West,Part Time,0.13861,220,812,0.11482,0.16239
2006,Indirect migration background,West,Not Working,0.15321,275,812,0.12842,0.17800
2007,No migration background,West,Full Time,0.32676,4939,12927,0.31867,0.33485
2007,No migration background,West,Part Time,0.18293,2985,12927,0.17626,0.18959
2007,No migration background,West,Not Working,0.34494,5003,12927,0.33675,0.35314
2007,No migration background,East,Full Time,0.32471,1902,4955,0.31167,0.33775
2007,No migration background,East,Part Time,0.16488,962,4955,0.15454,0.17521
2007,No migration background,East,Not Working,0.40081,2091,4955,0.38716,0.41446
2007,Direct migration background,West,Full Time,0.31589,690,2042,0.29573,0.33606
2007,Direct migration background,West,Part Time,0.24850,522,2042,0.22975,0.26725
2007,Direct migration background,West,Not Working,0.40722,830,2042,0.38590,0.42853
2007,Direct migration background,East,Not Working,0.67440,61,61,0.55583,0.79298
2007,Indirect migration background,West,Full Time,0.18923,308,791,0.16191,0.21654
2007,Indirect migration background,West,Part Time,0.15251,214,791,0.12744,0.17758
2007,Indirect migration background,West,Not Working,0.16052,269,791,0.13492,0.18612
2008,No migration background,West,Full Time,0.33449,4683,12154,0.32610,0.34288
2008,No migration background,West,Part Time,0.18468,2800,12154,0.17778,0.19158
2008,No migration background,West,Not Working,0.33903,4671,12154,0.33061,0.34744
2008,No migration background,East,Full Time,0.33701,1836,4685,0.32348,0.35055
2008,No migration background,East,Part Time,0.16221,907,4685,0.15165,0.17277
2008,No migration background,East,Not Working,0.38552,1942,4685,0.37158,0.39946
2008,Direct migration background,West,Full Time,0.32322,618,1831,0.30179,0.34465
2008,Direct migration background,West,Part Time,0.25180,464,1831,0.23191,0.27169
2008,Direct migration background,West,Not Working,0.40208,749,1831,0.37962,0.42455
2008,Direct migration background,East,Not Working,0.65857,53,53,0.52968,0.78745
2008,Indirect migration background,West,Full Time,0.22477,322,778,0.19542,0.25412
2008,Indirect migration background,West,Part Time,0.14294,205,778,0.11833,0.16755
2008,Indirect migration background,West,Not Working,0.16958,251,778,0.14320,0.19597
2009,No migration background,West,Full Time,0.33610,4382,11383,0.32742,0.34478
2009,No migration background,West,Part Time,0.19451,2703,11383,0.18724,0.20178
2009,No migration background,West,Not Working,0.33052,4298,11383,0.32188,0.33916
2009,No migration background,East,Full Time,0.33929,1784,4453,0.32539,0.35320
2009,No migration background,East,Part Time,0.17079,854,4453,0.15974,0.18184
2009,No migration background,East,Not Working,0.36612,1815,4453,0.35197,0.38027
2009,Direct migration background,West,Full Time,0.31328,517,1592,0.29049,0.33607
2009,Direct migration background,West,Part Time,0.27769,434,1592,0.25568,0.29970
2009,Direct migration background,West,Not Working,0.39072,641,1592,0.36674,0.41469
2009,Direct migration background,East,Not Working,0.60764,47,47,0.46654,0.74875
2009,Indirect migration background,West,Full Time,0.24202,294,709,0.21047,0.27357
2009,Indirect migration background,West,Part Time,0.16423,195,709,0.13694,0.19152
2009,Indirect migration background,West,Not Working,0.16061,220,709,0.13357,0.18766
2010,No migration background,West,Full Time,0.34247,5718,14856,0.33484,0.35010
2010,No migration background,West,Part Time,0.19060,4024,14856,0.18428,0.19692
2010,No migration background,West,Not Working,0.33324,5114,14856,0.32566,0.34082
2010,No migration background,East,Full Time,0.35724,2124,5308,0.34434,0.37013
2010,No migration background,East,Part Time,0.17216,1194,5308,0.16200,0.18232
2010,No migration background,East,Not Working,0.35703,1990,5308,0.34414,0.36992
2010,Direct migration background,West,Full Time,0.29822,938,2861,0.28145,0.31498
2010,Direct migration background,West,Part Time,0.28199,775,2861,0.26549,0.29848
2010,Direct migration background,West,Not Working,0.39362,1148,2861,0.37571,0.41152
2010,Direct migration background,East,Not Working,0.60269,82,82,0.49612,0.70925
2010,Indirect migration background,West,Full Time,0.20919,413,1094,0.18508,0.23331
2010,Indirect migration background,West,Part Time,0.14119,296,1094,0.12055,0.16184
2010,Indirect migration background,West,Not Working,0.13061,385,1094,0.11063,0.15058
2011,No migration background,West,Full Time,0.33974,6682,18052,0.33283,0.34665
2011,No migration background,West,Part Time,0.19161,4944,18052,0.18587,0.19735
2011,No migration background,West,Not Working,0.33148,6426,18052,0.32461,0.33835
2011,No migration background,East,Full Time,0.36022,2404,6132,0.34820,0.37223
2011,No migration background,East,Part Time,0.16861,1388,6132,0.15924,0.17798
2011,No migration background,East,Not Working,0.34878,2340,6132,0.33685,0.36071
2011,Direct migration background,West,Full Time,0.33148,1059,3203,0.31518,0.34779
2011,Direct migration background,West,Part Time,0.27188,885,3203,0.25647,0.28729
2011,Direct migration background,West,Not Working,0.37050,1259,3203,0.35378,0.38723
2011,Direct migration background,East,Full Time,0.17718,33,170,0.11962,0.23475
2011,Direct migration background,East,Part Time,0.17055,36,170,0.11384,0.22726
2011,Direct migration background,East,Not Working,0.61356,101,170,0.54015,0.68697
2011,Indirect migration background,West,Full Time,0.19920,422,1261,0.17715,0.22125
2011,Indirect migration background,West,Part Time,0.14010,385,1261,0.12093,0.15926
2011,Indirect migration background,West,Not Working,0.14235,454,1261,0.12306,0.16164
2012,No migration background,West,Full Time,0.33859,6485,17662,0.33161,0.34557
2012,No migration background,West,Part Time,0.19558,4860,17662,0.18973,0.20143
2012,No migration background,West,Not Working,0.33128,6317,17662,0.32434,0.33822
2012,No migration background,East,Full Time,0.35167,2346,5993,0.33958,0.36376
2012,No migration background,East,Part Time,0.16383,1320,5993,0.15446,0.17321
2012,No migration background,East,Not Working,0.35738,2327,5993,0.34525,0.36952
2012,Direct migration background,West,Full Time,0.35217,1087,3036,0.33517,0.36916
2012,Direct migration background,West,Part Time,0.25954,832,3036,0.24395,0.27514
2012,Direct migration background,West,Not Working,0.35942,1117,3036,0.34235,0.37649
2012,Direct migration background,East,Full Time,0.21025,39,177,0.15005,0.27046
2012,Direct migration background,East,Part Time,0.19716,38,177,0.13838,0.25594
2012,Direct migration background,East,Not Working,0.56270,100,177,0.48942,0.63599
2012,Indirect migration background,West,Full Time,0.20201,442,1224,0.17951,0.22451
2012,Indirect migration background,West,Part Time,0.14783,383,1224,0.12794,0.16772
2012,Indirect migration background,West,Not Working,0.13524,399,1224,0.11607,0.15441
2013,No migration background,West,Full Time,0.33079,6098,16814,0.32368,0.33790
2013,No migration background,West,Part Time,0.19413,4633,16814,0.18815,0.20011
2013,No migration background,West,Not Working,0.34271,6083,16814,0.33553,0.34988
2013,No migration background,East,Full Time,0.34351,2149,5645,0.33112,0.35590
2013,No migration background,East,Part Time,0.17872,1315,5645,0.16873,0.18872
2013,No migration background,East,Not Working,0.35575,2181,5645,0.34326,0.36824
2013,Direct migration background,West,Full Time,0.19145,981,6118,0.18159,0.20131
2013,Direct migration background,West,Part Time,0.15401,807,6118,0.14497,0.16306
2013,Direct migration background,West,Not Working,0.62373,4330,6118,0.61159,0.63587
2013,Direct migration background,East,Full Time,0.08219,37,459,0.05704,0.10734
2013,Direct migration background,East,Part Time,0.06045,33,459,0.03862,0.08228
2013,Direct migration background,East,Not Working,0.81475,389,459,0.77917,0.85033
2013,Indirect migration background,West,Full Time,0.12603,419,2049,0.11165,0.14040
2013,Indirect migration background,West,Part Time,0.08149,354,2049,0.06964,0.09334
2013,Indirect migration background,West,Not Working,0.29008,1276,2049,0.27042,0.30973
2013,Indirect migration background,East,Full Time,0.15191,32,82,0.07374,0.23008
2013,Indirect migration background,East,Not Working,0.30565,50,82,0.20532,0.40598
2014,No migration background,West,Full Time,0.33306,5637,15297,0.32560,0.34053
2014,No migration background,West,Part Time,0.19911,4217,15297,0.19279,0.20544
2014,No migration background,West,Not Working,0.33865,5443,15297,0.33115,0.34615
2014,No migration background,East,Full Time,0.34497,2004,5188,0.33203,0.35791
2014,No migration background,East,Part Time,0.17373,1174,5188,0.16342,0.18404
2014,No migration background,East,Not Working,0.34833,2010,5188,0.33537,0.36130
2014,Direct migration background,West,Full Time,0.33011,1808,4958,0.31702,0.34320
2014,Direct migration background,West,Part Time,0.29653,1527,4958,0.28381,0.30924
2014,Direct migration background,West,Not Working,0.34242,1623,4958,0.32921,0.35563
