year,migback,pgisced97,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Post-secondary Non-tertiary Level,Full Time,0.47075,82,174,0.39637,0.54513
1985,No migration background,Post-secondary Non-tertiary Level,Part Time,0.17780,34,174,0.12082,0.23477
1985,No migration background,Post-secondary Non-tertiary Level,Not Working,0.35145,58,174,0.28031,0.42260
1985,No migration background,First Stage of Tertiary Education,Full Time,0.54195,323,568,0.50094,0.58296
1985,No migration background,First Stage of Tertiary Education,Part Time,0.14641,89,568,0.11731,0.17551
1985,No migration background,First Stage of Tertiary Education,Not Working,0.31164,156,568,0.27352,0.34977
1985,No migration background,Second Stage of Tertiary Education,Full Time,0.60687,402,641,0.56902,0.64471
1985,No migration background,Second Stage of Tertiary Education,Part Time,0.17371,117,641,0.14436,0.20307
1985,No migration background,Second Stage of Tertiary Education,Not Working,0.21942,122,641,0.18735,0.25148
1985,Direct migration background,Primary Level,Full Time,0.44777,367,745,0.41204,0.48350
1985,Direct migration background,Primary Level,Part Time,0.12243,90,745,0.09888,0.14599
1985,Direct migration background,Primary Level,Not Working,0.42980,288,745,0.39422,0.46537
1985,Direct migration background,Lower Secondary Level,Full Time,0.41193,469,911,0.37995,0.44391
1985,Direct migration background,Lower Secondary Level,Part Time,0.17348,156,911,0.14888,0.19809
1985,Direct migration background,Lower Secondary Level,Not Working,0.41405,286,911,0.38205,0.44605
1985,Direct migration background,Upper Secondary Level,Full Time,0.52229,546,905,0.48973,0.55485
1985,Direct migration background,Upper Secondary Level,Part Time,0.18269,151,905,0.15750,0.20788
1985,Direct migration background,Upper Secondary Level,Not Working,0.29477,208,905,0.26505,0.32450
1985,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.51980,66,66,0.39834,0.64125
1985,Direct migration background,Second Stage of Tertiary Education,Full Time,0.46341,56,56,0.33162,0.59520
1985,Indirect migration background,Lower Secondary Level,Not Working,0.52941,32,32,0.35371,0.70512
1986,No migration background,Pre-primary Level,Not Working,0.96129,142,142,0.92944,0.99313
1986,No migration background,Primary Level,Not Working,0.53110,47,47,0.38689,0.67532
1986,No migration background,Lower Secondary Level,Full Time,0.24044,511,1931,0.22137,0.25950
1986,No migration background,Lower Secondary Level,Part Time,0.16014,350,1931,0.14378,0.17650
1986,No migration background,Lower Secondary Level,Not Working,0.59895,1070,1931,0.57708,0.62081
1986,No migration background,Upper Secondary Level,Full Time,0.44703,1928,4062,0.43174,0.46232
1986,No migration background,Upper Secondary Level,Part Time,0.16268,711,4062,0.15133,0.17403
1986,No migration background,Upper Secondary Level,Not Working,0.39029,1423,4062,0.37529,0.40530
1986,No migration background,Post-secondary Non-tertiary Level,Full Time,0.46892,82,171,0.39390,0.54394
1986,No migration background,Post-secondary Non-tertiary Level,Part Time,0.23389,40,171,0.17026,0.29752
1986,No migration background,Post-secondary Non-tertiary Level,Not Working,0.29719,49,171,0.22849,0.36589
1986,No migration background,First Stage of Tertiary Education,Full Time,0.52276,289,526,0.48003,0.56549
1986,No migration background,First Stage of Tertiary Education,Part Time,0.14758,90,526,0.11724,0.17792
1986,No migration background,First Stage of Tertiary Education,Not Working,0.32966,147,526,0.28944,0.36987
1986,No migration background,Second Stage of Tertiary Education,Full Time,0.62173,409,635,0.58398,0.65948
1986,No migration background,Second Stage of Tertiary Education,Part Time,0.15941,108,635,0.13092,0.18791
1986,No migration background,Second Stage of Tertiary Education,Not Working,0.21886,118,635,0.18667,0.25104
1986,Direct migration background,Primary Level,Full Time,0.43937,324,686,0.40220,0.47653
1986,Direct migration background,Primary Level,Part Time,0.12496,89,686,0.10020,0.14973
1986,Direct migration background,Primary Level,Not Working,0.43567,273,686,0.39854,0.47280
1986,Direct migration background,Lower Secondary Level,Full Time,0.41204,474,916,0.38014,0.44393
1986,Direct migration background,Lower Secondary Level,Part Time,0.16734,166,916,0.14315,0.19153
1986,Direct migration background,Lower Secondary Level,Not Working,0.41990,276,916,0.38792,0.45188
1986,Direct migration background,Upper Secondary Level,Full Time,0.51539,537,872,0.48220,0.54858
1986,Direct migration background,Upper Secondary Level,Part Time,0.19841,148,872,0.17193,0.22490
1986,Direct migration background,Upper Secondary Level,Not Working,0.28619,187,872,0.25618,0.31621
1986,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.57112,67,67,0.45171,0.69052
1986,Direct migration background,Second Stage of Tertiary Education,Full Time,0.55216,63,63,0.42838,0.67594
1987,No migration background,Pre-primary Level,Not Working,0.91507,139,139,0.86855,0.96158
1987,No migration background,Primary Level,Not Working,0.47936,36,36,0.31385,0.64487
1987,No migration background,Lower Secondary Level,Full Time,0.24673,499,1836,0.22700,0.26645
1987,No migration background,Lower Secondary Level,Part Time,0.17273,365,1836,0.15543,0.19002
1987,No migration background,Lower Secondary Level,Not Working,0.58054,972,1836,0.55797,0.60312
1987,No migration background,Upper Secondary Level,Full Time,0.46189,1983,4035,0.44650,0.47727
1987,No migration background,Upper Secondary Level,Part Time,0.15805,678,4035,0.14679,0.16930
1987,No migration background,Upper Secondary Level,Not Working,0.38007,1374,4035,0.36509,0.39505
1987,No migration background,Post-secondary Non-tertiary Level,Full Time,0.49966,91,173,0.42493,0.57438
1987,No migration background,Post-secondary Non-tertiary Level,Part Time,0.19613,32,173,0.13679,0.25548
1987,No migration background,Post-secondary Non-tertiary Level,Not Working,0.30421,50,173,0.23545,0.37297
1987,No migration background,First Stage of Tertiary Education,Full Time,0.51753,272,504,0.47386,0.56120
1987,No migration background,First Stage of Tertiary Education,Part Time,0.16516,91,504,0.13271,0.19761
1987,No migration background,First Stage of Tertiary Education,Not Working,0.31731,141,504,0.27663,0.35798
1987,No migration background,Second Stage of Tertiary Education,Full Time,0.60046,397,638,0.56242,0.63850
1987,No migration background,Second Stage of Tertiary Education,Part Time,0.17687,123,638,0.14724,0.20650
1987,No migration background,Second Stage of Tertiary Education,Not Working,0.22267,118,638,0.19036,0.25498
1987,Direct migration background,Pre-primary Level,Not Working,0.80474,31,31,0.66289,0.94659
1987,Direct migration background,Primary Level,Full Time,0.46070,321,668,0.42287,0.49853
1987,Direct migration background,Primary Level,Part Time,0.16268,98,668,0.13467,0.19069
1987,Direct migration background,Primary Level,Not Working,0.37662,249,668,0.33985,0.41340
1987,Direct migration background,Lower Secondary Level,Full Time,0.43294,487,937,0.40119,0.46468
1987,Direct migration background,Lower Secondary Level,Part Time,0.14101,153,937,0.11871,0.16330
1987,Direct migration background,Lower Secondary Level,Not Working,0.42571,297,937,0.39403,0.45739
1987,Direct migration background,Upper Secondary Level,Full Time,0.51205,535,862,0.47867,0.54544
1987,Direct migration background,Upper Secondary Level,Part Time,0.18239,134,862,0.15659,0.20818
1987,Direct migration background,Upper Secondary Level,Not Working,0.30556,193,862,0.27479,0.33633
1987,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.49680,62,62,0.37132,0.62227
1987,Direct migration background,Second Stage of Tertiary Education,Full Time,0.51164,54,54,0.37706,0.64621
1987,Indirect migration background,Lower Secondary Level,Not Working,0.58847,34,34,0.42057,0.75638
1987,Indirect migration background,Upper Secondary Level,Full Time,0.37210,33,33,0.20462,0.53957
1988,No migration background,Pre-primary Level,Not Working,0.94503,119,119,0.90391,0.98615
1988,No migration background,Primary Level,Not Working,0.59775,38,38,0.43975,0.75575
1988,No migration background,Lower Secondary Level,Full Time,0.24304,483,1727,0.22280,0.26327
1988,No migration background,Lower Secondary Level,Part Time,0.18253,360,1727,0.16430,0.20075
1988,No migration background,Lower Secondary Level,Not Working,0.57443,884,1727,0.55111,0.59776
1988,No migration background,Upper Secondary Level,Full Time,0.45926,1855,3827,0.44347,0.47505
1988,No migration background,Upper Secondary Level,Part Time,0.16599,685,3827,0.15420,0.17778
1988,No migration background,Upper Secondary Level,Not Working,0.37475,1287,3827,0.35941,0.39009
1988,No migration background,Post-secondary Non-tertiary Level,Full Time,0.48230,87,171,0.40719,0.55742
1988,No migration background,Post-secondary Non-tertiary Level,Part Time,0.20550,37,171,0.14476,0.26624
1988,No migration background,Post-secondary Non-tertiary Level,Not Working,0.31220,47,171,0.24254,0.38186
1988,No migration background,First Stage of Tertiary Education,Full Time,0.52710,263,479,0.48235,0.57186
1988,No migration background,First Stage of Tertiary Education,Part Time,0.15188,82,479,0.11970,0.18405
1988,No migration background,First Stage of Tertiary Education,Not Working,0.32102,134,479,0.27917,0.36287
1988,No migration background,Second Stage of Tertiary Education,Full Time,0.59455,378,613,0.55565,0.63345
1988,No migration background,Second Stage of Tertiary Education,Part Time,0.20059,125,613,0.16886,0.23232
1988,No migration background,Second Stage of Tertiary Education,Not Working,0.20486,110,613,0.17289,0.23684
1988,Direct migration background,Primary Level,Full Time,0.41274,269,613,0.37374,0.45175
1988,Direct migration background,Primary Level,Part Time,0.15624,91,613,0.12747,0.18500
1988,Direct migration background,Primary Level,Not Working,0.43102,253,613,0.39179,0.47026
1988,Direct migration background,Lower Secondary Level,Full Time,0.39095,446,910,0.35923,0.42267
1988,Direct migration background,Lower Secondary Level,Part Time,0.19386,189,910,0.16816,0.21956
1988,Direct migration background,Lower Secondary Level,Not Working,0.41519,275,910,0.38316,0.44722
1988,Direct migration background,Upper Secondary Level,Full Time,0.50835,517,831,0.47434,0.54236
1988,Direct migration background,Upper Secondary Level,Part Time,0.18261,131,831,0.15632,0.20889
1988,Direct migration background,Upper Secondary Level,Not Working,0.30904,183,831,0.27761,0.34048
1988,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.50220,53,53,0.36630,0.63810
1988,Direct migration background,Second Stage of Tertiary Education,Full Time,0.44602,49,49,0.30540,0.58665
1988,Indirect migration background,Lower Secondary Level,Not Working,0.57293,41,41,0.41963,0.72622
1988,Indirect migration background,Upper Secondary Level,Full Time,0.34875,37,37,0.19307,0.50443
1989,No migration background,Pre-primary Level,Not Working,0.88656,108,108,0.82647,0.94665
1989,No migration background,Primary Level,Not Working,0.60445,36,36,0.44246,0.76645
1989,No migration background,Lower Secondary Level,Full Time,0.24783,453,1590,0.22660,0.26906
1989,No migration background,Lower Secondary Level,Part Time,0.17533,311,1590,0.15664,0.19403
1989,No migration background,Lower Secondary Level,Not Working,0.57684,826,1590,0.55254,0.60113
1989,No migration background,Upper Secondary Level,Full Time,0.47052,1831,3707,0.45445,0.48659
1989,No migration background,Upper Secondary Level,Part Time,0.15694,650,3707,0.14523,0.16865
1989,No migration background,Upper Secondary Level,Not Working,0.37254,1226,3707,0.35697,0.38811
1989,No migration background,Post-secondary Non-tertiary Level,Full Time,0.50155,102,192,0.43064,0.57246
1989,No migration background,Post-secondary Non-tertiary Level,Part Time,0.19081,38,192,0.13508,0.24654
1989,No migration background,Post-secondary Non-tertiary Level,Not Working,0.30764,52,192,0.24219,0.37309
1989,No migration background,First Stage of Tertiary Education,Full Time,0.52895,255,459,0.48323,0.57466
1989,No migration background,First Stage of Tertiary Education,Part Time,0.16141,77,459,0.12772,0.19511
1989,No migration background,First Stage of Tertiary Education,Not Working,0.30964,127,459,0.26730,0.35198
1989,No migration background,Second Stage of Tertiary Education,Full Time,0.61104,384,606,0.57219,0.64989
1989,No migration background,Second Stage of Tertiary Education,Part Time,0.17990,116,606,0.14929,0.21051
1989,No migration background,Second Stage of Tertiary Education,Not Working,0.20906,106,606,0.17666,0.24146
1989,Direct migration background,Primary Level,Full Time,0.40132,243,574,0.36119,0.44146
1989,Direct migration background,Primary Level,Part Time,0.15973,86,574,0.12974,0.18973
1989,Direct migration background,Primary Level,Not Working,0.43894,245,574,0.39831,0.47958
1989,Direct migration background,Lower Secondary Level,Full Time,0.39244,457,874,0.36005,0.42483
1989,Direct migration background,Lower Secondary Level,Part Time,0.17851,155,874,0.15310,0.20391
1989,Direct migration background,Lower Secondary Level,Not Working,0.42905,262,874,0.39622,0.46189
1989,Direct migration background,Upper Secondary Level,Full Time,0.50857,506,829,0.47452,0.54262
1989,Direct migration background,Upper Secondary Level,Part Time,0.16159,127,829,0.13652,0.18666
1989,Direct migration background,Upper Secondary Level,Not Working,0.32985,196,829,0.29782,0.36187
1989,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.45840,51,51,0.32029,0.59651
1989,Direct migration background,Second Stage of Tertiary Education,Full Time,0.50223,51,51,0.36363,0.64082
1989,Indirect migration background,Lower Secondary Level,Full Time,0.28093,39,88,0.18648,0.37538
1989,Indirect migration background,Lower Secondary Level,Not Working,0.56047,49,88,0.45617,0.66476
1989,Indirect migration background,Upper Secondary Level,Full Time,0.40730,44,44,0.26044,0.55416
1990,No migration background,Pre-primary Level,Not Working,0.80076,89,89,0.71730,0.88421
1990,No migration background,Lower Secondary Level,Full Time,0.21416,415,1497,0.19337,0.23495
1990,No migration background,Lower Secondary Level,Part Time,0.16367,307,1497,0.14492,0.18242
1990,No migration background,Lower Secondary Level,Not Working,0.48556,775,1497,0.46023,0.51088
1990,No migration background,Upper Secondary Level,Full Time,0.36851,1798,3643,0.35284,0.38418
1990,No migration background,Upper Secondary Level,Part Time,0.13074,654,3643,0.11979,0.14169
1990,No migration background,Upper Secondary Level,Not Working,0.28010,1191,3643,0.26551,0.29468
1990,No migration background,Post-secondary Non-tertiary Level,Full Time,0.43351,95,191,0.36305,0.50398
1990,No migration background,Post-secondary Non-tertiary Level,Part Time,0.18927,45,191,0.13357,0.24497
1990,No migration background,Post-secondary Non-tertiary Level,Not Working,0.24251,51,191,0.18157,0.30346
1990,No migration background,First Stage of Tertiary Education,Full Time,0.43104,256,459,0.38568,0.47639
1990,No migration background,First Stage of Tertiary Education,Part Time,0.12337,79,459,0.09325,0.15349
1990,No migration background,First Stage of Tertiary Education,Not Working,0.25609,124,459,0.21612,0.29607
1990,No migration background,Second Stage of Tertiary Education,Full Time,0.37663,380,606,0.33802,0.41524
1990,No migration background,Second Stage of Tertiary Education,Part Time,0.11332,114,606,0.08806,0.13858
1990,No migration background,Second Stage of Tertiary Education,Not Working,0.12728,112,606,0.10073,0.15384
1990,Direct migration background,Primary Level,Full Time,0.38367,223,547,0.34288,0.42446
1990,Direct migration background,Primary Level,Part Time,0.17856,96,547,0.14644,0.21069
1990,Direct migration background,Primary Level,Not Working,0.42433,228,547,0.38287,0.46578
1990,Direct migration background,Lower Secondary Level,Full Time,0.39203,446,855,0.35928,0.42477
1990,Direct migration background,Lower Secondary Level,Part Time,0.16435,148,855,0.13949,0.18920
1990,Direct migration background,Lower Secondary Level,Not Working,0.41298,261,855,0.37996,0.44600
1990,Direct migration background,Upper Secondary Level,Full Time,0.48984,494,801,0.45519,0.52448
1990,Direct migration background,Upper Secondary Level,Part Time,0.13516,113,801,0.11147,0.15886
1990,Direct migration background,Upper Secondary Level,Not Working,0.28752,194,801,0.25616,0.31889
1990,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.39709,52,52,0.26280,0.53138
1990,Direct migration background,Second Stage of Tertiary Education,Full Time,0.41485,55,55,0.28343,0.54626
1990,Indirect migration background,Pre-primary Level,Not Working,0.97243,32,32,0.91479,1.03007
1990,Indirect migration background,Lower Secondary Level,Full Time,0.27301,41,117,0.19193,0.35408
1990,Indirect migration background,Lower Secondary Level,Part Time,0.33877,35,117,0.25264,0.42490
1990,Indirect migration background,Lower Secondary Level,Not Working,0.38822,41,117,0.29954,0.47691
1990,Indirect migration background,Upper Secondary Level,Full Time,0.26725,42,42,0.13179,0.40270
1991,No migration background,Pre-primary Level,Not Working,0.80262,81,81,0.71540,0.88984
1991,No migration background,Lower Secondary Level,Full Time,0.21535,412,1434,0.19406,0.23663
1991,No migration background,Lower Secondary Level,Part Time,0.14728,271,1434,0.12893,0.16563
1991,No migration background,Lower Secondary Level,Not Working,0.50022,751,1434,0.47433,0.52611
1991,No migration background,Upper Secondary Level,Full Time,0.35615,1760,3613,0.34054,0.37177
1991,No migration background,Upper Secondary Level,Part Time,0.13213,678,3613,0.12109,0.14318
1991,No migration background,Upper Secondary Level,Not Working,0.27765,1175,3613,0.26304,0.29225
1991,No migration background,Post-secondary Non-tertiary Level,Full Time,0.43997,101,199,0.37083,0.50911
1991,No migration background,Post-secondary Non-tertiary Level,Part Time,0.23086,55,199,0.17217,0.28956
1991,No migration background,Post-secondary Non-tertiary Level,Not Working,0.19193,43,199,0.13707,0.24678
1991,No migration background,First Stage of Tertiary Education,Full Time,0.42366,260,465,0.37869,0.46862
1991,No migration background,First Stage of Tertiary Education,Part Time,0.12955,80,465,0.09900,0.16011
1991,No migration background,First Stage of Tertiary Education,Not Working,0.25731,125,465,0.21753,0.29708
1991,No migration background,Second Stage of Tertiary Education,Full Time,0.36224,381,628,0.32461,0.39986
1991,No migration background,Second Stage of Tertiary Education,Part Time,0.12043,123,628,0.09495,0.14590
1991,No migration background,Second Stage of Tertiary Education,Not Working,0.13416,124,628,0.10748,0.16084
1991,Direct migration background,Primary Level,Full Time,0.41144,224,533,0.36962,0.45325
1991,Direct migration background,Primary Level,Part Time,0.16712,90,533,0.13541,0.19882
1991,Direct migration background,Primary Level,Not Working,0.40642,219,533,0.36468,0.44816
1991,Direct migration background,Lower Secondary Level,Full Time,0.41932,450,829,0.38570,0.45293
1991,Direct migration background,Lower Secondary Level,Part Time,0.16935,144,829,0.14380,0.19490
1991,Direct migration background,Lower Secondary Level,Not Working,0.37590,235,829,0.34291,0.40889
1991,Direct migration background,Upper Secondary Level,Full Time,0.45709,487,801,0.42257,0.49161
1991,Direct migration background,Upper Secondary Level,Part Time,0.16160,113,801,0.13610,0.18711
1991,Direct migration background,Upper Secondary Level,Not Working,0.28257,201,801,0.25137,0.31377
1991,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.38842,47,47,0.24757,0.52927
1991,Direct migration background,Second Stage of Tertiary Education,Full Time,0.38937,52,52,0.25555,0.52320
1991,Indirect migration background,Pre-primary Level,Not Working,0.95295,32,32,0.87840,1.02749
1991,Indirect migration background,Lower Secondary Level,Full Time,0.37491,59,108,0.28319,0.46664
1991,Indirect migration background,Lower Secondary Level,Not Working,0.33257,49,108,0.24330,0.42184
1991,Indirect migration background,Upper Secondary Level,Full Time,0.32394,57,89,0.22617,0.42172
1991,Indirect migration background,Upper Secondary Level,Not Working,0.32676,32,89,0.22876,0.42476
1992,No migration background,Pre-primary Level,Not Working,0.80872,102,102,0.73201,0.88542
1992,No migration background,Primary Level,Not Working,0.51446,41,41,0.35958,0.66935
1992,No migration background,Lower Secondary Level,Full Time,0.22708,482,1797,0.20770,0.24645
1992,No migration background,Lower Secondary Level,Part Time,0.17087,343,1797,0.15346,0.18827
1992,No migration background,Lower Secondary Level,Not Working,0.60163,972,1797,0.57899,0.62427
1992,No migration background,Upper Secondary Level,Full Time,0.47299,2949,5753,0.46008,0.48589
1992,No migration background,Upper Secondary Level,Part Time,0.17595,1130,5753,0.16611,0.18579
1992,No migration background,Upper Secondary Level,Not Working,0.35106,1674,5753,0.33873,0.36340
1992,No migration background,Post-secondary Non-tertiary Level,Full Time,0.52542,150,275,0.46630,0.58455
1992,No migration background,Post-secondary Non-tertiary Level,Part Time,0.22727,62,275,0.17765,0.27689
1992,No migration background,Post-secondary Non-tertiary Level,Not Working,0.24731,63,275,0.19622,0.29840
1992,No migration background,First Stage of Tertiary Education,Full Time,0.55969,434,696,0.52279,0.59660
1992,No migration background,First Stage of Tertiary Education,Part Time,0.15496,110,696,0.12806,0.18187
1992,No migration background,First Stage of Tertiary Education,Not Working,0.28534,152,696,0.25177,0.31892
1992,No migration background,Second Stage of Tertiary Education,Full Time,0.60192,974,1521,0.57731,0.62653
1992,No migration background,Second Stage of Tertiary Education,Part Time,0.20690,305,1521,0.18654,0.22727
1992,No migration background,Second Stage of Tertiary Education,Not Working,0.19118,242,1521,0.17141,0.21094
1992,Direct migration background,Primary Level,Full Time,0.42972,214,513,0.38684,0.47260
1992,Direct migration background,Primary Level,Part Time,0.15335,82,513,0.12214,0.18456
1992,Direct migration background,Primary Level,Not Working,0.41693,217,513,0.37422,0.45964
1992,Direct migration background,Lower Secondary Level,Full Time,0.41870,428,821,0.38493,0.45247
1992,Direct migration background,Lower Secondary Level,Part Time,0.18255,148,821,0.15611,0.20899
1992,Direct migration background,Lower Secondary Level,Not Working,0.39875,245,821,0.36523,0.43226
1992,Direct migration background,Upper Secondary Level,Full Time,0.51650,491,848,0.48284,0.55015
1992,Direct migration background,Upper Secondary Level,Part Time,0.15637,128,848,0.13191,0.18083
1992,Direct migration background,Upper Secondary Level,Not Working,0.32713,229,848,0.29554,0.35873
1992,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.40539,50,82,0.29846,0.51231
1992,Direct migration background,Post-secondary Non-tertiary Level,Not Working,0.37482,32,82,0.26940,0.48024
1992,Direct migration background,First Stage of Tertiary Education,Full Time,0.65043,37,37,0.49467,0.80620
1992,Direct migration background,Second Stage of Tertiary Education,Full Time,0.52091,78,78,0.40933,0.63250
1992,Indirect migration background,Pre-primary Level,Not Working,0.92237,46,46,0.84419,1.00055
1992,Indirect migration background,Lower Secondary Level,Full Time,0.35678,69,166,0.28369,0.42988
1992,Indirect migration background,Lower Secondary Level,Part Time,0.31492,45,166,0.24405,0.38580
1992,Indirect migration background,Lower Secondary Level,Not Working,0.31954,52,166,0.24839,0.39069
1992,Indirect migration background,Upper Secondary Level,Full Time,0.40380,64,64,0.28264,0.52496
1993,No migration background,Pre-primary Level,Not Working,0.88070,113,113,0.82066,0.94073
1993,No migration background,Primary Level,Not Working,0.55711,43,43,0.40688,0.70734
1993,No migration background,Lower Secondary Level,Full Time,0.22273,435,1702,0.20296,0.24251
1993,No migration background,Lower Secondary Level,Part Time,0.17220,333,1702,0.15426,0.19014
1993,No migration background,Lower Secondary Level,Not Working,0.60507,934,1702,0.58183,0.62830
1993,No migration background,Upper Secondary Level,Full Time,0.46064,2808,5680,0.44767,0.47360
1993,No migration background,Upper Secondary Level,Part Time,0.17221,1079,5680,0.16239,0.18203
1993,No migration background,Upper Secondary Level,Not Working,0.36716,1793,5680,0.35462,0.37969
1993,No migration background,Post-secondary Non-tertiary Level,Full Time,0.48566,143,278,0.42680,0.54452
1993,No migration background,Post-secondary Non-tertiary Level,Part Time,0.25635,69,278,0.20493,0.30777
1993,No migration background,Post-secondary Non-tertiary Level,Not Working,0.25799,66,278,0.20647,0.30952
1993,No migration background,First Stage of Tertiary Education,Full Time,0.55804,415,678,0.52063,0.59545
1993,No migration background,First Stage of Tertiary Education,Part Time,0.15946,109,678,0.13189,0.18704
1993,No migration background,First Stage of Tertiary Education,Not Working,0.28250,154,678,0.24858,0.31641
1993,No migration background,Second Stage of Tertiary Education,Full Time,0.58184,941,1500,0.55687,0.60681
1993,No migration background,Second Stage of Tertiary Education,Part Time,0.19638,269,1500,0.17627,0.21649
1993,No migration background,Second Stage of Tertiary Education,Not Working,0.22177,290,1500,0.20074,0.24281
1993,Direct migration background,Primary Level,Full Time,0.39843,195,503,0.35561,0.44126
1993,Direct migration background,Primary Level,Part Time,0.12633,73,503,0.09727,0.15539
1993,Direct migration background,Primary Level,Not Working,0.47524,235,503,0.43155,0.51892
1993,Direct migration background,Lower Secondary Level,Full Time,0.41987,396,783,0.38528,0.45446
1993,Direct migration background,Lower Secondary Level,Part Time,0.18457,148,783,0.15738,0.21176
1993,Direct migration background,Lower Secondary Level,Not Working,0.39556,239,783,0.36129,0.42984
1993,Direct migration background,Upper Secondary Level,Full Time,0.49245,471,839,0.45861,0.52630
1993,Direct migration background,Upper Secondary Level,Part Time,0.16557,128,839,0.14040,0.19073
1993,Direct migration background,Upper Secondary Level,Not Working,0.34198,240,839,0.30986,0.37410
1993,Direct migration background,Post-secondary Non-tertiary Level,Full Time,0.37656,48,48,0.23803,0.51508
1993,Direct migration background,First Stage of Tertiary Education,Full Time,0.56732,32,32,0.39291,0.74173
1993,Direct migration background,Second Stage of Tertiary Education,Full Time,0.47346,74,105,0.37750,0.56942
1993,Direct migration background,Second Stage of Tertiary Education,Not Working,0.32112,31,105,0.23138,0.41086
1993,Indirect migration background,Pre-primary Level,Not Working,0.98110,46,46,0.94132,1.02089
1993,Indirect migration background,Lower Secondary Level,Full Time,0.36003,72,193,0.29213,0.42793
1993,Indirect migration background,Lower Secondary Level,Part Time,0.30157,61,193,0.23665,0.36649
1993,Indirect migration background,Lower Secondary Level,Not Working,0.33840,60,193,0.27147,0.40533
1993,Indirect migration background,Upper Secondary Level,Full Time,0.41648,74,115,0.32599,0.50698
1993,Indirect migration background,Upper Secondary Level,Part Time,0.32692,41,115,0.24081,0.41303
1994,No migration background,Pre-primary Level,Not Working,0.92462,153,153,0.88265,0.96659
