"e11103","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Teilzeit","1984","Hauptschule","indirekter Migrationshintergrund","11","","",""
"Teilzeit","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","Realschule","kein Migrationshintergrund","290","0.15984180332746","0.142513253042009","0.17717035361291"
"Teilzeit","1984","Realschule","direkter Migrationshintergrund","41","0.26349182010331","0.190257770997186","0.336725869209433"
"Teilzeit","1984","Realschule","indirekter Migrationshintergrund","5","","",""
"Teilzeit","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","(Fach-)Abitur","kein Migrationshintergrund","127","0.204485432968853","0.171913337455574","0.237057528482133"
"Teilzeit","1984","(Fach-)Abitur","direkter Migrationshintergrund","53","0.226773901115577","0.17701011362719","0.276537688603964"
"Teilzeit","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","AkademikerIn","kein Migrationshintergrund","139","0.198927580380028","0.168610011963449","0.229245148796607"
"Teilzeit","1984","AkademikerIn","direkter Migrationshintergrund","25","","",""
"Teilzeit","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","kein Migrationshintergrund","190","0.840099592320127","0.792420790283984","0.887778394356269"
"nicht erwerbstätig","1984","(noch) kein Abschluss","direkter Migrationshintergrund","375","0.382627067225095","0.353088252940208","0.412165881509981"
"nicht erwerbstätig","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","10","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Hauptschule","kein Migrationshintergrund","2401","0.478799721087285","0.465535890959211","0.492063551215358"
"nicht erwerbstätig","1984","Hauptschule","direkter Migrationshintergrund","435","0.317958123350973","0.295995085749531","0.339921160952414"
"nicht erwerbstätig","1984","Hauptschule","indirekter Migrationshintergrund","25","","",""
"nicht erwerbstätig","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Realschule","kein Migrationshintergrund","586","0.372552166360197","0.349689921600952","0.395414411119441"
"nicht erwerbstätig","1984","Realschule","direkter Migrationshintergrund","49","0.399436506029074","0.318014081041523","0.480858931016625"
"nicht erwerbstätig","1984","Realschule","indirekter Migrationshintergrund","14","","",""
"nicht erwerbstätig","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","(Fach-)Abitur","kein Migrationshintergrund","277","0.4809680882868","0.44061789633776","0.52131828023584"
"nicht erwerbstätig","1984","(Fach-)Abitur","direkter Migrationshintergrund","81","0.374081498923623","0.316576493570501","0.431586504276744"
"nicht erwerbstätig","1984","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"nicht erwerbstätig","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","AkademikerIn","kein Migrationshintergrund","129","0.221320639587763","0.1897922878862","0.252848991289326"
"nicht erwerbstätig","1984","AkademikerIn","direkter Migrationshintergrund","30","0.301059938565555","0.21932610726214","0.382793769868971"
"nicht erwerbstätig","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"nicht erwerbstätig","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1985","(noch) kein Abschluss","kein Migrationshintergrund","17","","",""
"Vollzeit","1985","(noch) kein Abschluss","direkter Migrationshintergrund","418","0.456589698570524","0.422984701980027","0.49019469516102"
"Vollzeit","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Vollzeit","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1985","Hauptschule","kein Migrationshintergrund","1948","0.370332364626855","0.356751870906486","0.383912858347224"
"Vollzeit","1985","Hauptschule","direkter Migrationshintergrund","877","0.499046179965404","0.473776869749726","0.524315490181081"
"Vollzeit","1985","Hauptschule","indirekter Migrationshintergrund","37","0.391828886815214","0.284858339760578","0.49879943386985"
"Vollzeit","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1985","Realschule","kein Migrationshintergrund","788","0.455027456837036","0.430970577588937","0.479084336085135"
"Vollzeit","1985","Realschule","direkter Migrationshintergrund","51","0.366954488809947","0.286540405235281","0.447368572384613"
"Vollzeit","1985","Realschule","indirekter Migrationshintergrund","10","","",""
"Vollzeit","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1985","(Fach-)Abitur","kein Migrationshintergrund","170","0.321282984903687","0.282327664243491","0.360238305563883"
"Vollzeit","1985","(Fach-)Abitur","direkter Migrationshintergrund","117","0.374008939425297","0.311475944363607","0.436541934486987"
"Vollzeit","1985","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Vollzeit","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1985","AkademikerIn","kein Migrationshintergrund","402","0.606839974685624","0.569026999976479","0.644652949394769"
"Vollzeit","1985","AkademikerIn","direkter Migrationshintergrund","57","0.468011905909939","0.374765703067209","0.561258108752669"
"Vollzeit","1985","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Vollzeit","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","(noch) kein Abschluss","kein Migrationshintergrund","14","","",""
"Teilzeit","1985","(noch) kein Abschluss","direkter Migrationshintergrund","96","0.110279207323884","0.0891467229922285","0.13141169165554"
"Teilzeit","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","Hauptschule","kein Migrationshintergrund","805","0.151487090104921","0.141404291835905","0.161569888373938"
"Teilzeit","1985","Hauptschule","direkter Migrationshintergrund","240","0.164155071286273","0.145434711946156","0.18287543062639"
"Teilzeit","1985","Hauptschule","indirekter Migrationshintergrund","11","","",""
"Teilzeit","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","Realschule","kein Migrationshintergrund","292","0.167135093917252","0.149110965129609","0.185159222704894"
"Teilzeit","1985","Realschule","direkter Migrationshintergrund","40","0.240746724816481","0.169415106246708","0.312078343386255"
"Teilzeit","1985","Realschule","indirekter Migrationshintergrund","7","","",""
"Teilzeit","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","(Fach-)Abitur","kein Migrationshintergrund","137","0.23722509121259","0.201739090034904","0.272711092390275"
"Teilzeit","1985","(Fach-)Abitur","direkter Migrationshintergrund","44","0.258593858690545","0.202006246843325","0.315181470537766"
"Teilzeit","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Teilzeit","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1985","AkademikerIn","kein Migrationshintergrund","117","0.173701308229794","0.144372855375637","0.20302976108395"
"Teilzeit","1985","AkademikerIn","direkter Migrationshintergrund","27","","",""
"Teilzeit","1985","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","(noch) kein Abschluss","kein Migrationshintergrund","195","0.86201625371551","0.81705218894068","0.90698031849034"
"nicht erwerbstätig","1985","(noch) kein Abschluss","direkter Migrationshintergrund","330","0.433131094105592","0.39970174914986","0.466560439061324"
"nicht erwerbstätig","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","14","","",""
"nicht erwerbstätig","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","Hauptschule","kein Migrationshintergrund","2104","0.478180545268224","0.464132363300607","0.49222872723584"
"nicht erwerbstätig","1985","Hauptschule","direkter Migrationshintergrund","387","0.336798748748323","0.312913373091221","0.360684124405425"
"nicht erwerbstätig","1985","Hauptschule","indirekter Migrationshintergrund","32","0.322843221625328","0.22038577020379","0.425300673046866"
"nicht erwerbstätig","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","Realschule","kein Migrationshintergrund","566","0.377837449245712","0.354414714016468","0.401260184474957"
"nicht erwerbstätig","1985","Realschule","direkter Migrationshintergrund","47","0.392298786373572","0.310835470806979","0.473762101940165"
"nicht erwerbstätig","1985","Realschule","indirekter Migrationshintergrund","14","","",""
"nicht erwerbstätig","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","(Fach-)Abitur","kein Migrationshintergrund","245","0.441491923883724","0.400067673069259","0.482916174698188"
"nicht erwerbstätig","1985","(Fach-)Abitur","direkter Migrationshintergrund","69","0.367397201884158","0.305092955184904","0.429701448583411"
"nicht erwerbstätig","1985","(Fach-)Abitur","indirekter Migrationshintergrund","4","","",""
"nicht erwerbstätig","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","AkademikerIn","kein Migrationshintergrund","122","0.219458717084582","0.187418648781868","0.251498785387297"
"nicht erwerbstätig","1985","AkademikerIn","direkter Migrationshintergrund","26","","",""
"nicht erwerbstätig","1985","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"nicht erwerbstätig","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1986","(noch) kein Abschluss","kein Migrationshintergrund","18","","",""
"Vollzeit","1986","(noch) kein Abschluss","direkter Migrationshintergrund","373","0.442766368069781","0.408107405250693","0.477425330888869"
"Vollzeit","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Vollzeit","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1986","Hauptschule","kein Migrationshintergrund","1872","0.379727542694706","0.36558699935453","0.393868086034881"
"Vollzeit","1986","Hauptschule","direkter Migrationshintergrund","868","0.48303910721873","0.457580348498146","0.508497865939314"
"Vollzeit","1986","Hauptschule","indirekter Migrationshintergrund","36","0.373024768757854","0.270215408853719","0.47583412866199"
"Vollzeit","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1986","Realschule","kein Migrationshintergrund","765","0.453862453580982","0.429436878746432","0.478288028415531"
"Vollzeit","1986","Realschule","direkter Migrationshintergrund","63","0.426734214991038","0.346229589575215","0.507238840406861"
"Vollzeit","1986","Realschule","indirekter Migrationshintergrund","13","","",""
"Vollzeit","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1986","(Fach-)Abitur","kein Migrationshintergrund","174","0.312458332717117","0.274408195244573","0.350508470189662"
"Vollzeit","1986","(Fach-)Abitur","direkter Migrationshintergrund","118","0.410264699781489","0.346557137502309","0.473972262060669"
"Vollzeit","1986","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Vollzeit","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1986","AkademikerIn","kein Migrationshintergrund","409","0.62159300480452","0.583871078206968","0.659314931402072"
"Vollzeit","1986","AkademikerIn","direkter Migrationshintergrund","63","0.552174973842401","0.459247466474727","0.645102481210074"
"Vollzeit","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Vollzeit","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","(noch) kein Abschluss","kein Migrationshintergrund","12","","",""
"Teilzeit","1986","(noch) kein Abschluss","direkter Migrationshintergrund","100","0.125843739007863","0.102700724247988","0.148986753767738"
"Teilzeit","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","Hauptschule","kein Migrationshintergrund","734","0.146690536407058","0.136382092105891","0.156998980708224"
"Teilzeit","1986","Hauptschule","direkter Migrationshintergrund","251","0.174424710081287","0.155091695384952","0.193757724777621"
"Teilzeit","1986","Hauptschule","indirekter Migrationshintergrund","21","","",""
"Teilzeit","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","Realschule","kein Migrationshintergrund","305","0.176433108279658","0.157731837015602","0.195134379543715"
"Teilzeit","1986","Realschule","direkter Migrationshintergrund","31","0.200665446647305","0.135477893267158","0.265853000027451"
"Teilzeit","1986","Realschule","indirekter Migrationshintergrund","7","","",""
"Teilzeit","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","(Fach-)Abitur","kein Migrationshintergrund","157","0.268677316816643","0.232287431539146","0.30506720209414"
"Teilzeit","1986","(Fach-)Abitur","direkter Migrationshintergrund","37","0.178788853938459","0.129160715189425","0.228416992687493"
"Teilzeit","1986","(Fach-)Abitur","indirekter Migrationshintergrund","4","","",""
"Teilzeit","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1986","AkademikerIn","kein Migrationshintergrund","108","0.159611576273863","0.131125446244278","0.188097706303447"
"Teilzeit","1986","AkademikerIn","direkter Migrationshintergrund","22","","",""
"Teilzeit","1986","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Teilzeit","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","(noch) kein Abschluss","kein Migrationshintergrund","189","0.826799393278035","0.776680576122908","0.876918210433162"
"nicht erwerbstätig","1986","(noch) kein Abschluss","direkter Migrationshintergrund","316","0.431389892922356","0.396831633553037","0.465948152291675"
"nicht erwerbstätig","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","16","","",""
"nicht erwerbstätig","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","Hauptschule","kein Migrationshintergrund","1919","0.473581920898237","0.459033972408424","0.48812986938805"
"nicht erwerbstätig","1986","Hauptschule","direkter Migrationshintergrund","361","0.342536182699984","0.318358961240597","0.36671340415937"
"nicht erwerbstätig","1986","Hauptschule","indirekter Migrationshintergrund","28","","",""
"nicht erwerbstätig","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","Realschule","kein Migrationshintergrund","526","0.36970443813936","0.346021744109146","0.393387132169574"
"nicht erwerbstätig","1986","Realschule","direkter Migrationshintergrund","51","0.372600338361657","0.29390339716911","0.451297279554204"
"nicht erwerbstätig","1986","Realschule","indirekter Migrationshintergrund","11","","",""
"nicht erwerbstätig","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","(Fach-)Abitur","kein Migrationshintergrund","239","0.41886435046624","0.378361450283201","0.459367250649278"
"nicht erwerbstätig","1986","(Fach-)Abitur","direkter Migrationshintergrund","74","0.410946446280052","0.347222838680752","0.474670053879353"
"nicht erwerbstätig","1986","(Fach-)Abitur","indirekter Migrationshintergrund","4","","",""
"nicht erwerbstätig","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1986","AkademikerIn","kein Migrationshintergrund","118","0.218795418921617","0.186639366249461","0.250951471593774"
"nicht erwerbstätig","1986","AkademikerIn","direkter Migrationshintergrund","25","","",""
"nicht erwerbstätig","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"nicht erwerbstätig","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1987","(noch) kein Abschluss","kein Migrationshintergrund","16","","",""
"Vollzeit","1987","(noch) kein Abschluss","direkter Migrationshintergrund","373","0.469423090845203","0.434218780740888","0.504627400949519"
"Vollzeit","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","4","","",""
"Vollzeit","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1987","Hauptschule","kein Migrationshintergrund","1855","0.384037230384244","0.369711783427008","0.39836267734148"
"Vollzeit","1987","Hauptschule","direkter Migrationshintergrund","877","0.486342218265907","0.46098940785476","0.511695028677054"
"Vollzeit","1987","Hauptschule","indirekter Migrationshintergrund","42","0.367754717869076","0.270791233484023","0.46471820225413"
"Vollzeit","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1987","Realschule","kein Migrationshintergrund","790","0.484116328218069","0.459459037932194","0.508773618503944"
"Vollzeit","1987","Realschule","direkter Migrationshintergrund","57","0.408476521480505","0.329014617531126","0.487938425429884"
"Vollzeit","1987","Realschule","indirekter Migrationshintergrund","15","","",""
"Vollzeit","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1987","(Fach-)Abitur","kein Migrationshintergrund","199","0.365736880677766","0.325038600149729","0.406435161205803"
"Vollzeit","1987","(Fach-)Abitur","direkter Migrationshintergrund","118","0.427406511723561","0.363193293375347","0.491619730071775"
"Vollzeit","1987","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Vollzeit","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1987","AkademikerIn","kein Migrationshintergrund","397","0.600426377966952","0.562419163754954","0.63843359217895"
"Vollzeit","1987","AkademikerIn","direkter Migrationshintergrund","54","0.511642871588931","0.413671244542166","0.609614498635695"
"Vollzeit","1987","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Vollzeit","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","(noch) kein Abschluss","kein Migrationshintergrund","20","","",""
"Teilzeit","1987","(noch) kein Abschluss","direkter Migrationshintergrund","104","0.153259473664167","0.127848092013411","0.178670855314922"
"Teilzeit","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","Hauptschule","kein Migrationshintergrund","742","0.153149609005562","0.142542291288784","0.163756926722339"
"Teilzeit","1987","Hauptschule","direkter Migrationshintergrund","224","0.151945971247756","0.133737455639921","0.17015448685559"
"Teilzeit","1987","Hauptschule","indirekter Migrationshintergrund","18","","",""
"Teilzeit","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","Realschule","kein Migrationshintergrund","302","0.173871780682656","0.155172156809082","0.19257140455623"
"Teilzeit","1987","Realschule","direkter Migrationshintergrund","36","0.183450351620131","0.120884120307584","0.246016582932679"
"Teilzeit","1987","Realschule","indirekter Migrationshintergrund","5","","",""
"Teilzeit","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","(Fach-)Abitur","kein Migrationshintergrund","124","0.231570408205093","0.195925251832716","0.26721556457747"
"Teilzeit","1987","(Fach-)Abitur","direkter Migrationshintergrund","47","0.252740539016518","0.196330833521299","0.309150244511737"
"Teilzeit","1987","(Fach-)Abitur","indirekter Migrationshintergrund","6","","",""
"Teilzeit","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1987","AkademikerIn","kein Migrationshintergrund","123","0.176933063940176","0.147321603413382","0.20654452446697"
"Teilzeit","1987","AkademikerIn","direkter Migrationshintergrund","22","","",""
"Teilzeit","1987","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Teilzeit","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","(noch) kein Abschluss","kein Migrationshintergrund","175","0.795804445078119","0.741412675845491","0.850196214310746"
"nicht erwerbstätig","1987","(noch) kein Abschluss","direkter Migrationshintergrund","295","0.37731743549063","0.343125299623712","0.411509571357548"
"nicht erwerbstätig","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","15","","",""
"nicht erwerbstätig","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","Hauptschule","kein Migrationshintergrund","1831","0.462813160610195","0.448126947797845","0.477499373422544"
"nicht erwerbstätig","1987","Hauptschule","direkter Migrationshintergrund","392","0.361711810486337","0.337338869543713","0.386084751428961"
"nicht erwerbstätig","1987","Hauptschule","indirekter Migrationshintergrund","35","0.415260263228074","0.316170730647644","0.514349795808503"
"nicht erwerbstätig","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","Realschule","kein Migrationshintergrund","486","0.342011891099275","0.318606051896728","0.365417730301822"
"nicht erwerbstätig","1987","Realschule","direkter Migrationshintergrund","54","0.408073126899364","0.328623392422394","0.487522861376334"
"nicht erwerbstätig","1987","Realschule","indirekter Migrationshintergrund","14","","",""
"nicht erwerbstätig","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","(Fach-)Abitur","kein Migrationshintergrund","215","0.402692711117141","0.361250516604024","0.444134905630258"
"nicht erwerbstätig","1987","(Fach-)Abitur","direkter Migrationshintergrund","63","0.319852949259921","0.259310880511358","0.380395018008485"
"nicht erwerbstätig","1987","(Fach-)Abitur","indirekter Migrationshintergrund","7","","",""
"nicht erwerbstätig","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1987","AkademikerIn","kein Migrationshintergrund","118","0.222640558092872","0.19035927178919","0.254921844396554"
"nicht erwerbstätig","1987","AkademikerIn","direkter Migrationshintergrund","24","","",""
"nicht erwerbstätig","1987","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"nicht erwerbstätig","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1988","(noch) kein Abschluss","kein Migrationshintergrund","16","","",""
"Vollzeit","1988","(noch) kein Abschluss","direkter Migrationshintergrund","316","0.419327167179722","0.382720294084606","0.455934040274837"
"Vollzeit","1988","(noch) kein Abschluss","indirekter Migrationshintergrund","5","","",""
"Vollzeit","1988","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1988","Hauptschule","kein Migrationshintergrund","1750","0.384157325044394","0.369413931555695","0.398900718533093"
"Vollzeit","1988","Hauptschule","direkter Migrationshintergrund","823","0.473753160887157","0.448044189038095","0.499462132736219"
"Vollzeit","1988","Hauptschule","indirekter Migrationshintergrund","44","0.322636161930033","0.236821165160571","0.408451158699494"
"Vollzeit","1988","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1988","Realschule","kein Migrationshintergrund","754","0.481412141788757","0.456185400300146","0.506638883277368"
"Vollzeit","1988","Realschule","direkter Migrationshintergrund","61","0.372651803865235","0.295016206770107","0.450287400960362"
"Vollzeit","1988","Realschule","indirekter Migrationshintergrund","15","","",""
"Vollzeit","1988","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1988","(Fach-)Abitur","kein Migrationshintergrund","180","0.356481560304035","0.314831535166592","0.398131585441478"
"Vollzeit","1988","(Fach-)Abitur","direkter Migrationshintergrund","101","0.402696427192356","0.336364152867197","0.469028701517516"
"Vollzeit","1988","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"Vollzeit","1988","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vollzeit","1988","AkademikerIn","kein Migrationshintergrund","378","0.594417135963867","0.555548140838237","0.633286131089497"
"Vollzeit","1988","AkademikerIn","direkter Migrationshintergrund","49","0.446015422222746","0.340342819692281","0.551688024753212"
"Vollzeit","1988","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Vollzeit","1988","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1988","(noch) kein Abschluss","kein Migrationshintergrund","10","","",""
"Teilzeit","1988","(noch) kein Abschluss","direkter Migrationshintergrund","98","0.150999210988008","0.124437150238395","0.17756127173762"
"Teilzeit","1988","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1988","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1988","Hauptschule","kein Migrationshintergrund","729","0.157168706527879","0.146136525672007","0.168200887383752"
"Teilzeit","1988","Hauptschule","direkter Migrationshintergrund","255","0.164294079013207","0.145215255353388","0.183372902673027"
"Teilzeit","1988","Hauptschule","indirekter Migrationshintergrund","30","0.265333677829245","0.184286682332034","0.346380673326456"
"Teilzeit","1988","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1988","Realschule","kein Migrationshintergrund","309","0.189037469060496","0.169269329141365","0.208805608979627"
"Teilzeit","1988","Realschule","direkter Migrationshintergrund","40","0.260928764270776","0.190417405192369","0.331440123349183"
