year,pgisced97,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,First Stage of Tertiary Education,female,Full Time,0.29535,85,275,0.24133,0.34936
1984,First Stage of Tertiary Education,female,Part Time,0.24398,74,275,0.19312,0.29483
1984,First Stage of Tertiary Education,female,Not Working,0.46068,116,275,0.40166,0.51970
1984,Second Stage of Tertiary Education,male,Full Time,0.68232,374,535,0.64283,0.72181
1984,Second Stage of Tertiary Education,male,Part Time,0.14826,80,535,0.11812,0.17840
1984,Second Stage of Tertiary Education,male,Not Working,0.16942,81,535,0.13760,0.20124
1984,Second Stage of Tertiary Education,female,Full Time,0.34459,91,255,0.28615,0.40304
1984,Second Stage of Tertiary Education,female,Part Time,0.30606,85,255,0.24938,0.36273
1984,Second Stage of Tertiary Education,female,Not Working,0.34935,79,255,0.29072,0.40799
1985,Pre-primary Level,male,Not Working,0.93681,106,106,0.89028,0.98335
1985,Pre-primary Level,female,Not Working,0.98246,74,74,0.95234,1.01257
1985,Primary Level,male,Full Time,0.52313,237,346,0.47043,0.57584
1985,Primary Level,male,Part Time,0.12695,39,346,0.09182,0.16209
1985,Primary Level,male,Not Working,0.34991,70,346,0.29958,0.40024
1985,Primary Level,female,Full Time,0.23384,154,488,0.19624,0.27143
1985,Primary Level,female,Part Time,0.13110,63,488,0.10112,0.16107
1985,Primary Level,female,Not Working,0.63507,271,488,0.59231,0.67782
1985,Lower Secondary Level,male,Full Time,0.51011,601,1026,0.47951,0.54071
1985,Lower Secondary Level,male,Part Time,0.15761,161,1026,0.13531,0.17992
1985,Lower Secondary Level,male,Not Working,0.33207,264,1026,0.30324,0.36090
1985,Lower Secondary Level,female,Full Time,0.14712,394,2035,0.13172,0.16251
1985,Lower Secondary Level,female,Part Time,0.15921,372,2035,0.14331,0.17511
1985,Lower Secondary Level,female,Not Working,0.69368,1269,2035,0.67365,0.71371
1985,Upper Secondary Level,male,Full Time,0.62271,1906,2841,0.60489,0.64054
1985,Upper Secondary Level,male,Part Time,0.11215,332,2841,0.10054,0.12375
1985,Upper Secondary Level,male,Not Working,0.26511,603,2841,0.24887,0.28134
1985,Upper Secondary Level,female,Full Time,0.25921,656,2340,0.24146,0.27697
1985,Upper Secondary Level,female,Part Time,0.22760,570,2340,0.21061,0.24460
1985,Upper Secondary Level,female,Not Working,0.51318,1114,2340,0.49293,0.53344
1985,Post-secondary Non-tertiary Level,male,Full Time,0.52782,103,146,0.44656,0.60908
1985,Post-secondary Non-tertiary Level,male,Not Working,0.33678,43,146,0.25985,0.41370
1985,Post-secondary Non-tertiary Level,female,Full Time,0.40155,45,80,0.29345,0.50965
1985,Post-secondary Non-tertiary Level,female,Not Working,0.35460,35,80,0.24911,0.46010
1985,First Stage of Tertiary Education,male,Full Time,0.70003,264,360,0.65263,0.74744
1985,First Stage of Tertiary Education,male,Part Time,0.09319,33,360,0.06312,0.12327
1985,First Stage of Tertiary Education,male,Not Working,0.20677,63,360,0.16488,0.24867
1985,First Stage of Tertiary Education,female,Full Time,0.30608,84,259,0.24984,0.36232
1985,First Stage of Tertiary Education,female,Part Time,0.24101,69,259,0.18882,0.29320
1985,First Stage of Tertiary Education,female,Not Working,0.45290,106,259,0.39216,0.51365
1985,Second Stage of Tertiary Education,male,Full Time,0.71104,371,509,0.67163,0.75046
1985,Second Stage of Tertiary Education,male,Part Time,0.12382,66,509,0.09518,0.15246
1985,Second Stage of Tertiary Education,male,Not Working,0.16513,72,509,0.13285,0.19742
1985,Second Stage of Tertiary Education,female,Full Time,0.35294,88,246,0.29310,0.41278
1985,Second Stage of Tertiary Education,female,Part Time,0.29676,80,246,0.23956,0.35397
1985,Second Stage of Tertiary Education,female,Not Working,0.35029,78,246,0.29056,0.41003
1986,Pre-primary Level,male,Not Working,0.94329,111,111,0.90007,0.98651
1986,Pre-primary Level,female,Not Working,0.97446,72,72,0.93776,1.01116
1986,Primary Level,male,Full Time,0.54968,216,323,0.49534,0.60403
1986,Primary Level,male,Part Time,0.13509,34,323,0.09776,0.17243
1986,Primary Level,male,Not Working,0.31522,73,323,0.26448,0.36597
1986,Primary Level,female,Full Time,0.22529,133,455,0.18686,0.26372
1986,Primary Level,female,Part Time,0.16655,71,455,0.13227,0.20082
1986,Primary Level,female,Not Working,0.60816,251,455,0.56326,0.65307
1986,Lower Secondary Level,male,Full Time,0.52627,609,1008,0.49543,0.55711
1986,Lower Secondary Level,male,Part Time,0.15169,158,1008,0.12953,0.17385
1986,Lower Secondary Level,male,Not Working,0.32173,241,1008,0.29288,0.35059
1986,Lower Secondary Level,female,Full Time,0.16241,394,1899,0.14582,0.17900
1986,Lower Secondary Level,female,Part Time,0.16498,372,1899,0.14828,0.18167
1986,Lower Secondary Level,female,Not Working,0.67204,1133,1899,0.65092,0.69317
1986,Upper Secondary Level,male,Full Time,0.62283,1846,2733,0.60466,0.64100
1986,Upper Secondary Level,male,Part Time,0.11137,312,2733,0.09958,0.12317
1986,Upper Secondary Level,male,Not Working,0.26580,575,2733,0.24923,0.28236
1986,Upper Secondary Level,female,Full Time,0.25861,645,2260,0.24055,0.27666
1986,Upper Secondary Level,female,Part Time,0.22711,564,2260,0.20983,0.24439
1986,Upper Secondary Level,female,Not Working,0.51428,1051,2260,0.49367,0.53490
1986,Post-secondary Non-tertiary Level,male,Full Time,0.51725,101,139,0.43388,0.60062
1986,Post-secondary Non-tertiary Level,male,Not Working,0.29240,38,139,0.21651,0.36829
1986,Post-secondary Non-tertiary Level,female,Full Time,0.43412,49,83,0.32684,0.54140
1986,Post-secondary Non-tertiary Level,female,Not Working,0.30497,34,83,0.20532,0.40462
1986,First Stage of Tertiary Education,male,Full Time,0.70809,244,306,0.65707,0.75912
1986,First Stage of Tertiary Education,male,Not Working,0.22640,62,306,0.17943,0.27337
1986,First Stage of Tertiary Education,female,Full Time,0.27335,75,248,0.21777,0.32893
1986,First Stage of Tertiary Education,female,Part Time,0.24580,71,248,0.19210,0.29949
1986,First Stage of Tertiary Education,female,Not Working,0.48085,102,248,0.41854,0.54316
1986,Second Stage of Tertiary Education,male,Full Time,0.73327,381,505,0.69466,0.77188
1986,Second Stage of Tertiary Education,male,Part Time,0.10928,57,505,0.08204,0.13652
1986,Second Stage of Tertiary Education,male,Not Working,0.15745,67,505,0.12565,0.18925
1986,Second Stage of Tertiary Education,female,Full Time,0.36854,92,244,0.30788,0.42919
1986,Second Stage of Tertiary Education,female,Part Time,0.27019,75,244,0.21436,0.32602
1986,Second Stage of Tertiary Education,female,Not Working,0.36128,77,244,0.30088,0.42167
1987,Pre-primary Level,male,Not Working,0.87879,92,92,0.81174,0.94585
1987,Pre-primary Level,female,Not Working,0.94035,87,87,0.89030,0.99041
1987,Primary Level,male,Full Time,0.57991,211,309,0.52478,0.63503
1987,Primary Level,male,Part Time,0.18601,42,309,0.14255,0.22947
1987,Primary Level,male,Not Working,0.23408,56,309,0.18680,0.28137
1987,Primary Level,female,Full Time,0.27575,136,442,0.23404,0.31746
1987,Primary Level,female,Part Time,0.16393,72,442,0.12937,0.19848
1987,Primary Level,female,Not Working,0.56032,234,442,0.51399,0.60664
1987,Lower Secondary Level,male,Full Time,0.56052,612,999,0.52973,0.59132
1987,Lower Secondary Level,male,Part Time,0.16289,163,999,0.13998,0.18580
1987,Lower Secondary Level,male,Not Working,0.27643,224,999,0.24868,0.30418
1987,Lower Secondary Level,female,Full Time,0.16620,395,1837,0.14917,0.18323
1987,Lower Secondary Level,female,Part Time,0.17069,363,1837,0.15348,0.18789
1987,Lower Secondary Level,female,Not Working,0.66311,1079,1837,0.64149,0.68473
1987,Upper Secondary Level,male,Full Time,0.63245,1880,2729,0.61436,0.65054
1987,Upper Secondary Level,male,Part Time,0.10048,274,2729,0.08919,0.11176
1987,Upper Secondary Level,male,Not Working,0.26707,575,2729,0.25047,0.28368
1987,Upper Secondary Level,female,Full Time,0.27488,671,2241,0.25639,0.29337
1987,Upper Secondary Level,female,Part Time,0.22988,557,2241,0.21245,0.24730
1987,Upper Secondary Level,female,Not Working,0.49524,1013,2241,0.47454,0.51595
1987,Post-secondary Non-tertiary Level,male,Full Time,0.53587,100,141,0.45326,0.61848
1987,Post-secondary Non-tertiary Level,male,Not Working,0.31337,41,141,0.23653,0.39021
1987,Post-secondary Non-tertiary Level,female,Full Time,0.44906,53,86,0.34331,0.55480
1987,Post-secondary Non-tertiary Level,female,Part Time,0.27332,33,86,0.17858,0.36807
1987,First Stage of Tertiary Education,male,Full Time,0.70007,237,298,0.64796,0.75219
1987,First Stage of Tertiary Education,male,Not Working,0.22810,61,298,0.18037,0.27582
1987,First Stage of Tertiary Education,female,Full Time,0.26711,67,245,0.21159,0.32263
1987,First Stage of Tertiary Education,female,Part Time,0.28095,79,245,0.22455,0.33734
1987,First Stage of Tertiary Education,female,Not Working,0.45194,99,245,0.38950,0.51439
1987,Second Stage of Tertiary Education,male,Full Time,0.72542,370,494,0.68602,0.76482
1987,Second Stage of Tertiary Education,male,Part Time,0.10330,58,494,0.07644,0.13017
1987,Second Stage of Tertiary Education,male,Not Working,0.17128,66,494,0.13802,0.20453
1987,Second Stage of Tertiary Education,female,Full Time,0.32884,82,248,0.27025,0.38743
1987,Second Stage of Tertiary Education,female,Part Time,0.32056,89,248,0.26236,0.37876
1987,Second Stage of Tertiary Education,female,Not Working,0.35060,77,248,0.29110,0.41011
1988,Pre-primary Level,male,Not Working,0.94226,86,86,0.89267,0.99185
1988,Pre-primary Level,female,Not Working,0.93586,69,69,0.87762,0.99409
1988,Primary Level,male,Full Time,0.56713,190,250,0.50558,0.62867
1988,Primary Level,male,Not Working,0.32586,60,250,0.26764,0.38408
1988,Primary Level,female,Full Time,0.20621,104,418,0.16738,0.24504
1988,Primary Level,female,Part Time,0.16391,76,418,0.12837,0.19944
1988,Primary Level,female,Not Working,0.62989,238,418,0.58354,0.67623
1988,Lower Secondary Level,male,Full Time,0.55317,583,974,0.52193,0.58441
1988,Lower Secondary Level,male,Part Time,0.16501,182,974,0.14169,0.18834
1988,Lower Secondary Level,male,Not Working,0.28182,209,974,0.25355,0.31008
1988,Lower Secondary Level,female,Full Time,0.15629,367,1745,0.13924,0.17333
1988,Lower Secondary Level,female,Part Time,0.19092,387,1745,0.17247,0.20936
1988,Lower Secondary Level,female,Not Working,0.65280,991,1745,0.63045,0.67514
1988,Upper Secondary Level,male,Full Time,0.63894,1775,2585,0.62042,0.65746
1988,Upper Secondary Level,male,Part Time,0.09130,258,2585,0.08019,0.10240
1988,Upper Secondary Level,male,Not Working,0.26976,552,2585,0.25265,0.28687
1988,Upper Secondary Level,female,Full Time,0.26099,634,2158,0.24246,0.27952
1988,Upper Secondary Level,female,Part Time,0.25702,580,2158,0.23858,0.27546
1988,Upper Secondary Level,female,Not Working,0.48199,944,2158,0.46091,0.50308
1988,Post-secondary Non-tertiary Level,male,Full Time,0.49282,88,124,0.40446,0.58117
1988,Post-secondary Non-tertiary Level,male,Not Working,0.33399,36,124,0.25064,0.41734
1988,Post-secondary Non-tertiary Level,female,Full Time,0.47912,53,87,0.37353,0.58470
1988,Post-secondary Non-tertiary Level,female,Not Working,0.27892,34,87,0.18413,0.37370
1988,First Stage of Tertiary Education,male,Full Time,0.69794,230,285,0.64454,0.75134
1988,First Stage of Tertiary Education,male,Not Working,0.22091,55,285,0.17266,0.26916
1988,First Stage of Tertiary Education,female,Full Time,0.28483,63,228,0.22612,0.34354
1988,First Stage of Tertiary Education,female,Part Time,0.24618,69,228,0.19014,0.30222
1988,First Stage of Tertiary Education,female,Not Working,0.46899,96,228,0.40407,0.53391
1988,Second Stage of Tertiary Education,male,Full Time,0.69839,346,472,0.65695,0.73984
1988,Second Stage of Tertiary Education,male,Part Time,0.14080,60,472,0.10939,0.17221
1988,Second Stage of Tertiary Education,male,Not Working,0.16081,66,472,0.12763,0.19398
1988,Second Stage of Tertiary Education,female,Full Time,0.34768,81,230,0.28600,0.40936
1988,Second Stage of Tertiary Education,female,Part Time,0.34442,85,230,0.28287,0.40596
1988,Second Stage of Tertiary Education,female,Not Working,0.30790,64,230,0.24811,0.36769
1989,Pre-primary Level,male,Not Working,0.84727,78,78,0.76692,0.92762
1989,Pre-primary Level,female,Not Working,0.93139,78,78,0.87493,0.98785
1989,Primary Level,male,Full Time,0.56881,171,227,0.50424,0.63338
1989,Primary Level,male,Not Working,0.28938,56,227,0.23026,0.34850
1989,Primary Level,female,Full Time,0.18756,95,395,0.14902,0.22611
1989,Primary Level,female,Part Time,0.16125,70,395,0.12494,0.19756
1989,Primary Level,female,Not Working,0.65119,230,395,0.60413,0.69825
1989,Lower Secondary Level,male,Full Time,0.56419,578,905,0.53186,0.59651
1989,Lower Secondary Level,male,Part Time,0.15114,133,905,0.12779,0.17448
1989,Lower Secondary Level,male,Not Working,0.28468,194,905,0.25526,0.31410
1989,Lower Secondary Level,female,Full Time,0.16131,371,1665,0.14363,0.17898
1989,Lower Secondary Level,female,Part Time,0.18420,351,1665,0.16557,0.20283
1989,Lower Secondary Level,female,Not Working,0.65437,943,1665,0.63152,0.67722
1989,Upper Secondary Level,male,Full Time,0.64677,1739,2518,0.62809,0.66544
1989,Upper Secondary Level,male,Part Time,0.08377,229,2518,0.07295,0.09459
1989,Upper Secondary Level,male,Not Working,0.26946,550,2518,0.25213,0.28680
1989,Upper Secondary Level,female,Full Time,0.27638,642,2104,0.25726,0.29549
1989,Upper Secondary Level,female,Part Time,0.24244,568,2104,0.22413,0.26076
1989,Upper Secondary Level,female,Not Working,0.48118,894,2104,0.45983,0.50254
1989,Post-secondary Non-tertiary Level,male,Full Time,0.48552,88,130,0.39927,0.57176
1989,Post-secondary Non-tertiary Level,male,Not Working,0.34667,42,130,0.26454,0.42879
1989,Post-secondary Non-tertiary Level,female,Full Time,0.51073,66,102,0.41323,0.60822
1989,Post-secondary Non-tertiary Level,female,Not Working,0.26252,36,102,0.17671,0.34833
1989,First Stage of Tertiary Education,male,Full Time,0.69959,217,272,0.64501,0.75418
1989,First Stage of Tertiary Education,male,Not Working,0.22811,55,272,0.17815,0.27807
1989,First Stage of Tertiary Education,female,Full Time,0.31203,71,221,0.25081,0.37325
1989,First Stage of Tertiary Education,female,Part Time,0.26201,63,221,0.20390,0.32012
1989,First Stage of Tertiary Education,female,Not Working,0.42596,87,221,0.36062,0.49130
1989,Second Stage of Tertiary Education,male,Full Time,0.70018,344,472,0.65880,0.74156
1989,Second Stage of Tertiary Education,male,Part Time,0.12234,60,472,0.09275,0.15194
1989,Second Stage of Tertiary Education,male,Not Working,0.17747,68,472,0.14297,0.21198
1989,Second Stage of Tertiary Education,female,Full Time,0.40071,92,226,0.33668,0.46474
1989,Second Stage of Tertiary Education,female,Part Time,0.30427,77,226,0.24415,0.36439
1989,Second Stage of Tertiary Education,female,Not Working,0.29502,57,226,0.23543,0.35461
1990,Pre-primary Level,male,Not Working,0.78113,82,82,0.69108,0.87117
1990,Pre-primary Level,female,Not Working,0.87123,65,65,0.78917,0.95329
1990,Primary Level,male,Full Time,0.57855,169,234,0.51514,0.64195
1990,Primary Level,male,Not Working,0.29076,65,234,0.23245,0.34907
1990,Primary Level,female,Full Time,0.19135,84,375,0.15148,0.23121
1990,Primary Level,female,Part Time,0.20330,86,375,0.16251,0.24409
1990,Primary Level,female,Not Working,0.56888,205,375,0.51869,0.61907
1990,Lower Secondary Level,male,Full Time,0.50593,549,866,0.47261,0.53924
1990,Lower Secondary Level,male,Part Time,0.15038,141,866,0.12656,0.17420
1990,Lower Secondary Level,male,Not Working,0.23939,176,866,0.21095,0.26782
1990,Lower Secondary Level,female,Full Time,0.14285,353,1603,0.12571,0.15998
1990,Lower Secondary Level,female,Part Time,0.17141,349,1603,0.15296,0.18987
1990,Lower Secondary Level,female,Not Working,0.55889,901,1603,0.53457,0.58320
1990,Upper Secondary Level,male,Full Time,0.52338,1691,2452,0.50360,0.54315
1990,Upper Secondary Level,male,Part Time,0.07361,227,2452,0.06327,0.08395
1990,Upper Secondary Level,male,Not Working,0.20729,534,2452,0.19124,0.22334
1990,Upper Secondary Level,female,Full Time,0.21736,643,2085,0.19966,0.23507
1990,Upper Secondary Level,female,Part Time,0.19652,569,2085,0.17946,0.21359
1990,Upper Secondary Level,female,Not Working,0.36061,873,2085,0.33999,0.38122
1990,Post-secondary Non-tertiary Level,male,Full Time,0.44576,94,139,0.36283,0.52869
1990,Post-secondary Non-tertiary Level,male,Not Working,0.26458,45,139,0.19098,0.33818
1990,Post-secondary Non-tertiary Level,female,Full Time,0.41540,55,126,0.32901,0.50179
1990,Post-secondary Non-tertiary Level,female,Part Time,0.22678,32,126,0.15337,0.30019
1990,Post-secondary Non-tertiary Level,female,Not Working,0.24291,39,126,0.16773,0.31809
1990,First Stage of Tertiary Education,male,Full Time,0.51899,206,263,0.45848,0.57949
1990,First Stage of Tertiary Education,male,Not Working,0.17675,57,263,0.13056,0.22294
1990,First Stage of Tertiary Education,female,Full Time,0.31210,81,231,0.25221,0.37198
1990,First Stage of Tertiary Education,female,Part Time,0.23567,69,231,0.18081,0.29052
1990,First Stage of Tertiary Education,female,Not Working,0.38798,81,231,0.32500,0.45096
1990,Second Stage of Tertiary Education,male,Full Time,0.50753,350,470,0.46228,0.55278
1990,Second Stage of Tertiary Education,male,Part Time,0.07738,49,470,0.05320,0.10156
1990,Second Stage of Tertiary Education,male,Not Working,0.12058,71,470,0.09110,0.15005
1990,Second Stage of Tertiary Education,female,Full Time,0.18925,85,229,0.13840,0.24009
1990,Second Stage of Tertiary Education,female,Part Time,0.17571,83,229,0.12631,0.22511
1990,Second Stage of Tertiary Education,female,Not Working,0.15603,61,229,0.10892,0.20313
1991,Pre-primary Level,male,Not Working,0.77113,71,71,0.67272,0.86955
1991,Pre-primary Level,female,Not Working,0.89013,61,61,0.81100,0.96926
1991,Primary Level,male,Full Time,0.57635,162,248,0.51473,0.63798
1991,Primary Level,male,Part Time,0.11005,31,248,0.07102,0.14908
1991,Primary Level,male,Not Working,0.23903,55,248,0.18585,0.29222
1991,Primary Level,female,Full Time,0.21345,92,372,0.17176,0.25515
1991,Primary Level,female,Part Time,0.17233,77,372,0.13390,0.21076
1991,Primary Level,female,Not Working,0.53413,203,372,0.48337,0.58489
1991,Lower Secondary Level,male,Full Time,0.51583,559,859,0.48239,0.54927
1991,Lower Secondary Level,male,Part Time,0.11989,112,859,0.09816,0.14163
1991,Lower Secondary Level,male,Not Working,0.26229,188,859,0.23286,0.29173
1991,Lower Secondary Level,female,Full Time,0.14946,362,1541,0.13165,0.16727
1991,Lower Secondary Level,female,Part Time,0.16460,332,1541,0.14607,0.18312
1991,Lower Secondary Level,female,Not Working,0.55879,847,1541,0.53399,0.58359
1991,Upper Secondary Level,male,Full Time,0.50372,1652,2421,0.48380,0.52364
1991,Upper Secondary Level,male,Part Time,0.07646,239,2421,0.06587,0.08704
1991,Upper Secondary Level,male,Not Working,0.20874,530,2421,0.19254,0.22493
1991,Upper Secondary Level,female,Full Time,0.21495,652,2110,0.19742,0.23249
1991,Upper Secondary Level,female,Part Time,0.19863,580,2110,0.18160,0.21566
1991,Upper Secondary Level,female,Not Working,0.35219,878,2110,0.33181,0.37258
1991,Post-secondary Non-tertiary Level,male,Full Time,0.39822,90,174,0.32527,0.47116
1991,Post-secondary Non-tertiary Level,male,Part Time,0.23823,40,174,0.17475,0.30171
1991,Post-secondary Non-tertiary Level,male,Not Working,0.24318,44,174,0.17925,0.30711
1991,Post-secondary Non-tertiary Level,female,Full Time,0.48344,60,100,0.38500,0.58188
1991,Post-secondary Non-tertiary Level,female,Part Time,0.21643,40,100,0.13531,0.29756
1991,First Stage of Tertiary Education,male,Full Time,0.52361,218,277,0.46469,0.58253
1991,First Stage of Tertiary Education,male,Not Working,0.17667,59,277,0.13168,0.22167
1991,First Stage of Tertiary Education,female,Full Time,0.29035,71,227,0.23117,0.34953
1991,First Stage of Tertiary Education,female,Part Time,0.25324,75,227,0.19655,0.30994
1991,First Stage of Tertiary Education,female,Not Working,0.39612,81,227,0.33235,0.45988
1991,Second Stage of Tertiary Education,male,Full Time,0.48692,348,482,0.44225,0.53158
1991,Second Stage of Tertiary Education,male,Part Time,0.09592,63,482,0.06960,0.12223
1991,Second Stage of Tertiary Education,male,Not Working,0.11369,71,482,0.08532,0.14206
1991,Second Stage of Tertiary Education,female,Full Time,0.18103,86,237,0.13190,0.23015
1991,Second Stage of Tertiary Education,female,Part Time,0.16744,81,237,0.11981,0.21508
1991,Second Stage of Tertiary Education,female,Not Working,0.17949,70,237,0.13052,0.22845
1992,Pre-primary Level,male,Not Working,0.77088,74,74,0.67447,0.86729
1992,Pre-primary Level,female,Not Working,0.85757,84,84,0.78238,0.93275
1992,Primary Level,male,Full Time,0.56958,159,222,0.50430,0.63486
1992,Primary Level,male,Not Working,0.27655,63,222,0.21758,0.33553
1992,Primary Level,female,Full Time,0.24277,92,377,0.19944,0.28611
1992,Primary Level,female,Part Time,0.17140,75,377,0.13331,0.20949
1992,Primary Level,female,Not Working,0.58582,210,377,0.53604,0.63561
1992,Lower Secondary Level,male,Full Time,0.50393,570,973,0.47250,0.53536
1992,Lower Secondary Level,male,Part Time,0.17427,161,973,0.15042,0.19812
1992,Lower Secondary Level,male,Not Working,0.31979,242,973,0.29047,0.34912
1992,Lower Secondary Level,female,Full Time,0.16568,409,1811,0.14856,0.18281
1992,Lower Secondary Level,female,Part Time,0.17680,375,1811,0.15923,0.19438
1992,Lower Secondary Level,female,Not Working,0.65751,1027,1811,0.63565,0.67938
1992,Upper Secondary Level,male,Full Time,0.64543,2370,3434,0.62943,0.66143
1992,Upper Secondary Level,male,Part Time,0.09700,367,3434,0.08710,0.10690
1992,Upper Secondary Level,male,Not Working,0.25757,697,3434,0.24294,0.27220
1992,Upper Secondary Level,female,Full Time,0.29840,1134,3287,0.28276,0.31405
1992,Upper Secondary Level,female,Part Time,0.25739,917,3287,0.24244,0.27234
1992,Upper Secondary Level,female,Not Working,0.44421,1236,3287,0.42722,0.46119
1992,Post-secondary Non-tertiary Level,male,Full Time,0.49603,121,217,0.42935,0.56271
1992,Post-secondary Non-tertiary Level,male,Part Time,0.23831,43,217,0.18149,0.29512
1992,Post-secondary Non-tertiary Level,male,Not Working,0.26567,53,217,0.20676,0.32457
1992,Post-secondary Non-tertiary Level,female,Full Time,0.52550,85,166,0.44931,0.60169
1992,Post-secondary Non-tertiary Level,female,Part Time,0.20805,35,166,0.14611,0.26998
1992,Post-secondary Non-tertiary Level,female,Not Working,0.26645,46,166,0.19899,0.33391
1992,First Stage of Tertiary Education,male,Full Time,0.71328,372,492,0.67328,0.75328
1992,First Stage of Tertiary Education,male,Part Time,0.07061,36,492,0.04795,0.09327
1992,First Stage of Tertiary Education,male,Not Working,0.21611,84,492,0.17970,0.25251
1992,First Stage of Tertiary Education,female,Full Time,0.33987,103,272,0.28347,0.39627
1992,First Stage of Tertiary Education,female,Part Time,0.26058,83,272,0.20832,0.31284
1992,First Stage of Tertiary Education,female,Not Working,0.39955,86,272,0.34123,0.45787
1992,Second Stage of Tertiary Education,male,Full Time,0.69938,666,911,0.66959,0.72917
1992,Second Stage of Tertiary Education,male,Part Time,0.12616,110,911,0.10459,0.14773
1992,Second Stage of Tertiary Education,male,Not Working,0.17446,135,911,0.14980,0.19912
1992,Second Stage of Tertiary Education,female,Full Time,0.44114,388,744,0.40544,0.47684
1992,Second Stage of Tertiary Education,female,Part Time,0.32073,220,744,0.28717,0.35430
1992,Second Stage of Tertiary Education,female,Not Working,0.23813,136,744,0.20750,0.26875
1993,Pre-primary Level,male,Not Working,0.88134,77,77,0.80863,0.95405
1993,Pre-primary Level,female,Not Working,0.88538,89,89,0.81882,0.95194
1993,Primary Level,male,Full Time,0.53844,151,222,0.47271,0.60416
1993,Primary Level,male,Not Working,0.34554,71,222,0.28284,0.40824
1993,Primary Level,female,Full Time,0.24971,82,361,0.20500,0.29443
1993,Primary Level,female,Part Time,0.13087,61,361,0.09603,0.16571
1993,Primary Level,female,Not Working,0.61941,218,361,0.56926,0.66957
1993,Lower Secondary Level,male,Full Time,0.51840,548,943,0.48649,0.55031
1993,Lower Secondary Level,male,Part Time,0.14684,154,943,0.12423,0.16944
1993,Lower Secondary Level,male,Not Working,0.33476,241,943,0.30463,0.36490
1993,Lower Secondary Level,female,Full Time,0.15416,355,1735,0.13716,0.17115
1993,Lower Secondary Level,female,Part Time,0.19108,388,1735,0.17258,0.20959
1993,Lower Secondary Level,female,Not Working,0.65476,992,1735,0.63238,0.67714
1993,Upper Secondary Level,male,Full Time,0.62922,2275,3391,0.61296,0.64548
1993,Upper Secondary Level,male,Part Time,0.09935,367,3391,0.08928,0.10942
1993,Upper Secondary Level,male,Not Working,0.27143,749,3391,0.25646,0.28640
1993,Upper Secondary Level,female,Full Time,0.28908,1078,3273,0.27355,0.30462
1993,Upper Secondary Level,female,Part Time,0.25022,881,3273,0.23538,0.26507
1993,Upper Secondary Level,female,Not Working,0.46069,1314,3273,0.44361,0.47777
1993,Post-secondary Non-tertiary Level,male,Full Time,0.50250,124,218,0.43597,0.56902
1993,Post-secondary Non-tertiary Level,male,Part Time,0.23027,40,218,0.17426,0.28629
1993,Post-secondary Non-tertiary Level,male,Not Working,0.26723,54,218,0.20835,0.32611
1993,Post-secondary Non-tertiary Level,female,Full Time,0.42927,73,166,0.35374,0.50480
1993,Post-secondary Non-tertiary Level,female,Part Time,0.33447,54,166,0.26248,0.40646
1993,Post-secondary Non-tertiary Level,female,Not Working,0.23626,39,166,0.17144,0.30108
