year,age_gr,regtyp,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Urban regions,University/ Technical university,0.23263,583,1450,0.21087,0.25438
2016,17-29 y.,Urban regions,Vocational training,0.13901,458,1450,0.12119,0.15682
2016,17-29 y.,Urban regions,Further training/ Retraining,0.02419,62,1450,0.01628,0.03211
2016,17-29 y.,Rural regions,General education,0.07056,113,567,0.04946,0.09166
2016,17-29 y.,Rural regions,University/ Technical university,0.14066,147,567,0.11202,0.16931
2016,17-29 y.,Rural regions,Vocational training,0.17602,307,567,0.14465,0.20740
2016,30-45 y.,Urban regions,University/ Technical university,0.03822,134,316,0.01705,0.05939
2016,30-45 y.,Urban regions,Vocational training,0.01140,58,316,-0.00032,0.02313
2016,30-45 y.,Urban regions,Further training/ Retraining,0.02556,124,316,0.00813,0.04298
2016,30-45 y.,Rural regions,Further training/ Retraining,0.01230,42,42,-0.02144,0.04603
2016,46-65 y.,Urban regions,Further training/ Retraining,0.00470,54,54,-0.01371,0.02311
2017,17-29 y.,Urban regions,General education,0.08094,405,1724,0.06806,0.09382
2017,17-29 y.,Urban regions,University/ Technical university,0.23051,695,1724,0.21062,0.25039
2017,17-29 y.,Urban regions,Vocational training,0.15620,556,1724,0.13906,0.17334
2017,17-29 y.,Urban regions,Further training/ Retraining,0.01827,68,1724,0.01194,0.02459
2017,17-29 y.,Rural regions,General education,0.06819,164,727,0.04985,0.08652
2017,17-29 y.,Rural regions,University/ Technical university,0.14902,207,727,0.12312,0.17493
2017,17-29 y.,Rural regions,Vocational training,0.15507,322,727,0.12874,0.18140
2017,17-29 y.,Rural regions,Further training/ Retraining,0.01958,34,727,0.00950,0.02966
2017,30-45 y.,Urban regions,University/ Technical university,0.03817,144,339,0.01774,0.05859
2017,30-45 y.,Urban regions,Vocational training,0.00835,64,339,-0.00135,0.01805
2017,30-45 y.,Urban regions,Further training/ Retraining,0.02309,131,339,0.00708,0.03910
2017,30-45 y.,Rural regions,University/ Technical university,0.01436,31,118,-0.00720,0.03592
2017,30-45 y.,Rural regions,Vocational training,0.01727,44,118,-0.00634,0.04087
2017,30-45 y.,Rural regions,Further training/ Retraining,0.01257,43,118,-0.00762,0.03276
2017,46-65 y.,Urban regions,Further training/ Retraining,0.00667,62,62,-0.01376,0.02709
2017,46-65 y.,Rural regions,Further training/ Retraining,0.00646,32,32,-0.02175,0.03468
2018,17-29 y.,Urban regions,General education,0.07886,375,1705,0.06606,0.09166
2018,17-29 y.,Urban regions,University/ Technical university,0.22027,706,1705,0.20059,0.23995
2018,17-29 y.,Urban regions,Vocational training,0.15348,563,1705,0.13636,0.17059
2018,17-29 y.,Urban regions,Further training/ Retraining,0.01554,61,1705,0.00967,0.02141
2018,17-29 y.,Rural regions,General education,0.05208,142,654,0.03504,0.06912
2018,17-29 y.,Rural regions,University/ Technical university,0.14821,202,654,0.12096,0.17547
2018,17-29 y.,Rural regions,Vocational training,0.14370,310,654,0.11680,0.17061
2018,30-45 y.,Urban regions,University/ Technical university,0.03460,145,349,0.01540,0.05380
2018,30-45 y.,Urban regions,Vocational training,0.00918,78,349,-0.00084,0.01920
2018,30-45 y.,Urban regions,Further training/ Retraining,0.02676,126,349,0.00980,0.04371
2018,30-45 y.,Rural regions,Vocational training,0.00860,37,87,-0.01092,0.02811
2018,30-45 y.,Rural regions,Further training/ Retraining,0.01003,50,87,-0.01103,0.03110
2018,46-65 y.,Urban regions,Further training/ Retraining,0.00454,51,51,-0.01409,0.02318
2018,46-65 y.,Rural regions,Further training/ Retraining,0.00383,33,33,-0.01758,0.02525
2019,17-29 y.,Urban regions,General education,0.07179,322,1526,0.05883,0.08474
2019,17-29 y.,Urban regions,University/ Technical university,0.20848,627,1526,0.18809,0.22887
2019,17-29 y.,Urban regions,Vocational training,0.14150,521,1526,0.12401,0.15900
2019,17-29 y.,Urban regions,Further training/ Retraining,0.01759,56,1526,0.01100,0.02419
2019,17-29 y.,Rural regions,General education,0.05354,113,572,0.03508,0.07200
2019,17-29 y.,Rural regions,University/ Technical university,0.15235,184,572,0.12287,0.18182
2019,17-29 y.,Rural regions,Vocational training,0.15907,275,572,0.12907,0.18907
2019,30-45 y.,Urban regions,University/ Technical university,0.03531,130,297,0.01429,0.05634
2019,30-45 y.,Urban regions,Vocational training,0.01523,90,297,0.00128,0.02918
2019,30-45 y.,Urban regions,Further training/ Retraining,0.01693,77,297,0.00223,0.03162
2019,30-45 y.,Rural regions,Vocational training,0.00946,42,85,-0.01124,0.03017
2019,30-45 y.,Rural regions,Further training/ Retraining,0.01497,43,85,-0.01100,0.04093
2019,46-65 y.,Urban regions,Further training/ Retraining,0.00793,55,55,-0.01573,0.03159
2020,17-29 y.,Urban regions,General education,0.05788,327,1691,0.04675,0.06901
2020,17-29 y.,Urban regions,University/ Technical university,0.22806,689,1691,0.20805,0.24806
2020,17-29 y.,Urban regions,Vocational training,0.14644,615,1691,0.12959,0.16330
2020,17-29 y.,Urban regions,Further training/ Retraining,0.01947,60,1691,0.01289,0.02606
2020,17-29 y.,Rural regions,General education,0.06037,104,583,0.04102,0.07972
2020,17-29 y.,Rural regions,University/ Technical university,0.15796,179,583,0.12833,0.18759
2020,17-29 y.,Rural regions,Vocational training,0.16559,300,583,0.13539,0.19579
2020,30-45 y.,Urban regions,University/ Technical university,0.04157,157,385,0.02160,0.06153
2020,30-45 y.,Urban regions,Vocational training,0.01672,129,385,0.00390,0.02955
2020,30-45 y.,Urban regions,Further training/ Retraining,0.01451,99,385,0.00255,0.02647
2020,30-45 y.,Rural regions,Vocational training,0.00837,44,78,-0.01198,0.02872
2020,30-45 y.,Rural regions,Further training/ Retraining,0.01190,34,78,-0.01232,0.03611
2020,46-65 y.,Urban regions,Further training/ Retraining,0.00600,54,54,-0.01479,0.02679
2021,17-29 y.,Urban regions,General education,0.04979,189,1146,0.03719,0.06239
2021,17-29 y.,Urban regions,University/ Technical university,0.29231,572,1146,0.26597,0.31866
2021,17-29 y.,Urban regions,Vocational training,0.10821,343,1146,0.09022,0.12620
2021,17-29 y.,Urban regions,Further training/ Retraining,0.01415,42,1146,0.00731,0.02099
2021,17-29 y.,Rural regions,General education,0.07263,77,384,0.04663,0.09862
2021,17-29 y.,Rural regions,University/ Technical university,0.13749,125,384,0.10300,0.17198
2021,17-29 y.,Rural regions,Vocational training,0.15840,182,384,0.12183,0.19497
2021,30-45 y.,Urban regions,University/ Technical university,0.04383,115,272,0.01945,0.06820
2021,30-45 y.,Urban regions,Vocational training,0.01602,79,272,0.00107,0.03096
2021,30-45 y.,Urban regions,Further training/ Retraining,0.02135,78,272,0.00414,0.03856
2021,46-65 y.,Urban regions,Further training/ Retraining,0.00388,42,42,-0.01515,0.02290
