"year","regtyp","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2016","Laendlicher Raum","weiblich","6.39","6.5","4568","3","5","8","9","10","6.32","6.46","0","10","7","7"
"2016","Staedtischer Raum","maennlich","6.89","6.5","7103","4","5","8","9","10","6.84","6.94","0","10","7","7"
"2016","Staedtischer Raum","weiblich","6.58","6.5","8514","3","5","8","9","10","6.53","6.63","0","10","7","7"
"2017","Laendlicher Raum","maennlich","6.78","6.5","4388","4","5","8","10","10","6.72","6.84","0","10","7","7"
"2017","Laendlicher Raum","weiblich","6.44","6.5","4999","3","5","8","9","10","6.38","6.5","0","10","7","7"
"2017","Staedtischer Raum","maennlich","6.8","6.5","7809","4","5","8","9","10","6.75","6.85","0","10","7","7"
"2017","Staedtischer Raum","weiblich","6.46","6.5","9204","3","5","8","9","10","6.41","6.51","0","10","7","7"
"2018","Laendlicher Raum","maennlich","6.73","6.5","4173","4","5","8","9","10","6.66","6.8","0","10","7","7"
"2018","Laendlicher Raum","weiblich","6.3","6.5","4809","3","5","8","9","10","6.24","6.36","0","10","7","7"
"2018","Staedtischer Raum","maennlich","6.73","6.5","7580","4","5","8","9","10","6.68","6.78","0","10","7","7"
"2018","Staedtischer Raum","weiblich","6.38","6.5","8981","3","5","8","9","10","6.33","6.43","0","10","7","7"
"2019","Laendlicher Raum","maennlich","6.84","6.5","4250","4","5","8","9","10","6.78","6.9","0","10","7","7"
"2019","Laendlicher Raum","weiblich","6.45","6.5","4610","3","5","8","9","10","6.38","6.52","0","10","7","7"
"2019","Staedtischer Raum","maennlich","6.82","6.5","7774","4","5","8","9","10","6.77","6.87","0","10","7","7"
"2019","Staedtischer Raum","weiblich","6.47","6.5","8621","3","5","8","9","10","6.42","6.52","0","10","7","7"
"2020","Laendlicher Raum","maennlich","6.7","6.5","4186","4","5","8","9","10","6.63","6.77","0","10","7","7"
"2020","Laendlicher Raum","weiblich","6.39","6.5","4529","3","5","8","9","10","6.32","6.46","0","10","7","7"
"2020","Staedtischer Raum","maennlich","6.71","6.5","8112","4","5","8","9","10","6.66","6.76","0","10","7","7"
"2020","Staedtischer Raum","weiblich","6.4","6.5","8897","3","5","8","9","10","6.35","6.45","0","10","7","7"
