"plb0218","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, alle 2 Wochen","2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2007","kein Migrationshintergrund","Staedtischer Raum","580","0.0963925058388664","0.0890745610620108","0.103710450615722"
"Ja, alle 3-4 Wochen","2007","kein Migrationshintergrund","Laendlicher Raum","377","0.104297214721374","0.0943856648028174","0.114208764639931"
"Ja, alle 3-4 Wochen","2007","direkter Migrationshintergrund","Staedtischer Raum","84","0.0786359939716812","0.0608518458715276","0.0964201420718348"
"Ja, alle 3-4 Wochen","2007","direkter Migrationshintergrund","Laendlicher Raum","17","","",""
"Ja, alle 3-4 Wochen","2007","indirekter Migrationshintergrund","Staedtischer Raum","44","0.128380140399738","0.0963503894951718","0.160409891304303"
"Ja, alle 3-4 Wochen","2007","indirekter Migrationshintergrund","Laendlicher Raum","9","0.170956695856645","0.0857548261787111","0.256158565534578"
"Ja, alle 3-4 Wochen","2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","2007","kein Migrationshintergrund","Staedtischer Raum","1601","","",""
"Seltener","2007","kein Migrationshintergrund","Laendlicher Raum","922","0.249890538592794","0.235850752754077","0.263930324431512"
"Seltener","2007","direkter Migrationshintergrund","Staedtischer Raum","179","","",""
"Seltener","2007","direkter Migrationshintergrund","Laendlicher Raum","46","0.212243130442512","0.155715213348531","0.268771047536492"
"Seltener","2007","indirekter Migrationshintergrund","Staedtischer Raum","71","0.118909893500268","0.0879171346600114","0.149902652340525"
"Seltener","2007","indirekter Migrationshintergrund","Laendlicher Raum","15","","",""
"Seltener","2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nein, nie","2008","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2008","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2008","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2008","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2008","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Nein, nie","2008","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Nein, nie","2008","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nein, nie","2008","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, jede Woche","2008","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2008","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2008","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2008","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2008","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, jede Woche","2008","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, jede Woche","2008","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, jede Woche","2008","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","2008","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","2008","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2008","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","2008","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2008","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","2008","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","2008","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","2008","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nein, nie","2009","kein Migrationshintergrund","Staedtischer Raum","2023","","",""
"Nein, nie","2009","kein Migrationshintergrund","Laendlicher Raum","1097","","",""
"Nein, nie","2009","direkter Migrationshintergrund","Staedtischer Raum","301","0.436949023857243","0.400743927866766","0.473154119847719"
"Nein, nie","2009","direkter Migrationshintergrund","Laendlicher Raum","60","0.370938924791546","0.294396892970872","0.44748095661222"
"Nein, nie","2009","indirekter Migrationshintergrund","Staedtischer Raum","164","","",""
"Nein, nie","2009","indirekter Migrationshintergrund","Laendlicher Raum","32","0.401261642912939","0.288822111997501","0.513701173828377"
"Nein, nie","2009","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nein, nie","2009","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, jede Woche","2009","kein Migrationshintergrund","Staedtischer Raum","804","0.14759219531025","0.138254685808758","0.156929704811743"
"Ja, jede Woche","2009","kein Migrationshintergrund","Laendlicher Raum","529","0.156507069238061","0.144134922105316","0.168879216370806"
"Ja, jede Woche","2009","direkter Migrationshintergrund","Staedtischer Raum","122","","",""
"Ja, jede Woche","2009","direkter Migrationshintergrund","Laendlicher Raum","24","","",""
"Ja, jede Woche","2009","indirekter Migrationshintergrund","Staedtischer Raum","66","0.176899285647712","0.138683901203765","0.215114670091658"
"Ja, jede Woche","2009","indirekter Migrationshintergrund","Laendlicher Raum","15","","",""
"Ja, jede Woche","2009","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, jede Woche","2009","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2009","kein Migrationshintergrund","Staedtischer Raum","741","0.144333250898337","0.13508177170534","0.153584730091335"
"Ja, alle 2 Wochen","2009","kein Migrationshintergrund","Laendlicher Raum","516","0.161329679149924","0.148804321220339","0.173855037079509"
"Ja, alle 2 Wochen","2009","direkter Migrationshintergrund","Staedtischer Raum","105","","",""
"Ja, alle 2 Wochen","2009","direkter Migrationshintergrund","Laendlicher Raum","25","","",""
"Ja, alle 2 Wochen","2009","indirekter Migrationshintergrund","Staedtischer Raum","62","0.173660917837919","0.135722527830595","0.211599307845243"
"Ja, alle 2 Wochen","2009","indirekter Migrationshintergrund","Laendlicher Raum","7","0.0833074749725738","0.0199145936615584","0.146700356283589"
"Ja, alle 2 Wochen","2009","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2009","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2009","kein Migrationshintergrund","Staedtischer Raum","493","0.0891173515885735","0.081616889813321","0.096617813363826"
"Ja, alle 3-4 Wochen","2009","kein Migrationshintergrund","Laendlicher Raum","330","0.0938548396885014","0.0839244887481173","0.103785190628886"
"Ja, alle 3-4 Wochen","2009","direkter Migrationshintergrund","Staedtischer Raum","47","0.0752195609118183","0.0559680343382855","0.0944710874853512"
"Ja, alle 3-4 Wochen","2009","direkter Migrationshintergrund","Laendlicher Raum","14","","",""
"Ja, alle 3-4 Wochen","2009","indirekter Migrationshintergrund","Staedtischer Raum","23","","",""
"Ja, alle 3-4 Wochen","2009","indirekter Migrationshintergrund","Laendlicher Raum","4","0.0265723399944425","-0.0103214611461368","0.0634661411350218"
"Ja, alle 3-4 Wochen","2009","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2009","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","2009","kein Migrationshintergrund","Staedtischer Raum","1482","","",""
"Seltener","2009","kein Migrationshintergrund","Laendlicher Raum","841","0.258048412538241","0.243148773297732","0.272948051778749"
"Seltener","2009","direkter Migrationshintergrund","Staedtischer Raum","146","","",""
"Seltener","2009","direkter Migrationshintergrund","Laendlicher Raum","30","0.194146213507951","0.131471123914707","0.256821303101195"
"Seltener","2009","indirekter Migrationshintergrund","Staedtischer Raum","68","0.168241630427938","0.13077764049415","0.205705620361726"
"Seltener","2009","indirekter Migrationshintergrund","Laendlicher Raum","15","","",""
"Seltener","2009","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","2009","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nein, nie","2010","kein Migrationshintergrund","Staedtischer Raum","737","0.362143266447642","0.341684382441335","0.38260215045395"
"Nein, nie","2010","kein Migrationshintergrund","Laendlicher Raum","492","0.361372041439024","0.336446916561996","0.386297166316051"
"Nein, nie","2010","direkter Migrationshintergrund","Staedtischer Raum","166","","",""
"Nein, nie","2010","direkter Migrationshintergrund","Laendlicher Raum","46","0.281893021117577","0.213654973718336","0.350131068516817"
"Nein, nie","2010","indirekter Migrationshintergrund","Staedtischer Raum","76","0.343313764210856","0.278157290536612","0.4084702378851"
"Nein, nie","2010","indirekter Migrationshintergrund","Laendlicher Raum","17","","",""
"Nein, nie","2010","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nein, nie","2010","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, jede Woche","2010","kein Migrationshintergrund","Staedtischer Raum","270","","",""
"Ja, jede Woche","2010","kein Migrationshintergrund","Laendlicher Raum","216","","",""
"Ja, jede Woche","2010","direkter Migrationshintergrund","Staedtischer Raum","81","0.14175121338794","0.112601335627782","0.170901091148098"
"Ja, jede Woche","2010","direkter Migrationshintergrund","Laendlicher Raum","27","","",""
"Ja, jede Woche","2010","indirekter Migrationshintergrund","Staedtischer Raum","27","","",""
"Ja, jede Woche","2010","indirekter Migrationshintergrund","Laendlicher Raum","12","","",""
"Ja, jede Woche","2010","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, jede Woche","2010","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2010","kein Migrationshintergrund","Staedtischer Raum","334","0.160358673380768","0.144738951705581","0.175978395055955"
"Ja, alle 2 Wochen","2010","kein Migrationshintergrund","Laendlicher Raum","235","","",""
"Ja, alle 2 Wochen","2010","direkter Migrationshintergrund","Staedtischer Raum","105","","",""
"Ja, alle 2 Wochen","2010","direkter Migrationshintergrund","Laendlicher Raum","39","0.246969743834775","0.181563690500595","0.312375797168954"
"Ja, alle 2 Wochen","2010","indirekter Migrationshintergrund","Staedtischer Raum","37","0.178898127680098","0.126304342738189","0.231491912622006"
"Ja, alle 2 Wochen","2010","indirekter Migrationshintergrund","Laendlicher Raum","9","0.150669149689068","0.0552574067530608","0.246080892625076"
"Ja, alle 2 Wochen","2010","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2010","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2010","kein Migrationshintergrund","Staedtischer Raum","189","","",""
"Ja, alle 3-4 Wochen","2010","kein Migrationshintergrund","Laendlicher Raum","138","","",""
"Ja, alle 3-4 Wochen","2010","direkter Migrationshintergrund","Staedtischer Raum","65","0.126741442107654","0.0989380686225045","0.154544815592804"
"Ja, alle 3-4 Wochen","2010","direkter Migrationshintergrund","Laendlicher Raum","18","","",""
"Ja, alle 3-4 Wochen","2010","indirekter Migrationshintergrund","Staedtischer Raum","19","","",""
"Ja, alle 3-4 Wochen","2010","indirekter Migrationshintergrund","Laendlicher Raum","4","0.0942036665145838","0.0162923768126291","0.172114956216538"
"Ja, alle 3-4 Wochen","2010","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2010","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","2010","kein Migrationshintergrund","Staedtischer Raum","590","0.27238370661595","0.253433151723633","0.291334261508266"
"Seltener","2010","kein Migrationshintergrund","Laendlicher Raum","346","0.235309885274758","0.213300955305483","0.257318815244033"
"Seltener","2010","direkter Migrationshintergrund","Staedtischer Raum","133","","",""
"Seltener","2010","direkter Migrationshintergrund","Laendlicher Raum","37","0.215537197483851","0.153172739981959","0.277901654985743"
"Seltener","2010","indirekter Migrationshintergrund","Staedtischer Raum","45","0.231239876512438","0.173382358979317","0.28909739404556"
"Seltener","2010","indirekter Migrationshintergrund","Laendlicher Raum","12","","",""
"Seltener","2010","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","2010","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nein, nie","2011","kein Migrationshintergrund","Staedtischer Raum","3363","0.379546494261908","0.369327077399862","0.389765911123953"
"Nein, nie","2011","kein Migrationshintergrund","Laendlicher Raum","1951","","",""
"Nein, nie","2011","direkter Migrationshintergrund","Staedtischer Raum","534","0.400399948883414","0.374135987892855","0.426663909873972"
"Nein, nie","2011","direkter Migrationshintergrund","Laendlicher Raum","154","","",""
"Nein, nie","2011","indirekter Migrationshintergrund","Staedtischer Raum","257","","",""
"Nein, nie","2011","indirekter Migrationshintergrund","Laendlicher Raum","54","0.268215679013409","0.198915892654046","0.337515465372772"
"Nein, nie","2011","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nein, nie","2011","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, jede Woche","2011","kein Migrationshintergrund","Staedtischer Raum","1240","","",""
"Ja, jede Woche","2011","kein Migrationshintergrund","Laendlicher Raum","792","0.136908047439728","0.127813437827196","0.146002657052261"
"Ja, jede Woche","2011","direkter Migrationshintergrund","Staedtischer Raum","199","","",""
"Ja, jede Woche","2011","direkter Migrationshintergrund","Laendlicher Raum","65","0.132248731118565","0.100117487192357","0.164379975044773"
"Ja, jede Woche","2011","indirekter Migrationshintergrund","Staedtischer Raum","112","","",""
"Ja, jede Woche","2011","indirekter Migrationshintergrund","Laendlicher Raum","23","","",""
"Ja, jede Woche","2011","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, jede Woche","2011","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2011","kein Migrationshintergrund","Staedtischer Raum","1223","","",""
"Ja, alle 2 Wochen","2011","kein Migrationshintergrund","Laendlicher Raum","960","0.170099696358331","0.160159252643031","0.180040140073631"
"Ja, alle 2 Wochen","2011","direkter Migrationshintergrund","Staedtischer Raum","223","","",""
"Ja, alle 2 Wochen","2011","direkter Migrationshintergrund","Laendlicher Raum","81","0.177850949170516","0.141581786692861","0.21412011164817"
"Ja, alle 2 Wochen","2011","indirekter Migrationshintergrund","Staedtischer Raum","107","","",""
"Ja, alle 2 Wochen","2011","indirekter Migrationshintergrund","Laendlicher Raum","22","","",""
"Ja, alle 2 Wochen","2011","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2011","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2011","kein Migrationshintergrund","Staedtischer Raum","773","0.0880782431621732","0.0821099230066857","0.0940465633176608"
"Ja, alle 3-4 Wochen","2011","kein Migrationshintergrund","Laendlicher Raum","531","0.0962895231970759","0.0884850208361657","0.104094025557986"
"Ja, alle 3-4 Wochen","2011","direkter Migrationshintergrund","Staedtischer Raum","123","","",""
"Ja, alle 3-4 Wochen","2011","direkter Migrationshintergrund","Laendlicher Raum","43","0.107798061579296","0.0783829018875852","0.137213221271007"
"Ja, alle 3-4 Wochen","2011","indirekter Migrationshintergrund","Staedtischer Raum","56","0.0619324505763538","0.0435714947817569","0.0802934063709507"
"Ja, alle 3-4 Wochen","2011","indirekter Migrationshintergrund","Laendlicher Raum","26","","",""
"Ja, alle 3-4 Wochen","2011","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
