year,age_gr,sampreg,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,East,Often,0.04686,51,830,0.03247,0.06125
2017,17-29 y.,East,Sometimes,0.14192,138,830,0.11817,0.16568
2017,17-29 y.,East,Seldom,0.26042,197,830,0.23054,0.29029
2017,17-29 y.,East,Never,0.54658,444,830,0.51270,0.58047
2017,30-45 y.,West,Very often,0.01260,98,6424,0.00987,0.01533
2017,30-45 y.,West,Often,0.03372,292,6424,0.02930,0.03813
2017,30-45 y.,West,Sometimes,0.11350,800,6424,0.10574,0.12126
2017,30-45 y.,West,Seldom,0.26227,1644,6424,0.25151,0.27303
2017,30-45 y.,West,Never,0.57791,3590,6424,0.56583,0.58999
2017,30-45 y.,East,Often,0.03590,61,1516,0.02653,0.04526
2017,30-45 y.,East,Sometimes,0.12680,194,1516,0.11004,0.14356
2017,30-45 y.,East,Seldom,0.26447,409,1516,0.24226,0.28668
2017,30-45 y.,East,Never,0.55669,852,1516,0.53167,0.58170
2017,46-65 y.,West,Very often,0.00969,108,8015,0.00754,0.01183
2017,46-65 y.,West,Often,0.03783,302,8015,0.03366,0.04201
2017,46-65 y.,West,Sometimes,0.09115,780,8015,0.08485,0.09746
2017,46-65 y.,West,Seldom,0.26638,2104,8015,0.25670,0.27606
2017,46-65 y.,West,Never,0.59495,4721,8015,0.58420,0.60570
2017,46-65 y.,East,Very often,0.01894,34,2188,0.01323,0.02466
2017,46-65 y.,East,Often,0.04701,104,2188,0.03814,0.05588
2017,46-65 y.,East,Sometimes,0.10567,227,2188,0.09279,0.11856
2017,46-65 y.,East,Seldom,0.30955,628,2188,0.29017,0.32893
2017,46-65 y.,East,Never,0.51883,1195,2188,0.49789,0.53977
2017,66 and older,West,Very often,0.00905,33,3746,0.00602,0.01208
2017,66 and older,West,Often,0.02865,91,3746,0.02331,0.03400
2017,66 and older,West,Sometimes,0.09881,304,3746,0.08925,0.10837
2017,66 and older,West,Seldom,0.25977,964,3746,0.24572,0.27381
2017,66 and older,West,Never,0.60372,2354,3746,0.58805,0.61938
2017,66 and older,East,Often,0.04359,43,1205,0.03205,0.05512
2017,66 and older,East,Sometimes,0.12038,129,1205,0.10200,0.13876
2017,66 and older,East,Seldom,0.28091,361,1205,0.25553,0.30630
2017,66 and older,East,Never,0.54806,672,1205,0.51995,0.57618
2021,17-29 y.,West,Very often,0.02424,88,2792,0.01853,0.02994
2021,17-29 y.,West,Often,0.07340,237,2792,0.06373,0.08308
2021,17-29 y.,West,Sometimes,0.17840,539,2792,0.16420,0.19261
2021,17-29 y.,West,Seldom,0.31738,818,2792,0.30011,0.33464
2021,17-29 y.,West,Never,0.40658,1110,2792,0.38836,0.42480
2021,17-29 y.,East,Often,0.07852,41,467,0.05410,0.10295
2021,17-29 y.,East,Sometimes,0.14693,85,467,0.11479,0.17908
2021,17-29 y.,East,Seldom,0.33520,146,467,0.29234,0.37806
2021,17-29 y.,East,Never,0.41245,195,467,0.36776,0.45715
2021,30-45 y.,West,Very often,0.01972,150,4263,0.01555,0.02390
2021,30-45 y.,West,Often,0.06630,348,4263,0.05883,0.07377
2021,30-45 y.,West,Sometimes,0.13269,677,4263,0.12251,0.14288
2021,30-45 y.,West,Seldom,0.31247,1086,4263,0.29855,0.32638
2021,30-45 y.,West,Never,0.46882,2002,4263,0.45384,0.48380
2021,30-45 y.,East,Very often,0.02845,32,1065,0.01846,0.03844
2021,30-45 y.,East,Often,0.06580,84,1065,0.05090,0.08069
2021,30-45 y.,East,Sometimes,0.13192,132,1065,0.11159,0.15226
2021,30-45 y.,East,Seldom,0.31849,313,1065,0.29050,0.34649
2021,30-45 y.,East,Never,0.45534,504,1065,0.42542,0.48527
2021,46-65 y.,West,Very often,0.01440,127,5820,0.01134,0.01746
2021,46-65 y.,West,Often,0.05573,336,5820,0.04983,0.06162
2021,46-65 y.,West,Sometimes,0.10627,595,5820,0.09835,0.11419
2021,46-65 y.,West,Seldom,0.29698,1521,5820,0.28524,0.30872
2021,46-65 y.,West,Never,0.52662,3241,5820,0.51380,0.53945
2021,46-65 y.,East,Often,0.05100,74,1459,0.03971,0.06230
2021,46-65 y.,East,Sometimes,0.08628,124,1459,0.07187,0.10070
2021,46-65 y.,East,Seldom,0.31704,426,1459,0.29315,0.34092
2021,46-65 y.,East,Never,0.52225,835,1459,0.49661,0.54789
2021,66 and older,West,Often,0.03677,93,2697,0.02966,0.04387
2021,66 and older,West,Sometimes,0.09828,226,2697,0.08705,0.10952
2021,66 and older,West,Seldom,0.29887,806,2697,0.28159,0.31615
2021,66 and older,West,Never,0.55732,1572,2697,0.53857,0.57607
2021,66 and older,East,Often,0.05698,40,847,0.04136,0.07260
2021,66 and older,East,Sometimes,0.10887,81,847,0.08788,0.12986
2021,66 and older,East,Seldom,0.33351,250,847,0.30174,0.36528
2021,66 and older,East,Never,0.48077,476,847,0.44710,0.51444
