"plj0589","year","regtyp","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Oft","2014","Laendlicher Raum","weiblich","","","",""
"Manchmal","2014","Staedtischer Raum","maennlich","","","",""
"Manchmal","2014","Staedtischer Raum","weiblich","","","",""
"Manchmal","2014","Laendlicher Raum","maennlich","","","",""
"Manchmal","2014","Laendlicher Raum","weiblich","","","",""
"Selten","2014","Staedtischer Raum","maennlich","","","",""
"Selten","2014","Staedtischer Raum","weiblich","","","",""
"Selten","2014","Laendlicher Raum","maennlich","","","",""
"Selten","2014","Laendlicher Raum","weiblich","","","",""
"Nie","2014","Staedtischer Raum","maennlich","","","",""
"Nie","2014","Staedtischer Raum","weiblich","","","",""
"Nie","2014","Laendlicher Raum","maennlich","","","",""
"Nie","2014","Laendlicher Raum","weiblich","","","",""
"Sehr oft","2015","Staedtischer Raum","maennlich","","","",""
"Sehr oft","2015","Staedtischer Raum","weiblich","","","",""
"Sehr oft","2015","Laendlicher Raum","maennlich","","","",""
"Sehr oft","2015","Laendlicher Raum","weiblich","","","",""
"Oft","2015","Staedtischer Raum","maennlich","","","",""
"Oft","2015","Staedtischer Raum","weiblich","","","",""
"Oft","2015","Laendlicher Raum","maennlich","","","",""
"Oft","2015","Laendlicher Raum","weiblich","","","",""
"Manchmal","2015","Staedtischer Raum","maennlich","","","",""
"Manchmal","2015","Staedtischer Raum","weiblich","","","",""
"Manchmal","2015","Laendlicher Raum","maennlich","","","",""
"Manchmal","2015","Laendlicher Raum","weiblich","","","",""
"Selten","2015","Staedtischer Raum","maennlich","","","",""
"Selten","2015","Staedtischer Raum","weiblich","","","",""
"Selten","2015","Laendlicher Raum","maennlich","","","",""
"Selten","2015","Laendlicher Raum","weiblich","","","",""
"Nie","2015","Staedtischer Raum","maennlich","","","",""
"Nie","2015","Staedtischer Raum","weiblich","","","",""
"Nie","2015","Laendlicher Raum","maennlich","","","",""
"Nie","2015","Laendlicher Raum","weiblich","","","",""
"Sehr oft","2016","Staedtischer Raum","maennlich","66","0.0672783230888156","0.0529914641636693","0.0815651820139618"
"Sehr oft","2016","Staedtischer Raum","weiblich","50","0.0639615849982458","0.0474147516515967","0.080508418344895"
"Sehr oft","2016","Laendlicher Raum","maennlich","31","0.0544378902761381","0.0346107640286619","0.0742650165236143"
"Sehr oft","2016","Laendlicher Raum","weiblich","24","","",""
"Oft","2016","Staedtischer Raum","maennlich","129","0.128618222107862","0.109525026136643","0.147711418079081"
"Oft","2016","Staedtischer Raum","weiblich","92","0.126351272701551","0.103883155394358","0.148819390008744"
"Oft","2016","Laendlicher Raum","maennlich","71","0.173356316178281","0.140274213199349","0.206438419157213"
"Oft","2016","Laendlicher Raum","weiblich","57","0.157364026062505","0.118253045766643","0.196475006358368"
"Manchmal","2016","Staedtischer Raum","maennlich","249","0.2265378409885","0.202664507964637","0.250411174012363"
"Manchmal","2016","Staedtischer Raum","weiblich","198","0.244720559346102","0.215647046590675","0.273794072101528"
"Manchmal","2016","Laendlicher Raum","maennlich","118","0.240278251453383","0.202940461391467","0.277616041515299"
"Manchmal","2016","Laendlicher Raum","weiblich","74","0.217866946539833","0.173530389230536","0.26220350384913"
"Selten","2016","Staedtischer Raum","maennlich","218","0.18474927256258","0.162615262235324","0.206883282889836"
"Selten","2016","Staedtischer Raum","weiblich","144","0.178514006892228","0.152617291820458","0.204410721963997"
"Selten","2016","Laendlicher Raum","maennlich","91","0.156365940601108","0.124625552571733","0.188106328630483"
"Selten","2016","Laendlicher Raum","weiblich","53","0.140353155966131","0.103045573974571","0.177660737957692"
"Nie","2016","Staedtischer Raum","maennlich","519","0.392816341252242","0.364962958141205","0.42066972436328"
"Nie","2016","Staedtischer Raum","weiblich","356","0.386452576061874","0.353523418526374","0.419381733597375"
"Nie","2016","Laendlicher Raum","maennlich","192","0.37556160149109","0.333241228152228","0.417881974829952"
"Nie","2016","Laendlicher Raum","weiblich","125","0.381842124925873","0.329660500275121","0.434023749576625"
"Sehr oft","2017","Staedtischer Raum","maennlich","99","0.0106373681541418","0.00845184651769417","0.0128228897905895"
"Sehr oft","2017","Staedtischer Raum","weiblich","145","0.0120257145546441","0.00986886566458356","0.0141825634447046"
"Sehr oft","2017","Laendlicher Raum","maennlich","66","0.0101688108690735","0.00730179506796178","0.0130358266701853"
"Sehr oft","2017","Laendlicher Raum","weiblich","81","0.0128730064174279","0.00983644108524931","0.0159095717496065"
"Oft","2017","Staedtischer Raum","maennlich","324","0.0360608336101859","0.0320888910622756","0.0400327761580962"
"Oft","2017","Staedtischer Raum","weiblich","428","0.0384012450747247","0.0345988166122218","0.0422036735372276"
"Oft","2017","Laendlicher Raum","maennlich","177","0.0341357920199284","0.0289468661925537","0.0393247178473031"
"Oft","2017","Laendlicher Raum","weiblich","256","0.0436237962715384","0.0381216487345688","0.049125943808508"
"Manchmal","2017","Staedtischer Raum","maennlich","853","0.0938413148682621","0.0876289145325821","0.100053715203942"
"Manchmal","2017","Staedtischer Raum","weiblich","1132","0.109098607650534","0.102929591943439","0.115267623357629"
"Manchmal","2017","Laendlicher Raum","maennlich","478","0.0928216098915252","0.0845291127417501","0.1011141070413"
"Manchmal","2017","Laendlicher Raum","weiblich","661","0.124394501669228","0.115504313468173","0.133284689870283"
"Selten","2017","Staedtischer Raum","maennlich","2207","0.273319976704454","0.26382557588955","0.282814377519358"
"Selten","2017","Staedtischer Raum","weiblich","2430","0.247286829196521","0.238749801237254","0.255823857155789"
"Selten","2017","Laendlicher Raum","maennlich","1361","0.311223101100493","0.297992193583377","0.324454008617609"
"Selten","2017","Laendlicher Raum","weiblich","1409","0.262868754881961","0.251011121551602","0.27472638821232"
"Nie","2017","Staedtischer Raum","maennlich","4981","0.586140506662957","0.575647798539151","0.596633214786762"
"Nie","2017","Staedtischer Raum","weiblich","5676","0.593187603523576","0.58346719370108","0.602908013346073"
"Nie","2017","Laendlicher Raum","maennlich","2622","0.55165068611898","0.53743870013327","0.56586267210469"
"Nie","2017","Laendlicher Raum","weiblich","2887","0.556239940759845","0.542856699316336","0.569623182203354"
"Sehr oft","2018","Staedtischer Raum","maennlich","7","","",""
"Sehr oft","2018","Staedtischer Raum","weiblich","7","","",""
"Sehr oft","2018","Laendlicher Raum","maennlich","4","","",""
"Sehr oft","2018","Laendlicher Raum","weiblich","7","","",""
"Oft","2018","Staedtischer Raum","maennlich","9","","",""
"Oft","2018","Staedtischer Raum","weiblich","12","","",""
"Oft","2018","Laendlicher Raum","maennlich","7","","",""
"Oft","2018","Laendlicher Raum","weiblich","5","","",""
"Manchmal","2018","Staedtischer Raum","maennlich","25","","",""
"Manchmal","2018","Staedtischer Raum","weiblich","25","","",""
"Manchmal","2018","Laendlicher Raum","maennlich","15","","",""
"Manchmal","2018","Laendlicher Raum","weiblich","18","","",""
"Selten","2018","Staedtischer Raum","maennlich","15","","",""
"Selten","2018","Staedtischer Raum","weiblich","23","","",""
"Selten","2018","Laendlicher Raum","maennlich","14","","",""
"Selten","2018","Laendlicher Raum","weiblich","9","","",""
"Nie","2018","Staedtischer Raum","maennlich","48","0.47746083562188","0.381463380197982","0.573458291045778"
"Nie","2018","Staedtischer Raum","weiblich","54","0.449940077532933","0.361298444805663","0.538581710260203"
"Nie","2018","Laendlicher Raum","maennlich","28","","",""
"Nie","2018","Laendlicher Raum","weiblich","42","0.641782630194832","0.537365228679421","0.746200031710243"
"Sehr oft","2019","Staedtischer Raum","maennlich","3","","",""
"Sehr oft","2019","Staedtischer Raum","weiblich","","","",""
"Sehr oft","2019","Laendlicher Raum","maennlich","2","","",""
"Sehr oft","2019","Laendlicher Raum","weiblich","3","","",""
"Oft","2019","Staedtischer Raum","maennlich","6","","",""
"Oft","2019","Staedtischer Raum","weiblich","6","","",""
"Oft","2019","Laendlicher Raum","maennlich","1","","",""
"Oft","2019","Laendlicher Raum","weiblich","5","","",""
"Manchmal","2019","Staedtischer Raum","maennlich","16","","",""
"Manchmal","2019","Staedtischer Raum","weiblich","17","","",""
"Manchmal","2019","Laendlicher Raum","maennlich","7","","",""
"Manchmal","2019","Laendlicher Raum","weiblich","14","","",""
"Selten","2019","Staedtischer Raum","maennlich","10","","",""
"Selten","2019","Staedtischer Raum","weiblich","16","","",""
"Selten","2019","Laendlicher Raum","maennlich","15","","",""
"Selten","2019","Laendlicher Raum","weiblich","9","","",""
"Nie","2019","Staedtischer Raum","maennlich","46","0.58921588516859","0.482076382653776","0.696355387683404"
"Nie","2019","Staedtischer Raum","weiblich","39","0.442339900362195","0.33211908140731","0.55256071931708"
"Nie","2019","Laendlicher Raum","maennlich","18","","",""
"Nie","2019","Laendlicher Raum","weiblich","22","","",""
"Sehr oft","2020","Staedtischer Raum","maennlich","21","","",""
"Sehr oft","2020","Staedtischer Raum","weiblich","11","","",""
"Sehr oft","2020","Laendlicher Raum","maennlich","1","","",""
"Sehr oft","2020","Laendlicher Raum","weiblich","1","","",""
"Oft","2020","Staedtischer Raum","maennlich","52","0.0937351115324318","0.0697448330686563","0.117725389996207"
"Oft","2020","Staedtischer Raum","weiblich","33","0.122853259323047","0.0862518068771253","0.159454711768969"
"Oft","2020","Laendlicher Raum","maennlich","7","","",""
"Oft","2020","Laendlicher Raum","weiblich","2","","",""
"Manchmal","2020","Staedtischer Raum","maennlich","127","0.212693226799383","0.179010644046986","0.246375809551779"
"Manchmal","2020","Staedtischer Raum","weiblich","78","0.212632131595797","0.167010360446784","0.25825390274481"
"Manchmal","2020","Laendlicher Raum","maennlich","21","","",""
"Manchmal","2020","Laendlicher Raum","weiblich","18","","",""
"Selten","2020","Staedtischer Raum","maennlich","158","0.241573256668012","0.20634121524651","0.276805298089513"
"Selten","2020","Staedtischer Raum","weiblich","80","0.247236329032299","0.199135305212679","0.295337352851919"
"Selten","2020","Laendlicher Raum","maennlich","13","","",""
"Selten","2020","Laendlicher Raum","weiblich","4","","",""
"Nie","2020","Staedtischer Raum","maennlich","209","0.411082615536389","0.370583242090764","0.451581988982014"
"Nie","2020","Staedtischer Raum","weiblich","107","0.377826845569898","0.323767486594031","0.431886204545764"
"Nie","2020","Laendlicher Raum","maennlich","27","","",""
"Nie","2020","Laendlicher Raum","weiblich","11","","",""
